של	shel
את	ai
את	te
את	tu
על	despre
קטגוריה	categoria
קטגוריה	categorii
קטגוריה	categorie
עם	cu
גם	prea
זה	asta
זה	aceasta
זה	ca
זה	asta
זה	aia
היא	ea
שיחה	conversatie
שיחה	conversatie
שיחה	suna
שיחה	suna
שיחה	apel
שיחה	call
לאחר	dupa
לאחר	dupa
בין	bean
בין	fasole
בין	inter
בין	intre
בין	intre
כל	toti
כל	toti
כל	toate
כל	tot
כל	oricare
כל	orice
כי	deoarece
יותר	mai
ישראל	israel
ישראל	israelului
ישראל	israelul
אך	dar
עד	pana
עד	pana
יש	ura
שם	acolo
שם	nume
שם	numele
שם	denumire
שם	name
בית	beit
בית	acasa
בית	casa
בית	acasa
בית	home
בית	house
בית	casa
בית	casa
הם	au
הם	ei
הם	ele
אשר	asher
אשר	escher
אשר	usher
אשר	care
אשר	confirma
אשר	confirma
אשר	confirmare
אשר	confirm
כמו	ca
כמו	like
אחד	una
אחד	unul
אחד	unu
שמאל	stang
שמאל	stanga
שמאל	stanga
שמאל	stinga
קישורים	linkuri
קישורים	legaturi
קישורים	linkurile
קישורים	legaturi
חיצוניים	extern
חיצוניים	externe
חיצוניים	externi
חיצוניים	externa
חיצוניים	exterior
הברית	alianta
הברית	alianta
הברית	alianta
מספר	numar
מספר	numar
מספר	numarul
בו	el
בו	bau
בו	boo
היו	erau
רק	doar
רק	numai
רק	doar
כאשר	cand
כאשר	cand
אותו	el
בן	ben
בן	fiule
בן	fiul
בן	fiu
שלו	lui
שני	shani
שני	doua
שני	doi
שני	doua
שני	luni
שני	lunea
לו	lew
לו	lou
מה	ce
העולם	lumea
העולם	lume
העולם	world
העיר	oras
העיר	oras
העיר	orasul
העיר	oras
העיר	city
העיר	oras
העיר	oras
העיר	oras
העיר	orasul
העיר	orasul
כן	da
כן	mda
כן	daa
כן	da
שנים	ani
שנים	anii
אף	nasul
אף	nas
אף	nasu
אף	fep
רבים	multi
רבים	multi
רבים	multe
רבים	plural
אבל	dar
בה	ea
אין	niciuna
אביב	aviv
אביב	primavara
אביב	primavara
אביב	primavara
אביב	izvor
אביב	spring
במאי	may
במאי	director
במאי	regizor
שנה	anul
שנה	an
שנה	ani
שנה	anii
נולד	nascut
נולד	nascuta
נולד	nascut
הערות	note
הערות	comentarii
הערות	comentariile
הערות	observatii
חלק	parte
חלק	partea
חלק	netede
חלק	neted
חלק	lina
חלק	neteda
לפני	inainte
לפני	inainte
