triturados	маркотны
atençao	ўвагі
atençao	увагі
chávena	кавы
chávena	кубкам
chávena	келіх
chávena	келіха
antevisão	прагляд
chorado	заплакаў
navegue	прагляд
brilhe	сьвятло
senhoritas	спадарыні
exercicio	ўлада
imperecível	незьнішчальнасьць
circuncidado	абразаньнем
circuncidado	абразаньня
circuncidado	абрэзаных
circuncidado	абрэзаны
circuncidado	абразаньне
circuncidado	абрэзаў
vaguear	блуканні
gstreamer	утулкі
gstreamer	gstreamer
kanner	каннэр
sentei	сядзела
sentei	і
sentei	сеў
sentei	сядзеў
sentei	сеўшы
mowgli	маўглі
ensinei	навучыла
ensinei	навучылі
ensinei	навучыў
ensinei	навучаў
tontos	мудрыя
tontos	бязглуздыя
tontos	неразумнага
tontos	дурня
tontos	дурань
stresse	стрэсу
stresse	стрэс
gostosas	гарачы
levantem	падняць
levantem	тры
levantem	ўваскрашу
enjoado	і
enjoado	хворых
enjoado	хворы
enjoado	нямоглых
confidência	адвагу
confidência	пэўнасьць
confidência	маем
confidência	таямніцу
optimizada	аптымізаванае
envergonhados	саромеецца
envergonhados	пасаромеецца
envergonhados	саромлюся
envergonhados	асаромлены
envergonhados	пасароміцца
tropeçando	згаршэньне
tropeçando	спатыкненьня
blasfémia	блюзьнерства
merecemos	варты
convencidas	што
exigi	яго
espantada	дзівіліся
amem	амэн
medicos	дактары
medicos	дактароў
prometa	абяцаў
prometa	абяцаньне
prometa	абяцаньня
prometa	абяцаньнем
bielorússia	беларусі
bielorússia	беларусь
destroçar	адпусьціць
devagarinho	павольна
bebi	пілі
japao	японіі
japao	японія
japao	японію
roupões	вопраткі
sortuda	пашанцавала
sftp	sftp
