और	en
से	van
से	uit
से	vanaf
है	hai
एक	one
एक	één
एक	een
एक	eén
श्रेणी	categorie
श्रेणी	serie
श्रेणी	reeks
श्रेणी	reeksen
श्रेणी	series
श्रेणी	categorieën
भी	zelfs
भी	ook
भी	ook
यह	dit
यह	deze
किया	deed
किया	gedaan
किया	done
किया	klaar
इस	dit
इस	deze
हैं	zijn
कि	dat
भारत	india
जो	joe
जो	wie
जो	who
ही	hee
रूप	form
रूप	vorm
रूप	formulier
रूप	verschijning
रूप	uiterlijk
कर	belasting
कर	belastingen
कर	belasting
कर	belastingen
नहीं	niet
नहीं	nope
उत्तराखण्ड	uttarakhand
गया	ging
साथ	met
साथ	samen
पूर्व	oosten
पूर्व	oost
पूर्व	voormalig
पूर्व	voormalige
होता	zou
बाद	later
बाद	straks
बाद	na
बाद	after
तक	tot
तक	till
तक	tak
अपने	eigen
अपने	je
अपने	uw
अपने	jouw
जिले	districten
जिले	wijken
था	hadden
था	had
था	gehad
था	was
राज्य	staten
राज्य	staat
राज्य	state
बाहरी	buiten
बाहरी	buitenste
बाहरी	extern
बाहरी	uitwendig
बाहरी	externe
बाहरी	buiten
बाहरी	buitenshuis
कुछ	enkele
कुछ	sommigen
कुछ	sommige
कुछ	iets
ईसा	jezus
ईसा	jesus
गाँव	dorpje
गाँव	dorp
सरकार	kriebels
सरकार	regering
सरकार	overheid
कड़ियाँ	ketenen
कड़ियाँ	kettingen
कड़ियाँ	ketens
कड़ियाँ	links
प्रदेश	regio
इसके	its
दिया	gegeven
दिया	gaf
अन्य	overige
अन्य	andere
अन्य	ander
अन्य	overig
अन्य	overige
अन्य	andere
अन्य	overigen
अन्य	anderen
जा	jaa
वर्ष	jaar
वर्ष	jaren
वर्ष	jaar
समय	timing
समय	tijd
नाम	naam
वे	ze
वे	zij
प्रकार	soort
प्रकार	typ
प्रकार	type
प्रकार	soort
प्रकार	typen
प्रकार	soorten
प्रकार	types
भारतीय	indisch
भारतीय	indiaas
भारतीय	indiaan
भारतीय	indiase
भारतीय	indische
किसी	iemand
क्षेत्र	gebied
क्षेत्र	oppervlakte
क्षेत्र	regio
क्षेत्र	oppervlakten
क्षेत्र	gebieden
अधिक	more
अधिक	meer
कई	veel
कई	velen
कई	vele
कई	meerdere
कई	verschillende
कई	verscheidene
वाले	wale
स्थित	gelokaliseerd
मण्डल	gebied
मण्डल	zone
आधिकारिक	ambtenaar
आधिकारिक	officiële
आधिकारिक	officieel
कारण	redenen
कारण	reden
कारण	rede
कारण	veroorzaken
कारण	oorzaak
कारण	veroorzaakt
कारण	oorzaken
जैसे	zoals
जैसे	like
करता	pestkoppen
करता	doet
उनके	hun
उनके	hen
सबसे	meesten
सबसे	most
सबसे	meeste
सबसे	meest
हिन्दी	hindi
बहुत	zeer
पहले	voordat
पहले	vóór
पहले	geleden
पहले	eerder
पहले	eerste
पहले	eerst
अपनी	eigen
अपनी	vleselijke
दो	twee
दो	two
जिला	district
जब	wanneer
उन्होंने	ze
उन्होंने	zij
उन्होंने	egyptenaren
जन्म	born
जन्म	geboren
जन्म	geboorte
कोई	koi
कोई	elke
इन	inn
इन	herberg
लेकिन	maar
ये	dit
ये	deze
ये	deze
कम	laag
कम	low
कम	lage
कम	minder
कम	minder
कहा	zei
कहा	gezegd
कहा	said
लोग	mensen
लोग	personen
आदि	etc
आदि	enz
आदि	more
आदि	meer
आदि	adi
उसके	zijn
उसके	haar
प्राचीन	primitieve
प्राचीन	primitief
प्राचीन	praetor
देखें	kijk
देखें	kijken
देखें	zien
देखें	zie
देखें	weergave
देखें	uitzicht
देखें	bekijk
देखें	bekijken
उत्तर	beantwoorden
उत्तर	antwoord
उत्तर	noorden
उत्तर	noord
उत्तर	antwoorden
भाषा	talen
भाषा	taal
भाषा	taalgebruik
लिये	voor
सभी	allen
सभी	alle
सभी	allemaal
सभी	alles
प्राप्त	verkregen
प्राप्त	ontvangen
प्राप्त	ontvang
प्राप्त	ontvangen
इसका	its
प्रयोग	experimenten
प्रयोग	proefnemingen
प्रयोग	proeven
प्रयोग	gebruik
प्रयोग	experiment
प्रयोग	experimenteren
शामिल	betrokken
शामिल	omvat
शामिल	inclusief
शामिल	inclusief
शामिल	inbegrepen
उन्हें	hen
उस	dat
स्थान	plaatsen
स्थान	locaties
स्थान	plaats
स्थान	lokatie
स्थान	locatie
स्थान	ligging
प्रमुख	chef
प्रमुख	chief
प्रमुख	opperhoofd
प्रमुख	majoor
प्रमुख	major
