per	for
les	les
més	もっと
bar	バール
bar	バー
seu	本社
seu	本部
seu	司令部
van	バン
van	ヴァン
era	時代
text	テキスト
també	also
també	また
fou	was
anys	年数
any	イヤー
població	人口
però	でも
però	しかし
aquest	この
aquest	これ
altres	その他
altres	他の
altres	その他
estat	都道府県
estat	状態
després	アフター
són	are
fins	until
fins	まで
des	des
aquesta	この
aquesta	これ
eren	were
persones	ピープル
from	から
part	パート
part	部分
cap	なし
sobre	封筒
gran	グレート
durant	デュラント
tot	すべて
tot	全て
enllaços	リンク
dos	二つ
dos	二人
externs	外部
família	家族
ciutat	シティ
ciutat	都市
quan	いつ
quan	とき
habitatges	家屋
tenia	サナダムシ
nord	ノース
habitants	住民
barcelona	バルセロナ
dones	女性
primer	ファースト
primer	最初
segle	世紀
segle	センチュリー
nom	名前
nom	氏名
nom	名称
tres	三人
tres	three
tres	スリー
sud	サウス
lloc	place
lloc	場所
lloc	スポット
nova	new
nova	新しい
nova	新規
nova	ノヴァ
nova	新星
homes	男性
homes	メン
primera	ファースト
primera	最初
dues	二つ
dues	二人
guerra	戦争
següent	next
sense	なし
això	この
això	これ
general	全般
general	一般
general	将軍
municipi	市町村
catalunya	カタロニア
vivien	ヴィヴィアン
forma	図形
forma	形状
forma	シェイプ
forma	形式
forma	フォーム
mateix	同じ
mateix	おなじ
han	ハン
encara	スティル
encara	それでも
encara	まだ
mort	デス
dades	データ
només	のみ
només	ちょうど
només	ジャスト
només	ただ
regió	リージョン
regió	地域
temps	タイム
temps	時間
empreses	会社
troba	find
grup	集団
grup	グループ
contra	反対
admin	管理者
admin	管理人
frança	フランス
poblacions	人口
fills	子供
rei	king
rei	国王
rei	キング
francès	フレンチ
francès	フランス語
mentre	while
nombre	番号
nombre	数値
nombre	ナンバー
tots	all
tots	すべて
edició	編集
edició	出版
edició	パブリッシング
isbn	isbn
renda	レンタル
renda	家賃
renda	借りる
renda	レント
quatre	four
quatre	フォー
partit	パーティ
partit	パーティー
alguns	いくつか
alguns	一部
alguns	いくらか
aquests	これらの
aquests	これら
fill	息子
nou	new
nou	新しい
nou	新規
març	マーチ
març	行進曲
setembre	九月
principal	メイン
menys	少ない
color	カラー
color	カラー
món	世界
món	ワールド
octubre	十月
empresa	会社
abans	以前
edat	age
edat	年齢
web	web
web	ウェブ
jpg	jpg
dins	インサイド
església	チャーチ
església	教会堂
església	教会
maig	メイ
maig	五月
terme	テルメ
casa	ハウス
història	記事
història	ストーリー
història	物語
història	履歴
història	由緒
història	歴史
història	沿革
país	国名
país	カントリー
segona	番目
segona	セカンド
joan	ジョン
joan	ジョーン
final	終了
final	エンド
govern	政府
est	イースト
est	東部
est	est
vida	生活
vida	生命
vida	人生
vida	ライフ
poder	権力
poder	パワー
totes	all
totes	すべて
tipus	種類
tipus	タイプ
habitatge	住居
habitatge	住宅
juny	六月
diferents	異なる
parelles	カップル
parelles	ペア
fitxa	シート
insee	insee
títol	肩書
títol	称号
títol	タイトル
oest	ウエスト
oest	西部
oest	ウェスト
san	san
san	サン
nacional	国民
nacional	ナショナル
nacional	ナシオナル
abril	四月
abril	エイプリル
major	少佐
major	メジャー
major	専攻
agost	アウグスト
vivint	リビング
vivint	living
poble	村落
poble	ヴィレッジ
centre	センター
centre	中央
centre	中心
centre	中央
centre	センター
centre	中心
perquè	なぜなら
perquè	だって
aquestes	これらの
aquestes	これら
riu	河川
disc	ディスク
disc	円盤
mostra	サンプリング
mostra	サンプル
mostra	ショー
novembre	十一月
obres	ワークス
obres	作品
millor	最高
millor	ベスト
millor	best
espanya	スペイン
sistema	システム
santa	サンタ
total	合計
universitat	大学
dia	day
dia	一日
mitjà	ミディアム
mitjà	メディア
data	デート
data	日付
world	世界
world	ワールド
departament	部署
departament	学科
departament	部門
construcció	建設
vol	フライト
vol	飛行
premi	受賞
premi	表彰
febrer	二月
escola	学校
escola	スクール
cinc	ファイブ
cinc	五つ
cinc	five
principals	メイン
madrid	マドリッド
madrid	マドリード
font	ソース
font	出典
zona	ゾーン
zona	zone
los	los
grans	大きい
banda	band
banda	バンド
banda	バンダ
central	中央
central	セントラル
oficial	役員
oficial	巡査
superfície	表面
superfície	曲面
maria	マリア
maria	マリヤ
molts	多数
cens	国勢調査
equip	チーム
amèrica	アメリカ
ara	ara
ara	now
ara	ナウ
qui	who
dir	dir
punt	ポイント
iii	iii
algunes	いくつか
algunes	一部
algunes	いくらか
regne	王国
john	ジョン
actualment	現在
cas	ケース
unitats	単位
unitats	ユニット
causa	原因
activitats	アクティビティ
activitats	活動
president	大統領
president	プレジデント
president	社長
article	記事
article	冠詞
exèrcit	アーミー
exèrcit	軍隊
exèrcit	陸軍
música	ミュージック
música	音楽
aigua	ウォーター
increment	増加
increment	増額
increment	増やす
llavors	それから
llavors	種子
llavors	シード
conegut	知り合い
conegut	知人
terra	地球
terra	アース
gray	灰色
gray	グレイ
gray	グレー
saint	セイント
saint	聖人
època	紀元
època	エポック
barra	バール
barra	バー
sèrie	シリーズ
art	art
art	アート
art	芸術
art	美術
club	クラブ
club	棍棒
càrrec	チャージ
càrrec	課金
càrrec	充電
etapa	舞台
etapa	ステージ
rgb	rgb
república	共和制
república	共和国
parís	パリス
parís	パリ
ordre	指揮
ordre	コマンド
ordre	オーダー
ordre	注文
donar	与える
donar	give
ell	him
llista	リスト
cet	cet
important	重要
segon	番目
segon	セカンド
europa	欧州
europa	ヨーロッパ
cal	カル
servei	サービス
gridcolor	gridcolor
serveis	サービス
morir	die
morir	死ぬ
alemanya	ドイツ
piràmide	ピラミッド
lightgrey	lightgrey
darkgrey	darkgrey
sfondo	sfondo
antic	古い
antic	オールド
plaça	正方形
plaça	四角
plaça	広場
plaça	プラザ
comtat	カウンティ
pare	父親
informació	情報
mar	sea
actual	現在
castell	キャッスル
york	ヨーク
països	国々
moment	moment
moment	瞬間
moment	モーメント
anglès	イングリッシュ
anglès	英語
tal	タル
període	期間
període	ピリオド
territori	縄張り
londres	ロンドン
internacional	インターナショナル
internacional	国際
premis	受賞
premis	表彰
premis	懸賞
premis	賞品
josep	ヨセフ
center	センター
center	中央
center	中心
museu	美術館
museu	博物館
edats	年齢
districte	地区
districte	ディストリクト
pàgina	ページ
dies	日数
havien	had
camp	フィールド
camp	camp
camp	キャンプ
llengua	言語
base	塩基
base	base
base	ベース
base	基底
llarg	長い
llarg	ロング
capital	資本
capital	首都
capital	キャピタル
alt	ハイ
alt	高い
alt	alt
diagrama	ダイアグラム
diagrama	チャート
edifici	建物
línia	直線
línia	ライン
política	ポリシー
política	政策
política	方針
política	政治
metres	メートル
metres	メートル
metres	メーター
finalment	ついに
finalment	やっと
finalment	遂に
costat	サイド
planta	プラント
planta	植物
gènere	ジャンル
gènere	性別
gènere	ジェンダー
mateixa	同じ
mateixa	おなじ
vegades	タイムズ
majoria	過半数
natural	自然
natural	ナチュラル
unió	ユニオン
tard	遅い
aconseguir	ゲット
aconseguir	get
veure	見る
director	監督
director	ディレクター
director	取締役
director	校長
força	体力
força	強度
força	フォース
codi	コード
codi	符号
distribució	分布
distribució	流通
distribució	配当
origen	原点
origen	語源
origen	由来
origen	起源
persona	人物
cos	本文
cos	身体
cos	本体
cos	ボディ
primers	ファースト
primers	最初
cases	家屋
batalla	バトル
batalla	戦闘
batalla	戦い
sol	太陽
sol	sun
suport	サポート
suport	支持
classificació	分類
itàlia	イタリア
comarca	シャイア
pere	ペーター
pere	peter
pere	ピーター
top	top
top	上部
top	トップ
califòrnia	カリフォルニア
cop	cop
fitxer	ファイル
peix	魚類
peix	フィッシュ
militar	軍事
militar	軍隊
costa	コスタ
popular	人気
popular	ポピュラー
anomenat	named
temporada	季節
temporada	シーズン
treball	職業
treball	仕事
treball	ジョブ
treball	作業
treball	仕事
treball	ワーク
vila	ヴィラ
mare	おかあさん
mare	母親
estudis	研究
eleccions	選挙
articles	記事
articles	冠詞
discussió	話し合い
discussió	ディスカッション
polític	政治家
conjunt	集合
conjunt	セット
llibre	書物
llibre	ブック
roma	ローマ
estil	スタイル
moviment	ムーブメント
moviment	楽章
moviment	運動
imperi	帝国
imperi	帝政
imperi	エンパイア
divisió	師団
divisió	ディビジョン
membre	メンバ
membre	会員
membre	メンバー
sempre	常に
sempre	いつも
porta	ドア
porta	ポルタ
teatre	劇場
teatre	シアター
teatre	演劇
teatre	演劇
teatre	劇場
membres	メンバー
membres	メンバ
resta	引き算
moltes	多数
acord	協定
acord	合意
jocs	ゲーム
rebre	受け取る
rebre	受信
rebre	受信
illes	諸島
avui	トゥデイ
avui	今日
http	http
alta	ハイ
alta	高い
alta	アルタ
posició	位置
posició	ポジション
posició	役職
format	フォーマット
format	書式
sovint	頻繁
sovint	しばしば
comte	カウント
jersey	ジャージー
canvi	チェンジ
canvi	変更
canvi	変化
opció	オプション
germà	兄弟
germà	ブラザー
comunes	共通
material	素材
material	材料
material	マテリアル
pas	step
pas	ステップ
nivell	レベル
valència	バレンシア
crear	作成
consell	ヒント
creu	十字架
creu	クロス
creu	cross
creu	十字
ben	ベン
futbol	フットボール
antiga	前者
volta	ボルタ
volta	ヴォルタ
interior	内部
interior	内装
interior	内面
interior	インテリア
josé	ホセ
finals	ファイナル
paper	用紙
paper	ペーパー
entorn	環境
únic	ユニーク
únic	独特
institut	研究所
àfrica	アフリカ
cultura	文化
cultura	カルチャー
baix	低い
mitjançant	through
mitjançant	スルー
espai	スペース
espai	空間
equips	チーム
pau	ピース
pau	平和
pau	pau
qualsevol	any
civil	文官
torre	タワー
comerç	貿易
comerç	トレード
comerç	取引
carrer	ストリート
carrer	通り
direcció	方向
nens	子供
nens	キッズ
nens	子供
elements	アイテム
elements	品物
elements	要素
elements	元素
elements	エレメント
mapa	地図
mapa	マップ
especialment	特に
procés	過程
procés	プロセス
versió	バージョン
occidental	オクシデンタル
vall	バレー
vall	谷間
local	ローカル
local	地元
guanyar	win
guanyar	勝利
guanyar	勝ち
guanyar	勝つ
desenvolupament	発達
desenvolupament	開発
set	seven
set	セブン
grups	グループ
campionat	チャンピオンシップ
campionat	選手権
pla	計画
pla	プラン
original	オリジナル
déu	ゴッド
projecte	プロジェクト
situació	状況
situació	シチュエーション
carrera	経歴
carrera	キャリア
carrera	カレラ
alemany	ドイツ語
oriental	オリエンタル
societat	社会
sis	シックス
sis	six
bisbe	ビショップ
real	real
real	本物
real	リアル
èxit	サクセス
èxit	成功
social	ソーシャル
relació	リレーションシップ
relació	交際
carles	シャルル
dona	女性
punts	ドット
punts	ポイント
mitjana	平均
mitjana	意地悪
densitat	密度
clubs	クラブ
imatge	画像
imatge	イメージ
producció	製作
producció	生産
producció	プロダクション
pedra	ストーン
tracta	トリート
home	男性
home	man
resultats	結果
malgrat	にもかかわらず
resum	概要
resum	概観
resum	概説
resum	概略
resum	まとめ
resum	概要
resum	要約
california	カリフォルニア
automòbils	カーズ
escut	シールド
autor	作家
autor	著者
autor	作者
cantó	広東
cantó	カントン
productes	プロダクト
productes	商品
productes	製品
estructura	構造
estructura	構成
lliga	リーグ
ciutats	都市
gairebé	ほとんど
gairebé	ほぼ
categoria	カテゴリー
categoria	区分
categoria	カテゴリ
categoria	分類
partits	マッチ
partits	一致
estudi	勉強
estudi	スタジオ
muntanya	マウンテン
estudiant	勉強
estudiant	生徒
estudiant	学生
sobretot	特に
longitud	経度
academy	アカデミー
reparació	修理
serra	セッラ
propietaris	オーナー
propietaris	所有者
comunitat	コミュニティ
comunitat	コミュニティー
lluís	ルイス
lluís	ルイ
fons	背景
fons	バックグラウンド
fons	ボトム
milions	ミリオン
milions	million
milions	百万
revista	マガジン
revista	雑誌
familiars	親族
familiars	親戚
jove	若い
jove	ヤング
bottom	ボトム
palau	パラオ
detall	ディテール
elaboració	準備
elaboració	調製
elaboració	仕込み
elaboració	調合
sur	スール
sexe	性別
sexe	セックス
camí	パス
