die	на
van	презимето
van	презиме
van	oд
van	од
het	имам
het	има
wat	што
wat	тоа
wat	дека
word	стане
met	со
was	била
was	беше
was	беа
was	биле
vir	за
nie	не
dit	ова
dit	оваа
dit	овој
deur	врата
dat	тоа
dat	дека
hulle	ги
hulle	нив
suid	југ
suid	јужно
suid	јужна
uit	аут
uit	надвор
jaar	година
jaar	year
eerste	прв
eerste	први
eerste	прво
eerste	прва
maar	но
maar	ама
kan	може
kan	можи
kan	можат
hierdie	ова
hierdie	оваа
hierdie	овој
ander	macedonian
ander	други
soos	како
soos	like
afrika	африка
afrika	африканска
afrika	африкански
oor	околу
oor	за
oor	уво
oor	увото
oor	преостанати
oor	преостанат
oor	преостанатите
een	една
een	едната
een	еден
een	едно
gebruik	употреба
gebruik	користење
gebruik	употреба
gebruik	искористи
gebruik	користи
afrikaanse	африканска
afrikaanse	африкански
groot	одлична
groot	одлично
groot	супер
meer	езерото
meer	езеро
meer	уште
meer	повеќе
onder	подолу
onder	дното
onder	долен
onder	дно
twee	два
twee	двајца
twee	две
kerk	kerk
kerk	црква
duimnael	сликички
tussen	помеѓу
tussen	помегу
tussen	измеѓу
tussen	меѓу
gemeente	собранието
gemeente	собрание
baie	многу
baie	многумина
begin	почни
begin	почеток
begin	старт
hul	нивната
hul	нивните
hul	нивното
hul	нивна
hul	нивно
hul	нивни
waar	каде
waar	вистинито
waar	вистина
dié	ова
dié	оваа
dié	овој
eeu	век
haar	ја
haar	нејзината
haar	неа
haar	нејзе
eksterne	надворешен
eksterne	надворешно
eksterne	надворешни
eksterne	надворешна
sien	види
sien	гледаш
sien	видете
nuwe	ново
nuwe	нов
nuwe	нови
nuwe	нова
leë	празно
leë	празен
leë	празна
leë	испразни
leë	празни
leë	празно
leë	празен
hom	него
hom	го
voor	преден
voor	предни
voor	предна
voor	фронт
voor	напред
voor	пред
stad	град
stad	градско
stad	градот
stad	градски
land	земја
land	држава
land	кантри
skakels	врските
skakels	линковите
skakels	врски
skakels	линкови
later	покасно
later	подоцна
nog	ногајски
nog	уште
nog	повеќе
net	само
net	само
sou	ќе
naam	име
deel	сподели
deel	дел
drie	тројца
drie	три
drie	тројка
grootste	најголемо
grootste	најголема
pous	папа
sal	ке
sal	вил
sal	ќе
kon	може
ons	наша
ons	наши
ons	нашата
ons	наш
ons	нашиот
ons	нашите
mense	народ
mense	луѓе
bestaan	постоиме
bestaan	постојат
bestaan	постои
nasionale	национални
nasionale	национална
nasionale	национален
nasionale	национално
maak	make
maak	направи
kom	дојди
noord	северно
noord	север
noord	северот
jpg	jpg
gebied	територија
gebied	област
gebied	подрачје
vanaf	oд
vanaf	од
laat	доцна
laat	доцни
laat	касно
saam	заедно
style	стилови
terwyl	додека
veral	поготово
veral	особено
veral	посебно
moet	мора
moet	must
weer	повторно
weer	одново
weer	пак
weer	времето
werk	работа
werk	дело
werk	работно
werk	работа
werk	работно
werk	werk
klein	малечко
klein	мала
klein	мал
klein	мали
klein	мало
klein	малолетник
klein	помали
klein	ситна
oos	исток
hier	тука
tyd	времето
tyd	време
geword	стане
geword	станав
geword	станаа
geword	постана
geword	стана
geword	станала
vlag	знаме
verskeie	разни
verskeie	разно
verenigde	соединети
verenigde	јунајтед
verenigde	обединета
verenigde	обединето
verenigde	обединети
mei	мајски
mei	мај
wes	запад
wes	западно
wes	вест
vorm	облик
vorm	форма
staan	стои
staan	стоечки
staan	стојам
staan	стоејќи
staan	стоење
staan	стојат
gereformeerde	реформираната
isbn	исбн
genoem	споменати
genoem	спомнато
genoem	спомнав
genoem	споменат
genoem	спомна
dan	потоа
dan	тогаш
bevolking	популација
bevolking	население
gemaak	направи
gemaak	направени
gemaak	направен
gemaak	made
gebou	градба
gebou	зграда
gebou	градење
jare	години
januarie	јануари
januarie	прирачник
januarie	упатство
januarie	рачно
januarie	рачна
junie	џун
junie	јуни
junie	џун
amerikaanse	американска
amerikaanse	американски
amerikaanse	американец
slegs	само
slegs	само
nadat	откако
nadat	по
nadat	после
april	април
lank	висок
lank	висока
lank	лонг
lank	долги
lank	долго
lank	долга
gestig	основана
gestig	основани
gestig	основано
gestig	основан
oktober	октомври
julie	јули
sedert	започната
sedert	лансирана
sedert	започнати
sedert	лансиран
sedert	покрената
reeds	веке
reeds	веќе
kaapstad	барселона
september	септември
engels	англиски
party	партиски
party	партиска
party	забава
party	журка
party	партија
desember	декември
maart	марш
maart	март
alle	сите
augustus	август
augustus	аугуст
gevolg	следев
gevolg	следена
gevolg	следени
gevolg	следеше
februarie	фебруари
februarie	февруари
nou	сега
meeste	повеќето
meeste	најмногу
gebore	родено
gebore	роди
gebore	роден
gebore	родени
gebore	раѓа
provinsie	покраина
provinsie	провинција
provinsie	покраината
provinsie	жупанија
provinsie	округот
provinsie	округ
provinsie	состојба
provinsie	држава
universiteit	универзитет
beskou	размислете
lewe	живот
lewe	life
lewe	животот
vier	four
vier	четри
vier	четири
vier	четворица
vier	славиме
vier	славење
vier	празнува
vier	слави
vier	прославување
vier	славиме
vier	слават
november	ноември
franse	французи
franse	француски
dood	смрт
dood	смртта
dood	мртво
dood	мртов
dood	мртви
dood	мртва
amptelike	официјално
amptelike	службен
amptelike	службено
amptelike	официјална
koning	крал
koning	кинг
koning	кралот
der	дер
moes	имаа
moes	имаше
dieselfde	истите
dieselfde	истото
dieselfde	исто
dieselfde	исти
dieselfde	ист
dieselfde	иста
wêreld	ворлд
wêreld	world
wêreld	свет
wêreld	светот
wêreld	свету
volgende	следниот
volgende	следна
volgende	следно
volgende	следни
volgende	следен
geleë	лоциран
geleë	лоцирана
geleë	лоцирано
geleë	сместена
miljoen	милион
miljoen	милиони
aantal	количина
aantal	количество
plaaslike	локален
plaaslike	локално
plaaslike	локални
plaaslike	локална
regs	десно
regs	надесно
regs	право
dikwels	често
dikwels	честопати
internasionale	international
internasionale	меѓународна
internasionale	интернационална
internasionale	меѓународни
internasionale	меѓународен
eie	прилагоди
eie	прилагодува
eie	приспособи
eie	сопствени
eie	сопствено
eie	сопствена
eie	сопствен
voëls	птиците
voëls	птици
eers	прв
eers	први
eers	прво
eers	прва
pretoria	преторија
steeds	сеуште
steeds	уште
steeds	сепак
groep	група
groep	групно
groep	групни
groep	групна
stel	сет
stel	комплет
stel	сетот
stel	постави
sluit	отказ
sluit	напушти
sluit	блиску
sluit	затвори
frankryk	франс
frankryk	франција
naby	близу
naby	блиску
naby	близина
hoofstad	престолнина
hoofstad	капитал
verwys	наведе
state	државите
state	држави
water	вода
water	воден
water	лопатка
einde	заврши
einde	финиш
einde	крај
duitsland	germany
duitsland	германија
regering	влада
elke	секоја
elke	секое
elke	секој
kaap	кејп
kaap	наметка
dae	денови
dae	дена
wanneer	кога
oorlog	војна
laaste	последно
laaste	последни
laaste	последен
laaste	последна
laaste	последниот
politieke	политички
politieke	политичко
politieke	политичка
besluit	одлучува
besluit	одлука
besluit	одлучил
besluit	одлучено
besluit	одлучи
besluit	одлучува
besluit	одлучи
ryk	царство
ryk	империја
ryk	богата
ryk	богато
ryk	богат
ryk	богати
ryk	рич
asook	филантропија
sommige	некои
gewoonlik	обично
gewoonlik	обично
afrikaans	африканс
geskiedenis	историја
vis	риби
vis	фиш
vis	риба
plaas	фармата
plaas	фарма
plaas	објава
plaas	објавата
plaas	пост
plaas	објави
wikipedia	википедија
wetenskaplike	научникот
wetenskaplike	научник
wetenskaplike	научни
wetenskaplike	научен
wetenskaplike	научно
ontwikkel	развиени
ontwikkel	развиено
ontwikkel	развиен
ontwikkel	развиена
ontwikkel	развие
ontwikkel	развивање
lande	земји
lande	држави
seun	дечко
seun	момче
seun	бој
seun	синче
seun	синот
seun	синко
seun	сине
