மற்றும்	그리고
ஒரு	하나
இந்த	이거
ஆம்	예스
இது	이거
மக்கள்	민족
மக்கள்	국민
மக்கள்	사람
மக்கள்	명인
மக்கள்	사람들
ஆண்டு	year
ஆண்டு	연도
தமிழ்	타밀어
இந்திய	인도인
இந்திய	인도
இந்திய	인디언
இருந்து	출신
பல	많은
பல	다중
முதல்	출신
முதல்	우선
முதல்	퍼스트
முதல்	처음
முதல்	먼저
மேலும்	기타
தொகை	금액
சில	몇몇
சில	일부
உள்ளது	존재함
அவர்	그를
அவர்	그녀
அவர்	그녀의
இருக்கும்	존재
இருக்கும்	기존
வெளி	아웃소싱
வெளி	외부
வெளி	스페이스
வெளி	공간
வெளி	우주
மூலம்	소스
மூலம்	원본
மூலம்	출처
மூலம்	원본
மூலம்	오리지널
வரை	추첨
வரை	그리기
பின்னர்	그렇다면
பின்னர்	그러면
பின்னர்	그때
பின்னர்	나중에
ஆனால்	그런데
ஆனால்	그러나
ஆனால்	근데
ஆனால்	하지만
கொண்டு	함께
பட்டியல்	리스트
பட்டியல்	목록
பட்டியல்	명단
பெண்கள்	암컷
பெண்கள்	여성
பெண்கள்	소녀
பெண்கள்	소녀들
பெண்கள்	걸스
பெண்கள்	여자들
பெண்கள்	여자
பெண்கள்	여성
கொண்டுள்ளது	포함함
கொண்டுள்ளது	포함
கொண்டுள்ளது	포함됨
போது	언제쯤
போது	언제
இணைப்புகள்	커넥션
இணைப்புகள்	연결
இணைப்புகள்	첨부
இணைப்புகள்	링크
இரண்டு	두두
இரண்டு	두분
தகவல்	정보
தகவல்	정보
தகவல்	메시지
தகவல்	메세지
மொத்த	총액
மொத்த	전체
வளர்ச்சி	개발
வளர்ச்சி	발달
வளர்ச்சி	성장
வளர்ச்சி	증가
மிகவும்	아주
மிகவும்	매우
திட்டம்	프로젝트
திட்டம்	플랜
திட்டம்	계획
தேசிய	국립
தேசிய	내셔널
தேசிய	국민
கலந்து	참석합니다
கலந்து	참석
இங்கு	여기
இங்கு	여기에
அமெரிக்க	아메리칸
அமெரிக்க	미국인
அடிப்படை	기초
அடிப்படை	근거
அடிப்படை	기저
அடிப்படை	기지
அடிப்படை	베이스
அடிப்படை	기본
அடிப்படை	기초
அடிப்படை	베이직
பெயர்	이름
பெயர்	레이블
பெயர்	라벨
ஆண்கள்	남성
ஆண்கள்	수컷
ஆண்கள்	멘트
ஆண்கள்	남성
ஆண்கள்	남자
ஒன்று	하나
ஐக்கிய	united
ஐக்கிய	유나이티드
புதிய	신선
புதிய	신선한
அவரது	그의
அவரது	그녀
அவரது	그녀의
மொத்தம்	총액
மொத்தம்	전체
மொத்தம்	합계
சிறந்த	최고
சிறந்த	베스트
சிறந்த	훌륭한
அரசு	정부
அரசு	정부
வசதிகள்	시설
இந்தியா	인디아
இந்தியா	인도
பெரிய	대형
நாள்	하루
நாள்	데이
பிறப்பு	일반
பிறப்பு	born
பிறப்பு	출생
பிறப்பு	탄생
பிறப்பு	출생
பிறப்பு	탄생
பிறப்பு	출산
பிறப்பு	해치
முக்கிய	메인
முக்கிய	중요
முக்கிய	중요하다
பல்வேறு	다양체
பல்வேறு	버라이어티
திரைப்படங்கள்	영화
பிற	기타
பிற	다른
அவர்கள்	그들
அவர்கள்	그들이
அவர்கள்	그들은
மொழி	언어
முறை	수단
முறை	메서드
முறை	방법
முறை	메소드
முறை	절차
முறை	시술
முறை	모드
கோயில்	템플
கோயில்	신전
கோயில்	사원
பொதுவாக	장군
பொதுவாக	일반
பொதுவாக	일반인
தன்	그의
தொடர்ந்து	유지
இரண்டாம்	둘째
இரண்டாம்	두번째
இரண்டாம்	중등
சென்னை	첸나이
வரும்	출시
வரும்	coming
ஒவ்வொரு	꼴찌
ஒவ்வொரு	각각
மட்டுமே	단발
மட்டுமே	오직
வரலாறு	역사
வரலாறு	내역
வரலாறு	히스토리
வரலாறு	기록
பகுதியில்	구역
பகுதியில்	영역
பகுதியில்	지역
பகுதியில்	면적
பின்	pin
பின்	고정
பின்	다시
பின்	뒤로
இல்லை	아님
அதிக	높음
அதிக	하이
காலத்தில்	기간
காலத்தில்	시대
காலத்தில்	주기
மிக	아주
மிக	매우
பிறகு	그렇다면
பிறகு	그러면
பிறகு	그때
பிறகு	나중에
அரசியல்	정치
அரசியல்	정치학
அரசியல்	정치
அரசியல்	정치적
பகுதி	부분적
பகுதி	부분
பகுதி	구역
பகுதி	영역
பகுதி	지역
பகுதி	면적
பகுதி	지방
பகுதி	지역
பகுதி	부분
பகுதி	부품
பகுதி	파트
பகுதி	세그먼트
பற்றி	소개
பற்றி	대략
ஆறு	여섯
மீண்டும்	다시
மீண்டும்	또다시
இங்கிலாந்து	잉글랜드
காலம்	시즌
காலம்	계절
காலம்	기간
காலம்	시대
காலம்	주기
காலம்	시간
காலம்	타임
காலம்	time
நிலை	직위
நிலை	위치
நிலை	포지션
நிலை	상태
நிலை	국가
நிலை	레벨
நிலை	수준
ஒரே	같은
ஒரே	동일
ஒரே	똑같이
போர்	전쟁
பொருள்	물질
பொருள்	재료
பொருள்	소재
பொருள்	제품
பொருள்	객체
பொருள்	개체
பொருள்	대상
பொருள்	천체
பொருள்	주제
பொருள்	제목
அறிவியல்	사이언스
அறிவியல்	과학
பேச்சு	연설
பேச்சு	음성
பேச்சு	talk
இதனால்	함께
அனைத்து	모두
அனைத்து	전체
கல்வி	교육학
கல்வி	교육
கல்வி	학력
ஏப்ரல்	apr
ஏப்ரல்	에이프릴
ஏப்ரல்	사월
உலக	월드
உலக	세상
உலக	세계
உலக	글로벌
உலக	전역
கே	게이
கே	게이이
கீழ்	다운
கீழ்	아래로
கீழ்	아래쪽
கீழ்	아래쪽
கீழ்	밑바닥
கீழ்	아래
கீழ்	하단
கீழ்	바닥
இடம்	장소
இடம்	위치
இடம்	스페이스
இடம்	공간
இடம்	우주
செப்டம்பர்	구월
பேர்	기타
தொகுதி	앨범
தொகுதி	음반
தொகுதி	체계
தொகுதி	시스템
தொகுதி	모듈
கிழக்கு	동부
கிழக்கு	이스트
கிழக்கு	동쪽
கிழக்கு	오리엔트
கிழக்கு	동부
கிழக்கு	동방
அமைப்பு	설정
அமைப்பு	설정하기
அமைப்பு	체계
அமைப்பு	시스템
அமைப்பு	설정
அமைப்பு	조직
அமைப்பு	기구
அமைப்பு	단체
அமைப்பு	구조물
அமைப்பு	구조
அளவு	금액
அளவு	수량
அளவு	스케일
அளவு	축척
அளவு	척도
அளவு	규모
அளவு	사이즈
அளவு	크기
மற்ற	기타
மற்ற	다른
இந்து	힌두교
தற்போது	이제
தற்போது	지금
தற்போது	현재
பாடல்	송송
பாடல்	노래
வாழும்	생활
நிறுவனம்	회사
நிறுவனம்	컴퍼니
நிறுவனம்	기업
நிறுவனம்	직장
நிறுவனம்	조직
நிறுவனம்	기구
நிறுவனம்	단체
நிறுவனம்	조직
நிறுவனம்	기구
நபர்கள்	국민
நபர்கள்	사람
நபர்கள்	명인
நபர்கள்	사람들
காலனி	식민지
மேற்கு	서쪽
மேற்கு	서부
மேற்கு	웨스트
மேற்கு	웨스턴
மேற்கு	서부
மேற்கு	서양
தலைவர்	회장
தலைவர்	대통령
தலைவர்	리더
தலைவர்	지도자
முதலில்	우선
முதலில்	퍼스트
முதலில்	처음
முதலில்	먼저
சார்ந்த	상대
சார்ந்த	상대적
சார்ந்த	친척
சார்ந்த	종속
சார்ந்த	의존
சார்ந்த	의존성
சார்ந்த	기반
சார்ந்த	기반으로
மேல்	인기
மேல்	top
நாடு	나라
நாடு	국가
நாடு	시골
நாடு	컨트리
மட்டும்	단발
மட்டும்	오직
அடிப்படையில்	기본적으로
அடிப்படையில்	기초
அடிப்படையில்	근거
அடிப்படையில்	기저
எண்	카운트
எண்	숫자
எண்	번호
குறிப்பிட்ட	지정됨
குறிப்பிட்ட	지정
குறிப்பிட்ட	구체적
குறிப்பிட்ட	특정
குறிப்பிட்ட	구체
செய்ய	make
சிறிய	작아
சிறிய	소작
சிறிய	리틀
வேறு	기타
வேறு	다른
மார்ச்	행진
மார்ச்	행진곡
நிலையில்	조건
நிலையில்	스테이지
நிலையில்	무대
பெண்	girl
பெண்	소녀
பெண்	여인
பெண்	여자
பெண்	여성
பெண்	암컷
பெண்	여성
வெற்றி	성공적
வெற்றி	성공함
வெற்றி	성공
வெற்றி	우승
வெற்றி	승리
வெற்றி	승리
வெற்றி	victory
வெற்றி	win
வெற்றி	승리
இணைப்பு	커넥션
இணைப்பு	연결
இணைப்பு	링크
இணைப்பு	첨부
திரைப்படம்	영화
திரைப்படம்	필름
திரைப்படம்	영화
வகை	카테고리
வகை	범주
வகை	분류
வகை	형식
வகை	타입
வகை	종류
வகை	유형
வகை	모드
ஐந்து	다섯
ஐந்து	파이브
அதே	같은
அதே	동일
அதே	똑같이
சிறப்பு	추천
சிறப்பு	대표
சிறப்பு	특수
சிறப்பு	특별한
சிறப்பு	스페셜
சிறப்பு	특별
சுமார்	소개
சுமார்	대략
கட்டுரைகள்	기사
படி	읽음
படி	읽어보기
படி	읽기
படி	읽는다
படி	읽고
படி	스텝
படி	단계
படி	걸음
மனித	인간
மனித	인체
மனித	인간인
பெரும்பாலும்	거의
பெரும்பாலும்	자주
பெரும்பாலும்	주로
பெரும்பாலும்	대부분
கட்சி	party
கட்சி	파티
பொது	공공
பொது	공개
பொது	공중
பொது	장군
பொது	일반
பொது	일반인
கல்லூரி	대학교
கல்லூரி	대학
கல்லூரி	칼리지
கல்லூரி	대학생
இசை	음악
இசை	뮤직
முறையில்	모드
நாட்டின்	나라
நாட்டின்	국가
நாட்டின்	시골
நாட்டின்	컨트리
மத்திய	중부
மத்திய	센트럴
மில்லியன்	백만명
மில்லியன்	백만
மில்லியன்	수백만
நகரம்	도시
நகரம்	시티
எந்த	어느
நீர்	물이
நீர்	워터
இணைந்து	참여하기
இணைந்து	가입하기
இணைந்து	참여
இணைந்து	가입
விக்கிப்பீடியா	위키백과의
விக்கிப்பீடியா	위키백과
சென்று	gone
அணி	매트릭스
அணி	행렬
அணி	team
எழுதிய	서면
நிலையம்	역시
தொடர்பான	관련
மீட்டர்	미터
மீட்டர்	미터
மீட்டர்	미터
இடத்தில்	장소
கோவில்	템플
கோவில்	신전
கோவில்	사원
ஆய்வு	공부해
ஆய்வு	공부하기
ஆய்வு	공부
ஆய்வு	연구
ஆய்வு	조사
ஆய்வு	연구
வட	북부
வட	북쪽
வட	노스
குறைந்த	최저
குறைந்த	낮은
குறைந்த	낮음
குறைந்த	low
டிசம்பர்	적위
முன்	이전
முன்	전에
வாழ்க்கை	생명
வாழ்க்கை	생활
வாழ்க்கை	라이프
வாழ்க்கை	인생
சனவரி	일월
புனித	거룩한
புனித	거룩
இரண்டாவது	둘째
இரண்டாவது	두번째
இரண்டாவது	중등
ஆங்கிலம்	영어
ஆங்கிலம்	잉글리시
அங்கு	거기
அங்கு	거기에
தொழில்	업체
தொழில்	사업
தொழில்	비즈니스
தொழில்	업계
தொழில்	산업
தொழில்	직업
பழைய	늙은
பழைய	오래된
பழைய	이전
ஆண்டுகள்	수년
குறிப்பாக	특히
குறிப்பாக	특히
குறிப்பாக	구체적으로
குறிப்பாக	특별히
பார்க்கவும்	방문
பார்க்கவும்	방문하기
பார்க்கவும்	시계
துறை	부서
துறை	항구
துறை	포트
குறிக்கும்	포인팅
கடல்	마린
கடல்	해병대
கடல்	바다
கடல்	바다
கடல்	오션
சிறு	작아
சிறு	소작
தென்	남부
தென்	사우스
தென்	남쪽
உயர்	높음
உயர்	하이
உயர்	디럭스
வடக்கு	북부
வடக்கு	북쪽
வடக்கு	노스
ஆட்சி	왕국
ஆட்சி	킹덤
ஆட்சி	법칙
ஆட்சி	규칙
ஆட்சி	거버넌스
ஆட்சி	통치
ஆட்சி	reign
மக்களின்	국민
மக்களின்	사람
மக்களின்	명인
மக்களின்	사람들
நோய்	질환
நோய்	질병
நோய்	질환
நோய்	질병
தேர்தல்	선거
உற்பத்தி	프로덕션
உற்பத்தி	생산
உற்பத்தி	제작
உற்பத்தி	제조업
உற்பத்தி	제조
வந்தது	도착했다
கலை	예술
கலை	예술
கலை	미술
கலை	아트
தங்கள்	그들의
சமூக	사회주의
சமூக	사회
சமூக	사회적
போல்	bol
தர	품질
தர	퀄리티
தர	화질
தர	화질이
நூற்றாண்டு	세기
அவருடைய	그의
உலகின்	세계
அமெரிக்கா	아메리카
அமெரிக்கா	아메리카
பகுதிகளில்	영역
பரிசு	선물
பிரிவு	카테고리
பிரிவு	범주
பிரிவு	분류
பிரிவு	사단
பிரிவு	디비전
பிரிவு	섹션
உடல்	시체
உடல்	몸매
உடல்	몸매가
கூட	심지어
கூட	조차도
கூட	또한
எழுத்தாளர்	작가
குழு	그룹
குழு	집단
இலக்கிய	문학
இலக்கிய	문학
விளையாட்டு	게임
விளையாட்டு	게이밍
விளையாட்டு	스포츠
விளையாட்டு	게임
விளையாட்டு	경기
விளையாட்டு	스포츠
உறுப்பினர்கள்	멤버
உறுப்பினர்கள்	구성원
உறுப்பினர்கள்	멤버들
இறப்பு	죽음
இறப்பு	사망
இறப்பு	데스
இறப்பு	사망률
அடி	발발
அடி	히트
அடி	hit
துணை	파트너
துணை	지원
துணை	지지
துணை	후원
துணை	서브
துணை	부관
பதிப்பு	에디션
பதிப்பு	버전
சொல்	say
சொல்	워드
சொல்	word
சொல்	단어
தெற்கு	남부
தெற்கு	사우스
தெற்கு	남쪽
கட்டுரை	세이
கட்டுரை	에세이
கட்டுரை	기사
கட்டுரை	합성
கட்டுரை	작곡
கட்டுரை	기사
வட்டம்	서클
வட்டம்	circle
சராசரி	평균
சராசரி	평균
தொலைக்காட்சி	텔레비전
எண்ணிக்கை	카운트
எண்ணிக்கை	주파수
எண்ணிக்கை	빈도
தவிர	제외
தவிர	빼고
நடிகர்	배우
பாடல்கள்	노래
பாடல்கள்	songs
இன்று	오늘도
இன்று	오늘
சட்டம்	액자
சட்டம்	프레임
சட்டம்	법칙
சட்டம்	법률
சட்டம்	법학
சட்டம்	법률
சட்டம்	합법적인
சட்டம்	act
அருகில்	근처
அருகில்	근처
நேரம்	시간
நேரம்	타임
நேரம்	time
முதலாவது	우선
முதலாவது	퍼스트
முதலாவது	처음
முதலாவது	먼저
மூலமாக	비아
மூலமாக	via
மூலமாக	통해
உணவு	푸드
உணவு	음식
உணவு	식량
உணவு	식품
குறித்து	소개
குறித்து	대략
பகுதிகள்	세그먼트
பகுதிகள்	컴포넌트
பகுதிகள்	구성요소
பகுதிகள்	지역
பகுதிகள்	부품
பகுதிகள்	부분
பகுதிகள்	영역
நிறுவனங்கள்	단체
நிறுவனங்கள்	회사
ஜனவரி	일월
எழுத்தாளர்கள்	작가
நல்ல	좋다
அடுத்த	다음
அடுத்த	넥스트
படம்	사진
படம்	그림
படம்	사진
படம்	그림
படம்	이미지
பாதுகாப்பு	방위
பாதுகாப்பு	국방
பாதுகாப்பு	방어
பாதுகாப்பு	디펜스
பாதுகாப்பு	안전한
பாதுகாப்பு	무사히
பாதுகாப்பு	안전
பாதுகாப்பு	보호
பாதுகாப்பு	안전
பாதுகாப்பு	안전성
பாதுகாப்பு	안보
பாதுகாப்பு	보안
தந்தை	아버지
பங்கு	역할
பார்க்கப்பட்ட	조회
பயன்படுத்தி	사용하기
அவர்களின்	그들의
செய்த	made
செய்த	만든
நியூ	니우에
பதிவு	인상
பதிவு	노출
பதிவு	가입
பதிவு	레지스터
பதிவு	등록
பதிவு	레코드
பதிவு	녹음
பதிவு	녹화
பதிவு	기록
பதிவு	등록
பதிவு	게시
பதிவு	게시글
பதிவு	포스트
பதிவு	게시물
முழுவதும்	완전히
முழுவதும்	가득
முழுவதும்	완료
முழுவதும்	완성
பயனர்	사용자
தொடர்	직렬
தொடர்	시리얼
தொடர்	계속
தொடர்	계속하기
தொடர்	진행하기
தொடர்	진행
போன்றவை	etc
போன்றவை	등등
ஜூன்	jun
வழியாக	비아
வழியாக	via
உறுப்பினர்	멤버
உறுப்பினர்	회원
உறுப்பினர்	멤버십
உறுப்பினர்	멤버
உறுப்பினர்	클라이언트
ஆசிரியர்	편집기
ஆசிரியர்	편집자
ஆசிரியர்	에디터
ஆசிரியர்	선생님
ஆசிரியர்	교사
ஆசிரியர்	스승
ஆசிரியர்	작가
ஆசிரியர்	저자
ஆசிரியர்	제작자
ஆசிரியர்	작성자
ஆஃப்	끄기
முக்கியமான	중요
முக்கியமான	중요하다
முக்கியமான	크리티컬
தொடர்பு	접촉
தொடர்பு	문의
தொடர்பு	연락처
தொடர்பு	연락
ஆற்றல்	에너지
கிலோ	킬로
வேலை	퇴근
வேலை	직장
வேலை	작업
வேலை	직업
வேலை	욥기
இருக்கலாம்	아마도
இருக்கலாம்	아마
சமய	종교
பணி	직업
பணி	욥기
பணி	퇴근
பணி	직장
பணி	작업
பணி	작업
கதை	이야기
கதை	스토리
கதை	소식
அதிகமாக	간신히
பட்டம்	졸업식
பட்டம்	졸업
பட்டம்	학위
பட்டம்	연이
வழி	흔적
வழி	트레일
வழி	웨이팅
வழி	way
வழி	웨이
அப்போது	그렇다면
அப்போது	그러면
அப்போது	그때
விடுதலை	해방
விடுதலை	자유
விடுதலை	프리덤
ஆகஸ்ட்	아우구스트
தேதி	날짜
தேதி	데이트
பிறந்த	출생
பிறந்த	탄생
பிறந்த	출산
இன்னும்	그리고
இன்னும்	아직도
இன்னும்	여전히
ஜான்	jon
அடுத்து	다음
அடுத்து	넥스트
சேவை	서비스
கருத்து	댓글
கருத்து	코멘트
கருத்து	피드백
