در	vrata
رده	predavanje
از	od
که	ko
که	koji
که	toga
این	ove
را	the
را	make
را	načiniti
با	sa
میلادی	decenija
یک	jedan
یک	jedna
سال	godina
سال	sal
سال	godina
آن	anne
ایران	iran
برای	za
شهرستان	županija
شهرستان	okrug
آمریکا	amerika
شده	bio
فهرست	katalog
فهرست	spisak
فهرست	lista
فهرست	katalog
بود	bio
دارد	ima
او	ona
او	njegovo
او	njegov
او	njegova
او	ga
او	njega
او	njen
او	njena
او	joj
تا	maj
تا	do
وابسته	pridjev
وابسته	zavisna
فوتبال	nogomet
فوتبال	fudbal
فوتبال	nogomet
فوتبال	fudbala
فوتبال	fudbalu
فوتبال	football
فوتبال	fudbal
ساعت	sati
ساعت	sat
ساعت	sahat
ساعت	sat
پایه	osnova
پایه	osnovu
پایه	foundation
پایه	fondacija
پایه	temelj
پایه	baza
پایه	temeljima
پایه	temelja
پایه	temelji
پایه	temelje
پایه	basic
نام	ime
استان	pokrajina
استان	regija
شهر	grad
شهر	grad
ملی	nacionalni
ملی	nacionalna
کشور	zemlja
تاریخ	datum
تاریخ	historija
فیلم	film
فیلم	film
فیلم	filmovi
فیلم	filmova
بخش	odjel
بخش	katedri
بخش	odjeljenje
بخش	departmenta
بخش	sektor
بخش	odeljak
بخش	sekcija
بخش	okrug
جمعیت	masi
جمعیت	masa
جمعیت	publika
جمعیت	populacija
دو	dva
اثر	efekt
اثر	efekat
پس	potom
پس	onda
پس	tada
پس	zatim
یکی	neko
یکی	jedan
یکی	jedna
بازیکنان	igrači
آثار	uticaji
آثار	efekti
وی	wei
وی	wii
روستاهای	sela
روستاهای	selima
دیگر	više
دیگر	ostala
دیگر	ostale
دیگر	drugim
دیگر	drugi
دیگر	još
دیگر	ostali
دیگر	drugi
می	maj
می	mei
عنوان	caption
پیوند	veza
پیوند	link
پیوند	povezano
پیوند	povezani
پیوند	povezane
پیوند	povezana
پیوند	bondu
پیش	pre
پیش	prije
بحث	tvrdeći
بحث	diskusija
بیرون	iz
بیرون	out
افراد	narod
دوره	kurs
دوره	epohe
دوره	epoha
دهه	decenijama
دهه	decenija
دهه	decenija
متر	metara
متر	metar
متر	metara
متر	metra
کاربر	korisnički
کاربر	korisnik
مناطق	okruzi
مناطق	okruga
مناطق	područja
مناطق	oblasti
هر	svaki
هر	bilo
باشگاه	kluba
باشگاه	gym
باشگاه	fenerbahçe
شهرهای	općina
شهرهای	općine
دانشگاه	univerzitet
دانشگاه	fakultet
دانشگاه	koledž
مورد	slučaj
سده	vijek
ثبت	log
وجود	postojanja
وجود	postojanje
زبان	jezici
زبان	jezike
زبان	jezik
زبان	jezik
زادگان	potomak
مسکونی	stambeni
مسکونی	stambene
شماره	broj
کار	posao
کار	rad
کار	radna
کار	radi
کار	radeći
کار	radio
کار	radnu
اما	ali
بازیگران	glumaca
بازیگران	glumci
روی	roy
روی	roj
روی	cink
فرودگاه	aerodrom
صورت	licem
صورت	suočavaju
صورت	suočiti
صورت	lice
صورت	face
مرکز	central
مرکز	centralni
