que	kad
com	lyg
com	kaip
més	daugiau
text	tekstas
entre	eurus
però	bet
aquest	šio
aquesta	šio
estats	narės
part	dalies
part	dalis
gran	puikiai
gran	puiku
gran	puiki
durant	durant
tot	viskuo
tot	visko
tot	viską
tot	viskas
enllaços	nuorodos
dos	du
família	šeima
família	šeimos
família	šeimyna
habitatges	namai
molt	labai
tenia	kaspinuočio
barcelona	barselonoje
dones	moterys
res	nieko
homes	vyrai
dues	du
guerra	karas
guerra	karo
guerra	karui
això	šio
general	bendri
general	bendra
general	bendrieji
municipi	savivaldybė
catalunya	katalonijos
vivien	vivien
han	han
encara	dar
mort	mirtis
mort	mirties
només	tik
només	tik
només	tiesiog
temps	laiko
temps	laikas
empreses	bendrovės
empreses	įmonėse
empreses	bendrovių
admin	administratorius
famílies	šeimų
poblacions	populiacijos
poblacions	populiacijoms
poblacions	populiacijų
fills	vaikai
rei	karalius
edició	leidyba
edició	leidybos
isbn	isbn
renda	nuoma
aquests	šių
fill	sūnus
color	spalva
color	spalvos
color	spalvų
color	spalva
empresa	bendrovė
empresa	įmonė
empresa	bendrovės
empresa	kompanija
edat	amžiaus
edat	amžius
web	interneto
web	žiniatinklio
dins	viduje
casa	namas
història	istorijos
història	pasakojimas
història	istorija
història	istorijos
història	istorija
joan	džoana
est	rytų
est	est
vida	gyvenimo
vida	gyvybės
vida	gyvybė
vida	gyvenimas
poder	galios
poder	galia
habitatge	būstas
juny	birželis
juny	birželio
parelles	porų
català	katalonų
fitxa	lapas
oest	vakarų
oest	vakarai
què	kas
què	ko
què	kokie
abril	balandis
vivint	gyventi
vivint	gyvenimo
vivint	gyvos
poble	kaimo
poble	kaime
poble	jonava
poble	kaimas
aquestes	šių
riu	upės
riu	upė
disc	diskai
disc	diskas
disc	disko
mostra	mėginys
mostra	bandinys
mostra	mėginio
mostra	ėminys
obres	kūriniams
obres	veikia
obres	kūriniai
obres	darbai
millor	geriausi
millor	geriausia
millor	aukščiausia
millor	geriausios
millor	geriausias
espanya	ispanija
espanya	ispanijos
universitat	universitetas
mitjà	vidutinės
departament	departamentas
construcció	statyba
vol	skrydžio
vol	skrydis
premi	prizo
premi	prizas
premi	prizą
premi	premija
febrer	vasaris
escola	mokykla
escola	mokyklos
espècie	rūšis
espècie	rūšių
espècie	rūšys
zona	zona
grans	didelių
grans	dideli
grans	didelis
província	provincija
molts	daug
equip	komanda
amèrica	amerikoje
amèrica	amerika
amèrica	amerikos
amèrica	americas
ara	ara
ara	dabar
qui	kas
qui	kurie
dir	dir
unitats	vienetai
exèrcit	armijos
exèrcit	kariuomenė
exèrcit	armija
llavors	tada
llavors	sėklos
sèrie	serija
sèrie	serijos
club	klubas
cosa	daiktas
cosa	dalykas
ell	jį
cet	cet
gridcolor	gridcolor
morir	mirti
alemanya	vokietija
piràmide	piramidės
lightgrey	lightgrey
darkgrey	darkgrey
antic	senas
comtat	apskritis
pare	tėvas
informació	informacija
mar	jūra
mar	jūros
serie	serie
castell	pilis
castell	pilies
york	york
moment	akimirką
moment	momentas
moment	akimirka
anglès	anglų
illa	sala
illa	islandija
illa	islandijos
illa	salos
premis	apdovanojimai
premis	prizų
josep	josep
josep	joseph
museu	muziejus
museu	muziejų
edats	amžiaus
districte	rajonas
camp	laukas
camp	stovyklos
camp	stovykla
llengua	liežuvio
llengua	liežuvį
llengua	liežuvis
llengua	kalbos
llengua	kalba
llarg	ilgai
llarg	ilga
llarg	ilgas
capital	kapitalas
capital	kapitalo
diagrama	diagramos
diagrama	diagrama
diagrama	diagrama
línia	linija
metres	metrų
metres	metrai
metres	metrų
finalment	pagaliau
francisco	francisco
francisco	franciskas
planta	gamykla
planta	augaliniai
planta	augalas
planta	augalų
gènere	lytis
vegades	kartus
tard	vėlai
director	direktorius
força	force
distribució	platinimas
distribució	paskirstymo
distribució	paskirstymas
distribució	pasiskirstymas
origen	kilmė
origen	kilme
cos	kūno
cos	kūnas
espècies	rūšis
espècies	rūšių
espècies	rūšys
cases	namai
classificació	klasifikavimas
classificació	klasifikacija
fiscals	prokurorų
fiscals	prokurorai
califòrnia	kalifornija
califòrnia	kalifornijoje
califòrnia	kalifornijos
fitxer	failas
peix	žuvis
peix	žuvys
peix	žuvų
militar	karinė
militar	karinis
militar	karinės
popular	dažniausi
temporada	sezonas
treball	darbas
treball	darbas
mare	mama
mare	motina
estudis	tyrimai
eleccions	rinkimai
discussió	diskusijos
discussió	aptarimas
discussió	diskusija
polític	politikas
llibre	knygą
llibre	knyga
estil	stilius
moviment	judėjimas
