剥奪	στέρηση
掘削	ανασκαφές
掘削	ανασκαφή
掘削	γεώτρηση
掘削	γεωτρήσεις
掘削	γεώτρησης
ボリビア	βολιβίας
ボリビア	βολιβία
棄却	απόλυση
幼虫	προνύμφες
悪夢	εφιάλτες
悪夢	εφιάλτης
悪夢	εφιάλτη
演目	προγράμματα
標準化	τυποποίησης
標準化	τυποποίηση
チェルシー	τσέλσι
ナンシー	νάνσι
ナンシー	νάνσυ
カタール	κατάρ
解読	αποκωδικοποίησης
ゲイリー	γκάρυ
ゲイリー	γκάρι
やまと	γιαμάτο
出血	αιμορραγία
出血	αιμορραγία
タンゴ	τάνγκο
タンゴ	τανγκό
タンゴ	ταγκό
濡れ	υγρή
濡れ	υγρός
濡れ	υγρό
ロンド	ρόντο
キックボクシング	kickboxing
台北市	ταϊπέι
諮問	διαβούλευση
諮問	διαβουλεύσεις
火事	φωτιά
火事	πυρ
火事	φωτια
火事	πυρκαγιά
ジュリエット	ιουλιέτα
ジュリエット	τζούλιετ
マクラーレン	mclaren
プファルツ	pfalz
オアシス	όαση
赤道	ισημερινό
クウェート	κουβέιτ
クウェート	κουβέιτ
疲労	κουραστική
疲労	εξαντλητική
疲労	εξαντλητικό
疲労	κούραση
疲労	κόπωση
疲労	κούραση
疲労	κόπωση
疲労	εξάντληση
国々	χώρες
国々	χωρες
ディー	ντι
タコ	χταπόδι
内訳	ανάλυση
内訳	κατανομή
内訳	κατάρρευση
ジャイアント	γίγαντας
ジャイアント	γιγάντια
ジャイアント	γίγαντα
ジャイアント	γιγαντιαίο
バディ	μπάντυ
バディ	μπάντι
バディ	φιλαράκι
出願	αίτηση
出願	εφαρμογή
ウォーレン	γουόρεν
ウォーレン	γουώρεν
ウォーレン	warren
銃弾	σφαίρα
妥協	συμβιβασμοί
妥協	συμβιβασμός
妥協	συμβιβασμό
妥協	συμβιβαστική
ピストン	πιστόνι
鉄拳	tekken
派手	φανταχτερό
派手	επιδεικτικό
抗体	αντισώματα
抗体	ανοσοσφαιρίνη
抗体	αντισωμάτων
風船	μπαλόνι
風船	αερόστατο
風船	μπαλόνια
おばさん	θεία
おばさん	θεια
おばさん	θεία
リターン	επιστροφή
ユーラシア	ευρασίας
安定性	σταθερότητας
安定性	σταθερότητα
コメディアン	κωμικός
コメディアン	κωμικό
コメディアン	κωμικοί
フェリックス	φέλιξ
フェリックス	felix
フェリックス	φήλιξ
副官	υπασπιστής
エレクトロニクス	ηλεκτρονική
エレクトロニクス	ηλεκτρονικά
パトロール	περίπολο
パトロール	περίπολος
パトロール	περιπολία
クレーター	κρατήρες
クレーター	κρατήρα
キャピタル	κεφάλαιο
キャピタル	κεφαλαίου
キャピタル	πρωτεύουσα
キャピタル	κεφαλαίο
チャット	τσατ
チャット	συνομιλία
チャット	chat
糖尿病	διαβήτη
糖尿病	διαβήτης
エルフ	ξωτικό
エルフ	ξωτικά
バーガー	χάμπουργκερ
バーガー	burger
バーガー	μπέργκερ
カリウム	κάλιο
サバイバル	επιβίωση
シックス	έξι
シックス	six
シックス	εξι
蛍光	φθορισμού
蛍光	φθορισμού
可愛い	χαριτωμένη
可愛い	χαριτωμένα
可愛い	χαριτωμένος
可愛い	χαριτωμένο
スピリット	πνεύμα
スピリット	πνευμα
グアム	γκουάμ
民兵	πολιτοφυλακή
民兵	εθνοφρουρά
側室	παλλακίδα
側室	παλλακίδες
ルター	λούθερ
ジュリアン	τζούλιαν
ジュリアン	julian
受領	απόδειξη
受領	παραλαβή
チャーチル	τσόρτσιλ
チャーチル	τσώρτσιλ
ロフト	σοφίτα
湯川	γιουκάβα
シャム	σιαμαία
モモ	ροδάκινα
モモ	μόμο
モモ	πιτς
モモ	ροδάκινο
コンボ	κόμπο
デンバー	ντένβερ
感度	ευαισθησία
正午	μεσημέρι
正午	μεσημέρι
ハント	κυνήγι
ハント	hunt
ハント	χαντ
ドレスデン	δρέσδη
欠席	απουσία
欠席	απών
欠席	απούσα
欠席	απουσιάζει
欠席	απουσία
口座	account
口座	λογαριασμός
口座	λογαριασμό
批准	κύρωση
批准	επικύρωση
説教	κηρύγματα
説教	κήρυγμα
説教	κήρυγμα
フルーツ	καρποί
フルーツ	καρπός
フルーツ	φρούτο
フルーツ	φρούτα
フルーツ	καρποί
フルーツ	φρούτα
著しい	αξιοσημείωτα
著しい	αξιοσημείωτο
著しい	αξιοσημείωτη
カウンティ	νομό
カウンティ	κομητεία
カウンティ	κομητείες
返済	αποπληρωμή
返済	εξόφληση
チャネル	κανάλια
チャネル	κανάλι
チャネル	channel
尾根	κορυφογραμμή
尾根	ριτζ
ウェスタン	δυτικά
ウェスタン	γουέστερν
ウェスタン	δυτικό
ウェスタン	δυτική
ウェスタン	western
スキャン	σάρωση
スキャン	σάρωση
敬意	σεβασμός
敬意	σεβασμό
オリエンタル	oriental
鋭い	κοφτερό
鋭い	αιχμηρό
鋭い	σαρπ
お茶	τσάι
クローズ	κλείσιμο
クローズ	κοντά
ワープ	δίνης
ワープ	δίνη
ダイナマイト	δυναμίτης
ダイナマイト	δυναμίτη
