retningen	dirección
rhodes	rhodes
cage	gaiola
smør	manteiga
forskerne	investigadores
geoffrey	geoffrey
umulig	imposible
umulig	imposíbel
timen	hora
silent	silencio
pludseligt	súpeto
pludseligt	de
pludseligt	repente
pludseligt	súpeto
pludseligt	de
pludseligt	repentino
bande	forzados
springe	así
springe	saltar
springe	chimpa
springe	skip
springe	mo
ører	oídos
ører	orellas
tiltænkt	de
champagne	champaña
champagne	champán
sms	texto
sms	de
sms	mensaxe
sms	mensaxes
factory	fábrica
factory	fábricas
factory	industriais
sandsynligheden	probabilidade
foretrække	preferimos
foretrække	prefire
foretrække	gusto
foretrække	dos
foretrække	prefiro
foretrække	prefires
spekulationer	especulación
seriøst	serio
seriøst	seria
seriøst	en
seriøst	grave
seriøst	en
seriøst	serio
frøken	srta
frøken	señorita
frøken	a
ceremoni	cerimonia
hoveder	cabezas
sorter	variedades
scotland	escocia
giftig	tóxicos
giftig	tóxica
velfærd	prosperidade
velfærd	benestar
velfærd	asistencia
velfærd	social
spejl	o
spejl	espello
ledt	mirei
ledt	parecía
ledt	cara
ledt	levou
ledt	leva
ledt	levoume
ledt	á
arbejdsløshed	paro
helgen	santo
helgen	san
fredelig	pacífica
met	coñecín
met	a
met	coñecemos
papirer	papeis
papirer	prensa
papirer	os
papirer	xornal
papirer	xornais
synet	vista
synet	ven
synet	vista
synet	visión
synet	seguramente
synet	ver
synet	visión
synet	vista
synet	vision
dommerne	xuíces
dommerne	os
perfekte	perfecto
perfekte	perfecta
perfekte	perfectos
kampvogn	tanque
kampvogn	depósito
fredelige	pacífica
regelmæssig	regularmente
regelmæssig	normal
regelmæssig	típica
regelmæssig	de
regelmæssig	taxis
regelmæssig	regular
kok	cociñar
kok	cociñeira
kok	cociñeiro
inviterede	convidei
inviterede	a
inviterede	invitamos
inviterede	invitoume
inviterede	invitado
inviterede	convidado
inviterede	convidou
inviterede	convídovos
inviterede	a
going	vou
going	vai
going	imos
going	vas
angelo	angelo
billetter	billetes
billetter	entradas
moe	moe
nøjagtigt	exacto
nøjagtigt	exacta
nøjagtigt	mesmas
nøjagtigt	exactamente
nøjagtigt	mesma
giants	xigantes
gloria	gloria
federal	federal
federal	circuíto
federal	federais
iblandt	entre
iblandt	os
iblandt	as
iblandt	entre
rost	gábote
rost	teu
hungersnød	fame
underliggende	subxacentes
underliggende	subxacente
tommer	cm
afgifter	cargos
afgifter	impostos
afgifter	dos
hamlet	aldea
hamlet	estratéxicas
win	gañar
lam	cordeiro
uld	la
senegal	senegal
betjente	poli
betjente	policías
betjente	policía
betjente	polis
betjente	oficiais
betjente	os
betjente	seus
betjente	policías
livsstil	estilo
livsstil	de
livsstil	vida
kommunisterne	os
kommunisterne	comunistas
kommunisterne	comunistas
kommunisterne	roxos
trust	en
trust	confianza
trust	confiar
trust	confío
domme	xuízos
aspekt	aspecto
centreret	centro
centreret	center
centreret	de
centreret	centro
centreret	cerne
kig	mira
justitsministeriet	justice
justitsministeriet	xustiza
justitsministeriet	a
justitsministeriet	xuíza
justitsministeriet	da
justitsministeriet	aos
justitsministeriet	con
statsborgere	cidadáns
statsborgere	citizens
statsborgere	os
åndelig	espiritual
åndelig	senda
udland	estranxeiro
udland	fóra
doc	doc
bomuld	algodón
bomuld	de
feber	febre
reagan	reagan
miljøer	entornos
miljøer	ambientes
øjeblikkelig	inmediato
øjeblikkelig	contado
seriøse	serio
seriøse	seria
seriøse	en
seriøse	grave
nyttige	útil
nyttige	útiles
nyttige	para
nyttige	útil
nyttige	axuda
forsvinde	desaparecer
maven	estómago
maven	o
maven	estómago
maven	ventre
maven	barriga
stress	estrés
årsdagen	aniversario
begejstring	a
begejstring	entusiasmo
fornemmelse	sensación
fornemmelse	sentir
fornemmelse	sentimento
much	canto
much	grazas
much	moito
much	máis
much	tanto
jury	xurado
operere	de
operere	operar
bevæbnede	armados
bevæbnede	armado
bevæbnede	armada
bevæbnede	armadas
photo	foto
midnat	noite
midnat	ano
midnat	reloxo
midnat	doce
midnat	media
midnat	medianoite
midnat	da
midnat	á
hjerne	cerebrais
hjerne	cerebro
hjerne	cerebral
hjerne	cerebro
hjerne	cerebros
hjerne	os
personel	persoal
infektion	infección
køer	as
køer	vacas
sardinien	sardeña
teknologisk	tecnolóxica
villig	dispostos
villig	a
villig	disposto
villig	dispostas
villig	deus
villig	quere
villig	querería
villig	disposta
planlægningen	planificación
teknologier	tecnoloxías
skind	pel
skind	ósos
gro	crecen
gro	medrar
gro	medran
gro	cultivar
gro	crecer
gro	medra
katte	gatos
apparat	aparello
apparat	dispositivo
apparat	de
apparat	historias
apparat	mecanismo
streg	liña
streg	fila
roser	rosas
konkurrerer	competir
session	sesión
savner	srta
savner	señorita
savner	a
savner	a
savner	desaparecidos
savner	faltan
savner	falta
savner	perdidos
savner	faltaba
lovligt	xudicial
lovligt	legal
lovligt	legais
elskerinde	a
elskerinde	señora
elskerinde	patroa
hiroshima	hiroshima
dyrt	caro
dyrt	caros
dyrt	cara
forbehold	reserva
effektivitet	eficiencia
effektivitet	eficacia
svømme	nadar
svømme	baño
svømme	nado
svømme	nadando
svømme	nadar
svømme	piscina
svømme	á
svømme	a
svømme	nado
jager	de
jager	perseguen
plant	planta
