小牛	vasika
訪談	intervjuu
訪談	intervjuud
訪談	vestlused
訪談	intervjuud
口味	maitseb
就職	ametisseastumise
人性	inimlikkus
人性	inimkonna
人性	inimkond
噴發	purse
饒	rao
失誤	vigu
失誤	vead
溶解	lahustamine
溶解	lahustunud
溶解	lahustatud
溶解	lahustada
溶解	lahustatakse
主觀	subjektiivne
主觀	subjektiivsus
天平	kaalud
外國人	tulnukad
外國人	tulnukaid
外國人	välismaalane
外國人	välismaalased
反感	vastumeelsus
神仙	haldjas
李子	ploomid
腸	vorst
腸	vorsti
腸	soolestikku
腸	soole
腸	sisikond
腸	sooled
石板	tablett
石板	tahvel
液晶	lcd
福爾摩斯	holmes
君主制	monarhia
野心	ambitsioonid
野心	ambitsioone
野心	auahne
野心	ambitsioonikas
野心	ambitsioonid
野心	ambitsioon
別墅	villa
幅度	vahemikud
印地安人	indiaanlased
籠	puuri
籠	puur
監管	järelevalve
顯示器	kuva
顯示器	monitorid
顯示器	jälgib
有害	kahjulik
有害	kahjulikud
銀河系	galaktika
銀河系	galaxy
罰款	trahvid
罰款	trahvide
葡萄糖	glükoos
鋰	liitiumi
劍橋	cambridge
詛咒	needus
達拉斯	dallas
徒步	matk
徒步	matka
草莓	maasikas
草莓	maasikad
奶奶	vanaema
蚊	sääsk
補償	hüvitis
補償	hüvitamine
教父	ristiisa
蝙蝠俠	batman
蝙蝠俠	batmani
肽	peptiid
廁所	wc
廁所	tualett
廁所	vannituba
葉子	lehti
葉子	lehed
葉子	leht
葉子	yoko
激進	radikaalne
乙醇	etanool
乙醇	etanooli
乙醇	etanoolis
有罪	süüdi
禮拜	kummardavad
樣式	stiilid
樣式	stiil
遷徙	ränne
遷徙	rände
交響樂團	sümfoonia
抄襲	plagiaat
海倫	helen
螢	ying
讀音	hääldus
聖殿	basiilika
聖殿	tempel
聖殿	temple
空格	ruumid
郵票	pitser
郵票	tempel
郵票	margid
多瑙河	doonau
阿爾及利亞	alžeeria
騷擾	ahistamine
騷擾	ahistamise
冷卻	jahutus
攝影機	kaamera
拜訪	külas
皇宮	palee
皇宮	palace
法老	vaarao
微小	pisike
微小	tilluke
出版商	kirjastaja
出版商	väljaandja
出版商	kirjastajad
精美	peen
精美	kaunilt
溫和	hell
溫和	õrn
溫和	mõõdukas
溫和	mõõdukad
溫和	kerged
溫和	kerge
公升	liitrit
公升	liiter
公升	liiter
公升	liitrit
相對論	relativism
相對論	relatiivsus
對面	vastand
對面	vastupidine
香料	vürtsid
香料	vürtsi
悼念	andamit
悼念	leina
