xbox	xbox
force	force
force	memaksa
force	angkatan
force	paksa
force	paksakan
tramos	bagian
tramos	peregangan
tramos	membentang
tramos	ulurkan
contemporáneos	kontemporer
contemporáneos	sezamannya
ken	ken
campeona	champ
campeona	juara
campeona	champion
lgbt	lgbt
automáticamente	atis
automáticamente	otomatis
centre	tengah
centre	pusat
centre	centre
pacheco	pacheco
necesarias	diperlukan
necesarias	perlu
abraham	ibrahim
abraham	abraham
colaboradores	rekanan
colaboradores	mitra
colaboradores	kolaborator
colaboradores	kontributor
colaboradores	penyumbang
lost	kalah
lost	tersesat
lost	kehilangan
lost	lost
lost	hilang
baterista	drumer
baterista	drummer
caras	mahalnya
caras	mahal
caras	muka
caras	wajah
caras	faces
supercopa	supercup
supercopa	supercopa
turín	torino
turín	torino
turín	turin
lesiones	lesi
lesiones	cedera
lesiones	melukai
lesiones	cidera
lesiones	cedera
disminución	tolak
disminución	kurangi
disminución	mengurangi
disminución	menurun
disminución	berkurang
disminución	penurunan
apoyó	didukung
aceptación	kepasrahan
aceptación	penerimaan
sídney	sydney
facilidad	kemudahan
libras	pon
libras	lbs
libras	pound
libras	pounds
libras	pon
libras	poundsterling
modificar	modifikasi
modificar	ubah
modificar	memodifikasi
modificar	memodifikasi
land	daratan
land	tanah
land	land
cedido	dipinjamkan
definido	ditentukan
definido	dijelaskan
definido	didefinisikan
definido	terdefinisi
contribuyó	kontribusi
terrestres	terestrial
rara	langka
rara	rare
rara	jarang
soviéticos	soviet
soviéticos	soviet
figueroa	figueroa
adquirido	diperoleh
adquirido	didapatkan
adquirido	dibeli
pérdidas	kerugian
pérdidas	kehilangan
pérdidas	rugi
pérdidas	kerugian
fantasía	fantasi
fantasía	fantasy
fantasía	fantasia
fenómenos	fenomena
conecta	sambung
conecta	connect
conecta	hubungkan
conecta	terhubung
bus	bus
bus	bis
mini	mini
master	master
master	guru
africano	afrika
let	biarkan
let	biarlah
let	let
poética	puitis
robinson	robinson
otomano	ottoman
otomano	utsmaniyah
over	over
finanzas	keuangan
finanzas	finansial
finanzas	finance
finanzas	keuangannya
finanzas	keuangan
sinfónica	simfoni
sinfónica	simfoni
sinfónica	symphony
boxeo	tinju
boxeo	boxing
boxeo	bertinju
ocupada	sibuk
ocupada	pendudukan
ocupada	ditempati
ocupada	diduduki
renault	renault
raymond	raymond
comparte	bagikan
comparte	berbagi
comparte	share
comparte	bagikan
comparte	berbagi
comparte	dibagikan
comparte	saham
jerry	jerry
árbitro	wasit
árbitro	arbiter
árbitro	ref
antropología	antropologi
favorable	menguntungkan
bizantino	bizantium
significativa	berarti
significativa	bermakna
significativa	signifikan
protegida	terlindung
protegida	dilindungi
protegida	terlindungi
fiel	setia
derivado	turunan
rodaje	merekam
rodaje	syuting
rodaje	memfilmkan
rodaje	penembakan
rodaje	shooting
rodaje	menembak
rodaje	bidikan
escalera	tangga
escalera	tangga
escalera	tangga
heinrich	heinrich
reglamento	peraturan
reglamento	rules
reglamento	peraturan
reglamento	aturan
reglamento	peraturan
reglamento	regulasi
arabia	arabia
arabia	saudi
gigantes	giants
gigantes	raksasa
gigantes	raksasa
gigantes	giant
experimentos	percobaan
experimentos	eksperimen
experimentos	eksperimen
paisajes	pemandangan
paisajes	lansekap
paisajes	landscape
paisajes	tumbang
paisajes	lanskap
cuesta	cuesta
mito	mitos
dispuesto	rela
dispuesto	bersedia
dei	dei
grabados	ukiran
grabados	direkam
grabados	merekam
grabados	dicatat
grabados	terekam
grabados	cetakan
efectivo	kas
efectivo	cash
efectivo	tunai
robot	robot
sra	sra
cárdenas	cárdenas
cuota	fee
cuota	biaya
cuota	biayanya
cuota	kuota
roland	roland
obreros	pekerja
sagrada	suci
sagrada	sakral
primarias	primer
primarias	utama
primarias	primary
interpretaciones	interpretasi
interpretaciones	penafsiran
hembra	permpuan
hembra	female
hembra	betina
hembra	perempuan
diseñada	dirancang
diseñada	merancang
diseñada	didesain
empresarial	corporate
empresarial	korporasi
añadió	menambahkan
añadió	ditambahkan
gold	emas
gold	gold
procedimientos	prosedur
dominante	mendominasi
dominante	dominan
fred	fred
rob	rampok
rob	rob
rob	merampok
chaco	chaco
luchador	petarung
luchador	fighter
luchador	tempur
luchador	pegulat
ligera	cahaya
ligera	lampu
ligera	light
ligera	terang
ligera	ringan
ligera	ringan
facultades	fakultas
tocando	mengharukan
tocando	menyentuh
tocando	memainkan
tocando	diputar
tocando	bermain
recuerdos	memories
recuerdos	memori
recuerdos	kenangan
recuerdos	suvenir
recuerdos	cinderamata
recuerdos	souvenir
recuerdos	memory
recuerdos	kenangan
recuerdos	ingatan
recuerdos	memori
site	situs
site	site
mantenido	dipelihara
mantenido	dikelola
mantenido	dipertahankan
mantenido	dipertahankan
específicos	spesifik
específicos	tertentu
específicos	khusus
wright	wright
falla	gagal
falla	gagal
falla	kegagalan
falla	kecacatan
falla	meleset
llano	llano
llano	plain
llano	polos
romper	istirahat
romper	break
romper	breaking
huerta	orchard
huerta	kebun
huerta	huerta
septentrional	utara
septentrional	northern
seguimiento	tracking
seguimiento	melacak
seguimiento	pelacakan
seguimiento	pemantauan
seguimiento	monitoring
seguimiento	memonitor
seguimiento	memantau
difíciles	susah
difíciles	sulit
difíciles	sukar
cerveza	beer
cerveza	bir
proyección	proyeksi
proyección	penyaringan
proyección	pemutaran
neerlandés	belanda
chiapas	chiapas
compuestas	komposit
compuestas	senyawa
bloqueado	terkunci
bloqueado	dikunci
bloqueado	memblokir
bloqueado	diblokir
bloqueado	diblok
bloqueado	blokir
bloqueado	terblokir
maneras	cara
tocó	tersentuh
infierno	hell
infierno	neraka
infierno	inferno
gastos	pengeluaran
gastos	pengeluaran
gastos	beban
africana	afrika
depósito	deposito
depósito	deposit
depósito	setoran
lucio	lucio
lucio	pike
lucio	lucius
montenegro	montenegro
avanzada	maju
avanzada	canggih
avanzada	lanjutan
nucleares	nuklir
emma	emma
terry	terry
jornadas	days
jornadas	hari
situados	terletak
lobos	wolf
lobos	serigala
lobos	wolves
lobos	srigala
lobos	serigala
lobos	lobos
especialista	spesialis
octava	kedelapan
octava	eighth
octava	octave
pendiente	kemiringan
pendiente	lereng
pendiente	anting
pendiente	ditunda
pendiente	tertunda
pendiente	menunggu
pendiente	pending
realista	realistis
realista	realistik
century	abad
century	century
definitivo	final
definitivo	definitif
recordar	mengenang
recordar	mengingat
recordar	inget
recordar	recall
recordar	ingat
recordar	remember
recordar	ingatlah
comenzando	permulaan
comenzando	awal
comenzando	mulai
comenzando	dimulai
comenzando	starting
comenzando	memulai
paraíso	firdaus
paraíso	surga
paraíso	paradise
autora	pengarang
autora	penulis
autora	pembuat
testimonio	saksi
testimonio	kesaksian
testimonio	testimonial
testimonio	testimoni
testimonio	testimoni
testimonio	kesaksian
malta	malt
malta	malta
aerolíneas	airlines
aerolíneas	maskapai
aerolíneas	airline
balonmano	handball
balonmano	hantam
bloques	blok
bloques	pemblokiran
bloques	blokir
positiva	positive
positiva	positif
turner	turner
vidal	vidal
polvo	dust
polvo	debu
polvo	bubuk
polvo	bedak
polvo	powder
tomada	taken
tomada	dibawa
tomada	diambil
balón	bola
balón	ball
fija	perbaikan
declara	menyatakan
declara	menyatakan
alegría	joy
alegría	sukacita
alegría	keceriaan
alegría	cheer
alegría	bersorak
alegría	bergembiralah
luxemburgo	luksemburg
luxemburgo	luksemburg
luxemburgo	luxembourg
prusia	prusia
prusia	prg
declaraciones	deklarasi
reconoció	diakui
cronología	kronologi
cronología	kronologi
cría	pembiakan
cría	pemuliaan
cross	salib
cross	lintas
cross	cross
cross	palang
ron	ron
ron	rum
estrada	estrada
singular	tunggal
vital	vital
comenzado	dimulai
comenzado	memulai
phoenix	phoenix
semi	semi
maine	maine
varsovia	warsawa
masacre	pembantaian
masacre	jagal
masacre	pembantaian
vinos	arak
vinos	anggur
vinos	wine
nominada	dinominasikan
nominada	nominasi
denuncia	lapor
denuncia	laporkan
denuncia	melaporkan
denuncia	laporan
denuncia	pengaduan
denuncia	keluhan
denuncia	komplain
denuncia	pengaduan
denuncia	kecaman
decidir	memutuskan
decidir	memutuskan
decidir	tentukan
decidir	putuskan
frutas	buah
frutas	buah
periodos	periode
obtenidos	diperoleh
graham	graham
duquesa	duchess
delito	pidana
delito	kejahatan
delito	kriminalitas
delito	pidana
delito	kejahatan
delito	kriminal
delito	crime
preocupación	kekhawatiran
preocupación	keprihatinan
preocupación	kekhawatiran
preocupación	keprihatinan
metales	logam
metales	metal
metales	logam
sufrir	menderita
renfe	renfe
golf	golf
asistencias	assist
creencias	kepercayaan
creencias	keyakinan
creencias	kepercayaan
creencias	keyakinan
sucre	sucre
baltimore	baltimore
stars	bintang
stars	stars
reputación	reputasi
party	party
party	berpesta
party	partai
party	pesta
party	pihak
norman	norman
humberto	humberto
humberto	humbert
humberto	umberto
humberto	hubert
participante	peserta
participante	partisipan
conexiones	koneksi
cumplimiento	kepatuhan
cumplimiento	pemenuhan
aurora	aurora
australiana	australian
australiana	australia
ámsterdam	amsterdam
ilustración	pencerahan
ilustración	ilustrasi
potosí	potosí
efectiva	efektif
constituyente	konstituen
convertir	mengkonversi
convertir	mengonversi
convertir	konversi
convertir	mengonversi
llanura	plain
llanura	polos
llanura	plains
llanura	dataran
levantamiento	pemberontakan
levantamiento	mengangkat
levantamiento	mengangkatnya
levantamiento	mengangkat
hebreo	ibrani
propaganda	propaganda
desea	wish
desea	berharap
thompson	thompson
jay	jay
secuela	sekuel
tributo	upeti
placas	pelat
placas	plat
placas	badge
placas	lencana
placas	piring
placas	lempeng
placas	pelat
placas	plat
estructural	struktur
estructural	struktural
culpa	menyalahkan
culpa	salahkan
causar	menyebabkan
concejales	councillors
singapur	singapura
singapur	singapore
secreta	rahasia
secreta	secret
comerciantes	pedagang
comerciantes	trader
comerciantes	pedagang
comerciantes	pedagang
comerciantes	dealer
comerciantes	pengedar
bank	bank
meseta	mesa
meseta	plateau
hamburgo	hamburg
ordenado	terurut
ordenado	dipesan
ordenado	memerintahkan
ordenado	tertib
pereira	pereira
proporción	rasio
proporción	proporsi
proporción	proporsional
asociada	dikaitkan
asociada	diasosiasikan
asociada	terkait
asociada	mempersekutukan
asociada	kaitkan
asociada	mengaitkan
asociada	hubungkan
fiat	fiat
estimada	perkiraan
estimada	estimasi
interfaz	interface
interfaz	antarmuka
correa	correa
correa	tali
correa	strap
colaborar	kolaborasi
colaborar	kolaborasi
colaborar	berkolaborasi
colaborar	berkolaborasi
episcopal	keuskupan
secretaria	sekretaris
secretaria	menteri
secretaria	sekertaris
circuitos	sirkuit
circuitos	circuit
circuitos	sirkuit
magallanes	magellan
distribuye	mendistribusikan
distribuye	mendistribusikan
concacaf	concacaf
auxiliar	pembantu
auxiliar	asisten
auxiliar	auxiliary
minería	menambang
minería	pertambangan
minería	penambangan
corteza	kulit
corteza	menggonggong
corteza	gonggongan
corteza	kerak
corteza	korteks
corteza	cortex
verso	ayat
anónimo	anonim
anónimo	ikang
anónimo	anonymous
auge	booming
auge	boom
auge	bum
encargo	pesanan
encargo	pemesanan
encargo	order
encargo	urutan
sensación	merasa
sensación	perasaan
sensación	feeling
sensación	sensasi
afluentes	tributaries
suave	lancar
suave	smooth
suave	kelancaran
suave	halus
suave	mulus
suave	mellow
suave	sendu
suave	empuk
suave	soft
suave	lembut
suave	mild
suave	gentle
suave	lembut
constantes	constant
constantes	konstanta
constantes	konstan
constantes	konstanta
constantes	konstan
cbs	cbs
suizo	swiss
jamaica	jamaika
jamaica	jamaica
jamaica	jamaika
sencilla	simple
sencilla	simpel
sencilla	sederhana
sencilla	gampang
sencilla	mudah
sencilla	easy
censura	uncensored
censura	sensor
censura	penyensoran
rebelde	rebel
rebelde	pemberontak
rebelde	fasik
rebelde	memberontak
rebelde	durhaka
roll	roll
roll	gulung
paco	paco
matías	mathias
matías	matías
matías	matthias
nancy	nancy
marítima	maritime
marítima	maritim
crimea	krimea
crimea	krimea
liberado	dilepaskan
liberado	dirilis
liberado	dibebaskan
liberado	dibebaskan
narrativa	bercerita
narrativa	narasi
gerente	manager
gerente	manajer
gerente	pengelola
encuesta	survey
encuesta	survei
