bagdad	bagdad
cago	iadul
cago	iad
cervo	cerbi
cervo	caprioare
cervo	cerb
cervo	caprioara
cervo	cerb
matarme	ucide
matarme	kill
matarme	omoara
atacaron	au
atacaron	ei
atacaron	ele
atacaron	atacata
atacaron	atacat
quixeches	ai
quixeches	te
quixeches	tu
quixeches	dorit
quixeches	dorita
quixeches	vrut
xenerosa	generoasa
xenerosa	generos
xenerosa	generoase
culto	cult
culto	cultul
culto	secta
irlandesa	irlandezi
irlandesa	irish
irlandesa	irlandez
irlandesa	irlandeza
sicilia	sicilia
reich	reich
déronme	au
déronme	ei
déronme	ele
lagoa	laguna
lagoa	laguna
meniña	mic
meniña	putin
meniña	fata
meniña	fata
católicos	catolici
católicos	catolicii
católicos	catolica
católicos	catolica
católicos	catolic
pasear	plimbare
pasear	walk
pasear	pentru
clans	clan
clans	clanul
clans	clanurile
clans	clanuri
hmong	hmong
leland	leland
klaus	klaus
pablo	pablo
marquesa	marchiza
yoshizawa	yoshizawa
nomura	nomura
nis	nis
cuarteto	cvartet
dionís	dionis
estivesen	au
estivesen	ei
estivesen	ele
estivesen	erau
corría	rularea
corría	ruleaza
corría	alergand
ensino	predau
ensino	preda
ensino	predau
ensino	predare
informática	calculator
informática	computer
informática	calculatorul
técnicas	tehnici
veterinarios	veterinari
confesión	spovedanie
confesión	marturisire
confesión	confesiune
confesión	confesiunea
estanse	sunt
loitan	lupta
loitan	sunt
loitan	lupta
loitan	lupta
medicinas	medicament
medicinas	medicina
medicinas	medicina
perden	pierzi
perden	pierd
perden	pierde
culturas	culturile
culturas	culturi
interpretación	interpretarea
interpretación	interpretare
escoitan	ascultand
escoitan	ascult
escoitan	ascultare
dinámica	dinamica
dinámica	dinamice
dinámica	dinamica
dinámica	dinamic
dinámica	dinamica
dinámica	dynamics
populares	popular
populares	populare
populares	populara
populares	populara
aumenta	will
aumenta	va
aumenta	creste
aumenta	crestere
sida	sida
similar	asemanator
similar	similar
similar	asemanator
similar	asemanatoare
similar	similara
similar	similare
espectadores	telespectatori
espectadores	telespectatorii
espectadores	spectatori
decateime	realizat
saibas	stiu
saibas	ai
saibas	te
saibas	tu
garantía	garantia
garantía	garantie
garantía	garanta
ken	ken
bambú	bambus
falsos	fals
falsos	falsa
falsos	falsa
falsos	false
sexades	ai
sexades	te
sexades	tu
pensaban	gandit
pensaban	crezut
pensaban	au
pensaban	ei
pensaban	ele
pódense	pot
pódense	can
coñecida	cunoscut
coñecida	cunoscuta
coñecida	cunoscute
emocionante	interesant
emocionante	incitant
xulgado	tribunal
xulgado	curtea
xulgado	court
xulgado	curte
xulgado	instanta
extensión	extensie
extensión	prelungirea
extensión	extindere
extensión	prelungire
extensión	extensia
expansión	expansiune
expansión	extinderea
expansión	expansiunea
expansión	extindere
azar	sansa
azar	sanse
azar	sanse
azar	sansa
necesitan	nevoie
necesitan	au
necesitan	ei
necesitan	ele
senon	dar
organizacións	organizatii
organizacións	organizatii
individual	individuala
individual	individ
individual	individual
individual	individuale
web	website
web	web
intres	momentele
intres	clipe
intres	momente
específico	specific
específico	specifica
específico	specifice
ordenadores	calculatoare
ordenadores	calculatoarele
ordenadores	computere
ordenadores	calculator
ordenadores	computer
ordenadores	calculatorul
estatísticas	statistici
estatísticas	statistica
estatísticas	statisticile
estatísticas	statistica
fiel	credincios
fiel	credincioasa
capturado	capturat
capturado	capturata
capturado	capturate
trece	treisprezece
trece	thirteen
características	caracteristici
características	trasaturi
características	caracteristici
características	caracteristicile
residencia	resedinta
residencia	resedinta
residencia	resedinta
paran	au
paran	ei
paran	ele
pensara	gandeste
pensara	ganditi
pensara	gandit
pensara	crezut
calefacción	caldura
calefacción	heat
calefacción	caldura
calefacción	caldura
calefacción	incalzire
calefacción	incalzire
décadas	decenii
décadas	decade
enfermos	bolnav
enfermos	bolnava
enfermos	bolnavi
enfermos	bolnava
compartimos	distribuie
compartimos	cota
compartimos	share
compartimos	partajate
compartimos	distribuit
compartimos	distribuite
compartimos	distribuita
redución	reducere
redución	reducerea
arder	ard
arder	ardere
arder	arzand
arder	ard
arder	arsura
arder	burn
arder	arde
volcán	vulcanul
volcán	vulcan
kg	kilograme
oriental	orientale
oriental	oriental
oriental	orientala
violín	vioara
violín	vioara
sufriu	suferit
roubei	furat
usado	folosit
usado	utilizate
usado	folosite
usado	folosita
usado	utilizata
usado	utilizat
explorar	exploreaza
explorar	explora
explorar	explorarea
explorar	explorare
teléfonos	telefoane
teléfonos	telefoanele
estruturas	structurile
estruturas	structuri
estruturas	structurilor
fusión	fuziune
suma	sum
suma	suma
suma	suma
mentais	mintala
mentais	mentale
mentais	mental
mentais	mentala
tanque	tank
tanque	rezervor
tanque	tanc
eventos	evenimentele
eventos	evenimente
america	america
america	americii
axenda	agenda
axenda	agenda
bancos	banks
bancos	bancile
bancos	banci
bancos	banci
bancos	bancile
pensaron	gandit
pensaron	crezut
pensaron	au
pensaron	ei
pensaron	ele
instrucións	instructiunile
instrucións	instructiuni
instrucións	instructiuni
chamábase	lui
chamábase	nume
chamábase	numele
chamábase	denumire
chamábase	name
chamábase	numit
pluma	pen
pluma	stilou
pluma	pana
murray	murray
espido	gol
espido	goala
espido	dezbracata
espido	goala
espido	dezbracat
técnicos	tehnicienii
técnicos	tehnicieni
técnicos	tehnica
técnicos	tehnice
técnicos	tehnic
verbas	cuvintele
verbas	cuvinte
verbas	vorbe
deixalos	lasa
deixalos	ei
vanme	au
vanme	ei
vanme	ele
conclusión	ca
conclusión	asta
conclusión	aia
conclusión	concluzii
conclusión	concluzia
conclusión	concluzie
orgullosos	mandra
orgullosos	mandra
orgullosos	mandra
orgullosos	mandru
orgullosos	mandru
converterse	devin
chegarán	will
chegarán	va
chegarán	au
chegarán	ei
chegarán	ele
escoitou	auzit
músculos	muschi
músculos	muschii
demostración	demonstratie
computador	calculator
computador	computer
computador	calculatorul
xogadores	jucatori
xogadores	jucatori
xogadores	jucatorii
gañando	castigatoare
quedaron	au
quedaron	ei
quedaron	ele
preguntando	intreband
supostamente	presupus
facelos	ei
facelos	face
violación	viol
violación	violuri
violación	rapita
violación	violul
violación	incalcare
violación	incalcarea
violación	violare
escribiume	scria
gustoume	ca
gustoume	like
gustoume	placea
gustoume	placut
xefa	cap
xefa	capul
vestida	imbracat
vestida	imbracata
neveira	frigider
potente	puternica
potente	puternic
hanoi	hanoi
islam	islamul
islam	islamului
islam	islam
profeta	prophet
profeta	profet
profeta	profetul
chámanlle	suna
chámanlle	suna
chámanlle	apel
chámanlle	call
cas	cu
devanceiros	stramosii
perigosa	periculoasa
perigosa	periculoasa
perigosa	periculos
perigosa	periculoase
categoría	categoria
categoría	categorii
categoría	categorie
estatal	stare
estatal	stat
estatal	state
estatal	statul
amargo	amar
amargo	amare
amargo	amara
equivocado	gresit
equivocado	gresit
representante	procura
representante	proxy
representante	reprezentativ
representante	reprezentativa
representante	reprezentantul
representante	reprezentative
representante	reprezentant
levárono	el
levárono	au
levárono	ei
levárono	ele
xogamos	jucate
xogamos	jucat
xogamos	joaca
xogamos	joaca
feitas	facute
feitas	made
feitas	facuta
feitas	facut
renunciar	dand
logro	realizare
estranxeira	straine
estranxeira	straina
estranxeira	strain
estranxeira	strain
estranxeira	strainatate
estranxeira	strain
estranxeira	strain
favorita	preferat
favorita	favorita
favorita	favorite
favorita	favorit
favorita	preferata
favorita	preferate
seguranza	antreprenor
seguranza	contractor
ciclo	ciclul
ciclo	ciclu
dirán	au
dirán	ei
dirán	ele
dirán	spune
viaxa	calatorii
viaxa	calatorie
néboa	ceata
néboa	ceata
néboa	ceata
ducia	duzina
ducia	duzina
localización	localizare
localización	locatie
localización	locatia
localización	locatia
levado	luata
levado	luat
levado	luate
cidadás	cetatenii
cidadás	cetateni
cidadás	cetateni
satisfacer	satisface
parker	parker
pioneiros	pionieri
esperan	speranta
esperan	sper
esperan	speranta
esperan	speranta
esperan	astept
esperan	astept
esperan	asteptare
taza	cupa
taza	cupa
taza	ceasca
brincar	glumesc
brincar	glumesc
lote	lot
metais	metale
metais	metalele
lixeiro	lumina
lixeiro	light
lixeiro	lumina
acumulación	acumularea
acumulación	acumulare
manchester	manchester
raíces	radacini
raíces	radacinile
raíces	radacini
evidentemente	evident
tina	tina
tina	tinei
tina	tina
prometín	promise
prometín	promisa
prometín	promis
condena	timp
condena	ora
condena	timpul
defunto	tarziu
defunto	intarziat
defunto	tarziu
defunto	moarta
defunto	dead
defunto	mort
fuga	membrelor
fantasma	trasura
fantasma	trasura
fantasma	ghost
fantasma	stafie
fantasma	fantoma
fantasma	fantoma
regrese	inapoi
regrese	inapoi
regrese	back
regrese	spate
escapou	departe
escapou	din
escapou	evadat
tumbas	mormintele
tumbas	graves
tumbas	morminte
amada	iubit
cooperativas	cooperant
cooperativas	cooperativelor
jenny	jenny
colgar	atarna
óesme	ai
óesme	te
óesme	tu
óesme	auzi
internado	spitalul
internado	spital
molesto	suparat
molesto	suparata
molesto	suparat
pensado	gandit
pensado	crezut
sabas	foi
sermón	predica
sermón	predica
barriga	burta
barriga	burta
barriga	belly
refires	medie
gustaríalle	ca
gustaríalle	like
gustaríalle	ar
parado	stand
mátote	ucide
mátote	kill
mátote	omoara
mátote	ai
mátote	te
mátote	tu
esperas	ai
esperas	te
esperas	tu
esperas	astept
esperas	astept
esperas	asteptare
caín	fell
escravo	sclava
escravo	sclava
escravo	sclav
socorro	ajutor
socorro	ajuta
mandou	trimisa
mandou	trimis
mandou	trimise
joseph	joseph
joseph	iosif
seda	matase
seda	matase
secreta	secreta
secreta	secret
secreta	secreta
secreta	secrete
secreta	secretul
xusta	doar
vido	vino
ombreiro	umar
ombreiro	umar
ombreiro	umarul
dispararon	shot
dispararon	impuscat
dispararon	impuscat
dispararon	au
dispararon	ei
dispararon	ele
potencia	putere
potencia	puterea
potencia	power
terlle	au
terlle	el
prometo	promit
prometo	promite
planos	planurile
planos	planuri
polis	politisti
seguirá	will
seguirá	va
seguirá	inca
seguirá	inca
seguirá	tot
deixaría	lasa
vervos	vezi
vervos	ai
vervos	te
vervos	tu
sóltame	ia
sóltame	obtine
sóltame	lasa
ataques	atacuri
ataques	atacurile
celosa	geloasa
celosa	geloasa
celosa	gelos
cometer	comite
cometer	comit
estabades	erau
estabades	ai
estabades	te
estabades	tu
interesada	interesate
interesada	interesat
interesada	interesati
interesada	interesata
escoitaches	ai
escoitaches	te
escoitaches	tu
escoitaches	auzi
escoitaches	auzit
fálame	despre
vendas	vand
vendas	vind
vendas	vand
vendas	vanzarile
vendas	vanzari
vendas	vanzari
parezo	uite
vinnie	vinnie
permíteme	may
pague	plateste
colar	colier
colar	colierul
levarte	ai
levarte	te
levarte	tu
levarte	ia
levarte	luati
sacaches	ia
sacaches	obtine
sacaches	ai
sacaches	te
sacaches	tu
xudea	iudeea
xudea	front
xudea	fata
boh	pai
lima	lima
refíreste	ai
refíreste	te
refíreste	tu
refíreste	medie
soñando	visand
soñando	visez
adoro	iubire
adoro	iubesc
adoro	iubirea
adoro	dragoste
adoro	dragostea
dillo	el
trent	trent
jean	jean
saigón	saigon
ámoa	iubire
ámoa	iubesc
ámoa	iubirea
ámoa	dragoste
ámoa	dragostea
ámoa	ea
dakar	dakar
dylan	dylan
xastre	croitor
xastre	croitori
enxergar	intelege
enxergar	intelege
tetas	sani
quizabes	putea
quizabes	au
boulevard	boulevard
boulevard	bulevardul
boulevard	bulevard
autoestrada	autostrada
clermont	clermont
crucifixión	crucificare
serventa	camerista
serventa	menajera
serventa	menajera
serventa	servitoare
melinda	melinda
clotilde	clotilde
imperfecto	imperfect
flipper	flipper
refuxiados	refugiat
refuxiados	refugiati
refuxiados	refugiati
viñan	vino
viñan	au
viñan	ei
viñan	ele
cambian	schimba
cambian	schimbare
cambian	schimba
cambian	schimbarea
honestidade	sinceritatea
honestidade	cinstea
honestidade	onestitate
honestidade	sinceritate
granxas	ferme
granxas	fermele
mozart	mozart
dados	zaruri
mestra	profesor
mestra	profesoara
mestra	capodopera
mestra	capodopera
occidental	occidental
occidental	vest
occidental	western
occidental	west
occidental	vest
occidental	occident
occidental	vestul
representar	reprezinta
representar	reprezinta
actuación	performante
actuación	performanta
actuación	performanta
actuación	performanta
