батенберг	battenberg
вернер	werner
кънектикът	connecticut
созопол	sozopol
попадения	hits
пророк	prophet
предаден	betrayed
съдба	destiny
съдба	fate
краища	edges
жива	living
жива	live
жива	alive
въоръжен	armed
гамбия	gambia
мобилни	mobile
украса	decoration
украса	ornaments
украса	decorations
издаване	issue
издаване	giveaway
увеличи	increase
увеличи	magnify
съществуващи	existing
оцелелите	survivors
глен	glen
глен	glenn
четиридесет	forty
особеност	feature
романя	romagna
тъкани	tissue
тъкани	woven
тъкани	fabrics
решаване	solving
решаване	resolve
решаване	solve
суха	dry
обратна	inverse
обратна	reverse
оод	ood
оод	ltd
цветен	color
цветен	colour
символизира	symbolises
символизира	symbolizes
кафява	brown
приключенски	adventure
приключенски	adventurous
вестниците	newspapers
опашка	queue
опашка	tail
бронзова	bronze
осъществяване	implementation
лейк	lake
моника	monica
моника	monika
никозия	nicosia
прованс	provence
хюстън	houston
посолството	embassy
робин	robin
джеф	jeff
йоахим	joachim
референдум	referendum
справка	query
булевард	boulevard
учения	teachings
подобри	improve
присъдата	sentencing
електронен	electronic
лотус	lotus
ело	elo
терминология	terminology
командири	commanders
правопис	spelling
чай	tea
завършили	graduates
британско	british
бактерии	bacteria
бактерии	bacterium
гледка	view
царевица	maize
царевица	corn
купола	dome
колело	wheel
колело	bike
колело	bicycle
инвестиции	investments
инвестиции	investment
гърди	chest
гърди	boobs
гърди	breast
гърди	breasts
органични	organic
райън	ryan
медия	media
гордън	gordon
монтирани	mounted
раса	race
димитриос	dimitrios
сараево	sarajevo
уелски	welsh
майер	meier
майер	mayer
майер	meyer
франко	franco
франко	franko
мощ	strength
мощ	power
клисура	ravine
дарения	donations
отвън	outside
мериленд	maryland
черта	trait
болни	sick
крайната	ultimate
редовна	regular
палермо	palermo
грузински	georgian
поставено	placed
кастро	castro
таблици	tables
обещава	promises
сюжет	plot
пропуска	misses
майчина	maternal
барон	baron
барон	barron
психолог	psychologist
отстранен	suspended
монасите	monks
подпомагане	support
наркотици	drugs
наркотици	drug
душа	shower
душа	soul
пелин	wormwood
израелски	israeli
популярно	popular
уникален	unique
работник	employee
работник	worker
описания	descriptions
обширни	extensive
придружава	accompanies
джейсън	jason
критики	criticism
критики	criticisms
издържа	endured
бягство	getaway
бягство	escape
селска	rustic
селска	rural
селска	peasant
изригване	eruption
медина	medina
слънчева	sunny
слънчева	solar
колектив	collective
видеоклип	video
линкълн	lincoln
съдилища	courts
добавени	added
дисни	disney
извършен	performed
рисуване	painting
рисуване	drawing
специфичен	specific
клип	clip
изрично	expressly
изрично	explicitly
изрично	explicit
дионисий	dionysus
ефективност	efficiency
ефективност	effectiveness
ефективност	efficacy
ефективност	performance
мишки	mice
мишки	mouse
замества	replaces
индо	indo
агрипа	agrippa
тесни	narrow
убиец	killer
убиец	murderer
убиец	assassin
монреал	montreal
напояване	irrigation
емирства	emirates
комунистите	communists
доверие	confidence
доверие	trust
шеф	chef
курорт	resort
традициите	traditions
изпълнителни	executive
тонга	tonga
посоки	directions
затворена	closed
глад	famine
глад	starvation
глад	hunger
трек	trek
триъгълник	triangle
комикс	comics
комикс	comic
болен	sick
тютюн	tobacco
лукас	lucas
лукас	lukas
царски	regal
линк	link
хълмове	hills
изобретател	inventor
чан	chan
пасища	grassland
пасища	pasture
пасища	grasslands
пасища	pastures
изпрати	send
преименувана	renamed
изречения	sentences
първична	primal
първична	primary
таймс	times
жлези	glands
жлези	gland
