mitre	mitre
noruego	挪威
consistente	始終如一
rítmica	韻律
rítmica	節奏
dulces	甜食
dulces	糖果
dulces	糖果
dulces	糖
dulces	甜蜜
dulces	甜
permanencia	永久性
permanencia	永久
historietas	漫畫
philadelphia	費城
grueso	大宗
grueso	批量
grueso	散裝
grueso	厚
grueso	厚厚
exceso	過剩
exceso	過量
exceso	超額
exceso	多餘
triángulo	三角形
triángulo	三角
bart	bart
clero	神職人員
relativo	親戚
relativo	相對
cama	寢具
cama	床
cama	床上
eficaz	高效
eficaz	有效率
eficaz	有效
comenta	評論
comenta	評論
comenta	意見
terminando	結局
terminando	結尾
piedad	可惜
piedad	慈悲
piedad	憐憫
piedad	仁慈
piedad	虔誠
perciformes	perciformes
ram	ram
ram	公羊
ram	記憶體
ram	凌
realismo	現實主義
espinosa	espinosa
conversación	對話
pionero	先鋒
pionero	先驅
clasificar	分類
espinas	荊棘
espinas	荊棘
cretácico	白堊紀
ted	ted
habitaciones	臥室
habitaciones	客房
habitaciones	房間
myspace	myspace
arbustos	灌木叢
arbustos	灌木
consecutivas	連續
aeropuertos	機場
aeropuertos	機場
adjunto	附件
supervivencia	存活
supervivencia	求生
supervivencia	生存
cómics	漫畫
pistola	手槍
pistola	槍支
pistola	槍
pistola	炮
cover	覆蓋
cover	封面
cover	掩護
constancia	持之以恆
constancia	毅力
dennis	dennis
migración	移徙
migración	移民
migración	遷徙
migración	洄游
migración	遷徙
editora	編輯
hunter	獵人
box	箱
box	框
box	盒
box	盒子
box	方框
noventa	九十
conveniente	方便
ola	揮手
ola	浪潮
ola	波
ola	浪
ola	波浪
martha	martha
dialecto	話
dialecto	方言
gramática	文法
gramática	語法
limpieza	清潔
limpieza	潔淨
limpieza	清理
limpieza	打掃
limpieza	清潔
limpieza	清洗
limpieza	乾淨
limpieza	清潔
limpieza	家務
explorer	探險家
explorer	explorer
marcar	撥號
marcar	撥
marcar	標記
marcar	標示
marcar	馬克
marcar	mark
oceanía	大洋洲
solicitar	請求
solicitar	要求
after	後
after	之後
wang	王
revolucionaria	革命性
enamorado	愛人
enamorado	情人
policías	警方
policías	警務
policías	警察
arcade	arcade
púrpura	紫色
púrpura	紫
tecnológica	技術
tecnológica	科技
expresar	快車
expresar	明示
expresar	express
expresar	特快
minoría	少數人
minoría	少數民族
minoría	少數民族
medicamentos	藥品
medicamentos	藥物
medicamentos	毒品
medicamentos	藥品
medicamentos	醫藥
medicamentos	藥品
medicamentos	藥物
medicamentos	醫藥
crean	創建
bebida	飲酒
bebida	喝
bebida	喝酒
bebida	飲料
bebida	飲料
mitchell	mitchell
rascacielos	摩天大樓
rascacielos	摩天大樓
aceptada	接受
favorito	最愛
favorito	喜愛
conjunta	關節
conjunta	聯合
transforma	轉換
transforma	變換
transforma	轉變
transforma	變形
élite	精英
élite	elite
futuros	期貨
ncaa	ncaa
negativo	負面
negativo	負
negativo	否定
negativo	陰性
negativo	消極
cordero	羔羊
cordero	羊肉
cordero	羊肉
cordero	cordero
leonard	leonard
ibm	ibm
coma	昏迷
coma	逗號
coma	吃
coma	吃了
oscuridad	黑
oscuridad	暗
oscuridad	黑暗
oscuridad	黑暗
caracol	蝸牛
estatuas	雕像
estatuas	塑像
days	日子
days	天數
malos	壞
cazadores	獵人
cazadores	獵人
temple	神廟
temple	寺
temple	寺廟
temple	廟
temple	聖殿
tokyo	東京
vendidos	賣
vendidos	售出
hércules	大力士
trastorno	失調
restricciones	限制
restricciones	限制
traición	背信棄義
traición	背叛
traición	叛國
traición	叛國罪
amenazas	威脅
suministro	供應
suministro	供給
rumores	流言
rumores	謠言
rumores	謠言
sandra	sandra
sombrero	帽
sombrero	帽子
sentir	感受
sentir	感覺
residencial	住宅
residencial	寄宿
mit	麻省理工
mit	mit
territoriales	領土
armonía	和睦
armonía	和諧
amo	主人
amo	大師
amo	師父
amo	師傅
cadáver	屍體
cadáver	體
cadáver	身體
cadáver	屍
obligación	義務
soccer	足球
sweet	甜蜜
sweet	甜
distancias	距離
distancias	距離
pensó	思想
bordes	邊界
bordes	邊框
bordes	邊境
bordes	邊緣
fracción	分數
cintas	絲帶
kenia	肯亞
homosexualidad	lgbt
homosexualidad	同性戀
picos	釘鞋
picos	峰
defensas	辯護
defensas	國防
defensas	防禦
defensas	防守
defensas	防衛
defensas	抗辯
orquídeas	蘭花
orquídeas	蘭花
agrega	加上
agrega	加
invitación	邀請
invitación	邀請
cívica	公民
terra	高地
terra	terra
presentando	引入
presentando	介紹
presentando	呈現
mágico	魔神
mágico	魔法
mágico	魔術
mágico	神奇
mágico	魔力
mágico	神奇
richter	richter
ritual	儀式
exclusivo	排他性
exclusivo	排他
exclusivo	獨家
exclusivo	專屬
round	圓
round	輪
muerta	死
ritmos	節拍
nombrar	命名
bebidas	飲料
bebidas	飲料
llanos	平原
tallo	莖
newton	牛頓
dell	dell
cartago	迦太基
expuesto	暴露
expuesto	曝光
ion	離子
aparatos	儀器
aparatos	器械
aparatos	裝置
aparatos	電器
aparatos	用具
leon	leon
arañas	蜘蛛
bush	布希
automática	自動
consciente	自覺
honores	榮譽
monje	僧侶
monje	和尚
monje	僧
monje	僧侶
monje	和尚
fragmento	片段
fragmento	片段
fragmento	節錄
fragmento	摘錄
químicas	化學
químicas	化學品
anales	肛門
anales	肛交
anales	史冊
claustro	迴廊
choque	休克
choque	驚
choque	震驚
choque	衝擊
choque	崩潰
choque	撞車
choque	墜毀
choque	碰撞
choque	衝突
comprender	理解
comprender	諒解
exacta	準確
exacta	精確
exacta	精確
auditorio	觀眾
auditorio	禮堂
eslovaquia	斯洛伐克
hablado	口語
círculos	圈
círculos	圈子
círculos	圓圈
entierro	喪葬
entierro	葬
entierro	埋葬
entierro	葬禮
entierro	喪葬
entierro	喪禮
entierro	埋
entierro	埋葬
trayecto	旅途
trayecto	旅程
interesado	興趣
interesado	感興趣
claves	按鍵
claves	鍵
claves	鑰匙
claves	鍵
claves	key
claves	關鍵
fragata	巡防艦
fragata	護衛艦
narrador	旁白
narrador	說書人
unir	加入
intermedio	中間
intermedio	中級
luke	luke
luke	路加
mayormente	大多
remo	划船
remo	槳
computadoras	電子計算機
computadoras	計算機
computadoras	電腦
computadoras	計算機
computadoras	電腦
sacrificio	犧牲
intenciones	意圖
intenciones	意向
intenciones	意圖
intenciones	意向
promesa	承諾
promesa	許諾
promesa	質押
promesa	認捐
todd	todd
consultar	諮詢
consultar	詢問
consultar	查詢
cilindros	缸
walt	walt
raro	稀有
raro	難得
raro	罕見
raro	怪人
raro	怪
raro	怪異
baterías	電池
baterías	電量
baterías	電池
abuso	濫用
abuso	虐待
receptores	收件人
estrategias	戰略
intersección	交集
intersección	路口
intersección	十字路口
intersección	相交
aumentando	增加
conquistar	征服
conquistar	征服
almas	靈魂
stuart	司徒
fila	划
fila	排
natalia	natalie
natalia	natalya
natalia	natalia
toque	touch
toque	摸
toque	觸碰
toque	觸控
toque	觸動
deseos	願望
deseos	祝願
deseos	慾望
continentales	大陸
match	匹配
match	比對
match	match
fiables	可靠
enfermo	病
enfermo	生病
enfermo	病
enfermo	生病
polar	極
polar	極地
avanzado	先進
llamas	火焰
llamas	火焰
ortografía	拼字
ortografía	拼寫
caro	昂貴
caro	貴
esgrima	擊劍
esgrima	劍術
equipamiento	裝備
óptica	光學
óptica	光學
ingredientes	元素
ingredientes	成分
ingredientes	原料
ingredientes	成份
mago	巫師
mago	魔法師
mago	魔法師
mago	魔術師
mago	法師
sustituir	替代品
sustituir	替代
sustituir	替代
sustituir	取代
sustituir	替換
sustituir	更換
sustituir	代替
eliminados	刪除
extraña	陌生人
extraña	陌生
extraña	奇怪
suicidio	自殺
enormes	巨大
amarillas	黃色
amarillas	黃
asiento	座位
asiento	座位
presos	囚犯
presos	犯人
presos	囚徒
liderado	led
slam	灌籃
computación	運算
computación	計算
alerta	提醒
alerta	警報
alerta	警示
levantar	抬
levantar	提升
levantar	電梯
hawái	夏威夷
wide	廣
wide	寬
submarinos	潛水艇
submarinos	潛艇
susan	susan
estrenado	首播
preparado	籌備
nido	窩
nido	巢穴
nido	巢
reemplazar	替代
reemplazar	取代
reemplazar	替換
reemplazar	更換
reemplazar	代替
fibra	纖維
fibra	纖維
colaboraciones	協作
secuencias	序列
secuencias	數列
secuencias	順序
donación	捐
donación	捐贈
donación	捐款
donación	捐獻
donación	捐獻
donación	捐贈
donación	捐款
donación	捐
acontecimiento	事件
acontecimiento	活動
acompaña	伴隨
entregar	交付
cohete	火箭
vancouver	溫哥華
horizonte	地平線
extraordinario	非凡
folclore	民俗
prevenir	防止
prevenir	防止
cano	cano
romántica	浪漫
compartido	共用
compartido	共享
compartido	分享
fan	樊
fan	粉絲
fan	風扇
fan	範
malas	壞
afirmación	申明
afirmación	論斷
afirmación	斷言
sombras	影
sombras	影子
sombras	陰影
sombras	影
sombras	影子
sombras	陰影
sombras	暗影
sombras	墨鏡
violeta	紫色
violeta	紫
violeta	紫羅蘭
violeta	紫
itunes	itunes
ácidos	酸
ácidos	酸
ácidos	酸性
inflorescencia	inflorescence
guayana	蓋亞那
inspirada	啟發
inspirada	靈感
respaldo	備用
respaldo	後援
respaldo	支援
respaldo	備份
respaldo	後備
respaldo	背書
retirar	撤回
retirar	收回
ejes	軸
ejes	軸心
ejes	斧子
ejes	軸
ejes	軸線
ejes	軸
ejes	軸心
oculta	隱藏
oculta	隱藏
alejandra	alexandra
alejandra	alejandra
helicóptero	直升機
helicóptero	直升飛機
helicóptero	直升機
circunscripción	選區
aplicada	套用
sindicatos	工會
testimonios	證言
testimonios	證詞
testimonios	證言
testimonios	證詞
keith	keith
incidentes	事變
incidentes	事件
incidentes	事件
nervioso	緊張
irlandesa	愛爾蘭
puntas	提示
puntas	小費
infantes	陸戰隊
infantes	海軍陸戰隊
constantino	konstantin
constantino	君士坦丁
reflexión	反射
reflexión	反省
reflexión	思考
afición	嗜好
afición	愛好
again	再次
remodelación	改造
remodelación	整修
remodelación	翻新
remodelación	翻修
júpiter	木星
cualidades	素質
cualidades	品質
linaje	世系
linaje	血統
linaje	血脈
linaje	血統
justin	justin
jessica	jessica
francisca	françoise
zapata	zapata
orbital	軌道
musulmana	穆斯林
musulmana	穆斯林
raf	raf
querer	想要
ref	裁判
oficios	行業
haití	海地
asistentes	助理
rachel	rachel
novena	第九
ciclos	週期
ciclos	週期
ciclos	迴圈
cuero	皮革
cuero	皮
superando	克服
corredores	經紀
tranvía	電車
tranvía	電車
tranvía	電車
tranvía	電車
escolta	陪同
escolta	護航
escolta	護送
terminales	終點站
terminales	終端
terminales	終端機
terminales	終端
terminales	終端機
desfile	遊行
desfile	巡遊
desfile	閱兵
masivo	大規模
barras	酒吧
barras	小節
celebraciones	慶典
celebraciones	慶祝
galerías	畫廊
artificiales	人工
artificiales	人造
piscina	撞球
piscina	池
piscina	游泳池
piscina	泳池
clásicas	經典
patente	專利權
patente	專利
patente	專利權
patente	專利
biografías	傳記
biografías	bios
biografías	傳記
biografías	自傳
office	辦公
office	辦公室
office	辦事處
institutos	研究所
concedido	准予
concedido	授予
plural	多元
plural	複數
nudos	結
biológica	生物
biológica	生物學
khan	可汗
khan	大汗
khan	khan
khan	汗
knight	騎士
billetes	票
billetes	門票
billetes	車票
billetes	票券
billetes	紙幣
billetes	鈔票
billetes	紙幣
billetes	鈔
coreano	韓國
coreano	韓語
ecuaciones	方程
ecuaciones	方程式
secret	秘密
privilegios	特權
privilegios	特權
empatados	捆綁
empatados	被綁
castaño	栗
castaño	栗子
balada	民謠
disfrutar	享受
mixtas	混合
finaliza	末端
perfecta	完美
átomos	原子
evidencias	證據
suite	套房
detectar	偵測
incendios	火災
incendios	野火
ronald	ronald
sujetos	科目
revolucionarios	革命性
costos	費用
costos	成本
láser	雷射
láser	鐳射
láser	鐳射
marsella	馬賽
adoptar	領養
adoptar	收養
islámico	伊斯蘭
kiss	吻
kiss	親
kiss	親親
kiss	kiss
kiss	親吻
conducir	開車
conducir	駕駛
conducir	駕駛
pirámide	金字塔
ecuatorial	赤道
inscripciones	註冊
inscripciones	登記
materna	產婦
eficiente	高效
eficiente	有效率
humanidades	人文
agregado	合計
agregado	隨員
agregado	合計
algodón	棉花
algodón	棉
algodón	棉質
inundaciones	洪水
inundaciones	水災
inundaciones	洪水
inundaciones	水災
inundaciones	洪水
inundaciones	水災
coronación	加冕典禮
coronación	加冕
inspector	督察
calibre	口徑
calibre	口徑
grey	灰色
grey	灰
grey	grey
serbio	塞爾維亞
action	動作
action	行動
triste	悲哀
triste	悲傷
triste	傷心
triste	難過
edita	編輯
templado	溫帶
nieves	下雪
nieves	雪
nieves	snow
maracaibo	馬拉開波
mártir	烈士
mártir	殉難者
frecuencias	頻率
frecuencias	頻率
luchando	格鬥
luchando	打架
luchando	戰鬥
talk	聊
cantos	誦經
cantos	歌聲
cantos	唱歌
cantos	歌唱
cantos	歌曲
cantos	歌
benjamín	benjamin
querido	dear
view	檢視
view	瀏覽
plomo	鉛
plomo	領先
plomo	帶頭
ciudadana	市民
ciudadana	公民
bruja	女巫
bruja	魔女
bruja	巫婆
sudán	蘇丹
horror	恐怖
eficacia	效率
eficacia	成效
eficacia	有效性
eficacia	效能
eficacia	功效
creciendo	生長
creciendo	成長
traductor	翻譯
ufc	ufc
supervisión	監測
supervisión	監督
supervisión	監管
supervisión	督導
supervisión	督導
supervisión	監督
estudiosos	學者
tag	標記
tag	標籤
tonos	音調
tonos	色調
tonos	音
tonos	基調
tonos	語氣
tonos	墨鏡
ecología	生態學
ecología	生態
automático	自動
automático	自動
atracciones	景點
atracciones	觀光
desaparece	消失
renunciar	退出
renunciar	辭職
budismo	佛教
budismo	佛教徒
budismo	佛教
misisipi	密西西比
misisipi	密西西比州
interesantes	有趣
anton	安東
anton	anton
tigres	虎
tigres	老虎
tigres	老虎
camerún	喀麥隆
ambientes	環境
atentados	攻擊
atentados	襲擊
atentados	轟炸
milicias	民兵
milicias	民兵
oído	耳
