que	to
per	za
les	les
amb	sa
com	kao
més	više
bar	šank
seu	stožer
seu	sjedište
van	kombi
era	ere
era	era
text	tekst
també	također
també	takođe
entre	izmedju
entre	između
fou	bio
fou	bila
anys	godine
anys	godinama
anys	godina
any	godine
any	godina
població	stanovništvo
població	populacija
però	ali
aquest	ovo
altres	drugi
altres	drugo
altres	druga
altres	ostali
altres	drugi
altres	druge
estat	stanje
estat	država
estat	stanja
estat	stanju
estat	bio
després	nakon
després	poslije
són	su
són	jesu
fins	dok
des	des
aquesta	ovo
eren	bile
eren	bili
estats	države
estats	drzava
estats	stanja
persones	ljudi
from	od
from	iz
part	dijelom
part	dio
cap	nijedan
cap	nijedna
sobre	omotnica
sobre	omotnicu
gran	super
durant	tijekom
durant	durant
tot	sve
enllaços	poveznice
dos	dva
externs	vanjski
externs	vanjska
família	obitelji
família	porodica
família	obitelj
família	familija
ciutat	grad
ciutat	gradom
quan	kada
quan	kad
habitatges	kuće
qual	koje
qual	koja
qual	koji
molt	vrlo
tenia	trakavica
nord	sjeverno
nord	sjeverna
nord	sjever
habitants	stanovnici
barcelona	barcelonu
barcelona	barcelone
barcelona	barceloni
barcelona	barcelona
dones	žene
res	ništa
res	nista
segons	sekunde
segons	sekunda
segons	sekundi
primer	prvo
primer	prvi
segle	vijek
segle	stoljeće
segle	stoljeća
nom	naziv
nom	ime
tres	tri
sud	jugu
sud	južno
sud	jug
lloc	mjesto
lloc	mesto
nova	novo
nova	nova
nova	novi
nova	nova
homes	ljudi
homes	muškarci
primera	prvo
primera	prvi
dues	dva
guerra	rat
guerra	rata
següent	sljedeća
sense	bez
això	ovo
general	općenito
municipi	općina
municipi	općine
catalunya	kataloniji
vivien	vivien
forma	oblik
forma	oblik
forma	forma
forma	obrazac
mateix	isti
mateix	ista
mateix	isto
fet	gotov
fet	gotovo
han	hana
han	han
mort	smrt
mort	smrti
dades	podaci
només	samo
només	jedino
només	samo
regió	regije
regió	regiji
regió	regija
temps	vreme
temps	vrijeme
empreses	poduzeća
empreses	tvrtke
