gama	gamma
parimin	prinsipyo
parametrat	parameter
philipp	philipp
drogës	droga
drogës	drug
gjetjet	natuklasan
meriton	nararapat
adams	adams
përjetshme	eternal
fjalim	speech
fjalim	pananalita
fjalim	talumpati
fjalim	pagsasalita
diskutime	talakayan
diskutime	talakayan
vazhdimësi	tuloy
arkivi	arkibo
arkivi	archive
hipoteza	hipotesis
karnataka	karnataka
kontinentit	kontinente
aviacionit	panghimpapawid
aviacionit	aviation
grant	grant
dhurata	regalo
dhurata	presents
dhurata	gift
dhurata	regalo
ian	lan
ian	ian
shërbejë	magsilbi
shërbejë	paglingkuran
shërbejë	serve
shërbejë	maglingkod
saktësi	precision
saktësi	kawastuhan
artiste	artista
artiste	artist
armenia	armenia
vishnu	vishnu
nikaragua	nicaragua
komplet	lubos
komplet	complete
komplet	kumpletuhin
komplet	kompleto
komplet	kumpleto
kontributet	ambag
jerusalem	herusalem
jerusalem	jerusalem
pakistani	pakistan
neni	artikulo
kryqi	krus
kryqi	cross
alpine	alpine
maksimal	pinakamataas
nana	nana
kanale	channels
kanale	channel
kanale	canals
platforma	platform
platforma	plataporma
platforma	platform
provat	ebidensya
provat	katibayan
pengesë	hadlang
pengesë	harang
pengesë	hadlang
çift	pares
piramida	pyramid
sipërfaqësore	mababaw
hebraike	jewish
hebraike	griyego
hebraike	ebreo
hebraike	hebreo
meurthe	meurthe
cituar	cited
vega	vega
bosnjë	bosnia
sallë	pahingahan
sallë	hall
cilësia	kalidad
cilësia	quality
len	len
tragjike	tragic
erik	erik
erik	eric
matematika	matematika
matematika	math
race	lahi
race	lahi
gjykimi	parusa
gjykimi	paghuhukom
gjykimi	hatol
hitlerit	hitler
demografia	demograpiko
kupë	tasa
kupë	kopa
sony	sony
piu	pio
udha	daan
malësi	highland
ronald	ronald
luhet	naglaro
luhet	nilalaro
luhet	nilaro
shtimin	addition
shtimin	karagdagan
inteligjencës	katalinuhan
huazuar	hiram
huazuar	oto
çeliku	bakal
çeliku	steel
çeliku	asero
afrikane	aprikano
afrikane	african
pafund	infinite
njerzit	tao
norman	norman
çlirim	paglaya
çlirim	liberation
bordi	lupon
bordi	board
tostring	tostring
lajm	balita
lajm	news
shkronjat	fonts
shkronjat	letra
shkronjat	letters
shkronjat	titik
tërhiqet	retire
valley	lambak
valley	valley
kampione	champion
përmbushur	natupad
përmbushur	matupad
përmbushur	tuparin
zhvillime	developments
përpjekja	effort
përpjekja	pagsisikap
ille	ille
shfrytëzimi	pagsasamantala
mysafir	bisita
mysafir	panauhin
mysafir	guest
javier	javier
lionel	lionel
heq	inaalis
shtrirjen	pagpapalawak
pérez	pérez
thot	sabi
sebastian	sebastian
sen	sen
moto	motto
moto	moto
moto	moto
lene	natitira
lene	pakaliwa
lene	iniwan
lene	naiwan
lene	kaliwa
raymond	raymond
qepë	sibuyas
qepë	sibuyas
leonard	leonard
hiqet	lifted
hiqet	tinanggal
hiqet	naalis
hiqet	inalis
italo	italo
ban	pagbawalan
pasqyra	salamin
pasqyra	salamin
pasqyra	gayahin
pasqyra	mirror
tetori	oktubre
investimet	investments
gazetare	mamamahayag
gazetare	reporter
alfredo	alfredo
romeo	romeo
hektarë	hectares
sind	sindh
ftp	ftp
shpallën	proclaimed
ohër	ohrid
ndihme	tulong
ndihme	tulungan
instrumentet	instruments
skype	skype
zvogëluar	nabawasan
campo	campo
montana	montana
autonominë	autonomy
informacionet	impormasyon
kuvajti	kuwait
akuzat	singil
