категория	kategorya
что	anong
что	anu
что	anung
что	ano
как	paano
как	pano
как	parang
как	like
как	gustuhin
был	ay
его	kanyang
его	kaniya
его	niya
его	siya
его	kanya
также	rin
также	din
это	ito
это	nito
это	na
это	yan
год	taon
было	ay
время	panahon
время	oras
время	time
состав	komposisyon
была	ay
место	spot
место	lugar
место	pook
место	kinalalagyan
место	lokasyon
район	lokalidad
район	distrito
район	lugar
район	area
район	lawak
вид	species
вид	pagtingin
вид	tingnan
вид	tignan
вид	panonood
вид	view
только	lang
только	lamang
только	lng
только	nalang
только	basta
есть	nakuha
язык	dila
язык	wika
язык	alangan
язык	wikang
язык	tausug
ссср	ussr
районе	lokalidad
код	code
код	kodigo
более	pa
более	pang
мая	mayo
мая	maaaring
дата	date
дата	petsa
ноября	nobyembre
ноября	november
деревня	nayon
где	saan
где	asan
января	january
января	enero
марта	marta
марта	martha
марта	marso
все	all
все	puro
все	lahat
все	lahat
августа	august
августа	agosto
августа	augusta
том	tom
октября	oktubre
октября	oktubre
сентября	setyembre
статьи	akda
статьи	artikulo
июня	june
июня	hunyo
апреля	april
апреля	abril
сша	usa
который	aling
который	alin
название	pangalan
название	pong
название	titulo
название	pamagat
название	title
поселение	settlement
человек	taong
человек	person
человек	tao
человек	pantao
человек	tao
человек	makatao
человек	human
человек	lalaking
человек	lalaki
человек	man
смерти	pagkamatay
лет	taon
февраля	february
февраля	pebrero
они	sila
они	nila
того	togo
города	lungsod
города	siyudad
города	city
города	lungsod
может	siguro
может	baka
может	ma
может	pwede
может	maari
войны	wars
войны	digmaan
войны	digmaang
можно	pwede
можно	maari
когда	kapag
когда	kailan
однако	subalit
однако	gayunman
однако	gayunpaman
которые	aling
которые	alin
высота	altitude
высота	taas
высота	height
переписи	census
село	selo
село	nayon
стал	naging
статья	artikulo
род	genus
род	rod
один	alone
один	magisa
один	odin
один	isa
один	one
реки	ilog
реки	ilog
между	pagitan
статус	status
статус	katayuan
населения	populasyong
населения	populasyon
годы	taon
через	via
