nasr	nasr
merit	zasług
merit	zasługi
perspectivă	perspektywa
perspectivă	perspektywę
perspectivă	perspektywy
singular	pojedynczej
singular	pojedyncze
recenzie	recenzja
recenzie	przeglądu
recenzie	przegląd
recenzie	rewizja
pierdută	zagubiona
pierdută	zagubiony
pierdută	stracił
pierdută	stracone
pierdută	utracone
stewart	stewart
trimisă	wysłany
trimisă	wysłane
trimisă	wysłano
aveyron	aveyron
obținută	uzyskano
obținută	uzyskane
obținută	otrzymana
obținută	otrzymany
obținută	otrzymane
adâncimea	głębokość
adâncimea	głębokości
chelsea	chelsea
unire	łączenie
unire	połączyć
întâlnirea	spotkania
întâlnirea	posiedzenie
întâlnirea	zebranie
întâlnirea	spotkanie
panzer	pancerna
cursa	wyścig
cursa	rasy
cursa	race
cursa	rasa
doctoratul	doktorat
catalogul	katalog
catalogul	katalogu
catalogul	katalog
catalogul	katalogu
catalogul	katalogi
publicitate	reklamy
publicitate	reklama
publicitate	reklamę
vânt	wiatru
vânt	wiatry
vânt	wiatr
vânt	wietrze
blocarea	zablokowanie
blocarea	blokowanie
obiectivul	cel
regilor	kings
regilor	królowie
regilor	królów
spirituale	duchowy
spirituale	duchowego
spirituale	duchowym
spirituale	duchowej
spirituale	duchowe
ing	ing
elevii	uczniowie
elevii	studenci
elevii	studentów
elevii	uczniowie
elevii	źrenice
elevii	uczniów
determinarea	określenie
determinarea	oznaczenie
determinarea	ustalenie
determinarea	oznaczanie
determinarea	określanie
frumoasa	piękne
frumoasa	piękna
frumoasa	pięknie
frumoasa	śliczna
mobilă	mobile
mobilă	mobilnej
mobilă	mobilne
mobilă	komórka
mobilă	meble
potter	potter
corina	corina
anonim	anonimowy
anonim	anonimowych
anonim	anonimowe
plumb	ołów
plumb	prowadź
plumb	ołowiu
localizat	zlokalizowany
localizat	położony
localizat	zlokalizowane
localizat	zlokalizowane
localizat	miejscowy
localizat	miejscowa
side	side
efortul	wysiłek
efortul	nakład
efortul	wysiłki
efortul	wysiłku
navală	marynarki
cartoon	cartoon
pânză	płótna
pânză	płótno
pânză	płótnie
necunoscută	nieznany
necunoscută	nieznana
necunoscută	nieznane
doctrina	doktryna
senatul	senatu
senatul	senat
concentrat	skoncentrowany
concentrat	koncentrat
concentrat	skoncentrowane
concentrat	koncentrat
concentrat	skoncentrowany
concentrat	skupiona
concentrat	skupiony
săli	korytarze
săli	sale
stars	gwiazd
stars	gwiazdki
stars	gwiazdy
stars	gwiazdek
lipsesc	brak
lipsesc	brakuje
lipsesc	brakujące
lipsesc	zaginiony
lipsesc	zaginął
catalog	katalog
catalog	katalogu
catalog	katalog
catalog	katalogu
catalog	katalogi
diesel	diesel
diesel	diesla
toronto	toronto
darwin	darwin
teolog	teolog
rey	rey
cadre	ramy
cadre	ramki
cadre	nakładki
așteptat	oczekiwane
așteptat	spodziewane
așteptat	oczekiwano
așteptat	oczekiwany
așteptat	oczekiwać
copie	kopia
copie	skopiuj
copie	kopiuj
copie	kopiowanie
augusta	augusta
conservatorul	konserwatorium
nièvre	nièvre
individ	indywidualny
individ	indywidualne
individ	poszczególnych
individ	indywidualnie
cauze	powoduje
cauze	przyczyny
cauze	przyczyn
posturi	postów
posturi	stanowiska
posturi	posty
rosa	róża
rosa	rosa
neil	neila
neil	neil
orientale	oriental
murray	murray
giorgio	giorgio
bloc	bloku
bloc	zablokuj
bloc	zablokować
bloc	blok
extremă	ekstremalnie
extremă	ekstremalne
sophie	sophie
sophie	zofia
fundamentală	fundamentalne
fundamentală	podstawowych
fundamentală	zasadnicza
democratice	demokratyczny
democratice	demokratyczna
democratice	demokratyczne
verii	kuzyni
verii	kuzynki
verii	kuzynów
aventură	przygodę
aventură	przygoda
aventură	przygody
aventură	przygód
ciot	pień
ciot	stump
gri	siwy
gri	gray
gri	szary
gri	szara
gri	szare
gri	siwy
gri	szary
gri	szara
gri	szare
gri	grey
imdb	imdb
producători	producenci
producători	producentów
producători	producentom
producători	wytwórców
producători	producentów
producători	wytwórcy
producători	producenci
gratuit	wolne
gratuit	wolna
gratuit	wolny
gratuit	bezpłatne
gratuit	free
proiectele	projektów
proiectele	projekty
versailles	wersalu
floarea	kwiat
floarea	kwiaty
floarea	kwiecie
floarea	kwiatek
terry	terry
nordice	nordic
desemnează	wyznacza
desemnează	wyznaczają
desemnează	wyznaczają
desemnează	wyznaczyć
viziune	wzrok
viziune	wizji
viziune	wizja
viziune	widzenie
partidele	partie
partidele	imprezy
partidele	przyjęcia
catalonia	katalonii
catalonia	katalonia
profesie	zawód
mayenne	mayenne
tablouri	obrazy
dean	dean
dean	dziekan
zagreb	zagrzeb
exemplul	przykładowy
exemplul	przykładowe
exemplul	przykład
incintă	obudowy
magnolia	magnolia
informare	odprawa
populații	populacji
populații	ludność
populații	populacje
bere	piwa
bere	piwko
bere	piwo
solicitat	wymagane
mandatul	nakaz
mandatul	nakazu
mandatul	mandat
mandatul	upoważnienie
mandatul	mandatu
cape	cape
expert	biegły
expert	specjalista
expert	ekspert
expert	eksperta
expert	ekspertów
zahăr	sacharoza
zahăr	sacharozy
zahăr	cukrem
zahăr	sugar
zahăr	cukru
zahăr	cukier
wagner	wagner
călugăr	mnich
călugăr	mnicha
călugăr	monk
scandal	afera
scandal	skandal
digitală	cyfrowy
digitală	cyfrowa
digitală	cyfrowe
digitală	digital
mențiune	termin
mențiune	kadencja
mențiune	określenie
fals	fałsz
fals	fałszywa
fals	fałszywe
fals	nieprawdziwe
fals	fałszywy
fals	fałszywy
fals	fałszywe
fals	fałszywa
ruta	drodze
ruta	szlak
ruta	trasy
ruta	trasa
clement	clément
clement	clement
liberi	wolne
liberi	wolna
liberi	wolny
liberi	bezpłatne
liberi	free
arhiducele	arcyksiążę
amintirea	pamięć
amintirea	wspomnienia
amintirea	wspomnienie
amintirea	pamięci
medicamente	prochy
medicamente	narkotyki
medicamente	leki
medicamente	lekarstwa
medicamente	leków
întrebat	zapytała
întrebat	poprosił
întrebat	pytał
întrebat	zapytał
stări	stany
stări	stanów
stări	nastroje
colaborator	współautora
auf	auf
opiniile	opinii
opiniile	opinie
lunar	miesięcznie
lunar	miesięczne
lunar	miesięczny
lunar	lunar
lunar	księżycowy
omenirii	ludzkość
omenirii	ludzkości
celulele	ogniwa
celulele	komórek
celulele	komórki
percuție	perkusja
short	krótki
short	krótkie
