של	шел
את	си
את	ти
את	ви
על	относно
קטגוריה	категория
עם	със
גם	също
זה	това
זה	че
היא	тя
היה	бе
שיחה	разговор
שיחה	разговори
שיחה	беседа
שיחה	повикване
שיחה	обаждане
לאחר	след
בין	бийн
בין	inter
בין	интер
בין	между
כל	всички
כל	всичко
כי	защото
יותר	повече
יותר	още
ישראל	израел
אך	но
עד	тил
עד	докато
שם	там
שם	името
שם	наименование
שם	име
בית	бейт
בית	дом
בית	домашен
בית	вкъщи
בית	house
בית	къща
בית	къщата
בית	хаус
הם	те
הייתה	бе
אשר	ашър
אשר	ешер
אשר	ъшър
אשר	разпоредител
אשר	което
אשר	която
אשר	потвърждение
אשר	потвърждавам
אשר	потвърждаване
אשר	потвърди
כמו	като
כמו	like
אחד	една
אחד	един
אחד	едно
שמאל	ляво
שמאל	ляв
שמאל	наляво
קישורים	връзки
חיצוניים	външна
חיצוניים	външно
חיצוניים	външни
חיצוניים	външен
הברית	алианса
הברית	алианс
הברית	съюз
מספר	брой
מספר	число
מספר	номер
בו	него
בו	бу
היו	бяха
רק	само
רק	единствено
רק	просто
רק	само
כאשר	когато
כאשר	кога
אותו	него
בן	бен
בן	синко
בן	сине
בן	син
שלו	неговият
שלו	неговата
שלו	му
שלו	неговия
שני	второ
שני	втора
שני	втори
שני	шани
שני	двама
שני	две
שני	понеделник
לו	лю
לו	лу
מה	какво
העולם	свят
העולם	света
העיר	град
העיר	градът
העיר	градче
העיר	град
העיר	градът
העיר	сити
העיר	city
כן	да
כן	да
שנים	години
שנים	годините
אף	нос
אף	носа
אף	носът
אף	еф
רבים	mnogo
רבים	много
אבל	но
בה	нея
אביב	авив
אביב	пролетно
אביב	пролет
אביב	пролетта
במאי	май
במאי	директорът
במאי	режисьор
במאי	директор
שנה	година
שנה	годината
שנה	години
שנה	годините
נולד	родени
נולד	роден
נולד	родена
הערות	забележки
הערות	записки
הערות	бележки
הערות	ноти
הערות	мнение
הערות	забележки
הערות	коментари
הערות	мнения
חלק	част
חלק	гладко
חלק	плавно
חלק	гладък
חלק	гладки
חלק	гладка
לפני	преди
אחת	една
אחת	един
אחת	едно
ביולי	юли
באוקטובר	октомври
באוקטובר	ост
באוקטובר	октомври
במקום	вместо
אותה	нея
החל	започване
הרב	хърб
הרב	билка
הרב	биле
ארצות	държави
ארצות	страни
מן	манна
בינואר	януари
במרץ	март
ראש	главата
ראש	глава
ראש	ръш
חיים	живот
חיים	живота
חיים	life
חיים	лайф
חיים	животът
חיים	хайм
חיים	хаим
המאה	век
המאה	вековен
המאה	века
בנובמבר	ноември
בדצמבר	декември
לי	лии
לי	лий
תל	тел
בבית	дом
בבית	домашен
בבית	вкъщи
ערך	стойност
בפברואר	февруари
אלו	тези
זמן	времето
זמן	време
אחר	друго
אחר	друг
אחר	други
בני	бени
בני	синко
בני	сине
בני	син
בעיקר	основно
בעיקר	предимно
בעיקר	главно
בעיקר	предимно
בעיקר	главно
אתר	уебсайт
אתר	сайт
אתר	сайт
אתר	етер
ללא	без
שונים	различна
שונים	различно
שונים	различни
שונים	различен
שונים	различни
רב	рав
אדם	човек
אדם	личност
אדם	адам
אדם	човешка
אדם	човешко
אדם	човек
אדם	човешки
אדם	човече
אדם	човек
אדם	мъж
כלל	правилото
כלל	правило
עוד	повече
עוד	още
דבר	говори
דבר	поговорим
דבר	говори
אחרים	друго
אחרים	друг
אחרים	други
אחרים	другите
אחרים	други
ספר	тефтер
ספר	книга
ספר	барбър
ספר	фризьор
ספר	бръснар
נגד	срещу
נגד	против
לה	нея
זכה	уон
זכה	спечели
אחרי	след
הן	те
יום	денят
יום	ден
יום	хюм
אלה	тези
אלה	богиня
אלה	богинята
כבר	вече
כיום	понастоящем
ירושלים	йерусалим
ירושלים	ерусалим
המדינה	щат
המדינה	държава
המדינה	държавно
מקום	място
מאוד	много
יהודים	еврейски
יהודים	еврейско
יהודים	евреин
יהודים	еврейка
יהודים	евреите
יהודים	евреи
רבות	mnogo
רבות	много
כמה	някои
מטר	крака
מטר	краката
מטר	крачета
מטר	метър
מטר	метра
מטר	метри
מטר	метър
מטר	метри
דרך	виа
דרך	via
דרך	чрез
דרך	чрез
דרך	през
דרך	начин
שנת	година
שנת	годината
יכול	могат
יכול	can
באמצעות	виа
באמצעות	via
באמצעות	чрез
בעלי	съпруг
יחד	заедно
בשל	узрели
בשל	дължима
בשל	дължими
פרס	награда
פרס	награда
פרס	възлагане
פרס	награда
ראו	рао
דוד	дод
דוד	чичо
דוד	дейвид
דוד	давид
בעל	баал
בעל	съпруг
שלה	нейната
שלה	неин
שלה	нейните
שלה	нейният
שלה	нейна
שלה	нейни
שלה	нея
בנוסף	плюс
בנוסף	допълнително
תחת	задник
תחת	гъз
תחת	дупе
תחת	дупе
תחת	под
תמונה	снимка
תמונה	снимката
תמונה	фото
תמונה	имидж
תמונה	картинка
תמונה	образ
תמונה	изображение
תמונה	снимка
תמונה	картинка
כתב	репортера
כתב	репортер
כתב	репортерка
כתב	репортерът
כתב	написал
כתב	написа
הקבוצה	група
הקבוצה	групово
הקבוצה	групиране
הקבוצה	групова
הערך	стойност
היום	днеска
היום	днес
רבי	равин
רבי	равина
רבי	раби
רבי	равин
רבי	раби
מי	кой
למרות	въпреки
למרות	макар
למרות	макар
אחרות	другите
אחרות	други
אותם	ги
אותם	тях
החברה	общество
החברה	обществото
החברה	дружество
החברה	компания
החברה	company
החברה	рота
החברה	фирма
המלחמה	войната
המלחמה	война
שונות	различна
שונות	различно
שונות	различни
שונות	различен
שונות	различни
שונות	разнообразни
שונות	разни
הארץ	земно
הארץ	земята
הארץ	земен
הארץ	земя
מערכת	система
מערכת	системата
מערכת	системни
תאריך	среща
תאריך	дата
בלבד	само
בלבד	единствено
עבר	минали
עבר	минало
עבר	преместени
עבר	преместен
עבר	преместена
עבר	преминал
אפשר	включване
אפשר	позволете
אפשר	позволи
נוסף	добавена
נוסף	добавен
נוסף	добавени
נוסף	добавено
מרכז	централно
מרכז	централен
מרכז	централа
מרכז	централни
מרכז	централна
מרכז	център
מרכז	център
שימוש	използване
שימוש	употреба
שימוש	използвайки
שימוש	използване
שימוש	употреба
שימוש	използвайте
שיש	мрамор
שיש	топче
רוב	повечето
רוב	роб
רוב	мнозинство
רוב	мнозинството
רוב	мажоритарен
כולל	включват
כולל	включва
כולל	включително
כולל	включени
כולל	включено
כולל	включена
כולל	включен
גדול	голямо
גדול	големи
גדול	голям
גדול	голяма
גדול	биг
גדול	голямо
גדול	големи
גדול	голям
גדול	голяма
גדול	страхотно
ישראלים	израелски
ישראלים	израелците
יהודי	еврейски
יהודי	еврейско
יהודי	евреин
יהודי	еврейка
יהודי	евреин
סוג	вид
סוג	тип
ראשון	неделно
ראשון	неделя
ראשון	ришон
ראשון	първи
ראשון	първо
מידע	информация
מידע	info
מידע	инфо
מידע	информация
מידע	информиране
מידע	дейта
מידע	данни
ערכים	ценности
ערכים	стойности
ערכים	вписвания
ערכים	записи
אנשים	народ
אנשים	хора
אנשים	хората
קובץ	файл
קובץ	файлът
קובץ	досие
דקות	минути
דקות	минути
חבר	приятелка
חבר	приятелю
חבר	приятел
חבר	гадже
חבר	гаджето
צריך	необходимост
צריך	нужда
צריך	потребност
ויקיפדיה	уикипедия
בת	дъще
בת	дъщеря
בת	бет
השם	името
השם	наименование
השם	име
בתוך	вътрешно
בתוך	вътре
האדם	човек
האדם	личност
כאן	тук
מול	мол
מול	mol
שלהם	тяхното
שלהם	тяхната
שלהם	техните
שלהם	техният
שלהם	тяхна
שלהם	тяхната
שלהם	техните
שלהם	техен
לעתים	понякога
הכנסת	кнесета
הכנסת	синагогата
וגם	също
הים	море
הים	морето
השיר	песен
השיר	песничка
