que	att
del	del
los	de
los	den
con	med
las	de
las	den
una	en
una	ett
una	one
categoría	kategori
categoría	kategorin
para	för
como	hur
como	gilla
como	gillar
como	som
como	like
fue	var
más	mera
más	more
más	fler
más	mer
sus	deras
sus	sina
sus	hans
sus	ditt
sus	din
sus	dina
sus	its
sus	dess
también	också
también	även
también	också
también	oxå
también	too
también	alltför
entre	bland
entre	entre
entre	emellan
entre	mellan
este	denna
este	detta
este	östra
este	österut
este	öst
este	öster
pero	men
años	years
años	åratal
años	åren
años	år
dos	dos
dos	två
son	är
son	are
sobre	ungefär
sobre	kuvertet
sobre	kuvert
año	year
año	årsmodell
año	året
año	år
desde	sedan
desde	från
esta	denna
esta	detta
enlaces	anknyter
enlaces	länkar
hasta	jämn
hasta	även
hasta	tills
externos	extern
externos	externt
externos	yttre
externos	externa
ciudad	town
ciudad	stad
ciudad	staden
ciudad	staden
ciudad	city
ciudad	ort
ciudad	stad
ciudad	orten
ciudad	ciudad
ser	ser
parte	party
parte	fest
parte	part
parte	kalas
parte	parti
parte	delen
parte	del
durante	under
sin	utan
sin	synd
sin	synden
sin	synda
donde	var
donde	där
donde	vart
san	san
san	sankt
san	saint
san	helgon
era	var
nacional	nationella
nacional	national
nacional	nationellt
nacional	nationell
nacional	nacional
primera	först
primera	första
team	laget
team	lag
team	team
cuando	när
nombre	namnge
nombre	namn
nombre	name
estados	staterna
estados	stater
estados	delstater
utc	utc
siglo	siglo
siglo	sekel
siglo	århundrade
siglo	århundradet
después	efteråt
después	after
después	efter
después	senare
españa	spanien
tiene	har
otros	annan
otros	övrig
otros	övriga
otros	andra
otros	övrigt
otros	annat
otros	andra
otros	övriga
gran	big
gran	stora
gran	stor
gran	stort
gran	jättebra
gran	härligt
gran	toppen
gran	gran
gran	grand
unidos	förenade
unidos	united
unidos	enad
unidos	enade
puede	kan
puede	can
estado	status
estado	ställning
estado	stat
estado	statliga
estado	delstat
estado	statligt
estado	skick
estado	villkor
uno	uno
uno	en
uno	ett
uno	one
lugar	mötesplats
lugar	lokalen
lugar	ställe
lugar	place
lugar	placera
lugar	plats
lugar	platsen
lugar	läge
lugar	plats
primer	först
primer	första
población	populationen
población	befolkning
población	befolkningen
población	folkmängd
población	population
muy	mycket
había	had
había	hadde
había	hade
había	haft
mismo	samma
mismo	detsamma
nueva	ny
nueva	nyhet
nueva	nya
nueva	nytt
fueron	var
historia	berättelse
historia	händelse
historia	story
historia	historia
historia	historia
historia	historik
historia	historiken
club	club
club	klubb
club	klubben
club	klubba
eran	var
cual	vilka
cual	vilket
cual	vilken
cual	som
universidad	university
universidad	universitet
universidad	universitetet
universidad	högskola
universidad	högskolan
universidad	college
universidad	högskola
forma	form
forma	blankett
forma	formulär
forma	form
forma	bilda
tres	tres
tres	tre
tres	three
grupo	grupo
grupo	gruppen
grupo	grupp
grupo	gruppera
general	allmän
general	allmänna
general	allmänt
guerra	kriga
guerra	kriget
guerra	krig
guerra	war
guerra	krigföring
aunque	fastän
tras	efteråt
tras	after
tras	efter
familia	familjer
familia	familjen
familia	familj
familia	family
familia	släkt
además	också
además	även
además	plus
todo	everything
todo	allt
todo	allting
todo	allt
todo	alla
sur	sydlig
sur	södra
sur	sur
sur	syd
sur	söderut
sur	söder
sur	södra
mayor	större
mayor	majoren
mayor	major
mayor	huvudämne
tiempo	väder
tiempo	vädret
tiempo	tid
tiempo	tidpunkt
tiempo	dags
tiempo	klockslag
tiempo	tiden
provincia	provins
provincia	län
provincia	provinsen
partido	party
partido	fest
partido	part
partido	kalas
partido	parti
partido	matchning
partido	match
partido	matchar
partido	matcha
contra	räknare
contra	motverka
contra	emot
contra	mot
contra	contra
encuentra	finna
encuentra	hitta
encuentra	finner
encuentra	hittar
municipio	township
municipio	kommunen
municipio	kommun
otras	annan
otras	övrig
otras	övriga
otras	andra
otras	övrigt
otras	annat
otras	andra
otras	övriga
todos	allihopa
todos	allt
todos	alla
todos	allihopa
todos	alla
juan	johannes
juan	john
juan	johan
juan	joan
sido	varit
josé	joseph
josé	josef
josé	josef
josé	josé
bajo	under
bajo	låga
bajo	lågt
bajo	low
bajo	låg
bajo	bajo
bajo	bas
bajo	bass
serie	serier
serie	serie
serie	serien
serie	serie
serie	serie
cada	varenda
cada	varje
cada	varje
cada	vardera
fútbol	fotboll
fútbol	fotboll
equipo	utrustning
equipo	laget
equipo	lag
equipo	team
norte	norte
norte	norr
norte	norra
norte	norrut
norte	nord
norte	nordlig
norte	norra
norte	nordliga
norte	nord
río	rio
río	river
río	floden
río	flod
méxico	mexico
méxico	mexiko
han	har
han	ha
han	han
argentina	argentina
argentina	argentinska
inglés	swedish
inglés	engelska
nuevo	ny
nuevo	nyhet
nuevo	nya
nuevo	nytt
véase	see
véase	se
junto	längs
junto	utmed
septiembre	september
octubre	oktober
segunda	segunda
segunda	sekund
segunda	andra
discusión	diskussioner
discusión	diskussion
gobierno	styre
gobierno	styrning
gobierno	regering
gobierno	regeringen
condado	county
condado	länet
condado	län
final	slutet
final	end
final	slut
final	avsluta
final	final
final	finalen
final	slutliga
final	final
final	slutligt
final	sista
final	slutgiltigt
final	slutlig
final	final
final	finalen
vida	life
vida	livet
vida	livstid
vida	liv
vida	vida
personas	personer
personas	människor
personas	personer
personas	folk
personas	people
español	spanska
español	spansk
español	spanskt
centro	downtown
centro	centrum
centro	centro
centro	centrum
centro	center
centro	mitten
centro	centrumet
centro	centrum
centro	centre
julio	julio
julio	julius
julio	juli
hay	hö
lincoln	lincoln
país	landet
país	land
mientras	medan
web	webbplatsen
web	webbsida
web	hemsidan
web	hemsida
web	webbplats
web	webb
web	web
web	webben
internacional	internacional
internacional	internationalen
internacional	international
internacional	internationell
internacional	internationella
internacional	internationellt
santa	fy
santa	heliga
santa	helig
santa	helige
santa	heligt
santa	sankt
santa	saint
santa	helgon
santa	tomte
santa	tomten
antes	tidigare
antes	före
antes	förut
antes	innan
oficial	tjänsteman
oficial	officiell
oficial	officiellt
oficial	officiella
oficial	polisman
oficial	officer
quien	vilka
quien	vem
quien	who
mundo	world
mundo	värld
mundo	världen
mundo	mundo
embargo	embargo
tanto	båda
tanto	både
mayo	may
mayo	maj
mayo	majonnäs
mayo	mayo
algunos	några
algunos	vissa
algunos	somliga
temporada	årstid
temporada	säsong
temporada	säsongen
hacia	mot
mejor	bättre
mejor	bästa
mejor	bäst
luego	sedan
luego	sen
luego	då
marzo	marsch
marzo	marschera
marzo	march
marzo	demonstrationståg
marzo	mars
día	dag
día	dagen
día	day
madrid	madrid
madrid	liverpool
enero	jan
enero	januari
número	tal
número	antal
número	nummer
agosto	august
agosto	augusti
agosto	aug
diciembre	december
artículo	artikeln
artículo	artikel
artículo	varan
artículo	objekt
artículo	föremål
noviembre	november
noviembre	nov
otro	annan
otro	övrig
otro	övriga
otro	andra
otro	övrigt
otro	annat
estaba	var
estos	dessa
abril	april
total	totalt
total	sammanlagt
total	total
total	totala
total	summa
región	region
región	regionen
sistema	systemet
sistema	system
habitantes	invånare
habitantes	innevånare
habitantes	invånare
habitantes	boende
habitantes	bosatta
maría	marie
maría	mary
maría	maria
maría	maria
real	real
real	verklig
real	äkta
real	riktigt
real	verkligt
real	riktig
real	kungliga
real	royal
real	kunglig
real	kungligt
página	sida
página	sidan
página	page
esto	denna
esto	detta
mundial	världsomfattande
mundial	världsomspännande
mundial	world
mundial	värld
mundial	världen
mundial	globala
mundial	global
mundial	globalt
música	music
música	musikåret
música	musik
presidente	ordförande
presidente	styrelseordförande
presidente	ordförande
presidente	president
presidente	ordförande
presidente	ordföranden
presidente	talmannen
casa	house
casa	huset
casa	hus
casa	hem
casa	hemma
casa	hemmet
casa	home
sólo	bara
sólo	enbart
sólo	endast
sólo	bara
álbum	album
álbum	musikalbum
álbum	albumet
debido	vederbörlig
debido	due
cuenta	antal
cuenta	greve
cuenta	räkna
cuenta	konto
cuenta	kontot
cuenta	räknar
