brilla	brille
poetas	poètes
stein	stein
custar	coût
custar	coûts
usas	vous
usas	tu
usas	toi
usas	you
usas	utilisation
usas	utiliser
usas	utilise
usas	utilisez
aturar	stand
buratos	trous
cá	le
cá	les
cá	la
saberán	connaitre
saberán	connaître
saberán	sais
saberán	sachez
saberán	savoir
saberán	elles
saberán	ils
saberán	eux
senso	sens
patada	kick
patada	botter
canle	canal
canle	chaîne
canle	chenal
canle	channel
canle	canal
gases	gaz
gases	gaz
comparación	comparés
comparación	comparé
comparación	comparatif
comparación	comparaison
comparación	comparaisons
vantaxe	avantage
morrera	morte
morrera	décédé
morrera	mort
morrera	avait
morrera	avaient
morrera	avais
reclamar	réclamation
reclamar	réclamer
reclamar	revendication
reclamar	revendiquer
reclamar	pour
polonia	pologne
humilde	humblement
humilde	humbles
humilde	humble
humilde	modeste
cortinas	rideau
cortinas	rideaux
vasos	navires
vasos	vaisseaux
vasos	lunettes
vasos	verres
detén	arrêts
detén	arrêt
detén	stop
detén	arrêter
detén	arrête
detén	arrêtez
faltaba	fut
faltaba	etait
faltaba	était
faltaba	manquants
faltaba	manquante
faltaba	manque
faltaba	manquant
faltaba	disparu
chegaría	serait
chegaría	aurait
chegaría	ferait
ventre	ventre
ventre	estomac
ventre	ventre
ventre	utérus
hmm	hmm
hmm	humm
hmm	hmmm
esixe	exigée
esixe	exigé
esixe	requise
esixe	nécessaire
esixe	obligatoire
esixe	requis
esixe	requiert
esixe	exige
esixe	nécessite
febles	faiblesse
febles	faible
febles	faibles
conduta	comportement
corren	courir
corren	exécuter
gañaches	vous
gañaches	tu
gañaches	toi
gañaches	you
gañaches	gagné
gañaches	gagnée
gañaches	gagnées
gañaches	won
gañaches	gagnés
gañaches	victoire
gañaches	gagnez
gañaches	gagner
gañaches	gagnant
bóla	boule
bóla	ball
bóla	balle
bóla	ballon
alerta	alert
alerta	alerter
alerta	alerte
alerta	signalement
alerta	alertes
puxeches	did
puxeches	vous
puxeches	tu
puxeches	toi
puxeches	you
puxeches	mis
puxeches	mettre
debate	débat
debate	débattre
amos	masters
amos	capitaines
amos	maîtres
amos	propriétaires
larry	larry
lexión	légions
lexión	légion
arrestaron	arrêtés
arrestaron	arrêté
arrestaron	arrêtée
arrestaron	elles
arrestaron	ils
arrestaron	eux
parados	standing
parados	chômeur
parados	chômeurs
xornada	journée
xornada	jour
xornada	journee
loitei	combattu
tiros	coup
tiros	shot
tiros	abattus
tiros	tir
tiros	abattu
tiros	coups
axudala	aidez
axudala	aider
axudala	aide
axudala	vous
axudala	tu
axudala	toi
axudala	you
axudala	her
mariñeiro	marin
mariñeiro	matelot
enfronte	front
enfronte	avant
enfronte	devant
durmo	sommeil
durmo	dormir
durmo	dors
trouxeron	apporté
trouxeron	amené
trouxeron	amenés
honorable	honorable
honorable	honorables
vagóns	voitures
vagóns	train
coroación	sacre
coroación	couronnement
quedes	reste
quedes	séjour
quedes	rester
quedes	stand
kent	kent
douche	donner
douche	donne
douche	donnez
douche	vous
douche	tu
douche	toi
douche	you
pódolle	peuvent
pódolle	pouvez
pódolle	peux
pódolle	peut
maletas	pack
maletas	cas
marchen	marche
marchen	mars
atreves	vous
atreves	tu
atreves	toi
atreves	you
atreves	oser
atreves	ose
atreves	dare
atreves	osez
choro	pleurer
choro	cry
choro	pleure
choro	pleurs
impórtache	vous
impórtache	tu
impórtache	toi
impórtache	you
impórtache	esprit
impórtache	mind
acouguen	facile
acouguen	faciles
acouguen	easy
acouguen	facilité
acouguen	veuillez
acouguen	please
acouguen	svp
acouguen	silencieuse
acouguen	tranquille
acouguen	calme
acouguen	silencieux
toleaches	vous
toleaches	tu
toleaches	toi
toleaches	you
toleaches	dingue
toleaches	fou
toleaches	fous
toleaches	cinglé
toleaches	folle
cortes	écuries
cortes	étables
católico	catholique
católico	catholiques
sacerdote	priest
sacerdote	prêtre
sacerdote	curé
sacerdote	prédicateur
sacerdote	pasteur
ficas	reste
ficas	séjour
ficas	rester
ficas	vous
ficas	tu
ficas	toi
ficas	you
indios	indiens
deixarnos	congés
deixarnos	quitter
deixarnos	laisser
deixarnos	partir
deixarnos	congé
delegados	délégués
brancas	blanche
brancas	blancs
brancas	blanches
brancas	blanc
erguédevos	jours
erguédevos	journées
erguédevos	will
erguédevos	volonté
erguédevos	fera
erguédevos	sera
erguédevos	meilleures
erguédevos	meilleure
erguédevos	mieux
erguédevos	meilleurs
erguédevos	meilleur
erguédevos	obtenez
erguédevos	obtenir
irmandade	confrérie
irmandade	fraternité
irmandade	sororité
mack	mack
carter	carter
compaña	compagnie
compaña	entreprise
compaña	société
cabana	cabine
cabana	cabane
creas	croyez
creas	croire
creas	croient
creas	crois
creas	vous
creas	tu
creas	toi
creas	you
berres	crier
berres	criez
berres	shout
berres	crie
berres	don
dezasete	seventeen
faite	vous
faite	tu
faite	toi
faite	you
matado	tué
matado	tuée
matado	tués
victoria	victoire
victoria	victoires
crees	vous
crees	tu
crees	toi
crees	you
crees	pense
crees	pensez
crees	réfléchis
crees	penser
crees	réfléchir
luvas	gants
decreto	décret
acusacións	accusations
acusacións	charges
césar	caesar
césar	césar
vulgar	vulgaire
vulgar	vulgaires
pasalo	fun
pasalo	plaisir
pasalo	marrant
pasalo	amusant
pasalo	avoir
pasalo	ont
roger	reçu
roger	roger
vindo	venir
vindo	viens
vindo	venez
vindo	come
vindo	venir
bagdad	bagdad
cago	hell
cago	enfer
cervo	cerf
cervo	cerfs
cervo	daim
cervo	biche
cervo	chevreuil
cervo	cerf
matarme	kill
matarme	tuez
matarme	tuer
matarme	tue
atacaron	elles
atacaron	ils
atacaron	eux
atacaron	attaqués
atacaron	agressé
atacaron	agressée
atacaron	attaqué
atacaron	attaquée
quixeches	vous
quixeches	tu
quixeches	toi
quixeches	you
quixeches	recherchés
quixeches	recherché
quixeches	recherchée
quixeches	voulu
quixeches	voulait
xenerosa	généreuse
xenerosa	générosité
xenerosa	généreuses
xenerosa	généreux
culto	secte
culto	culte
culto	cultes
irlandesa	irlandaise
irlandesa	irlandais
sicilia	sicile
reich	reich
déronme	elles
déronme	ils
déronme	eux
lagoa	lagune
lagoa	lagon
meniña	petit
meniña	peu
meniña	petite
meniña	fille
meniña	fillette
católicos	catholiques
católicos	catholique
católicos	catholiques
pasear	marche
pasear	promenade
pasear	balade
pasear	marcher
pasear	pour
clans	clan
clans	clans
hmong	hmong
leland	leland
klaus	klaus
pablo	pablo
marquesa	marquise
yoshizawa	yoshizawa
nomura	nomura
duchêne	duchene
nis	nis
nis	nei
cuarteto	quartet
cuarteto	quatuor
estivesen	elles
estivesen	ils
estivesen	eux
estivesen	étaient
corría	courir
corría	fut
corría	etait
corría	était
ensino	enseigner
ensino	enseignement
informática	ordinateurs
informática	ordinateur
técnicas	techniques
veterinarios	vétérinaires
confesión	confession
confesión	aveux
confesión	confesser
confesión	aveu
estanse	sont
loitan	combats
loitan	combat
loitan	bagarre
loitan	sont
loitan	lutte
loitan	combattre
loitan	combat
loitan	bagarre
medicinas	médecine
medicinas	médicament
perden	perdez
perden	perdre
perden	perd
culturas	cultures
interpretación	interprétation
escoitan	ecouter
escoitan	écoutant
escoitan	écouter
escoitan	écoute
dinámica	dynamisme
dinámica	dynamic
dinámica	dynamiques
dinámica	dynamique
dinámica	dynamiques
dinámica	dynamique
populares	populaires
populares	populaire
aumenta	will
aumenta	volonté
aumenta	fera
aumenta	sera
aumenta	augmenter
aumenta	accroître
aumenta	augmentation
aumenta	accroissement
sida	sida
sida	aides
similar	similaires
similar	similaire
similar	semblables
similar	analogue
similar	semblable
espectadores	téléspectateurs
espectadores	spectateurs
decateime	réalisé
saibas	connaitre
saibas	connaître
saibas	sais
saibas	sachez
saibas	savoir
saibas	vous
saibas	tu
saibas	toi
saibas	you
garantía	garantie
garantía	garantir
ken	ken
bambú	bambou
bambú	bambous
