アイザック	isaac
死別	góa
筆記	viết
筆記	ghi
セバスチャン	sebastian
ダイアナ	diana
バーゼル	basel
テリア	terriers
テリア	terrier
節子	setsuko
二階	lầu
静脈	veins
チューン	tune
ノルマンディー	normandy
ノルマンディー	normandie
ハウ	howe
信之	nobuyuki
福澤	fukuzawa
エデン	eden
デザート	mạc
リバイバル	revival
動脈	arterial
動脈	arteries
ツイッター	twitter
発熱	sốt
リュック	balô
リュック	luc
忍び	shinobi
織物	dệt
織物	dệt
織物	vải
織物	dệt
ペスト	pest
礼儀	courtesy
ボンド	bond
オホーツク	okhotsk
グロス	ghê
ヴィーナス	venus
ゴリラ	gorilla
ゴリラ	gorillas
フリッツ	fritz
ブランコ	blanco
堀越	horikoshi
ニトロ	nitro
伊吹	ibuki
ジュゼッペ	giuseppe
竜巻	tornado
竜巻	vòi
健治	kenji
堂本	domoto
苦悩	affliction
ゴリ	gori
ゴア	goa
ゴア	gore
ネブラスカ	nebraska
ポロ	polo
山東省	shandong
ミュラー	müller
ミュラー	muller
ミュラー	mueller
ミュラー	muller
セルティックス	celtics
ディナー	tối
白金	platinum
パラグアイ	paraguay
ブカレスト	bucharest
矢沢	yazawa
ジェシー	jesse
オオカミ	soi
オオカミ	wolf
オオカミ	sói
桜木	sakuragi
コンタクト	lạc
バスケット	giỏ
バスケット	rổ
ザルツブルク	salzburg
叔母	dì
空想	fancy
若菜	wakana
段落	đoạn
ハーモニー	harmony
歌川	utagawa
葛城	katsuragi
宇佐美	usami
波多野	hatano
タイラー	tyler
アンプ	ampli
アンプ	amplifier
礼子	reiko
サーブ	sab
サーブ	saab
イワン	ivan
ギフト	quà
ギフト	cải
ギフト	tặng
理性	chi
恨み	điềm
朝比奈	asahina
ビスマルク	bismarck
構文	syntactic
ミキ	miki
アインシュタイン	einstein
エミリー	emily
安い	rẻ
安い	cheap
安い	rẻ
スラッシュ	chém
ハーレム	harlem
天海	tenkai
サンズ	sands
ガイ	guy
ガイ	khứa
ガイ	gã
プラット	platt
プラット	pratt
プラット	platte
バタフライ	butterfly
バタフライ	bướm
エレナ	elena
家光	iemitsu
クイーンズ	queens
コサック	cossack
スペル	spell
チャレンジャー	challenger
ホワイトハウス	whitehouse
修一	shuichi
ゴマ	sesame
ゴマ	vừng
ゴマ	mè
図形	hình
図形	form
ゲノム	genome
デイヴ	dave
ドッキング	neo
ドッキング	dock
マダム	madam
マダム	phu
マダム	madame
平沢	shusaku
トレント	trent
アーセナル	arsenal
美保	miho
メチル	methyl
幸田	koda
おば	dì
芹沢	serizawa
ベイビー	baby
ベイビー	bé
備後	bingo
備後	jackpot
キルギス	kyrgyzstan
アダムス	adams
ブライト	sáng
ブライト	mẻ
参事官	councillors
トレーラー	trailer
毛皮	lông
コロシアム	coliseum
コロシアム	colosseum
選任	hẹn
マグマ	nham
ニクソン	nixon
マリオン	marion
ごみ	kiệu
ごみ	rác
ハーブ	herb
ハーブ	herbs
フィアット	fiat
ドロシー	dorothy
カッター	cutter
ヒスパニック	hispanic
チェ	choi
チェ	che
講道館	kodokan
逗子	zushi
フェンダー	fender
ジョーク	joke
ジョーク	đùa
ジョーク	đểu
ジョーク	đùa
フォスター	foster
みさき	misaki
クロスオーバー	crossover
孵化	hatch
コウモリ	bat
コウモリ	dơi
コウモリ	dơi
バチカン	vatican
バール	bar
トリス	tris
中国地方	chugoku
ヴィラ	vila
ヴィラ	villa
ヴィラ	villas
大口	oguchi
ユーモア	hài
ユーモア	hài
ウイスキー	whiskey
ウイスキー	rượu
