del	del
che	mà
che	thế
che	rằng
che	điều
che	mà
che	vn
per	cho
con	với
con	bằng
una	xả
una	một
una	one
non	không
non	ko
dell	dell
come	bao
come	như
come	thích
come	like
sono	re
sono	đang
sono	là
dal	dal
dal	dall
dal	khỏi
dal	từ
più	thêm
anche	chính
anche	cũng
team	tạo
team	đội
team	lớp
team	team
due	hai
due	two
tra	giữa
era	aw
era	bị
era	era
dalla	khỏi
dalla	từ
suo	ngành
dopo	theo
dopo	sau
dopo	sau
prima	trước
prima	prima
prima	trước
prima	đầu
parte	saga
parte	part
parte	phần
stato	status
stato	bang
altri	khác
altri	khác
bar	bar
anni	anni
anni	chèo
anni	năm
questo	này
collegamenti	xích
collegamenti	links
nell	nell
serie	series
serie	serie
questa	này
film	phim
film	phim
film	phim
film	film
film	phim
regia	regia
città	phố
città	phố
città	by
solo	solo
solo	chỉ
solo	duy
solo	chỉ
solo	funny
uno	xả
uno	một
uno	one
loro	nhị
loro	them
loro	cói
loro	chúng
loro	họ
loro	quất
loro	những
loro	chúng
loro	họ
primo	primo
primo	trước
primo	đầu
nome	tên
san	san
poi	rồi
secondo	giây
msg	msg
voce	voice
voce	giọng
sia	sia
dove	đâu
quando	khi
anno	năm
mentre	phiêu
mentre	mens
voci	mục
italia	italy
tre	tre
tre	tre
tre	ba
tre	three
molto	cực
molto	rất
molto	nhiều
from	khỏi
from	từ
può	may
hanno	có
hanno	đã
comune	chung
stesso	cùng
tutti	hết
stagione	mùa
stagione	season
gruppo	group
gruppo	nhóm
stati	kỳ
contro	dũng
contro	chống
dai	dai
roma	phòng
roma	rome
roma	roma
tempo	gian
tempo	thời
chiesa	thờ
grande	lớn
grande	lớn
grande	to
grande	đúc
grande	đại
grande	big
grande	tuyệt
grande	grande
guerra	tranh
guerra	chiến
sempre	luôn
fatto	chế
fatto	lam
fatto	xong
volta	volta
storia	truyện
storia	chuyện
fine	end
fine	kết
aveva	nan
aveva	xịt
album	album
album	album
album	albums
già	đã
altre	khác
altre	khác
alcuni	cầy
ancora	lại
ancora	côn
ancora	vẫn
francese	pháp
seconda	giây
finale	finale
finale	final
vita	đời
vita	vita
vita	eo
vita	hông
titolo	tựa
shift	shift
shift	ca
campionato	campionato
ogni	mỗi
ogni	hằng
ogni	mỗi
mondo	mondo
mondo	giới
tutto	hết
tutto	hết
nazionale	gạt
circa	khoảng
circa	về
circa	ban
circa	circa
altro	khác
altro	thêm
sotto	dưới
sotto	dưới
sotto	under
wikipedia	wikipedia
calcio	calcium
calcio	canxi
famiglia	đình
oltre	qua
oltre	hết
oltre	over
inoltre	cũng
numero	số
milano	milan
milano	milano
via	xa
via	phí
via	qua
via	via
posto	nơi
posto	chỗ
maggio	may
modo	đường
nuovo	new
nuovo	mới
nuovo	sâm
perché	vì
perché	sao
casa	ốc
casa	nhà
casa	nhà
generale	tướng
generale	chung
marzo	march
squadra	squad
squadra	đội
squadra	tạo
squadra	đội
squadra	lớp
squadra	team
caso	case
sue	sue
sue	kiện
giugno	june
questi	những
agosto	august
opera	opera
opera	opus
fra	fra
fra	giữa
pagina	page
pagina	trang
giovanni	giovanni
giovanni	gioan
giovanni	john
morte	chết
maria	marie
maria	mary
maria	chư
maria	maria
nuova	new
nuova	mới
nuova	sâm
febbraio	tháng
febbraio	feb
john	gioan
john	john
centro	tâm
centro	centre
quattro	bốn
interno	nội
interno	nội
alcune	cầy
tutte	hết
edizione	edition
qui	đây
nord	bắc
nord	nord
diretto	direct
diretto	trực
esempio	dụ
ultimo	cuối
sfondo	nền
