треки	ট্র্যাক
специализированных	বিশেষায়িত
кучу	স্তূপ
доминик	ডমিনিক
доминик	ডমিনিক
шахматы	দাবা
будапешт	বুদাপেস্ট
фактором	ফ্যাক্টর
казимир	কাসিমির
животное	প্রাণী
животное	পশু
дракона	ড্রাগন
углерода	কার্বন
свидетелей	প্রত্যক্ষদর্শী
свидетелей	প্রত্যক্ষদর্শীরা
атаковали	আক্রান্ত
дискография	ডিস্কতালিকা
взвод	স্কোয়াড
взвод	প্লাটুন
точная	সঠিক
точная	অবিকল
точная	যথার্থ
гоголя	গোগোল
богатства	ঐশ্বর্য
богатства	সম্পদ
рейна	রেইনা
рейна	রায়না
организм	জীব
личинки	লার্ভা
личинки	স্ট্রাইকার
монахи	সন্ন্যাসীদের
монахи	ভিক্ষুদের
белок	প্রোটিন
временный	অস্থায়ী
временный	সাময়িক
завершена	সম্পন্ন
завершена	সমাপ্ত
консульство	কনস্যুলেট
кастро	কাস্ত্রো
матрицы	ম্যাট্রিক্স
взрослые	বড়রা
взрослые	প্রাপ্তবয়স্কদের
взрослые	প্রাপ্তবয়স্ক
взрослые	প্রাপ্তবয়স্ক
арестованы	গ্রেফতার
арестованы	গ্রেপ্তার
ранний	প্রারম্ভিক
ранний	তাড়াতাড়ি
исчезновения	গুম
исчезновения	অন্তর্ধানের
знакомство	ঘনিষ্ঠতা
знакомство	পরিচিত
иисус	জেসাস
иисус	যিশু
иисус	যীশু
иисус	ঈসা
итальянские	ইতালিয়ান
итальянские	ইতালীয়
итальянские	ইতালিয়
компонент	অংশবিশেষ
компонент	সামগ্রী
компонент	অংশ
компонент	কম্পোনেন্ট
искренне	আন্তরিকভাবে
искренне	আন্তরিক
удобства	সুবিধার
удобства	সুবিধা
удобства	যাতায়াত
спутники	উপগ্রহ
спутники	স্যাটেলাইট
спутники	উপগ্রহ
спутники	উপগ্রহ
рон	রন
наблюдение	মনিটরিং
наблюдение	পর্যবেক্ষণ
наблюдение	পর্যবেক্ষন
наблюдение	পর্যবেক্ষণ
наблюдение	নজরদারি
наблюдение	পর্যবেক্ষণ
деда	দাদু
деда	দাদা
деда	দাদু
черепа	খুলি
якоб	ইয়াকুব
словакия	স্লোভাকিয়া
интеграции	অবধি
интеграции	ইন্টিগ্রেশন
женщину	নারী
женщину	মহিলার
женщину	মহিলা
актер	অভিনেতা
мальчиков	বয়ে
мальчиков	ছেলেদের
мальчиков	ছেলেরা
успешного	সফল
сделки	চুক্তি
сделки	ডিল
попробуйте	চেষ্টা
черт	ড্যাম
девиз	নীতিবাক্য
девиз	স্লোগান
девиз	শ্লোগান
сек	সেকেন্ড
греческая	hellenic
греческая	গ্রীক
греческая	গ্রিক
тысячелетия	সহস্রাব্দ
серийный	ক্রমিক
серийный	সিরিয়াল
земледелия	চাষাবাদ
земледелия	কৃষি
лекарственных	ঔষধি
частное	একান্ত
частное	ব্যক্তিগত
частное	প্রাইভেট
риска	রিস্ক
риска	ঝুঁকি
риска	ঝুকি
зеркало	আয়না
зеркало	মিরর
зеркало	আয়নার
беседы	কথোপকথন
беседы	সাক্ষাতকার
беседы	ইন্টারভিউ
регулярный	সাধারণ
регулярный	নিয়মিত
рассказать	বলুন
рассказать	বলো
рассказать	বলি
грей	ধূসর
райт	রাইট
вертолёт	হেলিকপ্টার
мали	মালি
реакций	প্রতিক্রিয়া
независимая	ইন্ডিপেন্ডেন্ট
независимая	স্বাধীন
грузовых	মালবাহী
украшения	গয়না
украшения	অলঙ্কার
украшения	গয়না
украшения	গহনা
правду	সত্যতা
правду	ট্রুথ
правду	সত
правду	সত্য
уровни	মাত্রা
уровни	লেভেলের
организатором	সংগঠক
влиятельных	প্রভাবশালী
разнообразие	বৈচিত্র্য
хирург	সার্জন
брони	armor
брони	বর্ম
патрон	কার্টিজ
поворот	মোড়
поворот	ঘুরি
поворот	পালা
поворот	আবর্তন
гражданства	জাতীয়তা
молитвы	প্রার্থনা
молитвы	নামাজ
ботанический	বোটানিক্যাল
босния	বসনিয়া
конечной	সর্বাধিক
дэйв	ডেভ
алжир	আলজেরিয়া
коричневые	ব্রাউনের
коричневые	বাদামী
коричневые	ব্রাউন
коричневые	বাদামি
саймон	সাইমন
нила	নিল
саид	সৈয়দ
саид	বললাম
саид	বলেন
саид	বললেন
саид	বলল
саид	বলেছে
саид	বললো
саид	সাঈদ
саид	সাইদ
декан	ডিন
низким	নিচু
низким	নিম্ন
низким	কম
низким	নীচু
повсеместно	সর্বত্র
руды	ore
электрических	ইলেকট্রিক্যাল
электрических	তড়িৎ
электрических	ইলেক্ট্রিক্যাল
электрических	বৈদ্যুতিক
джеффри	জিওফ্রে
блюз	ব্লুজ
ценные	মূল্যবান
нефть	তেল
нефть	তৈল
нефть	অয়েল
нефть	তেলের
нефть	পেট্রোলিয়াম
существенное	তাৎপর্যপূর্ণ
снег	তুষারপাত
снег	বরফ
снег	তুষার
виа	ভায়া
виа	মারফত
виа	মাধ্যমে
детройт	ডেট্রয়েট
показывать	প্রদর্শন
показывать	দেখান
целые	পুরো
целые	সমগ্র
целые	গোটা
преступников	অপরাধীরা
преступников	অপরাধী
преступников	অপরাধীদের
воля	করবে
воля	করবো
воля	দেবো
воля	করবি
дженнифер	জেনিফার
форд	ফোর্ড
шар	চর
шар	বেলুন
шар	বল
подарок	বর্তমান
подарок	উপস্থিত
подарок	গিফট
подарок	উপহার
очко	স্কোর
очко	বিন্দু
очко	পয়েন্ট
субрегион	subregion
группировка	শ্রেণীবদ্ধকরণ
стрелка	শুটার
стрелка	তীরচিহ্ন
стрелка	তীর
жидкость	তরল
жидкость	তরল
свойство	বৈশিষ্ট্য
свойство	সম্পদ
свойство	সম্পত্তি
этаж	ফ্লোরে
этаж	তলা
этаж	মেঝে
этаж	ফ্লোর
этаж	তল
выполнено	সিদ্ধ
сербов	সার্ব
контекста	প্রসঙ্গ
люксембурга	লুক্সেমবার্গ
эна	লগে
курорт	রিসর্ট
курорт	রিসোর্ট
вектор	ভেক্টর
горки	কোস্টার
фантастический	চমত্কার
фантастический	কল্পনাপ্রসূত
фантастический	চমৎকার
закончить	সম্পন্ন
закончить	সমাপ্ত
мирное	শান্তিময়
мирное	শান্তিপূর্ণ
саха	সাহা
саха	saha
присоединение	যোগদান
присоединение	যোগদানের
барабанщик	ড্রামার
нож	ছুরি
акция	কর্ম
акция	কাজ
изобретение	আবিষ্কার
изобретение	আবিস্কার
навыки	দক্ষতা
навыки	দক্ষতা
грубо	নিষ্ঠুর
грубо	অভদ্র
уменьшение	হ্রাস
уменьшение	হ্রাস
физическая	শারীরিক
физическая	দৈহিক
физическая	শারীরীক
ботаника	উদ্ভিদবিজ্ঞান
рей	রে
рей	রে
рей	রেই
рей	রে
