lineare	lineær
jem	boyz
mbrojtësit	forsvarere
ushtarakë	militæret
ushtarakë	militær
ushtarakë	militære
investimeve	investeringer
bendit	bendit
salih	salih
salih	saleh
takime	møter
takime	møtene
takime	avtaler
malta	malta
monedhë	valuta
monedhë	valutaen
monedhë	mynt
trajtohet	behandla
trajtohet	behandlet
alex	alex
organizëm	organisme
alice	alice
aspekti	aspekt
vini	vinnie
shpjegim	forklaring
banja	do
banja	badet
banja	baderom
banja	toalett
banja	banja
dijetar	stipendiat
dijetar	lærd
skoci	skottlands
skoci	skottland
skoci	scotland
komunistëve	kommunister
komunistëve	kommunistene
ekzistonin	eksisterte
ekzistonin	eksistert
ekzistonin	fantes
yang	yang
sfond	bakgrunnen
sfond	bakgrunn
individët	enkeltindivider
individët	enkeltpersoner
individët	individer
mohuar	fornektet
mohuar	avslått
mohuar	avvist
mohuar	avslag
mohuar	nektet
xhiruar	skyte
xhiruar	skyt
italiana	italiana
bllok	blokkering
bllok	blokker
bllok	blokk
bllok	blokkere
posedon	innehar
posedon	besitter
posedon	eier
revistat	magasiner
revistat	tidsskrifter
revistat	blader
ritet	ritualer
jone	våre
jone	vår
jone	vårt
davis	davis
nano	nano
ustring	ustring
pjesëmarrëse	deltar
pjesëmarrëse	deltakende
prani	nærvær
prani	tilstedeværelse
ostrobothnia	österbotten
pesëdhjetë	femti
pesëdhjetë	fifty
pan	pan
namazi	salah
namazi	bønn
egjiptian	egyptisk
menaxhimi	administrering
menaxhimi	administrerende
menaxhimi	administrere
menaxhimi	management
menaxhimi	ledelse
ardhja	ankomsten
ardhja	ankomst
neymar	neymar
fara	frø
fara	sæd
fara	frø
fara	karve
mjedise	miljøer
siria	syria
shkelje	overtredelse
çifti	pair
çifti	par
çifti	par
çifti	paret
çifti	couple
studenti	elev
studenti	student
përfaqësuese	representativt
përfaqësuese	representant
serveri	server
efendi	efendi
profesori	professor
cellpadding	cellpadding
ditari	blogg
ditari	journal
ditari	tidsskrift
ditari	dagbok
ditari	dagbok
periferike	suburban
periferike	perifere
granada	granada
bregdet	strandkanten
institut	instituttet
institut	institutt
institut	institute
pjesëmarrje	deltakelse
pjesëmarrje	deltagelse
ekstreme	ekstrem
ekstreme	ekstremt
ekstreme	ekstreme
ekstreme	extreme
jul	julius
jul	yul
jul	jul
perse	persevs
fribourg	fribourg
spektatorë	tilskuere
delegat	delegat
shtypja	undertrykkelse
shtypja	undertrykkelse
shtypja	undertrykkelse
lëkurë	skinn
lëkurë	lær
lëkurë	hud
lëkurë	flå
lëkurë	huden
pylli	skog
pylli	skogen
pylli	forest
dëmtim	skade
dëmtim	skade
lek	money
lek	penger
ngrënë	åt
ngrënë	spiste
ngrënë	ate
ngrënë	spises
ngrënë	spist
krenar	proud
krenar	stolt
krenar	stolte
lagjet	slummen
lagjet	slum
lagjet	nabolag
lagjet	nabolag
lagjet	kvartalene
lejen	tillatelse
kompjuterët	datamaskiner
tyne	tyne
shkatërruan	ødelagt
shkatërruan	ødelegges
shkatërruan	tilintetgjort
nina	nina
sjellja	oppførsel
sjellja	innstilling
sjellja	attitude
sjellja	holdningen
sjellja	holdning
sjellja	atferd
sjellja	oppførsel
kthim	tilbakebetaling
kthim	refusjon
kthim	return
kthim	returner
kthim	returnere
eddie	eddie
diskutimi	diskusjon
nova	nova
dorëzuar	leverte
dorëzuar	levert
dorëzuar	leveres
dorëzuar	overga
dorëzuar	overgitt
dorëzuar	overgi
dorëzuar	overgivelse
dorëzuar	kapitulasjon
tipe	typer
mbledhura	samlet
aleksander	aleksander
aleksander	aleksander
aleksander	alexander
mtv	mtv
pirro	pyrrhus
ekspedita	ekspedisjoner
ekspedita	ekspedisjon
legjendë	legende
legjendë	legend
kozmike	kosmisk
brandt	brandt
internacional	international
internacional	internasjonalt
internacional	internasjonale
internacional	internasjonal
zgjidhen	løste
zgjidhen	løst
zgjidhen	oppklart
fushatën	kampanje
fushatën	kampanjen
ricardo	ricardo
hir	sake
zagrebit	zagreb
gjyqi	rettssak
gjyqi	prøving
gjyqi	rettergang
delle	delle
kurorë	krans
kurorë	krone
kurorë	kårer
transferuar	overført
josip	josip
barbara	barbara
hugo	hugo
selman	selman
bekuar	velsignede
bekuar	salige
bekuar	velsignet
bekuar	blessed
përparësi	prioritet
përparësi	prioritert
përparësi	prioritering
production	produksjonen
production	produksjon
pronar	owner
pronar	eier
pronar	utleier
qumësht	melk
jersey	jersey
përparuar	avansert
përparuar	avanserte
përparuar	advanced
dhuratë	gaven
dhuratë	gave
shiu	regn
shiu	rain
polare	polar
zeusi	zevs
rada	rada
skenat	scenene
skenat	scener
çela	cela
revolucionar	revolusjonære
revolucionar	revolusjonerende
revolucionar	revolusjonær
cover	dekke
cover	cover
cover	deksel
cover	dekk
rusë	russere
financuar	finansiert
financuar	finansierte
financuar	finansiert
pallat	palass
pallat	palasset
pallat	palace
arkitekti	arkitekt
nxiti	trang
oslo	oslo
roosevelt	roosevelt
vetëdijshëm	bevisst
vetëdijshëm	bevisste
dimri	vinteren
dimri	vinter
presionin	press
presionin	trykk
gjumë	luren
gjumë	lur
gjumë	blund
gjumë	nap
gjumë	sleep
gjumë	søvn
gjumë	sove
motër	sis
motër	søs
motër	sister
motër	søster
motër	syster
motër	søsteren
motër	søstera
atlantique	atlantique
daljen	utseende
tektonike	tektoniske
kolonë	kolonnen
kolonë	kolonne
kolonë	søyle
ulliri	olive
ulliri	oliven
ulliri	oliven
foli	pratet
foli	snakka
foli	snakket
foli	talte
ndërtime	bygging
