жозеф	joseph
госпиталь	hopital
госпиталь	hôpital
госпиталь	hospitalisation
госпиталь	hôpitaux
простое	simple
простое	simples
тихий	silencieuse
тихий	tranquille
тихий	calme
тихий	silencieux
рой	roy
рой	essaims
рой	essaim
альберто	alberto
электроэнергии	electricité
электроэнергии	électricité
пьетро	pietro
кубы	cuba
задняя	postérieure
задняя	postérieur
задняя	arrière
задняя	arriere
задняя	arrières
камер	chambers
возражения	objection
возражения	récusation
возражения	objections
возражения	objections
уилсон	wilson
старших	seniors
старших	aîné
старших	senior
юбилейная	jubilé
исаак	isaac
бесплатно	gratuit
бесплатно	gratuits
бесплатно	free
бесплатно	gratuitement
бесплатно	libre
стекла	vitre
стекла	verre
стекла	verres
показания	témoignage
янг	yang
янг	jeunes
янг	jeune
кинотеатр	théatre
кинотеатр	théâtre
кинотеатр	cinémas
кинотеатр	cinéma
кинотеатр	ciné
центральное	central
центральное	centrale
ушли	partis
ушли	parti
ушли	gone
эфиопии	éthiopie
эфиопии	ethiopie
эфиопии	éthiopie
эфиопии	éthiopien
эфиопии	éthiopienne
эфиопии	ethiopie
важность	importance
подробное	détaillées
подробное	détaillée
подробное	détaillé
неудачно	malheureux
неудачно	regrettable
неудачно	fâcheux
неудачно	malheureuse
разновидности	cépages
разновидности	variétés
разновидности	variété
венесуэлы	vénézuéliens
венесуэлы	vénézuélienne
венесуэлы	vénézuélien
венесуэлы	venezuela
настоящая	réel
настоящая	réelle
настоящая	véritable
настоящая	vrai
настоящая	vraie
пресса	appuyez
пресса	presse
гостиница	hôtel
навигации	navigation
развиваться	évoluer
хозяин	propriétaire
хозяин	maitre
хозяин	master
хозяин	maître
ранг	grade
ранг	rang
ранг	classer
дополнительное	supplémentaire
дополнительное	complémentaire
дополнительное	supplémentaire
дополнительное	supplémentaires
дополнительное	additionnel
дополнительное	supplémentaires
дополнительное	supplémentaire
дополнительное	extra
колония	colonie
носила	portaient
носила	portait
арнольд	arnold
борцы	lutteurs
боги	dieux
обложка	couvercle
обложка	couverture
обложка	couvrir
обложка	housse
оформить	officialiser
оформить	formaliser
классическая	classique
классическая	classiques
классическая	classic
классическая	classique
классическая	classiques
картинки	images
картинки	images
картинки	photos
нынешней	actuel
нынешней	courant
нынешней	actuels
нынешней	actuelle
перепись	recensements
перепись	recensement
принадлежали	appartenait
принадлежали	appartenaient
принадлежали	appartenu
объяснения	explications
рад	content
швейцарский	suisses
швейцарский	suisse
зубов	dentition
зубов	dents
грант	subvention
грант	grant
дискуссия	discussions
дискуссия	discussion
дискуссия	débat
барабаны	batterie
барабаны	tambours
барабаны	fûts
студент	étudiant
студент	étudiante
студент	étudiants
студент	etudiant
водорода	hydrogène
укр	ukr
шотландский	ecossais
шотландский	écossaise
шотландский	écossais
охоты	chasser
охоты	chasse
образы	images
вон	vaughn
дэн	dan
дэн	deng
приборы	instrumentation
приборы	instruments
квартиру	plats
квартиру	plat
арест	arrestation
арест	arrestations
рисунки	images
рисунки	photos
рисунки	dessins
заказ	ordre
заказ	commande
заказ	commander
павлов	pavlov
социальный	sociale
социальный	sociaux
социальный	social
обсуждается	discute
выразил	exprimée
выразил	exprimées
выразил	exprimé
выразил	exprimés
реальность	réalité
реальность	réalités
хасан	hasan
хасан	hassan
хасан	hassan
намерения	intentions
намерения	intention
намерения	intentions
гонсалес	gonzalez
гонсалес	gonzález
гонсалес	gonzalez
гонсалес	gonzales
гонсалес	gonzález
гонсалес	gonzalez
хоп	houblon
хоп	hop
юлий	julius
юлий	jules
мок	coi
мок	cio
арбитр	arbitre
арбитр	arbitres
арбитр	arbitrer
арбитр	arbitre
арбитр	arbitre
свадьба	mariage
свадьба	noces
свадьба	mariages
вреда	harm
журналистики	journalisme
журналистики	journalistique
преобразование	conversion
преобразование	convertissant
преобразование	conversion
преобразование	reconversion
преобразование	transformation
преобразование	transformer
преобразование	transforme
преобразование	transformation
ученый	scientifique
ученый	érudit
театры	théâtres
содружества	commonwealth
гитары	guitare
гитары	guitares
гитары	guitares
крейсеров	croiseurs
неба	sky
неба	ciels
неба	ciel
политехнический	polytechnique
закрыто	fermée
закрыто	fermé
закрыто	fermés
закрыто	clos
мельница	moulin
механик	mécano
механик	mécanicien
склад	entrepôt
склад	entrepôts
склад	stockage
склад	entreposage
склад	rangement
публично	publiquement
джейсон	jason
чрезвычайный	extraordinaire
чрезвычайный	extraordinaires
критическое	critique
критическое	critiques
используемые	utilisées
используемые	utilisé
используемые	utilisés
используемые	utilisée
прощения	pardonner
райан	ryan
особняк	manoir
хлеб	pain
избрана	élue
избрана	élu
избрана	élues
избрана	élus
сады	vergers
сады	jardins
слоя	couche
слоя	calque
движок	moteur
девочки	filles
освободить	release
освободить	libération
освободить	libèrent
гипотезы	hypothèses
середина	mid
медицинская	médicaux
медицинская	médicale
медицинская	médical
логично	logiquement
логично	logique
логично	logiques
выпускников	anciens
выпускников	diplômés
жаль	pitié
жаль	dommage
месяцы	mois
индонезия	indonésie
дизайнер	designer
дизайнер	styliste
дизайнер	dessinateur
дизайнер	concepteur
дизайнер	créateur
стол	table
стол	tableau
луиджи	luigi
исчезли	disparues
исчезли	disparue
исчезли	disparu
исчезли	disparus
могилы	tombes
могилы	tombeaux
могилы	graves
могилы	fosses
томми	tommy
королевская	royale
королевская	royal
королевская	royales
королевская	royaux
белков	protéines
способствовало	contribué
чан	chang
чан	chan
чан	jang
улицах	rues
казнь	exécution
тольятти	togliatti
морис	maurice
совершает	commet
самцы	masculins
самцы	mâles
самцы	hommes
убедить	convaincre
убедить	convainc
убедить	persuader
убедить	persuade
технику	technique
частного	privée
частного	privé
частного	privés
оригинальные	originale
оригинальные	original
оригинальные	originaux
цветы	fleurs
рыцарь	knight
рыцарь	chevalier
рыцарь	chevaliers
прокат	location
прокат	loyer
прокат	louer
литве	lituanie
родригес	rodriguez
родригес	rodríguez
родригес	rodrigues
родригес	rodríguez
дам	dam
дам	barrage
дам	digue
наблюдать	observe
наблюдать	observez
наблюдать	observer
кама	kama
тэц	chp
тэц	cogénération
печатных	imprimé
печатных	imprimée
печатных	imprimées
печатных	imprimés
северное	septentrionale
северное	nordique
северное	septentrional
северное	northern
северное	nord
ценностей	valeurs
квадратный	carré
квадратный	carrés
квадратный	square
квадратный	carrées
малайзии	malaisien
малайзии	malaisie
малайзии	malaisien
малайзии	malaisienne
одежда	habillement
одежда	vêtements
одежда	vêtement
одежда	vêtements
одежда	vêtement
промышленные	industrielle
промышленные	industriels
промышленные	industrielles
промышленные	industriel
тяжёлая	heavy
тяжёлая	lourde
тяжёлая	lourd
тяжёлая	lourds
мкс	iss
мкс	irc
мкс	cri
мкс	icm
мкс	cie
оппонентов	adversaires
оппонентов	opposants
вдова	veuves
вдова	veuf
вдова	veufs
вдова	veuve
вдова	veuves
вдова	veuve
вдова	veuf
грибы	champignons
грибы	champignon
грибы	champignons
грибы	champignon
грибы	champignons
грибы	champignon
идеологии	idéologie
идеологии	idéologique
идеологии	idéologies
идеологии	idéologies
разрешить	autoriser
разрешить	permettent
разрешить	autoriser
разрешить	permettre
разрешить	permis
барбара	barbara
признали	reconnu
признали	reconnue
признали	reconnus
признали	reconnu
признали	reconnues
признали	reconnue
признали	reconnus
признали	reconnu
признали	reconnues
признали	reconnue
признали	reconnus
псевдонимы	alias
псевдонимы	pseudonymes
законодательство	législation
законодательство	législations
ксения	xenia
ксения	ksenia
ганс	hans
сзади	derrière
сзади	arrière
сзади	arriere
сзади	arrières
иллинойс	illinois
тон	tonne
тон	tonnes
тон	tonalité
тон	tonus
планете	planete
планете	planète
леви	levi
леви	levy
леви	cotisation
леви	prélèvement
потомков	descendants
потомков	descendance
потомков	descendants
регистр	enregistrer
регистр	enregistrez
регистр	registre
регистр	registre
регистр	greffe
прототип	prototype
прототип	prototypes
творческий	créatifs
творческий	créative
творческий	créatif
геологии	géologie
химический	chimique
химический	chimiques
астрономы	astronomes
препараты	médicaments
нижние	abaisser
нижние	inférieur
нижние	inférieure
чистой	propre
чистой	nettoient
чистой	nettoyer
украинцы	ukrainiens
украинцы	ukrainiennes
украинцы	ukrainien
украинцы	ukrainienne
украинцы	ukrainiens
продолжая	continuer
продолжая	continue
коды	codes
среду	mercredi
уголовное	criminels
уголовное	pénale
уголовное	criminel
уголовное	criminelle
капитал	majuscule
капитал	capitaux
капитал	capitale
капитал	capital
монография	monographie
росс	ross
гвинеи	guinée
гвинеи	guinéen
гвинеи	guinéenne
гвинеи	guinéenne
гвинеи	guinéen
гвинеи	guinéennes
вкус	goûter
вкус	saveur
вкус	gouter
вкус	goût
вкус	goûts
вкус	saveur
ссылается	invoque
племя	tribu
дама	madame
дама	dame
дама	dame
атлетика	athlétisme
трудящихся	ouvriers
трудящихся	travailleurs
ставки	mises
ставки	parier
ставки	pari
ставки	tarifs
ставки	taux
ставки	pieux
ставки	enjeu
ставки	enjeux
ставки	piquets
люблю	aime
люблю	amour
люблю	aimer
люблю	love
подруга	copine
подруга	ami
подруга	amie
подруга	amis
сицилии	sicile
клиентов	client
клиентов	clients
клиентов	clientèle
клиентов	clients
выпускник	diplômés
выпускник	diplômée
выпускник	diplômé
возникновение	émergence
гвинея	guinée
гвинея	guinéen
гвинея	guinéenne
реформа	réformer
реформа	reforme
реформа	réformer
реформа	réforme
реформа	réformes
войти	connecter
войти	connexion
войти	entrer
войти	entrez
войти	saisir
войти	saisissez
скрипки	violons
дева	virgo
дева	vierge
дева	virgin
дева	vierges
дева	vierge
дева	puceau
дева	maiden
дева	demoiselle
травму	traumatisme
травму	trauma
травму	traumatique
травму	traumatismes
висит	pend
висит	suspendus
висит	pendu
висит	pendaison
полицейских	policiers
конвенции	convention
конвенции	conventions
местоположения	localisations
местоположения	lieux
обнаружить	découvrez
обнаружить	découverte
обнаружить	découvrir
душа	douches
душа	douche
душа	âmes
душа	ame
душа	soul
душа	âme
медведь	ours
медведь	bear
чёрное	noire
чёрное	black
чёрное	noires
чёрное	noir
чёрное	noirs
эхо	échos
эхо	écho
эхо	échos
эхо	echo
кипра	chypre
быстрый	rapide
быстрый	rapidement
быстрый	vite
быстрый	rapides
быстрый	rapide
быстрый	rapidement
быстрый	vite
быстрый	rapidité
быстрый	rapides
кратеров	cratères
тан	tang
тан	tan
тан	bronzage
тан	bronzé
спектр	spectre
спектр	spectre
спектр	specter
спектр	spectre
курт	kurt
курт	curt
