yang	یانگ
dan	دن
dengan	با
the	را
untuk	برای
juga	همچنین
terletak	دروغ
indonesia	اندونزی
dari	dari
dari	دری
dari	از
daerah	منطقه
daerah	ناحیه
daerah	بخش
tahun	سالهای
tahun	سالها
tahun	سال
tahun	سال
adalah	هستند
adalah	are
telah	has
telah	دارد
wilayah	ولایت
wilayah	استان
wilayah	منطقه
wilayah	ناحیه
wilayah	استان
wilayah	منطقۀ
wilayah	سرزمینهای
wilayah	قلمروی
wilayah	قلمرو
lihat	see
lihat	دیدن
kawasan	منطقه
kawasan	مساحت
kawasan	ناحیه
kawasan	منطقه
kawasan	ناحیه
kawasan	استان
kawasan	منطقۀ
sekolah	مدارس
sekolah	مدرسه
sekolah	مکتب
komun	کمون
bahasa	زبانهای
bahasa	زبانها
bahasa	زبان
bahasa	زبان
orang	شخص
orang	افراد
orang	مردمان
orang	آدمها
orang	مردم
pautan	پیوند
pautan	لینک
pautan	پیوندها
pautan	پیوندهای
malaysia	مالزی
malaysia	iran
daripada	از
daripada	than
kampung	روستای
kampung	دهکده
kampung	ویلیج
kampung	روستا
jabatan	وزارت
jabatan	اداره
jabatan	بخش
satu	یکی
satu	یگانه
satu	یک
negara	کانتری
negara	کشوری
negara	کشور
negara	مملکت
negara	ییلاق
negara	حالت
negara	استیت
negara	دولت
negara	وضعیت
negara	ایالت
negara	کشورها
mereka	آنها
mereka	آنان
mereka	اونا
mereka	اونها
mereka	آنها
mereka	ایشان
kebangsaan	تابعیت
kebangsaan	ملیت
kebangsaan	ملیتی
kebangsaan	نشنال
kebangsaan	ملی
bandar	قریه
bandar	شهر
bandar	شهرک
bandar	شهری
bandar	شهر
bandar	سیتی
bandar	شهرها
bandar	بندر
imperial	امپراطوری
imperial	سلطنتی
imperial	امپراتوری
lelaki	انسان
lelaki	مَرد
lelaki	مرد
negeri	حالت
negeri	استیت
negeri	دولت
negeri	وضعیت
negeri	ایالت
menjadi	بودن
barat	وست
barat	باختر
barat	غرب
barat	غربی
barat	barat
barat	وسترن
barat	غربی
lain	دیگر
lain	غیره
lain	دیگران
lain	دیگر
lebih	دیگر
lebih	بیشتر
etnik	قومی
etnik	نژادی
etnik	قومیت
mempunyai	has
mempunyai	دارد
perancis	فرنچ
perancis	فرانسه
perancis	فرانسوی
perancis	فرانس
perancis	فرانسه
akan	ویل
nama	نام
nama	نامها
nama	نامهای
perbandaran	شهری
filem	فیلمهایی
filem	فیلمهای
filem	فیلمی
filem	فیلم
filem	فیلمش
filem	سینمایی
filem	فیلم
filem	film
filem	سینما
filem	فیلمهایی
filem	فیلم
filem	فیلمها
timur	شرق
timur	شرقی
timur	تیمور
timur	شرق
timur	شرقی
dua	دوتا
dua	دو
pertama	اول
pertama	ابتدا
pertama	نخستین
perempuan	زن
perempuan	زنی
perempuan	زنانی
perempuan	زنها
perempuan	زنان
svg	svg
india	سرخپوست
india	هندی
india	هند
india	هندوستان
senarai	فهرست
dia	dia
dia	دیا
terbang	پرواز
terbang	پروازی
terbang	پرواز
dunia	جهان
dunia	دنیا
dunia	جهانی
dunia	دنیا
kerana	چون
bahawa	که
laut	دریا
laut	دریای
laut	بحر
selatan	جنوب
selatan	جنوبی
selatan	ساوت
selatan	جنوب
selatan	جنوبی
stadium	ورزشگاههای
stadium	ورزشگاه
tempat	محل
tempat	مکانی
tempat	مکان
tempat	جای
tempat	جایی
tempat	مکانهایی
tempat	مکانها
tempat	مساجد
besar	بزرگ
besar	درشت
besar	بیگ
besar	big
besar	بزرگ
besar	بزرگی
besar	بسار
tetapi	ولی
tetapi	اما
antara	آنتارا
antara	میان
antara	بین
pelajar	دانشجویان
pelajar	محصل
pelajar	شاگرد
pelajar	دانشجو
utara	شمالی
utara	نورث
utara	شمال
utara	شمالی
utara	شمال
syarikat	کورپوریشن
syarikat	گروهان
syarikat	شرکت
syarikat	company
syarikat	کمپانی
syarikat	شرکتها
syarikat	شرکتهای
syarikat	احزاب
raya	رایا
beberapa	چندین
jumlah	مقدار
jumlah	مبلغ
jumlah	مجموع
jumlah	کلا
jumlah	کل
republik	جمهوری
kumpulan	گروهبندی
kumpulan	گروپ
kumpulan	گروه
kumpulan	گروهها
tentera	ارتش
tentera	نظامی
tentera	ارتشی
tentera	سربازها
tentera	سربازان
tentera	لشگر
tentera	ارتش
tentera	ارتشی
tentera	سپاه
tentera	لشکر
amerika	آمریکایی
amerika	امریکایی
amerika	امریکن
amerika	آمریکن
amerika	آمریکای
amerika	امریکا
amerika	آمریکا
turki	ترکیه
turki	ترکی
turki	بوقلمون
turki	ترکهای
turki	ترکها
turki	ترکیه
turki	ترکی
baru	تازه
baru	نو
baru	جدید
baru	نیو
buah	شقایق
buah	میوه
buah	میوه
jawa	جاوا
jawa	جاوه
bawah	تهش
bawah	مفعول
bawah	پایین
bawah	باتوم
bawah	تحت
bawah	زیر
hari	روز
hari	روزی
hari	روزها
hari	روزگار
hari	روزهایی
hari	روزای
hari	روزهای
google	گوگل
google	google
pemain	بازیکنان
pemain	بازیکن
pemain	بازیکن
melayu	مالایی
kerajaan	فرمانروایی
kerajaan	پادشاهی
kerajaan	امپراطوری
kerajaan	امپایر
kerajaan	امپراتوری
kerajaan	قلمرو
kerajaan	دولتی
kerajaan	حکومت
kerajaan	دولت
sama	sama
sama	برابر
sama	مساوی
sama	همون
iran	ایرانیان
iran	ایرانیها
iran	ایران
iran	سوادکوه
iran	ایرانیان
iran	ایرانی
iran	iranian
ahli	عضو
ahli	عضوی
ahli	اعضای
ahli	اعضا
poskod	postcode
kedua	ثانیا
kedua	دوما
kedua	دوم
kedua	ثانیه
kedua	دومی
pasukan	سربازان
pasukan	تیمهای
pasukan	قافله
pasukan	تیم
