جودو	џудо
پژو	peugeot
مسائلی	проблеми
بالاتری	повисоко
بالاتری	повисок
بالاتری	повисока
بالاتری	повисоки
تامیل	тамил
نوسنگی	неолитски
کورت	курт
کورت	курт
خطبه	проповед
نزاع	оспори
نزاع	спор
نزاع	конфликт
نزاع	расправија
نزاع	караница
نزاع	кавга
داروین	дарвин
غواصی	нуркање
غواصی	dive
غواصی	нуркање
بلوط	костен
بلوط	костени
بلوط	даб
دستورات	наредби
دستورات	нарачки
دستورات	порачки
تقارن	симетрија
اسراییل	израел
اسراییل	израелска
اسراییل	израелските
اسراییل	израелскиот
اسراییل	израелски
اشباع	заситеност
کوئین	квин
پلاتین	платинум
پشتیبان	подршка
پشتیبان	поддршка
پشتیبان	support
پشتیبان	подршка
پشتیبان	засилување
اسکندریه	александрија
مرکوری	меркур
پخت	готвење
موری	мареј
تضعیف	поткопување
تضعیف	ослабувањето
تضعیف	слабеењето
خزانه	трезор
خزانه	вредносни
شهروندی	државјанство
شهروندی	граѓанин
فین	фин
زانو	коленото
زانو	колено
زانو	колената
زانو	колена
زانو	коленици
آرنا	арена
فلش	блесок
فلش	флеш
فلش	блиц
ناتمام	незавршена
ناتمام	недовршена
ناتمام	недовршени
ناتمام	нецелосни
ناتمام	нецелосна
ورنر	вернер
تنبیه	казнет
تنبیه	казнети
تنبیه	казни
تنبیه	казнување
تنبیه	казна
اشتباهات	грешки
ویدئوی	video
ویدئوی	видео
مناره	минаре
تقلب	измамат
تقلب	мамење
تقلب	измама
تقلب	измами
نشینی	повлекување
موزامبیک	мозамбик
ایرویز	ервејс
مغان	маги
حقایق	факти
رواندا	руанда
مونترآل	montréal
تامسون	томсон
تامسون	томпсон
تامسون	томсон
انتقادات	критика
مانکن	супермодел
پاور	моќ
پاور	власт
پاور	моќност
جنجال	контроверзност
جنجال	контроверзија
جنجال	контроверзии
تبت	тибетска
تبت	тибет
نورد	кочија
نورد	норд
اهلی	домашно
اهلی	домашен
اهلی	домашна
اهلی	домашни
