kategória	loại
egy	xả
egy	một
egy	one
nem	không
nem	ko
ben	ben
ben	crack
volt	nan
volt	xịt
volt	aw
volt	bị
magyar	magyar
magyar	hung
magyar	hungary
meg	meg
első	trước
első	đầu
csak	chỉ
csak	duy
csak	chỉ
csak	funny
még	chính
még	côn
még	vẫn
van	có
van	đã
település	làng
település	municipality
már	đã
között	giữa
mint	như
mint	thích
mint	like
után	theo
után	sau
további	thêm
nagy	lớn
nagy	lớn
nagy	to
nagy	đúc
nagy	đại
nagy	big
ország	quốc
évek	chèo
évek	năm
klub	club
klub	clb
több	thêm
információk	info
született	sinh
vita	vita
budapest	budapest
aki	ai
aki	who
ezt	này
itt	đây
akkor	rồi
fájl	tệp
fájl	file
amerikai	american
amerikai	mỹ
német	đức
válogatott	assorted
francia	pháp
május	may
kell	cần
kell	nhu
kell	phải
ahol	đâu
csapat	tạo
csapat	đội
csapat	lớp
csapat	team
amely	mà
más	khác
más	khác
március	march
augusztus	august
minden	hết
minden	hết
minden	mỗi
minden	hằng
ami	ami
ami	mà
június	june
alatt	dưới
alatt	dưới
alatt	under
második	giây
megye	quận
megye	hạt
megye	sở
megye	khu
február	tháng
mert	vì
később	sau
jpg	jpg
bar	bar
város	phố
város	phố
város	by
amikor	khi
létrehozott	tạo
három	tre
három	ba
három	three
díj	fee
díj	phí
található	nằm
mellett	cạnh
kép	ảnh
kép	nh
kép	hình
kép	ảnh
kép	photo
kép	foto
kép	ảnh
jános	gioan
jános	john
től	khỏi
től	từ
istván	stephen
istván	istvan
http	http
lásd	xem
szent	saint
szent	thánh
szent	thánh
angol	british
király	awesome
király	ngầu
király	tuyệt
király	mát
király	cool
külső	ngoài
ezek	những
előtt	trước
mely	mà
nemzeti	gạt
józsef	józsef
józsef	giuse
józsef	joseph
élő	sống
élő	living
élő	sống
élő	live
lászló	laszlo
évi	năm
század	ty
ferenc	phanxicô
ferenc	francis
ferenc	ferenc
saját	chính
ellen	ellen
ellen	dũng
ellen	chống
sok	nhiều
sok	nhiều
sok	lot
svg	svg
először	trước
először	đầu
szövetség	covenant
szövetség	federation
része	saga
része	part
része	phần
jobbra	phải
jobbra	đúng
olimpiai	olympic
nagyon	cực
nagyon	rất
következő	kế
következő	tiếp
következő	kit
kis	nhỏ
kis	nhỏ
kis	tiểu
team	tạo
team	đội
team	lớp
team	team
néhány	vài
néhány	cầy
isbn	isbn
utolsó	cuối
utolsó	final
ott	kia
ott	đó
templom	đền
templom	chùa
templom	thờ
volna	tòng
volna	cốt
magyarország	hungary
elhunyt	tan
legjobb	nhất
európa	âu
hivatkozások	xích
hivatkozások	links
római	roman
római	đế
teljes	tổng
teljes	say
teljes	full
teljes	đầy
egyesült	united
egyesült	hoa
család	đình
falu	làng
neve	tên
igen	vâng
igen	dạ
halál	chết
bár	bar
szett	đặt
szett	set
készült	chế
születési	sinh
film	phim
film	phim
film	film
from	khỏi
from	từ
kapcsolódó	related
négy	bốn
eredeti	gốc
eredeti	tác
éve	năm
áll	đứng
adott	tặng
míg	phiêu
míg	mens
györgy	george
sándor	alexandros
sándor	aleksandr
sándor	alexander
jegyzőkönyv	phút
lajos	louis
lajos	lajos
őket	them
őket	cói
őket	chúng
őket	họ
egész	toàn
egész	hẹt
egész	whole
vett	mua
szintén	cũng
károly	károly
károly	charles
károly	karl
mai	mai
különböző	khác
péter	peter
péter	phêrô
péter	péter
szó	lời
szó	từ
kiadó	thuê
női	nữ
junior	nhỏ
junior	junior
wikipédia	wikipedia
mind	hết
lenne	tòng
lenne	cốt
sorozat	series
sorozat	serial
tól	khỏi
tól	từ
lap	tờ
lap	mẩu
lap	thẻ
lap	tab
orosz	nga
dél	noon
dél	trưa
dél	nam
száma	số
iii	iii
egyetlen	single
egyetlen	đơn
község	municipality
csoport	group
csoport	nhóm
most	giờ
most	ngay
ismert	quen
hosszú	lâu
hosszú	dài
hosszú	long
általában	thuồng
általában	thường
férfi	buồng
férfi	đực
férfi	nam
férfi	hãm
férfi	người
férfi	man
királyi	royal
ember	human
ember	người
ember	man
régi	cũ
régi	tuổi
régi	già
japán	japan
japán	nhật
miután	theo
miután	sau
egyéb	khác
egyéb	khác
fontos	trọng
faj	đua
faj	nhung
faj	loài
állt	sto
mindig	luôn
korábbi	cựu
korábbi	trước
újra	lại
török	turk
török	turkish
kellett	thiết
kellett	ấp
stadion	stadion
kisebb	lesser
kisebb	nhỏ
kisebb	minor
brit	british
brit	brit
román	rumani
inkább	thà
kívül	ngoài
álló	stationary
john	gioan
john	john
körül	khoảng
körül	vòng
észak	bắc
észak	bắc
mária	marie
mária	mary
mária	chư
mária	maria
rendező	trương
helyszín	website
helyszín	site
megjelent	gây
nyelv	lưỡi
nyelv	ngữ
stb	etc
stb	vv
háború	tranh
háború	chiến
írt	viết
rövid	bài
rövid	ngắn
rövid	short
rövid	lá
alá	dưới
alá	under
híres	nổi
dátum	ngày
hely	nơi
hely	chỗ
fekete	đen
fehér	trắng
fehér	white
fehér	bạch
miklós	nicholas
miklós	miklós
szóló	solo
andrás	andrew
gábor	gábor
gábor	gabor
lista	kê
lista	list
lista	danh
többi	nghỉ
budapesti	budapest
országos	gạt
világ	giới
utca	phố
utca	street
északi	bắc
északi	nordic
északi	bắc
pál	paul
általános	generic
általános	tướng
általános	chung
déli	nam
szám	số
újabb	mơi
keresztül	qua
szemben	ngược
külön	skill
nyugati	tây
nyugati	tây
keleti	đông
nap	nắng
nap	cn
nap	ngày
nap	day
png	png
nyári	summer
nyári	hè
története	truyện
története	chuyện
link	link
látható	bien
béla	bela
center	tâm
forrás	nguồn
forrás	nguồn
html	html
név	tên
mihály	mihály
mihály	michael
kupa	cup
kupa	cốc
kupa	tách
von	von
terület	loạt
terület	vực
terület	vùng
com	com
lengyel	polish
herceg	duke
herceg	hoàng
herceg	prince
magas	cao
magas	cao
gyula	gyula
azok	những
der	der
millió	triệu
millió	triệu
vezető	xế
vezető	leader
vendég	khách
vendég	khách
zoltán	zoltan
zoltán	zoltán
franciaország	pháp
együttes	ban
együttes	band
együttes	ensemble
együttes	tham
elég	đủ
oldal	page
oldal	trang
idő	gian
idő	thời
rendszer	hệ
valaki	ai
valaki	somebody
usa	kỳ
usa	mỹ
usa	usa
mikor	khi
belső	nội
belső	nội
elmúlt	qua
elmúlt	past
írta	viết
album	album
tanár	thầy
túl	quá
túl	khoáng
túl	too
élt	kiêng
méter	mét
méter	mét
méter	mét
színész	diễn
ház	ốc
