gorovje	bergen
meščani	burgers
meščani	staatsburgers
prehitel	inhalen
jackie	jackie
jackie	jacky
opeke	baksteen
opeke	bakstenen
opeke	stenen
režim	regime
delavca	werker
delavca	werknemer
delavca	arbeider
razdeljeno	verdeelde
razdeljeno	verdeeld
craig	craig
tatjana	tatiana
cvet	bloesem
cvet	bloem
cvet	bloempje
cvet	bloemetje
izbere	selecteert
izbere	kiest
marne	marne
opremljena	uitgerust
opremljena	ingericht
cape	cape
cape	kaap
srebotnik	srebotnik
angleži	engels
angleži	engelsen
vili	vakantiewoning
chan	chan
čet	troepen
čet	troep
čet	troepen
ville	ville
mamo	mama
mamo	moeder
mamo	ma
mamo	mam
mamo	moeder
mamo	moedertje
galaksij	sterrenstelsels
gost	gast
bitk	veldslagen
bitk	gevechten
evangelij	gospel
evangelij	evangelie
bruins	bruins
giacomo	giacomo
zaščiti	beschermen
zaščiti	bescherm
prečka	kruisen
prečka	kruizen
ledvic	nier
ledvic	nieren
spomini	memories
spomini	herinneringen
spomini	geheugen
spomini	herinneringen
spomini	herinnering
spomini	memory
kopenski	terrestrische
bakra	koper
poklicno	beroepsmatige
poklicno	professioneel
miles	mijl
miles	miles
miles	mijlen
miles	kilometers
kristus	christus
vsebovala	ingeperkt
predsednica	president
predsednica	voorzitter
predsednica	voorzitster
shranjevanje	besparingen
shranjevanje	besparing
shranjevanje	opslaan
shranjevanje	sparen
shranjevanje	redden
shranjevanje	opslag
zdravniki	artsen
zdravniki	dokters
zdravniki	artsen
raziskuje	verkennen
raziskuje	verkent
lopez	lópez
lopez	lopez
veri	faith
veri	geloof
veri	vertrouwen
federacije	federatie
hudi	streng
hudi	ernstige
hudi	ernstig
lisa	lisa
nedelja	zondag
nedelja	sunday
sedmi	zevende
sedmi	seventh
piramide	piramide
piramide	piramides
piramide	piramiden
biolog	bioloog
gerald	gerald
aus	aus
profesorica	professor
profesorica	hoogleraar
nekaterim	enkele
nekaterim	sommigen
nekaterim	sommige
anders	anders
neil	niel
neil	neil
edwin	edwin
princeton	princeton
todd	todd
univerz	universiteiten
spremenljivke	variabelen
prejšnji	voorgaande
prejšnji	vorig
prejšnji	vorige
prejšnji	eerdere
mathieu	mathieu
gradišče	gradišče
odstranitev	verwijdering
sladkorja	suikers
sladkorja	suiker
ein	ein
nepravilnosti	onregelmatigheden
nepravilnosti	onregelmatigheid
nepravilnosti	wanbeheer
nepravilnosti	anomalieën
nepravilnosti	afwijkingen
nepravilnosti	onregelmatigheden
han	han
roland	roland
billie	billie
krajevna	lokale
krajevna	plaatselijk
krajevna	lokaal
spreminjanje	veranderen
spreminjanje	veranderende
uspešnost	prestaties
uspešnost	prestatie
uspešnost	effectiviteit
uspešnost	doeltreffendheid
uspešnost	werkzaamheid
uspešnost	doelmatigheid
uspešnost	succes
uspešnost	success
molitve	gebed
molitve	gebeden
celine	céline
celine	celine
celine	werelddelen
celine	continenten
battista	battista
orel	eagle
orel	arend
orel	adelaar
jasna	jasna
jasna	clear
