магнус	magnuss
роналд	ronalds
катар	katara
създателите	veidotāji
създателите	radītāji
създателите	izgatavotāji
създателите	veidotāji
тясна	šaura
тясна	šauri
тясна	šauras
тясна	šaurs
доминика	sadraudzība
брабант	brabantes
бонус	bonus
бонус	bonusu
кеймбридж	kembridžas
гренландия	grenlandes
гренландия	grenlande
аргумент	arguments
спиране	apstāšanās
спиране	pārtraukšanas
спиране	apturēšana
спиране	bremzēšanas
спиране	bremzēšana
спиране	apstādināt
спиране	apturēt
синтез	kodolsintēzes
синтез	sintēze
синтез	sintēzi
мускули	muskuļi
мускули	muskuļi
мускули	muskuļu
сив	pelēks
сив	pelēkā
сив	pelēks
сив	pelēkas
сив	pelēkais
сив	pelēkās
етапи	posmi
етапи	fāzes
етапи	posmi
етапи	stadijas
етапи	posmiem
етапи	posmus
людмила	ludmilla
комитети	komitejas
комитети	komitejām
оливър	olivers
сесия	sesiju
сесия	sesija
придава	piesaistās
вулкана	vulkāna
освобождаване	atlaist
освобождаване	atbrīvot
освобождаване	izlaišana
освобождаване	atbrīvošana
освобождаване	izņēmums
освобождаване	izņēmumi
членство	dalība
железен	dzelzs
железен	dzelzi
железен	dzelzs
ръкопис	manuskriptu
сняг	sniega
сняг	sniegs
сняг	sniegu
записано	ierakstīti
записано	reģistrētais
реалност	realitāte
реалност	īstenība
безплатно	bezmaksas
безплатно	brīva
безплатно	free
безплатно	brīvs
интервюта	intervijas
ватикана	vatikāna
антония	antonia
курорти	kūrorti
ванкувър	vankūveras
консулски	konsulāro
консулски	konsulārā
жител	rezidentu
жител	rezidents
жител	iedzīvotājs
представления	izpildījums
представления	izrādes
еберхард	eberhard
отказ	atteikties
отказ	atsaka
отказ	atteikt
отказ	atteikums
отказ	noliegšana
рикардо	rikardo
рикардо	rikardo
навън	ārpusē
навън	ārpus
навън	ārpuses
навън	ārā
навън	out
присъединяване	pievienojies
присъединяване	pievienoties
присъединяване	pievienojos
присъединяване	pievienošanās
присъединяване	iestāšanās
продажбите	noiets
продажбите	pārdošana
мъжко	vīrietis
мъжко	vīriešu
мъжко	tēviņi
мъжко	vīrieši
убеден	pārliecināts
убеден	pārliecināja
убеден	pārliecināta
свидетелство	sertifikāts
свидетелство	apliecība
свидетелство	sertifikātu
покрит	pārklāti
покрит	pārklāts
бележка	piezīme
мероприятия	notikumi
мероприятия	notikumiem
мероприятия	pasākumi
брод	brod
бронзови	bronzas
бронзови	bronza
морган	morgan
охлаждане	dzesēšana
охлаждане	dzesēšanas
охлаждане	dzesēšana
охлаждане	atdzesēšanas
пресата	spied
пресата	nospiest
пресата	preses
пресата	nospied
пресата	prese
пиетро	pietro
доброволно	brīvprātīgs
доброволно	brīvprātīga
доброволно	brīvprātīgais
доброволно	brīvprātīgi
окото	acs
окото	acī
окото	acu
костенурки	bruņurupučus
заменена	nomainīts
заменена	aizstāts
преса	spied
преса	nospiest
преса	preses
преса	nospied
преса	prese
уайлд	vailds
бета	beta
регистрация	reģistrēšana
регистрация	reģistrēšanās
регистрация	reģistrācija
реймънд	raymond
мариана	marianna
сопот	sopota
сключен	secināts
сключен	noslēdza
сключен	secināja
сключен	noslēgts
ням	stulbs
храсти	krūmu
храсти	krūmu
храсти	kociņi
физическо	fiziskais
физическо	fiziskās
физическо	fiziskie
физическо	fiziski
физическо	fiziska
физическо	fiziskā
показване	rādīt
показване	displejs
показване	displeja
показване	rādīt
показване	parādīt
платна	audeklu
платна	audekls
платна	buras
ирански	irāņu
ирански	irānas
про	pro
мориц	morics
износ	eksports
износ	eksportēt
износ	eksports
роналдо	ronaldo
марта	marta
марта	marta
кралско	royal
кралско	karaļa
рицарите	bruņinieku
индекс	rādītājs
индекс	indekss
лодка	laiva
лодка	laivā
лодка	laivu
йога	joga
емигранти	imigranti
емигранти	imigrantus
емигранти	imigrantiem
емигранти	emigrantiem
платно	audekls
родина	dzimtenē
родина	dzimtenes
родина	dzimteni
родина	dzimtene
родина	tēvzemi
гласът	balsi
гласът	balss
йоханес	johannes
карол	karol
карол	kerolu
алтернатива	alternatīvi
алтернатива	alternatīvais
алтернатива	alternatīva
алтернатива	alternatīvs
парична	monetārās
парична	monetārā
подчертава	uzsver
подчертава	izceļ
тимор	timoras
тайните	noslēpumus
тайните	noslēpumi
лидерите	vadītāji
лидерите	līderi
николаос	nikolaos
бъдещи	nākotnes
бъдещи	nākotne
бъдещи	nākotnē
бъдещи	nākotni
чува	dzird
пшеница	kvieši
пшеница	kviešu
баланс	bilance
баланс	atlikums
баланс	līdzsvars
баланс	līdzsvaru
кучето	suns
кучето	suņi
свидетел	liecinieku
свидетел	liecinieks
орбитата	orbītā
подвид	pasugas
организъм	organisms
отпадъци	atkritumiem
отпадъци	atkritumi
отпадъци	atkritumi
централа	centrālā
централа	centrālais
централа	centrālās
централа	mītnes
централа	mītne
сватба	laulība
сватба	laulībā
сватба	laulību
сватба	laulības
сватба	kāzas
сватба	kāzām
сватба	kāzu
литра	litru
литра	litri
