את	你
על	關於
קטגוריה	類別
גם	還
גם	也
גם	太
זה	這
זה	這個
זה	那個
היא	她
שיחה	對話
שיחה	致電
שיחה	電話
שיחה	打電話
שיחה	通話
שיחה	呼叫
לאחר	後
לאחר	之後
בין	豆
כל	全部
כל	所有
כל	all
כל	任何
כי	因為
יותר	多
יותר	更多
יותר	更
ישראל	以色列
אך	但
אך	不過
אך	但是
עד	直到
יש	耶
שם	名字
שם	名稱
שם	姓名
בית	beit
בית	首頁
בית	家
בית	home
בית	住家
בית	屋
בית	房屋
בית	房子
הם	她們
הם	他們
הם	它們
אשר	確認
אשר	證實
כמו	讚
כמו	就像
כמו	像
כמו	喜歡
אחד	一
אחד	one
אחד	一個
שמאל	左側
שמאל	左
שמאל	左翼
שמאל	左邊
הברית	聯盟
הברית	同盟
הברית	結盟
מספר	數字
מספר	數
מספר	號碼
מספר	編號
בו	boo
רק	只
רק	只有
רק	只是
רק	只要
כאשר	當
בן	ben
בן	本
בן	奔
בן	兒子
שלו	他的
שני	第二
שני	秒
שני	兩
שני	兩個
שני	二
שני	週一
שני	星期一
לו	婁
לו	盧
לו	lou
העולם	世界
העיר	城鎮
העיר	鎮
העיר	城市
העיר	市
העיר	城
שנים	歲月
שנים	年份
אף	鼻
אף	鼻子
רבים	許多
רבים	多元
רבים	複數
אבל	但
אבל	不過
אבל	但是
בה	她的
אין	無
אביב	春
אביב	春秋
אביב	春天
אביב	彈簧
אביב	春季
במאי	may
במאי	梅
במאי	五月份
במאי	五月
במאי	主任
במאי	導演
במאי	司長
שנה	年度
שנה	年份
שנה	年
שנה	歲月
שנה	年份
נולד	生於
נולד	誕生
נולד	出生
נולד	天生
הערות	評論
הערות	意見
חלק	光滑
חלק	順利
חלק	平滑
חלק	平穩
לפני	以前
לפני	前
לפני	之前
אחת	一
אחת	one
אחת	一個
ביולי	七月
ביולי	七月份
שוליים	邊緣
שוליים	比值
באוקטובר	十月
באוקטובר	十月份
באוקטובר	十月
אותה	她的
הרב	藥草
ארצות	國家
ארצות	各國
מן	甘露
בינואר	一月
במרץ	三月
ראש	頭
ראש	頭部
ראש	急
חיים	生命
חיים	人生
חיים	生活
חיים	chaim
חיים	haim
המאה	世紀
בנובמבר	十一月
בדצמבר	十二月
לי	lee
לי	李
בבית	首頁
בבית	家
בבית	home
בבית	住家
ערך	價值
ערך	數值
ערך	值
בפברואר	二月
אלו	這些
זמן	時光
זמן	時間
אחר	其他
בני	兒子
בעיקר	大多
אתר	網站
אתר	網頁
אתר	網站
אתר	工地
אתר	醚
שונים	不同
רב	rav
אדם	adam
אדם	亞當
אדם	人類
אדם	人
אדם	男人
אדם	man
כלל	細則
עוד	多
עוד	更多
עוד	更
דבר	聊
אחרים	其他
אחרים	其他
ספר	圖書
ספר	書
ספר	書籍
ספר	理髮師
ספר	理髮
לה	她的
זכה	元
אחרי	後
אחרי	之後
אולם	然而
הן	她們
הן	他們
הן	它們
יום	日
יום	一天
יום	白天
יום	day
אלה	這些
אלה	女神
כבר	已經
כיום	目前
ירושלים	耶路撒冷
המדינה	國家
המדינה	州
מקום	地點
מקום	場地
מקום	會場
מקום	地方
מקום	地點
מאוד	非常
יהודים	猶太人
יהודים	猶太
יהודים	猶太教
יהודים	猶太人
יהודים	猶太
רבות	許多
כמה	一些
כמה	有些
מטר	英尺
מטר	腳
מטר	公尺
מטר	公尺
מטר	米
מטר	公尺
דרך	通過
דרך	經由
דרך	透過
דרך	通過
שנת	年度
שנת	年份
שנת	年
באמצעות	通過
באמצעות	經由
