година	jaar
како	hoe
како	soos
што	watse
што	wat
дека	dat
дека	wat
дека	dai
бил	noot
бил	gewees
кои	wie
кои	watter
кои	watse
кој	wie
тоа	dat
тоа	wat
тоа	dai
други	ander
која	watter
која	watse
има	het
била	was
била	gewees
македонија	masedonië
додека	ruk
додека	terwyl
кога	wanneer
страна	kant
биле	was
биле	were
дел	deel
дел	gedeelte
дел	dell
околу	oor
околу	rond
време	tyd
време	tydstip
век	eeue
век	eeu
под	onderaan
може	kon
може	kan
еден	een
врски	bande
врски	skakels
исто	dieselfde
исто	selfde
надворешни	eks
надворешни	eksterne
повеќе	nog
повеќе	meer
податоци	data
каде	waar
каде	waarheen
многу	baie
многу	much
објекти	fasiliteite
објекти	verhuur
објекти	geriewe
објекти	voorwerpe
објекти	objekte
години	jare
календар	kalender
сите	alle
сите	alles
сите	all
сите	almal
сите	al
сите	als
сите	almal
една	een
меѓу	tussen
било	enige
пред	voor
пред	before
ова	dit
ова	hierdie
ова	dié
јазик	tong
само	slegs
само	net
само	slegs
само	net
каталог	katalogus
каталог	katalogus
таа	sy
број	nommer
број	getalle
број	getal
овој	dit
овој	hierdie
овој	dié
градот	stad
беше	was
беше	gewees
општ	generies
општ	generic
општ	generiese
кон	teenoor
односно	onderskeidelik
кај	bei
оваа	dit
оваа	hierdie
оваа	dié
тие	daardie
тие	diegene
нов	nuut
нов	nuwe
селото	sapporo
времето	weer
времето	tyd
времето	tydstip
некои	sommige
претставува	verteenwoordig
место	vlek
место	spot
место	plek
место	plek
место	venue
место	lokaal
општина	munisipaliteit
светот	wêreld
преку	via
македонски	macedoniese
неколку	paar
неколку	klomp
земјата	aarde
две	twee
небо	lug
небо	skies
уште	steeds
уште	nogsteeds
уште	nog
уште	meer
септември	september
споменува	meldings
кое	watter
кое	watse
град	town
град	stad
агол	angle
агол	hoek
село	selo
село	village
село	dorpie
информации	informasie
информации	inligting
германија	germania
германија	duitsland
помеѓу	tussen
црква	kerk
подоцна	later
познати	bekende
познати	beroemd
познати	famous
жители	inwoners
бидејќи	want
треба	nood
треба	benodig
својата	its
мини	mini
мини	myne
мини	minnie
период	periode
луѓе	mans
луѓе	manne
луѓе	mense
војна	oorlog
сад	vsa
скопје	skopje
република	republika
република	republiek
три	drie
без	sonder
помош	help
помош	hulp
поделба	division
поделба	deling
поделба	partisie
поделба	verdeel
космос	kosmos
освен	behalwe
освен	except
освен	uitgesonderd
над	bo
иако	hoewel
иако	alhoewel
иако	though
села	villages
пример	voorbeelde
пример	voorbeeld
јазици	tale
потоа	then
потоа	dan
потоа	agterna
денес	vandag
начин	manier
начин	way
два	twee
точка	punt
точка	dot
точка	punt
заедно	gekuier
заедно	saam
литература	letterkunde
литература	literatuur
пак	weer
пак	pac
него	hom
сепак	nogsteeds
сепак	steeds
сепак	nogsteeds
постојат	bestaan
своите	its
објект	voorwerp
објект	fasiliteit
јануари	januarie
систем	lêerstelsel
систем	sisteem
систем	stelsel
име	naam
име	benoem
име	gebruikernaam
десно	regterkant
десно	regs
основни	noodsaaklike
основни	essential
основни	basies
основни	basic
основни	basiese
сателитот	satelliet
можат	kan
користи	gebruik
нив	hulle
класификација	klassifikasie
група	groep
група	groepeer
истражувања	opnames
истражувања	navorsing
европа	europa
прв	eerste
прв	eers
држави	provinsies
држави	deelstate
држави	state
држави	lande
откриен	opgespoor
откриен	bespeur
проучување	studying
проучување	opstaan
проучување	studeer
проучување	bestudeer
проучување	studie
пат	patric
пат	pad
пат	road
галаксии	sterrestelsels
август	august
август	augustus
вклучен	verloof
вклучен	betrokke
предмет	item
предмет	voorwerp
предмет	onderwerp
астрономски	astronomiese
соѕвездие	sterrebeeld
мај	may
мај	mei
мај	mag
истражувачи	navorsers
критериуми	kriteria
март	maart
март	optog
ѕвезди	sterre
секој	enigiemand
секој	elke
цел	doelwit
оние	daardie
оние	diegene
јули	julie
америка	amerika
