yang	יאנג
dan	דן
dengan	עם
untuk	בשביל
juga	גם
juga	וגם
terletak	שקרים
indonesia	אינדונזיה
daerah	מחוז
tahun	שנים
tahun	שנה
tahun	שנת
tahun	שנה
wilayah	נפה
wilayah	מחוז
wilayah	אזור
wilayah	שטחים
wilayah	השטחים
wilayah	טריטוריה
lihat	ראי
lihat	רואה
lihat	ראה
kawasan	אזור
kawasan	איזור
kawasan	האזור
kawasan	שטח
kawasan	אזור
kawasan	אזורים
kawasan	אזורי
luar	בחוץ
luar	מחוץ
sekolah	לימודים
komun	קומונה
bahasa	שפות
bahasa	שפה
orang	האדם
orang	אדם
orang	אנשים
pautan	קישור
pautan	לינק
pautan	קישורים
malaysia	מלזיה
daripada	מאשר
kampung	כפר
kampung	הכפר
jabatan	מחלקה
jabatan	המחלקה
satu	אחת
satu	אחד
negara	מדינה
negara	ארץ
negara	ארצי
negara	מדינה
negara	המדינה
negara	מדינות
negara	ארצות
mereka	אותם
mereka	הן
mereka	הם
kebangsaan	לאום
kebangsaan	אזרחות
kebangsaan	לאומי
kebangsaan	לאומית
bandar	טאון
bandar	עיירה
bandar	עיר
bandar	העיר
bandar	העיר
bandar	עיר
bandar	סיטי
bandar	ערים
bandar	הערים
imperial	קיסרי
imperial	הקיסרי
lelaki	בנאדם
lelaki	גבר
lelaki	אדם
negeri	מדינה
negeri	המדינה
menjadi	היותך
menjadi	להיות
barat	המערב
barat	ווסט
barat	מערבה
barat	מערב
barat	וסט
barat	המערבי
barat	מערב
barat	מערבי
lain	אחרים
lain	אחר
lain	אחרות
lain	אחרים
lain	ואחרים
lebih	עוד
lebih	יותר
etnik	אתני
etnik	אתניות
perancis	צרפתי
perancis	צרפתית
perancis	צרפתים
perancis	צרפת
akan	ויל
akan	וויל
nama	השם
nama	שם
nama	שמות
perbandaran	עירייה
perbandaran	עיריית
boleh	יכולה
boleh	יכול
filem	סרטים
filem	סרט
filem	קולנוע
filem	סרט
filem	סרטים
filem	קולנוע
timur	מזרחה
timur	המזרח
timur	איסט
timur	מזרח
timur	טימור
timur	המזרחי
timur	מזרח
digunakan	משומש
digunakan	בשימוש
dua	שני
dua	שניים
dua	שתיים
pertama	ראשון
pertama	קודם
pertama	ראשית
pertama	תחילה
perempuan	אשה
perempuan	אישה
perempuan	נקבות
perempuan	נשים
svg	svg
svg	wmf
india	הודית
india	אינדיאני
india	הודי
india	הודו
india	אינדיה
senarai	רשימה
senarai	הרשימה
dia	דיה
presiden	נשיא
presiden	נשיאה
presiden	הנשיא
terbang	זבוב
terbang	לעוף
terbang	טוס
terbang	פליי
terbang	עפה
terbang	טיסה
terbang	עפה
terbang	טסו
dunia	העולם
dunia	עולם
kerana	כי
kerana	בגלל
bahawa	זה
laut	הים
laut	ים
selepas	אחרי
selepas	לאחר
selatan	דרומי
selatan	דרומית
selatan	דרום
selatan	הדרומי
selatan	דרום
selatan	דרומה
selatan	הדרום
stadium	אצטדיונים
stadium	אצטדיון
stadium	האצטדיון
tempat	המקום
tempat	מקום
tempat	מקומות
tempat	למקומות
besar	גדולים
besar	גדול
besar	גדולה
besar	ביג
besar	גדולים
besar	גדול
besar	גדולה
tetapi	אך
tetapi	אבל
antara	אנטרה
antara	בין
pelajar	סטודנטים
pelajar	תלמידות
pelajar	תלמידים
pelajar	סטודנט
pelajar	תלמידה
pelajar	תלמיד
pelajar	סטודנטית
utara	צפונה
utara	הצפון
utara	צפון
utara	צפון
syarikat	תאגיד
syarikat	החברה
syarikat	חברה
syarikat	פלוגה
syarikat	חברות
jumlah	סכומים
jumlah	כמויות
jumlah	הסכום
jumlah	סכום
jumlah	הכולל
republik	רפובליקני
republik	הרפובליקני
republik	רפובליקה
republik	הרפובליקה
kumpulan	חבורה
kumpulan	הקבוצה
kumpulan	קבוצה
kumpulan	קבוצות
tentera	צבא
tentera	צבאי
tentera	חיילים
tentera	צבא
amerika	אמריקאים
amerika	אמריקני
amerika	אמריקאית
amerika	אמריקאי
amerika	אמריקה
turki	הודו
turki	טורקיה
turki	הטורקים
turki	טורקית
turki	טורקי
baru	חדש
baru	חדשה
baru	חדשים
buah	גרגרים
buah	פרי
buah	פירות
buah	פירות
jawa	java
bawah	תחתון
bawah	תחתית
bawah	תחת
bawah	מתחת
hari	יום
hari	day
hari	ימים
hari	ימי
hari	הימים
google	גוגל
google	google
pemain	שחקנים
pemain	שחקן
pemain	נגן
kerajaan	ממלכה
kerajaan	הממלכה
kerajaan	אמפייר
kerajaan	אימפריה
kerajaan	האימפריה
kerajaan	ממשלה
kerajaan	הממשלה
kerajaan	ממשל
sama	שוות
sama	שווים
sama	שווה
iran	איראנים
iran	איראן
iran	אירן
iran	האיראני
kedua	שנית
kedua	שניה
kedua	שנייה
kedua	שני
kedua	שנית
pasukan	חיילים
pasukan	קבוצות
pasukan	צוותי
pasukan	צוותים
pasukan	צוות
pasukan	קבוצה
islam	האסלאמית
islam	האסלאם
islam	האיסלאם
islam	אסלאם
mana	מאנה
mana	לאן
mana	איפה
mana	היכן
ketua	המפקדת
ketua	ראשי
masa	זמן
masa	הזמן
masa	עת
masa	טיים
lagu	שיר
lagu	השיר
lagu	שירים
lagu	השירים
style	הסגנון
style	סטייל
style	סגנון
tengah	אמצע
tengah	ביניים
tengah	התיכון
tengah	האמצע
jerman	גרמני
jerman	גרמנית
jerman	גרמנים
jerman	גרמניה
jerman	גרמניה
jerman	גרמנים
jalan	כביש
gmt	gmt
cet	בלווייתן
utama	ראשוני
utama	עיקרי
utama	ראשי
utama	העיקרי
banyak	הרבה
banyak	רבות
banyak	רבים
salah	שגוי
salah	טועה
salah	שגוי
salah	טעות
apabila	מתי
apabila	כאשר
bahagian	חטיבה
bahagian	הדיוויזיה
bahagian	דיוויזיה
bahagian	חלוקה
bahagian	מקטע
bahagian	סעיף
bahagian	מחלקה
bahagian	חלקים
bahagian	מחלקות
bahagian	חלקים
bahagian	חלק
menggunakan	משתמשת
menggunakan	משתמש
menggunakan	שימוש
lagi	שוב
lagi	עוד
lagi	יותר
jenis	סוג
jenis	הסוגים
jenis	סוגים
jenis	טיפוסים
sungai	נהרות
sungai	ריברס
sungai	ריבר
sungai	הנהר
sungai	נהר
kota	העיר
kota	עיר
kota	סיטי
kota	קוטה
jepun	יפן
jepun	יפני
jepun	יפנית
jepun	יפנים
anak	אהרי
anak	ילדה
anak	ילד
ada	שם
ada	עדה
ada	אדה
tanah	אדמה
tanah	ארץ
tanah	קרקע
tanah	אדמה
tanah	קרקע
tanah	אדמות
tanah	קרקע
national	לאומי
national	לאומית
bersama	הדדית
bersama	הדדי
bersama	יחד
bersama	ביחד
bersama	יחדיו
dikenali	זוהה
dikenali	מזוהה
dikenali	מוכר
dikenali	מוכרת
dikenali	ידוע
dikenali	הידוע
dikenali	ידועה
dikenali	ידועים
hanya	פשוט
hanya	רק
sebelum	לפני
air	מיים
air	מים
air	ווטרס
air	אוויר
air	אייר
air	אויר
sepanyol	ספרד
sepanyol	ספרדי
sepanyol	ספרדית
raja	המלך
raja	קינג
raja	מלך
perang	מלחמה
perang	המלחמה
perang	המלחמות
perang	מלחמות
wanita	גברות
wanita	בנות
wanita	גבירותיי
wanita	אשה
