yoga	γιόγκα
albacete	αλμπαθέτε
blade	λεπίδα
blade	μπλέιντ
mat	τροφή
mat	τροφές
mat	τρόφιμα
mat	φαγητό
nuevo	nuevo
disco	ντίσκο
pounder	λίβρας
gsub	gsub
asp	asp
penny	πένι
penny	πέννυ
penny	penny
penny	πένυ
quýt	μανταρίνι
sunni	σουνίτες
eve	ιβ
eve	εύα
eve	ηβ
eve	παραμονή
minamoto	μιναμότο
node	κόμβος
hacker	χάκερ
hacker	χάκερ
tiberius	τιβέριος
christophe	κριστόφ
ming	μινγκ
engels	ένγκελς
xúi	γρουσουζιά
lynn	λυν
lynn	λιν
durham	ντάραμ
chong	τσονγκ
hót	τραγουδάει
hót	τραγουδάμε
hót	τραγούδι
hót	τραγουδώντας
hót	τραγουδούν
hót	τραγουδάει
hót	τραγουδά
coloma	κολόμα
thor	θωρ
thor	θορ
sandbox	sandbox
padova	πάδουα
padova	padova
incertae	incertae
ruby	ρούμπι
ruby	ruby
ruby	ρουμπίνι
dwight	dwight
dwight	ντουάιτ
selena	σελίνα
comoros	κομορών
fulton	φούλτον
palustris	palustris
xavier	ξαβιέ
candy	γλυκά
candy	καραμέλες
candy	καραμέλα
candy	κάντυ
superordo	superordo
sheridan	σέρινταν
griffin	γκρίφιν
fao	fao
menzies	μένζις
konstantin	κονσταντίν
boa	μπόα
cube	κύβο
cube	κύβος
r}}	r}}
emil	εμίλ
rahman	rahman
glen	glen
glen	γκλεν
klaus	κλάους
klaus	klaus
gorbachev	γκορμπατσόφ
resort	resort
resort	θέρετρο
benz	benz
hampton	χάμπτον
chandler	τσάντλερ
williamson	γουίλιαμσον
göring	γκέρινγκ
göring	γκέρινγκ
nordrhein	nordrhein
samar	σαμάρ
quinn	quinn
quinn	κουίν
castel	castel
bmw	bmw
irene	αϊρίν
cartoon	καρτούν
gớm	φλεγμονή
scheer	scheer
vocals	φωνητικά
toro	τόρο
sủa	φλοιού
sủa	φλοιός
sủa	φλοιό
sủa	γαβγίζει
sủa	γαβγίζει
carr	καρ
betty	μπέτι
betty	μπέτυ
betty	betty
wilkinson	γουίλκινσον
