estimació	procjena
barba	brada
exportació	izvoza
exportació	izvoz
exportació	izvozom
suports	props
anatomia	anatomija
codificació	kodiraju
francesca	francesca
jurament	zakletva
venjança	osveta
venjança	osvetu
venjança	osveta
venjança	osvete
mercenaris	plaćenika
alep	halep
medicaments	lijekova
medicaments	lijekovi
habitacions	sobe
tija	stem
contractat	angažovali
contractat	zaposlio
sumatra	sumatra
scala	scala
passatge	prolaz
registrat	registrovan
registrat	registrovana
relatiu	relativna
next	sljedeći
next	narednu
next	sledeći
next	slijedeći
proporcional	proporcionalnih
pisa	pisa
dependent	zavisna
esperant	čekanje
esperant	čekajući
esperant	čeka
esperant	čekaju
esperant	čekanja
concentrar	koncentrirani
cine	cine
gonzalo	gonzalo
característics	karakterističnim
incendis	požari
pretor	pretor
sony	sony
kurt	kurt
ibm	ibm
sou	plaće
sou	plate
sou	plaća
focs	vatrometa
dividits	podijeljeni
dividits	podijeljene
dividits	podijeljen
dividits	podijeljeno
preservació	očuvanje
thompson	thompson
oportunitats	mogućnosti
cook	cook
eugeni	eugene
assistents	prisutnima
assistents	pomoćnici
targetes	karte
concentracions	koncentracije
caçadors	lovci
catherine	catherine
catherine	katarina
uganda	ugandi
reglament	propis
residir	borave
beguda	piće
bicicleta	bicikl
duració	trajanja
duració	trajanje
consolidació	konsolidacije
neolític	neolitska
determinació	odlučnost
elevades	povišene
pep	pep
combinat	združeni
combinat	kombinovane
combinat	kombinaciji
combinat	kombinovao
facció	frakcija
école	école
carlota	charlotte
estels	zvijezda
estels	zvezde
esclavitud	ropstva
paleolític	paleolit
àtom	atom
segòvia	segovia
pastoral	pastoral
ramírez	ramirez
dinosaures	dinosaurusa
esquadra	odred
levi	levi
dead	mrtva
dead	mrtvi
dead	mrtvo
dead	mrtav
homònim	istoimena
guipúscoa	gipuzkoa
brut	brutus
lang	lang
celebracions	proslava
celebracions	proslavama
celebracions	proslave
accidents	nezgoda
lloyd	lloyd
fix	fiksni
privilegi	privilegija
apòstols	poslanike
apòstols	poslanici
càlculs	proračunima
acompanyament	pad
descàrrega	preuzimanje
realista	realistična
ras	ras
angel	anđeo
handbol	rukomet
mercedes	mercedes
bizanci	vizantije
hondures	honduras
malawi	malavi
primari	primarna
primari	primarni
mobilitat	mobilnost
racó	ugao
troia	troja
erupció	erupcija
gats	mačke
gats	cats
gats	mačaka
homer	homer
poderosa	moćna
poderosa	moćan
futurs	futures
sàhara	sahara
tabac	duhan
tabac	duhana
metropolitan	mitropolit
metropolitan	metropolitan
pics	bullets
pics	metaka
pics	peaks
pics	vrhova
fiable	pouzdani
fiable	pouzdanih
fiable	pouzdano
montpeller	montpellier
assassí	ubicu
assassí	ubica
precipitacions	padavina
eficiència	efikasnost
sencera	cijela
sencera	čitava
entesa	shvatanje
entesa	razumijevanje
info	info
virgili	vergilije
classic	klasični
classic	classic
classic	klasik
cràter	krater
esquadró	eskadrila
esquadró	eskadrile
suprema	vrhovni
suprema	vrhovno
antologia	antologija
franquícia	franšizu
declaracions	izjave
mecànic	mehanički
mecànic	mašinski
mecànic	mašinsko
explorar	istraživanje
explorar	istraživanja
explorar	istražuju
wei	wei
diferencial	diferencijalna
baker	baker
turistes	turisti
calcària	krečnjak
revela	otkriva
leiden	leiden
limitacions	ograničenja
annals	annals
consola	konzola
partició	podjelu
partició	podjele
partició	podjeli
postura	držanje
tribunals	sudovima
tribunals	sudovi
cortés	cortés
significativament	značajno
respostes	odgovore
respostes	odgovori
conservadors	konzervativci
candidatures	nominacije
mariners	mornari
mariners	mornara
horari	raspored
annexió	aneksija
devoció	odanost
devoció	odanosti
kent	kent
remei	remedy
portals	portala
mixta	mješovite
mixta	mješovita
mosaic	mozaik
proa	sedžde
proa	luk
auxiliars	pomoćna
desenes	desetine
atacant	napadaju
atacant	napadnu
agnès	agnes
evans	evansa
evans	evans
utrecht	utrecht
infeccions	infekcije
olivier	olivier
genèric	generičkih
gendarmeria	žandarmerija
vocació	zanat
successives	uzastopne
complement	plugin
cornellà	cornellà
estesa	polaganja
slam	slam
graham	graham
prosperitat	prosperitet
prosperitat	prosperiteta
tràcia	trakija
savi	mudra
andes	andi
cantàbria	kantabrija
gutiérrez	gutiérrez
belgrad	beograd
ingredients	sastojci
advocats	advokati
advocats	advokata
acadèmics	akademici
acadèmics	akademika
sorgit	pojavila
mills	mills
elegits	izabran
fuga	bijeg
fuga	pobjegne
rom	rom
rom	rum
louise	louise
hospitals	bolnice
obligació	obaveza
esteban	esteban
trastorn	poremećaj
sara	sara
villanueva	villanueva
panzer	panzer
imam	imama
oslo	oslo
prevenció	sprječavanje
prevenció	prevenciju
prevenció	prevenciji
mussolini	mussolini
bombarders	bombardera
bombarders	bombarderi
comparar	poređenje
comparar	porede
vespre	večeri
vespre	veče
morales	morales
jeff	jeff
descans	brejk
descans	ostatak
actuant	postupajući
bryan	bryan
radar	radar
sopar	večera
sopar	večeru
sopar	večere
contingent	kontingent
residencial	stambeni
residencial	stambene
johan	johan
lisa	lisa
plasma	plazma
plasma	plazme
ratolí	miš
folk	folk
basilea	basel
correcció	korekcija
àvia	nana
cooper	cooper
internacionalment	međunarodno
guillermo	guillermo
mostrat	pokazao
mostrat	pokazale
mostrat	pokazala
mostrat	pokazalo
mostrat	pokazali
mostrat	prikazana
mostrat	pokazivao
néta	unuka
folklore	folklora
folklore	folklor
gant	ghent
seine	seine
raïm	grožđe
solo	solo
hot	hot
hot	vrelo
conqueridor	osvajač
herman	herman
werner	werner
perseguir	ostvaruju
desenvolupats	razvijao
desenvolupats	razvijene
desenvolupats	razvio
mikhaïl	mihail
caledònia	kaledonije
detenció	hapšenje
entrevistes	intervjue
subespècie	podvrsta
sofre	sumpor
aïllada	izolovano
aïllada	izolirani
aïllada	izolovana
manhattan	manhattan
hopkins	hopkins
haia	hag
melbourne	melbourne
sociologia	sociologija
estratègic	strateške
estratègic	strateška
estratègic	strateški
teva	tvoje
teva	tvoj
jerry	jerry
namíbia	namibije
ramos	ramos
teòrica	teoretski
teòrica	teorijska
timbre	bell
acumulació	napetosti
mali	mali
weimar	vajmarska
pous	vels
pous	wells
true	istina
true	tačna
connecticut	connecticut
impost	porez
aurora	aurora
deux	deux
terrat	krovu
darwin	darwin
institucional	institucionalne
institucional	institucionalni
institucional	institucionalnih
lugo	lugo
coets	rakete
romàntic	romantična
precipitació	padavina
matthew	matthew
acb	acb
preservar	očuvati
preservar	očuvanje
preservar	očuvanje
beatriu	beatrice
corregir	pravilna
traspàs	transfer
traspàs	prijenos
compartit	dijele
pero	pero
desapareguda	nestala
desapareguda	nestale
desapareguda	missing
desapareguda	nestao
desapareguda	nestali
desapareguda	nedostaje
butlletí	bilten
butlletí	bulletin
hercegovina	hercegovina
groenlàndia	grenland
inca	inka
maquinari	hardversko
oceania	okeanija
studio	studio
nadiu	rodnoj
shadow	sjeni
indo	indo
zoologia	zoologija
efectius	trupe
toro	toro
extraordinària	izuzetne
extraordinària	izvanredan
extraordinària	neuobičajena
basar	bazar
vuitè	osmi
vuitè	osmo
ron	ron
migració	migracije
migració	migracija
antropologia	antropologija
princeton	princeton
baptiste	baptiste
estatuts	statutu
assignat	dodijeljen
assignat	dodijeljena
solana	solana
solana	sunce
precisa	tačan
turner	turner
palaus	palata
auge	auge
mesopotàmia	mezopotamija
pradesh	pradesh
tiges	proističe
renúncia	ostavke
renúncia	ostavku
renúncia	ostavka
caigut	pala
disset	sedamnaest
controlada	kontrolira
controlada	kontrolom
circumferència	kružnica
epidèmia	epidemija
prehistòria	prahistorija
salvatges	divljaci
naturalista	prirodnjak
moderat	umjerene
abolició	ukidanjem
guillaume	guillaume
meca	mekka
tve	tve
visitant	posjetilac
dolç	slatko
larry	larry
patent	patent
twitter	twitter
wayne	wayne
cerimònies	svečanostima
fictici	izmišljen
pila	gomilu
pila	steka
dick	dick
edimburg	edinburgu
motocicletes	motocikala
arsenal	arsenal
transformacions	transformacije
desapareix	nestane
delictes	zločini
delictes	zločine
ortiz	ortiz
avenç	proboj
avenç	iskorak
cia	cia
cia	cia
cia	cla
pink	ružičasta
iglesias	iglesias
dave	dave
dave	dava
ventre	materice
ventre	maternici
hannover	hannover
submarí	podmornica
servidors	servere
excepcions	iznimke
excepcions	izuzetaka
excepcions	izuzeci
jamaica	jamajka
letó	letonski
evolucionar	razvijaju
ken	ken
observador	posmatrač
tiberi	tiberije
controlat	kontrolira
controlat	kontrolom
almeria	almería
quintana	quintana
interaccions	interakcije
pesant	heavy
pesant	teški
pesant	težak
pesant	teška
pesant	teške
atlanta	atlanta
substitueix	zamijeniti
substitueix	zamijenit
substitueix	zamjenu
recomana	preporučuje
houston	houston
singapur	singapur
deure	dužnosti
deure	dužnost
assíria	asirija
rubí	ruby
northern	sjeverna
northern	sjeverni
sul	sul
fritz	fritz
marxista	marksistička
edgar	edgar
fallida	stečaj
pietat	milosti
