бретань	bretagne
закінчили	zrobione
мажор	major
аналог	analogiczny
аналог	analogiczne
старим	stare
старим	stary
старим	old
старим	stara
використана	stosowane
використана	wykorzystane
використана	użyte
використана	używana
використана	używany
використана	używane
звичаї	celne
звичаї	cła
звичаї	cło
травми	szkody
травми	urazy
травми	uraz
травми	obrażenia
травми	uszkodzenie
травми	urazy
травми	uraz
адмін	administracja
адмін	administrator
адмін	administratora
адмін	administratorem
типові	domyślną
типові	domyślny
типові	domyślnie
типові	domyślne
типові	domyślne
типові	typowe
типові	typowa
типові	typowo
типові	typowy
співака	singer
співака	piosenkarz
співака	wokalista
співака	piosenkarka
стрілець	strzelec
стрілець	strzelca
золоте	złote
золоте	golden
золоте	złoty
золоте	złota
латвія	łotwa
латвія	łotwy
латвія	łotwie
вождь	wódz
вождь	szef
серйозні	poważna
серйозні	poważne
серйозні	poważny
спрямування	przedstawicielstwo
спрямування	delegacja
спрямування	delegacji
спрямування	przedstawicielstwa
начебто	najwidoczniej
начебто	najwyraźniej
начебто	widocznie
присутня	obecny
присутня	teraźniejszość
присутня	obecni
присутня	obecna
присутня	prezent
присутня	obecne
померлих	zmarłego
померлих	zmarły
померлих	zmarli
померлих	zmarła
старт	start
старт	rozpoczęcie
старт	zacznij
старт	początek
згадував	wspomniano
згадував	wspomniana
згадував	wspomniał
згадував	wspomniany
тіні	cieni
тіні	cienie
тіні	cień
тіні	cieniowanie
тан	tang
тан	tan
шекспіра	sonety
змінено	zmieniono
змінено	zmienione
змінено	zmienił
змінено	zmieniony
змінено	zmodyfikowane
змінено	zmienione
змінено	zmodyfikowany
змінено	modyfikowane
змінено	zmieniony
рейх	rzesza
рейх	rzeszy
есе	esej
есе	wypracowanie
есе	ese
італійською	włoska
італійською	włochy
італійською	włoski
італійською	włoch
італійською	włoskie
казка	opowieść
казка	bajkowe
казка	bajka
подати	przedstawienia
подати	prześlij
зруйновано	zniszczona
зруйновано	zniszczone
зруйновано	zniszczony
вказати	określić
вказати	określić
папір	papier
знаменитий	sławne
знаменитий	znana
знаменитий	znany
знаменитий	sławny
знаменитий	sławna
залізо	żelazna
залізо	żelazo
залізо	żelaza
залізо	iron
залізо	żelazko
відходів	odpady
відходів	odpadów
трофей	trophy
трофей	trofea
трофей	trofeum
денні	danny
денні	denny
тунісу	tunezja
знищили	zniszczona
знищили	zniszczone
знищили	zniszczony
родичі	rodzeństwo
родичі	rodzeństwa
родичі	krewni
родичі	krewnych
рідний	rdzenni
рідний	rodzimy
бачення	wzrok
бачення	wizji
бачення	wizja
бачення	widzenie
олеся	olesia
іллінойс	illinois
раси	wyścigi
раси	ras
раси	rasy
казимир	kazimierz
казимир	kazimierz
казимир	kazimierza
білка	wiewiórka
білка	wiewiórki
чоловіча	samiec
чоловіча	męskie
чоловіча	męska
чоловіча	męski
чоловіча	mężczyzna
аудіо	audio
аудіо	dźwięk
розділена	podzielona
розділена	dzielone
розділена	podzielone
розділена	podzielony
розділена	podział
розділена	podziel
розділена	split
дорослі	dorosłe
дорослі	dorośli
дорослі	dorosłych
дорослі	dorośli
дорослі	dorosły
дорослі	dorosłych
дорослі	dorosła
перевага	przysługi
перевага	przysługę
перевага	przewaga
перевага	korzyść
перевага	przewagę
ширину	szerokość
ширину	szerokości
отримано	otrzymała
отримано	otrzymana
отримано	otrzymano
отримано	otrzymany
отримано	otrzymane
отримано	odzyskane
експонатів	wystawy
джонні	johny
джонні	johnny
джонні	jonny
сосна	pinus
сосна	sosna
сосна	pine
сосна	sosny
танець	dance
танець	tańcz
танець	taniec
орн	orne
барабани	beczki
барабани	bębny
наведення	unosić
палата	komnata
палата	komora
палата	komory
палата	izbie
палата	izba
знищені	zniszczona
знищені	zniszczone
знищені	zniszczony
симфонія	symphony
цікавий	interesujące
цікавий	ciekawe
цікавий	interesujący
цікавий	ciekawie
трагедія	tragiczne
трагедія	tragiczna
трагедія	tragiczny
трагедія	tragedia
трагедія	tragedii
трагедія	tragedię
трагедія	tragedia
бачили	widziałem
бачили	widziane
бачили	widziany
пацієнтів	pacjenci
пацієнтів	pacjentów
маргарита	margaret
маргарита	małgorzata
маргарита	małgorzata
маргарита	margarita
творець	stwórca
творець	twórca
творець	twórcy
творець	twórcą
вигнання	wygnanie
докази	dowody
докази	dowód
докази	dowody
балки	płaskorzeźby
побачили	widział
побачили	piły
побачили	piła
ендр	indre
священики	kapłani
