போட	zet
சிதைந்த	corrupt
சிதைந்த	bedorven
சிதைந்த	beschadigd
அன்வர்	anwar
ஏப்	apr
வரையறுக்க	definiëren
வரையறுக்க	definieer
மாநாட்டு	conferentie
சேவல்	lul
சேவல்	pik
சேவல்	haan
சேவல்	haan
யூன்	yoon
லின்	lynn
லின்	lyn
லின்	lin
லின்	lynne
தன்னிச்சையான	spontaan
தன்னிச்சையான	spontane
எறும்பு	ant
எறும்பு	mier
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgie
பாட்னா	patna
திருப்தி	voldaan
திருப்தி	tevreden
கன்	gan
இமாம்	imam
பாம்	bam
பாம்	handpalm
பாம்	palm
பட்டறைகள்	workshops
பட்டறைகள்	werkplaatsen
இறங்கும்	aanvoer
இறங்கும்	aanlanding
இறங்கும்	landing
இணக்கம்	naleving
இணக்கம்	compliance
இணக்கம்	naleven
ஹதீஸ்	hadith
நிரந்தரமான	eeuwige
நிரந்தரமான	eeuwigdurende
சத்யா	sathya
வருகிறேன்	doei
வருகிறேன்	dag
வருகிறேன்	daag
மரணத்தை	dood
மரணத்தை	doods
மரணத்தை	overlijden
காசா	casa
காசா	gaza
பயிற்சியை	trainen
பயிற்சியை	training
பயிற்சியை	opleiding
அருணா	aruna
மாயை	waan
மாயை	illusies
மாயை	illusie
விற்பனையாளர்கள்	verkopers
அமைப்பாளர்	organisator
அமைப்பாளர்	componist
கண்களை	ogen
கண்களை	oogjes
செர்பியா	servië
வேண்டுதல்	aanvraag
வேண்டுதல்	aanvragen
வேண்டுதல்	verzoek
வேண்டுதல்	verzoeken
ஓய்வுபெற்ற	gepensioneerde
ஓய்வுபெற்ற	gepensioneerd
நம்ப	geloven
நம்ப	geloof
பியானோ	piano
தட்டை	plat
மறுசுழற்சி	recyclen
மறுசுழற்சி	gerecycled
மறுசுழற்சி	hergebruikt
மறுசுழற்சி	gerecycleerd
கலந்துரையாடல்	discussie
கலந்துரையாடல்	discussies
விரிவுரை	lezing
விரிவுரை	preek
விரிவுரை	lezingen
வென்	wen
பாதுகாப்பில்	voogdij
பாதுகாப்பில்	hechtenis
பாதுகாப்பில்	bewaring
சங்கீதம்	psalmen
சங்கீதம்	psalm
ஹிந்து	hindoe
உறவுமுறை	relatie
சூரத்	surat
சேர்க்கப்பட்டார்	toegevoegd
சேர்க்கப்பட்டார்	toegevoegde
அரக்கன்	monster
சமுத்திரம்	oceaan
முக்கோணங்கள்	driehoeken
சொந்தமானது	eigendom
பாராட்டு	waardering
பாராட்டு	appreciatie
பாராட்டு	applaus
அச்சிட்டு	vingerafdrukken
அச்சிட்டு	afdrukken
அச்சிட்டு	prenten
அச்சிட்டு	prints
துத்தநாகம்	gegalvaniseerd
பின்பும்	na
பின்பும்	after
தோழர்	kameraad
தோழர்	metgezel
போராடும்	vechten
விலகல்	afwijking
அர்ஜென்டினா	argentinië
அர்ஜென்டினா	argentinië
அர்ஜென்டினா	argentijns
அர்ஜென்டினா	argentijnse
ரத்தம்	bloed
ரத்தம்	blood
தாமான்	taman
வெடி	explosie
வெடி	ontploffing
வெடி	explosies
பழமொழி	gezegde
பழமொழி	spreekwoord
நர்மதா	narmada
உறிஞ்சி	sukkel
கற்பனைக்	fantasy
கற்பனைக்	fantasie
கம்	gom
கம்	kauwgum
கம்	kauwgom
கம்	gum
மெசியா	messias
ஹெப்பர்ன்	hepburn
குட்டை	kort
குட்டை	short
குட்டை	korte
காதலர்	minnaar
காதலர்	lover
காதலர்	liefhebber
காதலர்	geliefde
யூரியா	ureum
மீறல்	schending
மீறல்	overtreding
குப்தா	gupta
மாணவன்	leerling
மாணவன்	student
டானியல்	daniel
டானியல்	daniël
கனரக	heavy
கனரக	zwaar
கனரக	zware
கனரக	heftig
சந்தா	inschrijven
சந்தா	abonneren
சந்தா	abonnementen
சந்தா	abonnement
தொங்கும்	ophanging
தொங்கும்	rondhangen
தொங்கும்	ophangen
தொங்கும்	hangen
ஒருமை	enkelvoud
கொண்டாடுகின்றனர்	vieren
வாங்குதல்	aanschaf
வாங்குதல்	aankoop
வாங்குதல்	inkoop
வாங்குதல்	aankoop
வாங்குதல்	aanschaffen
வாங்குதல்	inkoop
வாங்குதல்	kopen
நதிகள்	rivieren
ஊடுருவல்	transparant
ஊடுருவல்	transparante
ஊடுருவல்	doorzichtig
ஊடுருவல்	transparant
ஊடுருவல்	transparantie
ஊடுருவல்	doorzichtigheid
ஏர்பஸ்	airbus
தவளை	kikker
கரம்	karam
பிரடெரிக்	frederik
பிரடெரிக்	frederick
வேலைவாய்ப்பின்மை	werkloosheid
டில்லி	delhi
ராதாகிருஷ்ணன்	radhakrishnan
துளு	tulu
நான்சி	nancy
இரண்டரை	elimineren
ஹார்மோன்	hormonale
ஆறுதல்	comfort
ஆறுதல்	troost
சுங்	chung
பலவீனமான	zwak
பலவீனமான	zwakken
பலவீனமான	slap
பலவீனமான	zwakke
தகடுகள்	borden
தகடுகள்	nummerplaten
தகடுகள்	platen
தகடுகள்	kenteken
வலியை	pijn
விதிமுறைகளை	termen
விதிமுறைகளை	voorwaarden
தாள்கள்	vellen
தாள்கள்	lakens
தாள்கள்	bladen
கல்வியாளர்கள்	academici
கல்வியாளர்கள்	onderwijzers
கல்வியாளர்கள்	opvoeders
நாத்	nath
கிரீஸ்	griekenland
உதயம்	zonsopkomst
உதயம்	zonsopgang
மேத்தா	mehta
கரீபியன்	caribische
கரீபியன்	caraïben
ஹோலி	holly
ஹோலி	hulst
ஹோலி	holi
ஏற்கவில்லை	oneens
சண்டைகள்	gevechten
பானம்	drankje
பானம்	drink
பானம்	drinken
நித்திய	eeuwigheid
நித்திய	eeuwige
நித்திய	eeuwig
மடத்தில்	klooster
மண்டை	schedel
மண்டை	skull
சிபிஐ	cpi
பெய்யும்	pei
மாலி	mali
டைலர்	tyler
பேபி	baby
பேபி	schat
பேபி	schatje
உக்ரைனிய	sprookje
புகழை	reputatie
குயின்ஸ்லாந்து	queensland
எத்தனால்	ethanol
சீக்ரெட்	geheim
சீக்ரெட்	secret
ஓட்டோமான்	ottomaanse
தொப்பி	dop
தொப்பி	cap
தொப்பி	hoed
தொப்பி	pet
தொப்பி	hat
தொப்பி	muts
ஒத்ததாக	synoniem
ஈதர்	ether
சிக்மா	sigma
இழக்க	verliezen
இழக்க	verlies
துப்பறியும்	detective
துப்பறியும்	rechercheur
கம்பிகள்	draden
உபகரணம்	materiaal
உபகரணம்	uitrusting
உபகரணம்	apparatuur
உபகரணம்	materieel
உபகரணம்	apparaat
வண்ணங்கள்	kleuren
வண்ணங்கள்	kleuren
கோலி	kohli
கடினமானது	lastig
கடினமானது	moeilijk
கடினமானது	moeilijke
நுனி	tip
நுனி	fooi
படவில்லை	slide
படவில்லை	schuif
படவில்லை	dia
படவில்லை	glijden
படவில்லை	schuiven
பெண்ணுக்கு	meis
பெண்ணுக்கு	meisje
பெண்ணுக்கு	meid
பெண்ணுக்கு	girl
