και	og
το	de
το	den
από	fra
με	med
που	hvilket
που	hvilken
που	hvilke
για	til
για	for
κατηγορία	kategori
τους	them
τους	dem
ήταν	var
ήταν	blev
ένα	et
ένα	en
ένα	én
μια	et
μια	en
μια	én
έχει	har
θα	will
θα	vil
αλλά	men
μετά	derefter
μετά	så
μετά	efter
επίσης	også
όπως	gerne
όπως	like
είχε	havde
είχε	haft
ενώ	mens
δύο	to
αυτό	dette
αυτό	denne
αυτή	hun
όπου	hvor
όταν	da
όταν	når
όταν	hvornår
μέχρι	indtil
μία	et
μία	en
μία	én
μπορεί	kan
μπορεί	can
ομάδα	trup
ομάδα	gruppe
ομάδα	group
ομάδα	gruppen
ομάδα	holdet
ομάδα	hold
ομάδα	teamet
ομάδα	team
θέση	position
θέση	stilling
θέση	holdning
μεταξύ	mellem
μεταξύ	imellem
χρόνια	kronisk
χρόνια	kroniske
χρόνια	år
πρώτη	første
πρώτη	først
πιο	mere
πιο	flere
ένας	et
ένας	en
ένας	én
πόλη	town
πόλη	byen
πόλη	by
πόλη	city
πόλη	byen
πόλη	storby
πόλη	by
σύνδεσμοι	link
σύνδεσμοι	links
μόνο	kun
έγινε	færdig
έγινε	udfærdiget
έγινε	done
έγινε	udført
έγινε	gjort
πολύ	meget
κάθε	hver
κάθε	hver
περιοχή	region
περιοχή	areal
περιοχή	område
αιώνα	århundrede
αθήνα	athen
αθήνα	athens
περίοδο	tidsrum
περίοδο	periode
περίοδο	perioden
τότε	derefter
τότε	så
όνομα	betegnelse
όνομα	navn
ελλάδα	grækenland
μέρος	del
μέρος	stedet
μέρος	place
μέρος	sted
μέρος	plads
σήμερα	idag
μέσα	indvendigt
μέσα	indenfor
μέσα	inde
μέσα	indvendig
μέσα	indeni
πως	hvordan
μαζί	sammen
διάρκεια	varighed
διάρκεια	løbetid
ιστορία	historien
ιστορία	story
ιστορία	historie
ιστορία	historik
ιστορία	historie
πρωτάθλημα	league
πρωτάθλημα	ligaen
πρωτάθλημα	liga
πρωτάθλημα	mesterskabet
πρωτάθλημα	mesterskab
πρωτάθλημα	championship
αργότερα	senere
νέα	ny
νέα	nyt
νέα	nye
νέα	nyheder
νέα	nyhed
περίπου	om
περίπου	omkring
αυτά	disse
πριν	inden
πριν	før
χωρίς	uden
εθνική	nationale
εθνική	nationalt
εθνική	national
εθνική	landsdækkende
συζήτηση	samtalen
συζήτηση	samtale
συζήτηση	konversation
συζήτηση	diskussioner
συζήτηση	diskussion
συζήτηση	drøftelser
συζήτηση	drøftelse
συζήτηση	debat
