சிண்டிகேட்	sindicato
இறந்தார்கள்	morreu
இறந்தார்கள்	morreron
இறந்தார்கள்	morto
இறந்தார்கள்	morrer
விருப்பத்தேர்வுகள்	opcións
தேடலை	buscar
தேடலை	procura
தேடலை	busca
லாஜிக்	lóxica
நதிநீர்	río
பிரிவினையை	separación
தொடரவும்	seguir
தொடரவும்	continuar
தொடரவும்	continúan
தொடரவும்	continúe
தொடரவும்	continuaremos
தொடரவும்	proceder
தொடரவும்	continúe
வாக்கியத்தை	oración
வாக்கியத்தை	frase
வாக்கியத்தை	sentenza
வாக்கியத்தை	sentencia
வாக்கியத்தை	punto
வாக்கியத்தை	e
வாக்கியத்தை	seguido
நரம்பணுவியல்	neurociencia
கொழுப்பை	graxa
கொழுப்பை	gorda
கொழுப்பை	gordo
கொழுப்பை	gordos
கொழுப்பை	o
எட்னா	edna
சோசலிசம்	socialismo
ரஸ்ஸல்	russell
அரசியல்வாதிகளின்	políticos
தந்திரங்கள்	trucos
கிங்ஸ்டன்	kingston
வெப்பமடைதல்	quecemento
வெப்பமடைதல்	aquecemento
டெட்ராய்ட்	detroit
பிளான்	plan
பிளான்	plano
பிளான்	posición
பிளான்	oferta
தசைகளை	músculos
தசைகளை	os
மனதிற்கு	mente
மனதிற்கு	importa
பொறுப்புள்ள	responsable
பொறுப்புள்ள	responsables
பொறுப்புள்ள	responsábeis
பொறுப்புள்ள	responsábel
கண்ணிவெடி	minas
குடிப்பது	auga
குடிப்பது	café
குடிப்பது	bebendo
குடிப்பது	beber
இடுகை	posto
இடுகை	poste
இடுகை	correos
இடுகை	correo
இடுகை	de
பலவற்றிற்கு	máis
குழப்பத்தில்	confuso
லேசாக	luz
யாரென்று	quen
யாரென்று	que
கற்பழிப்பு	violación
கற்பழிப்பு	viólanme
நத்தைகள்	caracois
ஹவானா	habana
ஹவானா	da
கோளங்கள்	esfera
நேர்மையாக	honestamente
பாட்டியின்	avoa
பாட்டியின்	a
ஒயின்	viño
மேரேஜ்	casamento
மேரேஜ்	matrimonio
வற்புறுத்தி	forza
வற்புறுத்தி	a
வற்புறுத்தி	policía
வற்புறுத்தி	exército
ரோஜர்ஸ்	rogers
ரீகன்	reagan
பசங்க	tipos
பசங்க	mozos
பசங்க	rapaces
பசங்க	tíos
பசங்க	homes
ஷாப்	tenda
ஷாப்	de
ஷாப்	mae
ஷாப்	choio
ஷாப்	delegados
ஷூ	zapato
வெற்றியாகும்	triunfo
கச்சிதமான	perfecto
கச்சிதமான	perfecta
கச்சிதமான	perfectos
சிரிக்க	rir
சிரிக்க	risa
சிரிக்க	rían
லாம்ப்	cordeiro
சட்டையை	camisa
சட்டையை	camiseta
ஜார்	de
ஜார்	bote
நீளவாக்கில்	retrato
உணர்கிறார்	sensación
உணர்கிறார்	sentir
உணர்கிறார்	sentimento
உணர்கிறார்	sentimentos
உணர்கிறார்	distancia
உணர்கிறார்	os
எங்களின்	noso
எங்களின்	nosas
எங்களின்	nosa
எங்களின்	nosos
எங்களின்	o
எங்களின்	a
எங்களின்	os
மான்ஸ்டர்	monstro
பின்புறமாக	revés
உத்வேகம்	inspiración
சுழல்கள்	ciclos
சொந்தக்காரர்	dono
கிளின்ட்	clint
ஏஜென்சி	axencia
ஏஜென்சி	de
அநீதி	inxustiza
அநீதி	inxustizas
சித்தப்பா	tío
சித்தப்பா	tonton
லூப்	acople
லூப்	volta
அழும்	prantos
அழும்	chora
அழும்	os
அழும்	chorando
அழும்	choraba
அழும்	chorar
அழும்	vergoña
அழும்	choras
அழும்	choran
சலனம்	tentación
சலனம்	deixes
பருகும்	gando
பருகும்	vacas
பருகும்	gado
உடுத்தும்	levar
உடுத்தும்	levo
உடுத்தும்	levas
உடுத்தும்	non
உடுத்தும்	as
கிறிஸ்துவை	xesucristo
கிறிஸ்துவை	cristo
கிறிஸ்துவை	advindo
கிறிஸ்துவை	están
கிறிஸ்துவை	aos
கிறிஸ்துவை	por
ஆப்பிள்கள்	mazás
வாக்களித்தது	votou
வாக்களித்தது	votaron
இனமே	os
இனமே	déixalles
பாரஸ்ட்	forrest
கெமிக்கல்	químicas
கெமிக்கல்	químico
கர்வம்	orgullo
கர்வம்	orgulloso
நிச்சயதார்த்தம்	compromiso
வீல்	roda
மதிப்பிற்குரிய	respectado
அல்லேலூயா	aleluia
அல்லேலூயா	abaixo
வெண்டி	wendy
ராவுல்	raúl
சேமிக்கிறது	aforrando
சேமிக்கிறது	salvar
சேமிக்கிறது	aforro
சேமிக்கிறது	aforraban
டீல்	tratar
டீல்	negocio
டீல்	trato
தடுப்பூசிகள்	vacinas
தடுப்பூசிகள்	das
தடுப்பூசிகள்	as
பாதங்களை	metros
பாதங்களை	os
பாதங்களை	pés
பாதங்களை	pé
தெளிவுத்திறன்	resolución
ஏற்கிறேன்	acordo
ஏற்கிறேன்	de
ஏற்கிறேன்	concordo
ஏற்கிறேன்	dacordo
ஏற்கிறேன்	aceptar
ஏற்கிறேன்	aceptalo
ஏற்கிறேன்	acepto
பார்த்ததில்	ver
பார்த்ததில்	vendo
ஆரம்பித்தான்	clay
கடையை	tenda
கடையை	de
கடையை	mae
கடையை	choio
கடையை	delegados
அதிர்ந்து	shock
பிம்பங்கள்	as
பிம்பங்கள்	imaxes
நிறுத்துகிறது	parada
புல்லை	herba
வின்னி	vinnie
லயன்ஸ்	leóns
பண்ண	granxa
பண்ண	a
பண்ண	campo
பண்ண	leira
பண்ண	casa
பண்ண	reserva
விரி	expandíndose
கிங்ஸ்லி	kingsley
சாபவிமோசனம்	exército
சாபவிமோசனம்	de
சாபவிமோசனம்	salvacionista
சாபவிமோசனம்	salvación
விரும்பினேன்	me
விரும்பினேன்	queridos
விரும்பினேன்	amas
விரும்பினேன்	amaba
விரும்பினேன்	encantábache
பதற்றம்	ansiedade
தண்டிக்க	castigar
பாடவும்	cantar
பாடவும்	canta
பாடவும்	cante
துரத்தும்	de
துரத்தும்	perseguen
தைரியம்	valor
தைரியம்	coraxe
தைரியம்	valentía
தைரியம்	valente
தைரியம்	collóns
காதுகளில்	oídos
காதுகளில்	orellas
விற்பவர்	vendedor
சந்திப்பை	encontro
உற்சாகத்துடன்	entusiasmo
ஆஹா	vaites
ஆஹா	uau
ஆஹா	guau
ஆஹா	vaia
நினைவுகளை	lembranzas
நினைவுகளை	recordos
லிபர்டி	liberdade
லிபர்டி	a
லிபர்டி	libertade
கொலைகாரன்	asasino
கொலைகாரன்	do
யதார்த்தமான	realista
யதார்த்தமான	realistas
வேணும்	quero
வேணும்	queremos
வேணும்	quere
வேணும்	queren
வேணும்	queres
நகர்த்தப்பட்டது	mudeime
நகர்த்தப்பட்டது	a
நகர்த்தப்பட்டது	mudouse
நகர்த்தப்பட்டது	se
பொத்தான்கள்	botóns
எல்லாமும்	todo
எல்லாமும்	o
பழையது	anos
பழையது	vellos
பழையது	vello
பழையது	vella
அனுபவமிக்க	experimentou
அனுபவமிக்க	experiencia
அனுபவமிக்க	experimentado
அனுபவமிக்க	nisto
டாசன்	dawson
இலவசம்	libre
இலவசம்	libres
இலவசம்	balde
வைட்டமின்கள்	vitaminas
அணிவகுப்பில்	procesión
அமை	conxunto
பிரசங்கம்	sermón
கிண்ணக்குழி	cráter
கேளிர்	relación
கழுவும்	lavado
கழுவும்	lavan
கழுவும்	lavar
கழுவும்	lava
கழுவும்	lavalo
ஐடியா	idea
அந்தரங்கம்	privacidade
குற்றங்களில்	crimes
குற்றங்களில்	delitos
கூடாரங்கள்	tendas
பன்னி	porco
சம்பாதித்த	gañaba
விளக்கில்	iluminación
துர்நாற்றம்	apesto
எடிட்டர்	de
எடிட்டர்	edición
விரிப்புகள்	alfombras
ப்ளஸ்	máis
ப்ளஸ்	mais
ஏய்	ei
ஏய்	eh
ஏய்	oe
அந்நியன்	descoñecido
அந்நியன்	estraño
ரசாயனம்	químicas
ரசாயனம்	químico
விசுவாசமாக	leal
வீட்டுவசதி	vivenda
எரிகிறது	queimaduras
எரிகிறது	arde
பூட்ஸ்	botas
பூட்ஸ்	as
மைகேல்	michael
கோடரி	machada
பர்கர்	hamburguesa
பில்டிங்	construír
பில்டிங்	edificio
பில்டிங்	construción
பாதுகாப்பாகவும்	máis
பாதுகாப்பாகவும்	seguro
நுழை	entrar
ப்ரோக்கோலி	brócoli
மரியாதைக்குரிய	respectado
பகைவர்கள்	inimigos
ஹியூக்	hugh
ரிசார்ட்	recorren
ரிசார்ட்	recorrer
ஸ்டெல்லா	stella
சிந்தும்	ser
சிந்தும்	a
சிந்தும்	pena
சிந்தும்	paga
சிந்தும்	valor
சிந்தும்	vale
பெக்கி	peggy
எடுக்கிறார்	a
கெட்டது	negativo
நிரப்பிய	de
நிரப்பிய	cheos
அபிப்பிராயம்	impresión
ஆன்மாக்கள்	almas
ஆபரேட்டர்	operadora
ரிகோ	rico
ரிகோ	ei
ஷெரீஃப்	alguacil
ஷெரீஃப்	shérif
ஷெரீஃப்	gobernador
சோரன்	soren
டிசைனர்	estilista
பாராட்ட	aprezar
பாராட்ட	apreciaría
பாராட்ட	estivese
பாராட்ட	gustaríame
மன்னிக்க	perdoar
மன்னிக்க	perdoamos
மன்னிக்க	perdóame
மன்னிக்க	desculpe
மன்னிக்க	perdoa
மன்னிக்க	perdóeme
மன்னிக்க	perdoe
பிடித்திருக்கிறது	como
பிடித்திருக்கிறது	coma
பிடித்திருக்கிறது	así
அரசியல்வாதிகளும்	políticos
ரெனால்ட்	renault
அய்ன்	non
அய்ன்	é
ஆலங்கட்டி	“
ஆலங்கட்டி	sarabia
ஆலங்கட்டி	”
ஆலங்கட்டி	en
ஆலங்கட்டி	galego
ஆலங்கட்டி	saudamos
நோட்டம்	monitor
பாவத்தை	pecado
கவனியுங்கள்	atención
கவனித்தல்	escoitan
கவனித்தல்	escoiten
கவனித்தல்	a
கவனித்தல்	escoitar
கவனித்தல்	escoitando
கவனித்தல்	escoitamos
ஸ்காட்ச்	escocés
ஸ்காட்ச்	dobre
பீன்ஸ்	feixóns
பீன்ஸ்	xudías
காட்டுக	amosar
காட்டுக	espectáculo
ஈவ்	eva
ஈவ்	aninovo
ஈவ்	data
ஈவ்	véspera
ஈவ்	noitevella
கேலரி	galería
கேலரி	de
கேலரி	louvre
வெதுவெதுப்பான	calor
வெதுவெதுப்பான	quentes
வெதுவெதுப்பான	quente
வெதுவெதுப்பான	cálida
சந்தேகத்திற்குரிய	sospeitosos
சுருங்க	pegada
சுருங்க	pequena
கார்டுகள்	tarxetas
கார்டுகள்	cartas
கார்டுகள்	naipes
கார்டுகள்	as
கார்டுகள்	ás
ஜாமீன்	fianza
நிண்டெண்டோ	nintendo
உறுதிசெய்யப்பட்டது	confirmado
கதவுகளை	as
கதவுகளை	portas
கதவுகளை	porta
பைபிளில்	biblia
பைபிளில்	biblias
நம்பமுடியாத	incríbel
நம்பமுடியாத	incrible
உதைத்து	unha
உதைத்து	malleira
உதைத்து	patada
உதைத்து	dáme
உதைத்து	una
உதைத்து	botar
உதைத்து	patea
