que	att
per	för
les	les
els	de
els	den
amb	med
com	gilla
com	gillar
com	som
com	like
més	mera
més	more
més	fler
més	mer
bar	bar
seu	huvudkontor
seu	huvudkontoret
seu	högkvarter
seu	högkvarteret
van	van
van	skåpbil
era	eran
era	era
seva	seva
text	text
text	texten
també	också
també	även
entre	emellan
entre	mellan
fou	var
anys	years
anys	åratal
anys	åren
anys	år
any	year
any	årsmodell
any	året
any	år
població	populationen
població	befolkning
població	befolkningen
població	folkmängd
població	population
però	men
aquest	denna
aquest	detta
altres	annan
altres	övrig
altres	övriga
altres	andra
altres	övrigt
altres	annat
altres	andra
altres	övriga
estat	stat
estat	statliga
estat	delstat
estat	statligt
estat	varit
després	efteråt
després	after
després	efter
són	är
són	are
fins	tills
des	des
aquesta	denna
aquesta	detta
eren	var
estats	staterna
estats	stater
estats	delstater
persones	människor
persones	personer
persones	folk
persones	people
from	från
part	delen
part	del
cap	ingen
cap	inga
sobre	kuvertet
sobre	kuvert
gran	jättebra
gran	härligt
gran	toppen
durant	under
durant	durant
tot	everything
tot	allt
tot	allting
enllaços	anknyter
enllaços	länkar
dos	två
externs	extern
externs	externt
externs	yttre
externs	externa
família	familjen
família	familj
família	family
família	släkt
ciutat	staden
ciutat	city
ciutat	ort
ciutat	stad
ciutat	orten
quan	när
habitatges	husen
habitatges	hus
qual	vilka
qual	vilket
qual	vilken
qual	som
molt	mycket
nord	norr
nord	norra
nord	norrut
nord	nord
habitants	invånare
habitants	innevånare
barcelona	barcelona
dones	kvinnor
res	ingenting
res	inget
segons	sekunderna
segons	sekunder
primer	först
primer	första
segle	sekel
segle	århundrade
segle	århundradet
nom	namnge
nom	namn
nom	name
tres	tre
tres	three
sud	syd
sud	söderut
sud	söder
sud	södra
lloc	ställe
lloc	place
lloc	placera
lloc	plats
nova	ny
nova	nyhet
nova	nya
nova	nytt
nova	nova
homes	karlar
homes	män
homes	manskap
primera	först
primera	första
dues	två
guerra	kriga
guerra	kriget
guerra	krig
guerra	war
següent	nästa
següent	härnäst
sense	utan
això	denna
això	detta
general	allmän
general	allmänna
general	allmänt
municipi	kommunen
municipi	kommun
catalunya	katalonien
vivien	vivien
forma	form
forma	blankett
forma	formulär
forma	form
forma	bilda
mateix	samma
mateix	detsamma
fet	avklarat
fet	done
fet	gjort
fet	färdig
han	han
encara	fortfarande
encara	ändå
mort	död
mort	döden
