statut	статут
platforma	платформи
platforma	платформу
platforma	платформа
wallace	воллес
cipar	кіпр
cipar	кіпрі
cipar	кіпру
georges	жорж
misa	маса
misa	mass
misa	міса
kat	катерина
kat	kat
kat	підлога
kat	поверх
tamno	темні
tamno	темна
tamno	темний
tamno	темне
tamno	темно
miris	запах
miris	аромат
miris	запаху
miris	запах
miris	запахи
miris	запаху
miris	пахощі
potrošnje	витрати
potrošnje	видатки
potrošnje	споживання
sadržavati	містити
sadržavati	містить
sadržavati	міститься
sadržavati	містять
zhao	чжао
dejan	деян
bilje	рослини
bilje	заводи
bilje	трав
marino	марино
kombinacije	комбінації
ricardo	рікардо
trake	стрічок
dizel	дизель
garman	garman
stražnji	задній
stražnji	строю
tiskana	надруковано
fan	прихильник
fan	фан
fan	шанувальник
fan	шанувальників
fan	вентилятор
očeve	отці
očeve	батьки
rich	багаті
rich	багатий
rich	rich
dopuštenje	дозволу
dopuštenje	дозвіл
simfonija	симфонічний
simfonija	симфонія
doseljenici	settlers
osudio	засуджений
osudio	засудили
generatora	генератори
fang	фан
specifične	конкретних
specifične	певне
specifične	конкретні
zanimanja	професії
zanimanja	професій
molitva	молитовне
molitva	молитва
cohen	коен
faktora	фактори
faktora	факторів
pink	рожева
pink	рожевий
doseljenika	settlers
amazonas	амазонас
wagner	вагнер
kontinuirano	неодноразово
kontinuirano	продовження
molu	pier
vještica	відьму
vještica	відьма
vještica	відьми
ham	ам
pirati	пірати
pretvoriti	перетворити
trst	трієст
jorge	хорхе
stope	курси
stope	швидкостей
stope	слідами
biografski	біографічний
izjava	заява
izjava	виписка
izjava	твердження
suprotnosti	протилежності
sandra	сандра
jonathan	джонатан
hrabrost	мужність
menadžer	керівник
menadžer	менеджер
piramida	піраміда
piramida	піраміди
podjeli	розділ
kapitala	капітал
kapitala	столиця
garcia	гарсія
gonzález	гонсалес
čvor	вузол
čvor	вузол
bek	бек
bek	захисником
musa	муза
eduard	едуард
odgovarajući	відповідності
odgovarajući	відповідність
udovica	вдова
udovica	вдови
tumačenje	інтерпретація
tumačenje	тлумачення
podgorica	подгориця
harmonika	гармоніка
harmonika	акордеон
spora	суперечка
trgovac	творами
trgovac	дилер
poslovi	завдання
poslovi	задачі
poslovi	джобс
legendarni	легендарні
legendarni	легендарна
legendarni	легендарного
legendarni	легендарний
klasificira	розподіляються
obveza	вимога
obveza	характеру
hooper	гупер
radovan	радован
nebeska	небесної
nebeska	небесні
nebeska	небесна
nebeska	небесний
nebeska	небесні
nebeska	небесна
rukopis	почерк
rukopis	грамоти
rukopis	рукопис
postignut	досягнуто
postignut	досягли
postignut	досягнув
postignut	досягла
dostupne	доступні
dostupne	доступний
dostupne	наявні
dostupne	наявний
ulaganja	інвестиції
ulaganja	інвестицій
ulaganja	інвестиції
ulaganja	вкладень
sahranjen	похований
sahranjen	поховані
pregovori	узгодження
pregovori	перемовини
pregovori	переговори
novčanice	рахунки
šteta	шкода
hlađenja	охолодження
lisica	фокс
lisica	лисиця
napetosti	напругу
napetosti	напруга
napetosti	заворушення
najmanja	найменша
najmanja	найменший
najmanja	найменше
lazar	лазаря
lazar	лазар
litara	літри
litara	літрів
litara	літри
litara	літрів
litara	галонів
prepoznati	впізнав
