در	cửa
رده	hạng
رده	lớp
از	khỏi
از	từ
که	ai
که	who
که	thế
که	rằng
که	điều
که	mà
که	vn
این	này
را	the
را	pha
با	với
با	bằng
یک	xả
یک	một
یک	one
سال	chèo
سال	năm
سال	sail
سال	sal
سال	năm
آن	anne
ایران	iran
برای	cho
اهل	ahl
شهرستان	quận
شهرستان	hạt
آمریکا	châu
آمریکا	mỹ
شده	lơn
شده	tụt
شده	cẩu
فهرست	catalog
فهرست	kê
فهرست	list
فهرست	danh
فهرست	catalogue
بود	aw
بود	bị
دارد	đã
او	cổ
او	ngành
او	her
او	cổ
تا	may
ساعت	tiếng
ساعت	giờ
ساعت	tiếng
ساعت	giờ
پایه	quỹ
پایه	foundation
پایه	nọc
پایه	base
نام	tên
استان	tỉnh
استان	loạt
استان	tần
استان	vùng
شهر	phố
شهر	phố
شهر	by
ملی	gạt
کشور	quốc
تاریخ	ngày
فیلم	phim
فیلم	phim
فیلم	film
فیلم	phim
بخش	sở
بخش	khu
بخش	phần
بخش	huyện
دو	hai
دو	two
پس	rồi
یکی	xả
یکی	một
یکی	one
وی	vệ
وی	wei
وی	ngụy
وی	wii
روستاهای	làng
دیگر	thêm
دیگر	khác
دیگر	khác
دیگر	khác
می	may
می	mai
می	mei
عنوان	caption
پیوند	link
پیوند	bond
پیش	trước
بیرون	ra
بیرون	tứ
افراد	người
دوره	hải
متر	mét
متر	mét
متر	mét
کاربر	dùng
مناطق	quận
هر	mỗi
هر	hằng
هر	any
باشگاه	club
باشگاه	clb
باشگاه	fenerbahçe
مورد	case
ثبت	log
زبان	lưỡi
زبان	ngữ
شماره	số
کار	nghề
کار	việc
اما	nhưng
روی	roy
روی	kẽm
روی	sink
روی	zinc
روی	zink
صورت	face
صورت	mặt
مرکز	trung
مرکز	central
مرکز	tâm
مرکز	centre
زمان	zaman
زمان	gian
زمان	thời
شرکت	ty
تیم	tim
تیم	tạo
تیم	đội
تیم	lớp
تیم	team
مرد	người
مرد	man
نظر	luận
جهانی	universal
جهانی	chung
جهانی	giới
همچنین	cũng
همچنین	quá
همچنین	khoáng
همچنین	too
زندگی	sống
زندگی	living
زندگی	đời
زن	nữ
زن	nữ
زن	vợ
زن	vơ
زن	vk
زیر	dưới
زیر	dưới
زیر	under
آنها	them
آنها	cói
آنها	chúng
آنها	họ
آنها	quất
آنها	những
آنها	chúng
آنها	họ
هستند	re
هستند	đang
هستند	là
جوایز	premier
روستا	làng
تهران	tehran
بازی	game
بازی	chơi
بازی	play
بازی	chơi
بازی	at
سرشماری	census
فرانسه	pháp
فرانسه	pháp
جنگ	tranh
جنگ	chiến
باید	phải
دست	tay
دست	tay
دست	tay
محل	nơi
محل	chỗ
های	hải
کتاب	sách
کتاب	sách
آلمان	đức
آلمان	đức
سطح	cấp
سطح	mức
سطح	tầng
سطح	cấp
اصلی	chính
اصلی	main
اصلی	gốc
اصلی	tác
اصلی	chính
المپیک	olympic
المپیک	olympic
المپیک	olympics
اول	trước
اول	đầu
سه	tre
سه	ba
سه	three
مرکزی	giữa
مرکزی	giữa
مرکزی	trung
مرکزی	central
ایالت	bang
زنده	sống
زنده	live
زنده	alive
بین	bean
بین	đậu
بین	giữa
دوم	giây
موسیقی	nhạc
گروه	ban
گروه	band
گروه	group
گروه	nhóm
جایزه	bonus
جایزه	thưởng
بیشتر	thêm
جنوبی	nam
روز	ngày
روز	day
مرگ	chết
ولی	nhưng
داد	dodd
آمریکایی	american
آمریکایی	mỹ
منطقه	loạt
منطقه	tần
منطقه	vùng
منطقه	zone
منطقه	múi
منطقه	vùng
منطقه	huyện
منطقه	loạt
منطقه	vực
منطقه	vùng
بسیار	cực
بسیار	rất
بسیار	nhiều
بسیار	nhiều
بزرگ	lớn
بزرگ	lớn
بزرگ	to
بزرگ	đúc
بزرگ	đại
بزرگ	big
اروپا	âu
اروپا	europa
روستایی	rural
اشاره	hint
زاده	sinh
محمد	mohammad
محمد	muhammad
محمد	mohamed
بریتانیا	britain
بریتانیا	british
بریتانیا	britannia
مانند	như
مانند	thích
مانند	like
چند	vài
چند	đa
چند	multi
شمالی	bắc
شمالی	bắc
شمالی	carolina
آب	nước
خورشیدگرفتگی	eclipse
ایرانی	irani
اطلاعات	info
ایجاد	tạo
ایجاد	tạo
ایجاد	tạo
مالک	hữu
مالک	malik
امنیت	ninh
نوع	kiểu
نوع	gõ
نوع	loại
مردم	người
دلیل	chi
دلیل	chi
روستای	làng
دور	xa
دور	xa
دور	phí
اولین	evelyn
مربوط	related
بار	nạp
بار	tải
بار	barr
بار	bar
دریا	biển
شما	các
شما	cac
شما	bạn
شما	anh
شما	cô
شما	của
برابر	bằng
تولید	tạo
تپه	đồi
تپه	ngổn
تپه	hill
تپه	hoan
تنها	độc
تنها	chỉ
تنها	duy
علی	ali
شرقی	đông
یونسکو	unesco
یونسکو	sites
برخی	cầy
میان	mian
میان	giữa
جهان	giới
جهان	jahan
جام	cup
جام	cốc
جام	tách
ها	hở
ها	huh
ها	hử
ها	hả
ها	hừm
کد	code
کد	mã
کشف	discovery
حذف	bỏ
حذف	xóa
حذف	xóa
حذف	xoá
تلویزیونی	tv
تلویزیونی	tivi
غربی	tây
غربی	tây
گرفته	taken
گرفته	bắt
گرفته	chụp
دوران	era
شامل	gồm
شامل	kèm
بهترین	nhất
دولت	bang
دولت	phủ
همراه	mobile
همراه	mobil
چپ	trái
ایتالیا	italia
ایتالیا	italy
صفحه	page
صفحه	trang
تحت	dưới
تحت	under
آغاز	khởi
ویکی	wiki
ویکی	vicky
راه	đường
کشتی	tàu
کشتی	thuyền
کشتی	tàu
کشتی	ship
کشتی	tàu
کشتی	thuyền
کشتی	boat
الگو	pattern
الگو	mẫu
بن	ben
بن	crack
همه	hết
کوچک	nhỏ
کوچک	nhỏ
کوچک	tiểu
کوچک	nhỏ
کوچک	minor
ژاپن	japan
اسلام	islam
پرونده	case
پرونده	tệp
پرونده	file
ماه	tháng
ماه	tháng
ماه	nen
ماه	nguyệt
ماه	trăng
ماه	moon
اوت	august
هزار	nghìn
هزار	ngàn
تابستانی	summer
تابستانی	hè
چون	vì
چون	khi
آوریل	apr
تغییر	đổi
تغییر	thay
شکل	hình
شکل	form
شکل	mẫu
مارس	march
مارس	mars
کیلومتر	km
جمله	câu
شهری	phố
شهری	by
لیگ	league
روسیه	nga
روسیه	nga
منابع	nguồn
نخستین	trước
نخستین	đầu
شاه	king
شاه	guy
شاه	vua
شاه	shah
جنوب	nam
طور	núi
طور	lắp
فوت	foot
فوت	bộ
فوت	foote
ژوئن	june
چه	gì
سر	sar
سر	đầu
سر	đàu
سر	head
سر	đầu
سر	vát
حزب	đảng
حزب	party
حزب	tiệc
ما	plr
دیگری	khác
خانه	ốc
خانه	nhà
خانه	nhà
موارد	mục
آلبوم	album
آزاد	free
آزاد	rảnh
چاپ	in
چاپ	in
علمی	khoa
نوامبر	nov
شمال	bắc
شمال	bắc
پایان	end
پایان	kết
علوم	khoa
جان	gioan
جان	john
سید	sid
کالیفرنیا	california
بازیگر	diễn
صنایع	ngành
گونه	má
گونه	loài
کانادا	canada
کانادا	canadian
زمین	đất
رئیس	sếp
رئیس	boss
برزیل	brazil
برزیل	brasil
برزیل	bra
برزیل	brazil
برزیل	brazilian
سبک	châm
سبک	đèn
سبک	nhạt
سبک	style
بالا	nắp
بالا	top
بالا	đỉnh
بالا	bala
جدید	new
جدید	mới
جدید	sâm
تصویر	nh
تصویر	hình
تصویر	ảnh
غیر	non
وارد	phường
وارد	ward
وارد	khu
قمری	lunar
آذربایجان	azerbaijan
جای	nơi
جای	chỗ
جای	jai
هیچ	any
چین	chin
چین	cằm
چین	china
سیستم	hệ
ظاهر	nhê
ظاهر	zahir
درجه	độ
درجه	rang
درجه	rank
انتخاب	chọn
انتخاب	chồn
انتخاب	chọn
انتخاب	đặt
موجود	rảnh
دستی	handheld
فقط	chỉ
فقط	funny
اعلام	tuyên
خراسان	khorasan
تلفن	đt
داستان	truyện
داستان	chuyện
داستان	truyện
داستان	tin
سوم	iii
خط	line
خط	dòng
قانون	luật
قانون	luật
درگذشت	chết
علت	chi
علت	chi
مهم	trọng
منبع	nguồn
میلیون	triệu
کمک	cứu
کمک	giúp
جهت	hướng
جهت	hướng
هوایی	khí
هوایی	air
حتی	chính
نمایش	xem
نمایش	hiện
نمایش	show
آمریکای	châu
آمریکای	mỹ
ناحیه	loạt
ناحیه	tần
ناحیه	vùng
ناحیه	huyện
ناحیه	loạt
ناحیه	vực
ناحیه	vùng
آموزش	dạy
آموزش	luyện
آموزش	training
قلعه	castle
قلعه	đài
ویرایش	sửa
حکومت	phủ
بازدید	review
بازدید	khách
بازدید	thăm
شیمیایی	hóa
مساحت	loạt
مساحت	vực
مساحت	vùng
موضوع	topic
شبکه	lưới
شبکه	mạng
شبکه	mạng
برنامه	app
برنامه	trắc
برنامه	chương
برنامه	lịch
تولد	sinh
تبدیل	biến
دریایی	marine
سن	sen
سن	tuổi
سن	seine
سن	san
سن	saint
سن	thánh
عربی	arabi
عربی	arabian
روش	roche
بازیکن	player
نتیجه	quả
تگزاس	texas
عراق	iraq
شروع	khởi
هنر	art
زمینه	nền
زمینه	background
قسمت	saga
قسمت	part
قسمت	phần
قسمت	tập
قسمت	episode
بررسی	tra
باز	download
باز	mở
باز	má
ترکیه	turkish
حقوق	lương
حقوق	luật
حقوق	quyền
دی	dey
عمومی	generic
عمومی	công
عمومی	tướng
عمومی	chung
حسین	hossein
حسین	hussein
حسین	hussain
ترجمه	dịch
ترجمه	dịch
ترجمه	dịch
دقیقه	phút
دقیقه	phút
رنگ	nhuộm
رنگ	màu
رنگ	mầu
رنگ	màu
چاه	chah
افزایش	tăng
افزایش	tăng
طبیعی	chích
طبیعی	chuẩn
طبیعی	thường
معروف	nổi
گل	gol
گل	hoa
گل	flower
گل	hoa
گل	tiêu
گل	đo
انتشار	đăng
انتشار	emissions
ایشان	quất
ایشان	những
ایشان	chúng
ایشان	họ
نیاز	cần
نیاز	thiết
نیاز	ấp
نیاز	nhu
توضیح	luận
ترکیب	compound
دریافت	nhận
دریافت	nhận
رشته	chuỗi
رشته	chuỗi
رشته	thread
هنری	henry
مواد	vải
مواد	nguyên
درباره	khoảng
درباره	về
درباره	ban
بانی	bonnie
جریان	luồng
جریان	streaming
جریان	luồng
جریان	màng
جریان	flow
جریان	luồng
جریان	suối
جریان	stream
طریق	qua
طریق	via
کنار	bên
کنار	phe
کنار	trang
انرژی	lượng
حسن	hasan
حسن	hassan
مه	may
مه	mah
مه	mist
ثانیه	giây
ثانیه	giây
کل	tổng
کل	toàn
کل	hẹt
کل	whole
کل	kal
اصفهان	isfahan
خان	khan
انجمن	fraternity
غرب	tây
فصل	chương
فصل	mùa
فصل	season
رسید	đa
رسید	đến
رسید	tới
فارس	fars
شوروی	soviet
افغانستان	afghanistan
ورزش	sport
باند	bond
آنجا	kia
آنجا	đó
پرندگان	chim
آخرین	cuối
آخرین	final
پزشکی	thuốc
تلویزیون	tv
تلویزیون	tivi
دنیا	giới
دنیا	dunia
خوانندگان	reader
حالت	bang
حالت	mood
کوه	núi
کوه	núi
کوه	lắp
مدیران	executives
عمل	thao
عمل	act
کره	bơ
کره	hàn
کره	korea
کره	hàn
انتقال	chuyển
انتقال	truyền
انتقال	dốc
فوریه	tháng
فوریه	fourier
فوریه	feb
رود	sông
رود	rod
فرانسوی	pháp
وطن	nhà
نزدیک	sắp
نزدیک	gần
نزدیک	hầu
نزدیک	close
نزدیک	đóng
نزدیک	gần
نزدیک	kín
نزدیک	gần
داخلی	nội
کاهش	giảm
کاهش	giảm
احمد	ahmed
احمد	ahmad
ده	mười
ارتش	quân
ارتش	army
سایر	sawyer
مشخص	highlight
گفت	nói
گفت	bảo
گفت	said
اسرائیل	israel
اسرائیل	isra
انسان	human
انسان	người
انسان	man
مسجد	masjid
مثل	như
مثل	thích
مثل	like
