категория	kategória
през	keresztül
през	át
като	mint
като	like
като	tetszik
година	évjárat
година	éve
година	évi
година	év
след	után
след	after
след	miután
след	utána
това	ezt
това	ez
български	bolgár
българия	bulgária
част	részben
част	rész
част	része
години	évek
години	év
време	ideje
време	időpont
време	idő
със	with
която	ami
която	melyik
която	mely
която	amely
което	ami
което	melyik
което	mely
което	amely
външни	külső
препратки	hivatkozás
препратки	hivatkozásokat
препратки	hivatkozások
град	városban
град	town
град	város
град	city
град	városi
град	város
много	nagyon
много	sok
много	sokan
също	szintén
също	egyben
също	úgyszintén
век	évszázad
век	század
село	település
село	falusi
село	falu
един	egy
между	között
около	körül
около	körbe
софия	sofia
софия	sophia
други	egyéb
други	más
други	másoknak
други	egyéb
други	mások
други	egyebek
още	még
още	több
още	more
още	további
още	tobb
война	háború
само	csak
само	kizárólag
само	csak
област	régió
област	régiók
област	körzet
област	járás
област	kerület
област	terület
област	környék
под	alatt
под	alatta
под	alá
община	község
община	település
община	önkormányzat
място	hely
място	helyszín
място	hely
място	elhelyezkedés
когато	mikor
когато	amikor
вид	típus
вид	típusa
вид	faj
вид	állatfaj
вид	fajok
една	egy
всички	mindegyik
всички	mind
всички	minden
всички	mindenki
всички	mindenkinek
семейство	családi
семейство	családtag
семейство	család
започва	kezdődik
започва	kezdődik
македония	macedónia
сащ	usa
над	vége
над	át
над	fölötte
над	felett
над	fölött
над	fent
над	fenti
над	felette
него	őt
него	neki
срещу	ellene
срещу	ellen
тези	ezek
тези	ezeket
тези	azok
души	lelkek
души	lelkünk
души	lelkeket
души	lelkük
мини	mini
мини	aknák
мини	minnie
намира	talál
намира	megtalálja
република	köztársaság
късно	későn
късно	késő
късно	késve
май	may
май	május
май	májusi
май	májusban
път	utat
път	ösvény
път	útvonal
път	út
път	útvonal
път	útvonalon
път	út
път	uton
път	közúti
отбор	csapat
отбор	team
няколко	kevesen
няколко	pár
няколко	kevés
няколко	kevesek
няколко	néhány
няколко	számos
август	augusztusban
август	august
август	augusztus
август	aug
роден	született
роден	megszületett
беседа	társalgás
беседа	beszélgetés
беседа	beszélgetést
беседа	diskurzus
септември	szeptemberben
септември	szeptember
септември	szeptemberi
преди	előtte
преди	előtt
преди	mielőtt
името	neve
името	név
група	band
група	banda
група	együttes
група	zenekar
група	csoport
група	csoportban
език	nyelve
език	nyelv
език	nyelv
юли	júliusban
юли	júliusi
юли	július
някои	néhány
тях	ők
тях	őket
река	folyami
река	folyó
януари	januári
януари	január
януари	januárban
юни	júniusi
юни	june
юни	június
юни	júniusban
две	kettő
октомври	októberi
октомври	októberben
октомври	október
име	neve
име	név
заедно	együtt
фон	von
фон	háttér
фон	háttere
фон	háttérben
американски	amerikai
март	március
март	márciusi
ноември	november
ноември	novemberi
ноември	novemberben
ноември	nov
април	apr
април	april
април	április
април	áprilisi
април	áprilisban
декември	december
декември	decemberi
декември	decemberben
декември	dec
чрез	via
чрез	keresztül
чрез	át
история	sztori
история	történet
история	story
история	története
история	mese
история	történelme
история	előzmények
история	történelem
жители	lakói
жители	lakosok
жители	lakos
жители	lakói
жители	lakók
жители	lakosok
различни	más
различни	különböző
различни	eltérő
различни	többféle
различни	különféle
различни	különböző
различни	egyéb
различни	egyebek
различни	különféle
различни	vegyes
без	nélkül
без	anélkül
често	gyakran
февруари	februárban
февруари	februári
февруари	február
работи	munkahelyi
работи	munka
работи	működik
провинция	tartomány
провинция	tartományban
империя	birodalom
империя	empire
иван	ivan
иван	iván
център	középre
център	központ
център	center
център	középre
център	központ
център	centrum
повече	több
повече	more
повече	további
повече	tobb
вече	már
вече	máris
сред	között
три	három
страна	ország
страна	országban
страна	oldalra
страна	oldalam
страна	side
въпреки	ellenére
градове	városok
градове	városok
градове	városokat
население	demográfiai
население	populáció
население	népesség
население	lakosság
бил	bill
бил	számla
малко	kis
малко	kicsi
малко	kevés
хора	emberek
университет	university
университет	egyetem
германия	németország
могат	tud
могат	can
могат	lehet
син	kék
син	blue
син	fiam
син	fiuk
награда	jutalom
награда	díj
награда	jutalom
награда	nyeremény
награда	díj
награда	díjat
георги	georgi
георги	georgij
голяма	nagyok
голяма	nagyméretű
голяма	nagy
голяма	nagyok
голяма	nagy
италия	olaszország
сайт	weboldal
сайт	honlap
сайт	webhely
сайт	helyszín
сайт	helyén
сайт	webhely
световна	világszintű
световна	világszerte
световна	világméretű
край	befejezés
край	vége
край	vég
уикипедия	wikipédia
сезон	szezont
сезон	idény
сезон	évszak
сезон	évad
сезон	szezon
окръг	megyei
окръг	megye
окръг	körzet
окръг	járás
окръг	kerület
днес	ma
смъртта	halál
франция	franciaország
франция	france
национален	nemzeti
национален	országos
национален	national
гърция	görögország
вижте	lásd
русия	oroszország
английски	angolul
английски	angol
едно	egy
първи	először
първи	első
отново	újra
член	tag
член	árucikk
член	cikk
височина	magasság
височина	emelkedés
височина	magassága
височина	magasság
дъщеря	lányom
дъщеря	lánya
там	ott
система	rendszer
система	system
училище	iskolában
училище	iskola
училище	suli
били	billy
били	billie
света	világ
света	world
света	vilag
села	falvak
филми	filmek
филми	filmeket
филми	mozi
филми	filmek
филми	filmeket
александър	sándor
александър	alexander
умира	meghal
умира	haldokló
умира	haldoklik
южна	dél
южна	déli
южна	dél
южна	délre
южна	déli
европа	európa
европа	europe
европа	európában
европа	europa
всеки	bárkinek
всеки	valaki
всеки	bárkit
всеки	bárki
всеки	mindenki
всеки	mindenkinek
всеки	minden
всеки	mindegyik
части	alkatrész
части	alkatrészek
части	részek
нова	újdonság
нова	új
нова	nova
крал	kinga
армия	sereg
армия	hadsereg
църква	templom
църква	egyház
докато	miközben
докато	mialatt
докато	míg
докато	amíg
официален	hivatalos
официален	tisztviselő
официален	formális
северна	észak
северна	északi
северна	északra
северна	észak
северна	északi
времето	időjárás
времето	ideje
времето	időpont
времето	idő
българска	bolgár
освен	kivéve
места	helyszínek
места	helyek
места	ülések
места	ülés
период	időszak
период	időtartam
период	periódus
резултат	végeredmény
резултат	pontszám
резултат	eredmény
футболисти	focisták
данни	adatok
данни	adat
данни	adatforgalom
страница	oldalt
страница	oldal
картинка	képet
картинка	kép
картинка	fénykép
картинка	kép
картинка	képet
граф	graff
граф	graf
родени	született
родени	megszületett
играе	játék
играе	játszani
играе	play
играе	játssz
играе	játszik
играе	játszik
играе	játszom
живот	élet
живот	életem
живот	life
тук	itt
император	uralkodó
император	császár
църквата	templom
църквата	egyház
ден	nap
ден	napon
ден	nappal
ден	napot
жени	nők
жени	asszonyok
жени	női
жени	nő
руски	orosz
руски	oroszul
руски	oroszország
известен	ismeretes
известен	ismertek
известен	ismert
известен	híres
известен	híresség
добре	jó
мария	mária
мария	maria
дори	még
води	érdeklődők
води	vezet
води	érdeklődő
води	vizei
води	vizek
води	waters
води	ólom
води	vezet
тогава	akkor
тогава	aztán
голям	nagyok
голям	nagyméretű
голям	nagy
голям	nagyok
голям	nagy
род	rúd
род	rod
филм	filmet
филм	mozi
филм	film
филм	fólia
филм	film
шаблон	sablon
почти	majdnem
печели	győz
печели	nyert
страни	bulik
страни	pártok
страни	felek
страни	partik
страни	országokban
страни	országok
площ	terület
площ	környék
острови	szigetek
острови	szigeteket
острови	isles
код	kód
френски	francia
френски	franciák
генерал	általános
генерал	tábornok
защото	mert
държава	ország
държава	országban
държава	állapot
държава	állami
държава	állam
дата	dátum
дата	időpont
двете	mindkettő
двете	mindketten
обикновено	általában
обикновено	rendszerint
обикновено	általában
обикновено	jellemzően
обикновено	tipikusan
обикновено	általában
големи	nagyok
големи	nagyméretű
големи	nagy
големи	nagyok
големи	nagy
деца	gyerekek
деца	kölykök
деца	gyerekek
деца	gyermekeknek
деца	gyermek
деца	gyermekek
петър	peter
петър	péter
петър	petar
остава	megmarad
остава	marad
сили	powers
сили	hatáskörök
сили	hatáskör
сили	erők
дължина	hossza
дължина	hossz
дължина	hosszúság
дължина	hosszúság
българи	bolgárok
албум	album
гръцки	görög
дни	napok
дни	napokban
дни	napokat
дни	napokon
съюз	union
съюз	unió
съюз	szakszervezet
съюз	unión
съюз	uniós
съюз	szövetség
партия	party
партия	buli
партия	parti
политик	politikusok
политик	politikus
пише	írja
брат	testvér
работа	állás
работа	meló
работа	munka
работа	munkahelyi
работа	munka
голове	célkitűzések
голове	célokat
голове	célok
остров	sziget
остров	szigeten
остров	sziget
председател	elnök
председател	elnök
среща	dátum
среща	időpont
среща	találkozni
среща	találkozó
среща	gyűlés
среща	találkozás
среща	találkozó
среща	megbeszélés
среща	találka
среща	randevú
групи	bandák
групи	csoportok
групи	csoportoknak
информация	info
информация	infó
информация	információ
информация	infók
информация	információk
информация	információ
информация	tájékoztatás
информация	információk
нови	újdonság
нови	új
включва	tartalmazza
пъти	szeres
пъти	hajtás
пъти	idők
пъти	időpontok
пъти	times
писател	író
херцог	duke
херцог	herceg
министър	miniszter
цел	gól
цел	cél
цел	célzás
цел	célja
цел	cél
цел	cél
цел	objektív
цел	cél
цел	célkitűzés
цел	célpont
цел	cél
участие	bevonása
участие	részvétel
участие	részvétel
войната	háború
османската	oszmán
никола	nicolas
никола	nikola
никола	nicola
море	tengerparti
море	tengerpart
море	tengerparton
море	tengeren
море	tengeri
море	tenger
пловдив	plovdiv
отбора	csapat
отбора	team
продължава	folytatódik
списък	jegyzék
списък	lista
дава	ad
историята	történelme
историята	előzmények
историята	történelem
брой	gróf
брой	szám
брой	száma
култура	tenyésztés
култура	kultúra
всяка	minden
всяка	mindegyik
същата	ugyanez
същата	ugyanaz
известни	ismeretes
известни	ismertek
известни	ismert
известни	híres
известни	híresség
степен	fokozat
степен	fokozat
степен	diploma
степен	fok
статия	árucikk
статия	cikk
територията	terület
територията	területe
регион	régió
регион	régiók
повечето	legtöbb
редактор	szerkesztője
редактор	szerkesztő
разположен	található
друг	egyéb
друг	más
джон	john
джон	jános
малки	kis
малки	kicsik
малки	kicsi
малки	kis
малки	kicsi
малки	kevés
футболист	labdarúgó
футболист	focista
вероятно	valószínű
вероятно	valószínűleg
организация	szervezés
организация	szervezet
организация	szervezés
организация	szervezet
договор	szerződéssel
договор	szerződés
договор	szerződéssel
договор	szerződés
север	észak
север	északi
север	északra
изток	keletre
изток	keleti
изток	kelet
изток	kelet
изток	keleti
четири	négy
испания	spanyolország
особено	különösen
особено	különösen
особено	főleg
разположено	található
човек	személy
човек	személyre
човек	ember
човек	emberi
човек	férfi
човек	ember
състав	összetétel
състав	összetétele
общо	teljes
общо	összesen
треньор	edző
треньор	edző
отбори	csapatok
рим	róma
статии	árucikkek
статии	cikkek
управление	menedzsment
управление	irányítás
управление	vezetőség
управление	gazdálkodás
управление	irányítási
управление	kormányzás
управление	irányítás
управление	ellenőrzések
литература	irodalom
дейност	tevékenységek
дейност	tevékenység
дейност	aktivitás
цар	kinga
цар	cár
хората	emberek
видове	faj
видове	állatfaj
видове	fajok
видове	típusok
видове	típusai
власт	energia
власт	erő
власт	power
власт	hatalom
живота	élet
живота	életem
живота	life
стефан	stefan
стефан	stephan
тип	típus
тип	típusa
военни	katonaság
военни	katonai
военни	hadsereg
изчезване	kihalás
изчезване	eltűnni
изчезване	eltűnik
изчезване	eltűnése
вида	vida
шампион	bajnok
шампион	bajnok
съвет	tanácsadás
съвет	tanácsok
съвет	tanács
съвет	tanácsot
съвет	tipp
съвет	füles
съвет	tanács
свързани	kapcsolódó
свързани	társult
свързани	összefüggő
свързани	kapcsolódó
свързани	rokonok
свързани	rokon
свързани	kapcsolatban
свързани	kapcsolódott
свързани	kapcsolt
свързани	összekapcsolt
свързани	kapcsolatban
свързани	kapcsolt
свързани	kapcsolódott
свързани	kapcsolódó
свързани	összekapcsolt
исторически	történelmi
исторически	történelmileg
исторически	történelmi
исторически	történeti
римски	római
римски	roman
кръг	kör
кръг	kört
кръг	kör
кръг	kerek
кръг	forduló
кръг	körbe
майка	édesanyám
майка	anya
карта	térkép
карта	térképet
карта	kártya
англия	anglia
англия	england
англия	angliai
нов	újdonság
нов	új
песни	dalok
песни	dalokat
втори	másodszor
втори	másodperc
втори	második
множество	többszörös
множество	többszörösen
политика	szabályzat
политика	politika
политика	politika
стара	idős
стара	régit
стара	régi
стара	öreg
стара	régiek
форма	alakja
форма	forma
форма	formát
форма	alakzat
форма	űrlap
форма	forma
форма	formájában
форма	nyomtatvány
семейството	családi
семейството	családtag
семейството	család
съпруга	házastársa
съпруга	házastárs
съпруга	feleségem
съпруга	felesége
съпруга	feleség
втора	másodszor
втора	másodperc
втора	második
район	régió
район	régiók
район	körzet
район	járás
район	kerület
район	terület
район	környék
музика	zene
близо	szoros
близо	közel
близо	bezárása
близо	közeli
близо	közel
първенство	bajnokság
представлява	képviseli
отнася	utal
отнася	hivatkozik
манастир	kolostorban
манастир	kolostor
манастир	kolostor
манастир	zárda
файл	fájl
файл	file
файл	akta
средата	közép
награди	jutalmat
награди	jutalom
награди	díjak
награди	gála
награди	díjak
награди	díjakat
награди	nyeremény
немски	németül
немски	német
помощ	támogatás
помощ	segély
помощ	támogatások
помощ	segíteni
помощ	segítség
вода	víz
вода	vizet
първоначално	kezdetben
първоначално	eleinte
първоначално	eredetileg
първоначално	kezdeti
карл	károly
карл	karl
карл	carl
свят	világ
свят	world
свят	vilag
николай	nikolai
николай	nyikolaj
николай	nicolai
николай	nyikolaj
административен	igazgatási
административен	adminisztratív
скоро	hamarosan
скоро	nemsokára
западна	nyugat
западна	nyugati
западна	nyugati
западна	nyugat
западна	western
войски	katonák
войски	csapatok
стил	stílus
живее	él
живее	életek
достига	eléri
избран	választott
избран	kiválasztottak
избран	kiválasztott
избран	kijelölt
избран	kiválasztva
избран	kiválasztott
марк	marc
марк	mark
африка	afrikai
африка	afrika
запад	nyugat
запад	nyugati
революционер	forradalmi
уебсайт	weboldal
уебсайт	honlap
уебсайт	webhely
земята	föld
връзка	kapcsolat
връзка	kapcsolódás
връзка	csatlakozás
връзка	hivatkozás
връзка	kapcsolat
връзка	link
връзка	linket
връзка	hivatkozást
връзка	kapcsolódás
връзка	kapcsolatot
връзка	kapcsolat
роля	szerepet
роля	szerep
роля	szerepe
италиански	olasz
италиански	olaszország
създава	létrehoz
създава	teremt
москва	moszkvai
москва	moszkvában
москва	moszkva
как	hogyan
китай	porcelán
китай	kína
китай	china
линия	line
линия	sor
линия	vonal
великобритания	britannia
свети	saint
свети	szent
свети	szent
кариера	karrier
кариера	karrier
развитие	fejlesztés
развитие	fejlődés
развитие	fejlesztési
лига	league
лига	liga
лига	liga
роман	római
роман	roman
роман	újszerű
роман	regény
източници	forrás
източници	források
политически	politikailag
политически	politikai
политически	politika
америка	amerika
америка	america
консул	konzul
книги	könyveket
книги	könyvek
книги	könyv
стадион	stadion
стадион	stadionban
служба	kiszolgálás
служба	szerviz
служба	szolgálat
служба	szolgáltatás
другите	másoknak
другите	egyéb
другите	mások
другите	egyebek
произход	eredetű
произход	eredet
произход	eredete
произход	származás
произход	származó
произход	eredet
точка	tárgy
точка	tétel
точка	elem
точка	pont
точка	point
фридрих	friedrich
фридрих	frederick
сърбия	szerbia
академия	akadémia
първо	először
първо	első
предимно	főként
предимно	főleg
предимно	elsősorban
предимно	leginkább
предимно	főleg
предимно	főként
предимно	többnyire
предимно	túlnyomórészt
силно	hangos
силно	hangosan
силно	erős
силно	erősek
силно	nehéz
силно	kemény
писатели	írók
годината	évjárat
годината	éve
