দৌড়বাজী	kergejõustik
লিন	lynn
লিন	lyn
লিন	lahja
লিন	lin
ছাড়	soodustus
পনেরো	viisteist
রবার্টস	roberts
ব্রেট	brett
ডলি	dolly
প্রাইড	uhkus
ভিলহেল্ম	wilhelm
ডায়ানা	diana
জোহানেসবার্গ	johannesburgi
ওম	oomi
সচিবালয়	sekretariaat
শোনার	kuulmine
শোনার	kuulamine
দরজার	uks
হোমস	holmes
দোকানের	shop
দোকানের	pood
দোকানের	kauplus
দোকানের	poodi
দোকানের	poe
সাও	são
সাও	sao
আইসল্যান্ড	islandil
আইসল্যান্ড	island
আইসল্যান্ড	islandi
মডার্ন	tänapäeva
মডার্ন	moodne
মডার্ন	kaasaegne
চতুর্থাংশ	kvartal
চতুর্থাংশ	veerand
তৎপরতা	tegevus
তৎপরতা	aktiivsus
জুলিয়াস	julius
ভাতা	toetused
ব্যাঙ্গালোর	bangalore
তাড়া	chase
তাড়া	tagaajamine
উপসাগরীয়	laht
ইলেক্ট্রনিক্স	elektroonika
পৌঁছায়	reach
এমবিএ	mba
লিওনেল	lionel
স্বর্গের	taevas
সদস্যবৃন্দ	mäleta
সদস্যবৃন্দ	mäletad
সদস্যবৃন্দ	liikmed
সদস্যবৃন্দ	parlamendiliikmed
অলংকার	kaunistused
ছাদের	katus
ডুবিয়ে	uppuda
ডুবিয়ে	uppus
ডুবিয়ে	uppunud
উদ্যোগী	algatuse
উদ্যোগী	algatus
চিরন্তন	igavest
চিরন্তন	igavene
কানে	kõrv
কানে	kõrva
এসেক্স	essexi
জাস্টিন	justin
ফিশার	fisher
ফিশার	poolkera
ফিশার	fischer
মাইক্রোসফটের	microsoft
জাম্প	hüpe
বুলেট	kuuli
বুলেট	kuul
কঠোরভাবে	rangelt
দেওয়ালে	müür
দেওয়ালে	sein
দেওয়ালে	seina
যোদ্ধাদের	hävitajad
যোদ্ধাদের	võitlejad
আর্ল	earl
আর্ল	jarl
পাবলিশার্স	kirjastajad
সেলাই	õmmelda
সেলাই	õmblemine
সেলাই	stitch
প্রোটোকল	protokoll
প্রোটোকল	protokollid
সৃষ্টিকর্তা	looja
দোয়া	dua
সন্ত্রাসবাদ	terrorism
যত্ন	hooli
তাজিকিস্তান	tadžikistani
অনশন	paas
সুগার	suhkrut
সুগার	suhkur
মোদী	modi
মাননীয়	majesteet
ফান্ড	fondid
ফান্ড	fondi
ফান্ড	fond
নির্মম	halastamatu
নির্মম	jõhkralt
নির্মম	jõhker
নির্মম	karm
তন্তু	kiud
তন্তু	kiud
মনি	mani
প্রবাদ	vanasõna
বাটলার	butler
বাটলার	ülemteener
বাটলার	teener
কৈশোর	nooruk
কৈশোর	noorukite
সাবান	seep
স্বরধ্বনি	täishäälik
জেনিফার	jennifer
ক্ষেত্রগুলি	põllud
ক্ষেত্রগুলি	väljad
মরক্কো	maroko
সিরীয়	süüria
