och	и
med	мед
med	с
med	with
som	нравится
som	like
som	как
som	которое
som	которая
som	которые
som	который
runt	вокруг
runt	круглая
runt	круглые
runt	раунд
månaden	месячные
månaden	ежемесячно
månaden	ежемесячные
månaden	ежемесячный
månaden	месяц
månaden	месяца
nederbörd	осадки
nederbörd	осадков
nederbörd	осадки
nederbörd	осадков
ligger	ложь
ligger	расположенных
ligger	расположенный
ingår	включенные
ingår	включено
ingår	включает
att	это
att	that
ett	одна
ett	one
ett	одно
ett	один
över	over
över	над
familjen	семья
familjen	семейство
familjen	семейное
familjen	семьи
familjen	родные
för	для
för	for
för	за
inga	инга
delen	часть
delen	частично
släktet	род
underarter	подвида
life	life
life	жизнь
life	жизни
listade	перечисленные
listade	перечисленных
listade	перечислены
landet	страна
landet	страны
meter	метр
meter	метров
meter	метрах
meter	метров
meter	счетчик
meter	метр
meter	ярдов
huvudstaden	капитолий
huvudstaden	столица
huvudstaden	капитал
huvudstaden	capital
havet	моря
havet	море
havet	sea
havet	океан
havet	океана
invånare	обитатели
invånare	жители
invånare	жителей
invånare	резиденты
invånare	жители
invånare	граждане
invånare	граждан
januari	январь
januari	января
millimeter	миллиметрах
millimeter	миллиметров
genomsnitt	средняя
genomsnitt	средний
genomsnitt	среднее
genomsnittlig	средняя
genomsnittlig	средний
genomsnittlig	среднее
var	var
var	был
var	было
var	была
var	были
var	где
var	куда
juli	июль
han	хан
har	имеет
har	иметь
per	пер
vattendrag	водотоков
vattendrag	водотока
vattendrag	реки
vattendrag	рек
från	от
från	from
från	из
kanada	canada
kanada	канаду
kanada	канада
provinsen	область
provinsen	провинция
närheten	близость
men	но
högsta	верховный
högsta	высшая
högsta	высший
högsta	максимальный
högsta	максимальное
högsta	максимальная
högsta	максимум
högsta	наивысший
augusti	августа
augusti	август
kan	может
kan	мог
kan	могла
kan	может
kan	могу
kan	можно
kan	can
länkar	связи
länkar	ссылки
externa	внешнее
externa	внешние
externa	внешняя
externa	внешних
externa	внешний
läge	местоположение
läge	расположение
läge	местонахождение
läge	место
läge	режим
läge	mode
även	даже
även	также
februari	февраля
februari	февраль
under	под
lake	озеро
lake	лейк
sjö	озеро
sjö	лейк
sjö	моря
sjö	море
sjö	sea
inte	не
sig	sig
kommun	муниципалитет
två	два
två	две
två	двое
lac	лак
terrängen	местности
terrängen	местность
long	длинный
long	длинная
long	длинные
long	долго
long	лонг
juni	юни
juni	июнь
juni	джун
juni	июня
lat	лат
lat	ленивый
lat	лень
december	декабрь
växer	растет
växer	растущий
växer	растущей
växer	растущая
växer	расти
växer	вырасти
växer	растёт
växer	растет
många	многих
många	много
många	многим
många	многие
efter	после
efter	after
nära	закрыть
nära	близко
nära	закройте
nära	вблизи
nära	рядом
nära	близко
väster	запад
väster	уэст
väster	западная
väster	западный
väster	вест
provins	область
provins	провинция
öster	восточная
öster	востоке
öster	восток
öster	ист
öster	east
öster	восточный
först	первый
först	сначала
först	первое
först	первая
först	first
berg	горы
berg	горный
berg	гора
berg	горных
berg	берг
berg	горы
indonesien	индонезии
indonesien	индонезия
indonesien	индонезию
usa	сша
usa	usa
mars	марш
mars	март
mars	марта
mars	марс
mindre	меньшее
mindre	меньшей
mindre	поменьше
mindre	меньшие
mindre	меньше
mindre	незначительные
mindre	мелкие
mindre	незначительное
mindre	несовершеннолетний
mindre	меньше
mindre	менее
norr	северный
norr	северная
norr	север
norr	норт
norr	северной
oktober	октябрь
oktober	октября
man	чел
man	мужик
man	человек
man	мужчина
man	man
september	сентября
september	сентябрь
större	основных
större	майор
större	крупнее
större	крупнее
centrala	центральная
centrala	центральное
centrala	центральной
centrala	центральный
nordväst	northwest
blev	стала
blev	стал
andra	секунда
andra	второй
andra	вторая
andra	второе
andra	другой
andra	другая
andra	другое
andra	другие
andra	прочие
andra	другие
andra	прочие
hade	имел
där	там
där	где
där	куда
county	графство
county	округе
county	округ
nog	хватит
nog	достаточно
nog	ног
ovanligt	необычный
ovanligt	необычная
ovanligt	необычное
ovanligt	необычно
ovanligt	необычные
ovanligt	редкость
namngivna	назвал
namngivna	названа
söder	южная
söder	юг
söder	южный
söder	южной
mycket	очень
mycket	многое
mycket	много
jpg	jpg
regionen	область
regionen	регион
creek	крик
creek	ручей
ganska	справедливо
närmaste	ближайшие
närmaste	ближайшее
närmaste	ближайший
närmaste	ближайшей
närmaste	ближайший
november	ноября
november	ноябрь
maj	мая
maj	мэй
maj	май
maj	майские
platt	плат
platt	платт
platt	квартиру
platt	квартира
född	родилась
född	родился
finland	финляндия
finland	финляндии
samhälle	общество
samhälle	общества
samhälle	община
samhälle	общины
samhälle	сообщества
samhälle	сообщество
hon	she
hon	она
består	состоящие
platser	места
platser	сиденья
platser	местоположения
platser	места
platser	местах
platser	места
platser	местами
platser	сайты
platser	сайтов
första	первый
första	сначала
första	первое
första	первая
första	first
fick	есть
fick	получила
fick	получил
fick	получено
fick	получен
fick	полученная
fick	полученные
fick	получены
sydväst	юго
området	область
området	район
området	площадь
australien	австралия
australien	австралии
april	эйприл
april	апрель
april	апреля
bar	бар
hans	ханс
hans	ганс
hans	его
södra	южные
södra	южная
södra	южный
södra	южной
södra	южное
södra	южная
södra	юг
södra	южный
södra	южной
toppen	здорово
toppen	отлично
toppen	великолепно
toppen	сверху
toppen	верх
toppen	топ
toppen	top
sverige	швеции
sverige	швеция
sedan	тогда
sedan	потом
sedan	затем
östra	восточная
östra	востоке
östra	восток
östra	ист
östra	east
östra	восточный
östra	восточные
östra	восточная
östra	восточной
östra	восточное
cet	cet
genom	сквозь
genom	через
sitt	сидеть
kilometer	километров
kilometer	километр
kilometer	километров
norra	северный
norra	северная
norra	север
norra	норт
norra	северной
norra	северный
norra	северная
norra	северные
norra	северное
norra	северной
också	также
också	слишком
också	тоже
talet	речь
talet	речи
detta	this
detta	это
detta	эта
detta	этот
mot	против
mot	mot
västra	запад
västra	уэст
västra	западная
västra	западный
västra	вест
västra	западная
västra	западные
västra	западной
västra	западный
västra	западное
del	часть
del	частично
del	дель
del	del
riktning	направление
namn	имя
namn	название
namn	названия
namn	имена
bland	среди
vilket	которое
vilket	которая
vilket	которые
vilket	который
svenska	шведский
svenska	шведское
svenska	шведская
svenska	швеции
svenska	svenska
mellan	между
svensk	шведский
svensk	шведское
svensk	шведская
svensk	швеции
svensk	швед
svensk	svensk
när	когда
när	when
cerro	серро
frankrike	франции
frankrike	франс
frankrike	франция
frankrike	france
död	death
död	смерть
död	мертвый
död	умер
död	мертвые
död	мертв
död	мертва
kulle	холм
kulle	хилл
kulle	hill
kina	china
kina	китай
kina	кнр
kommunen	муниципалитет
klimatet	климат
klimatet	климата
est	est
text	текста
text	текст
lista	перечень
lista	список
annat	другой
annat	другая
annat	другое
annat	другие
annat	прочие
edt	свв
största	величайших
största	величайший
största	крупнейшие
största	крупнейший
största	наибольшая
största	крупнейших
skulle	бы
departementet	департамент
denna	this
denna	это
denna	эта
denna	этот
tropiskt	тропических
tropiskt	тропические
tropiskt	тропический
park	парк
park	park
park	пак
hill	холм
hill	хилл
hill	hill
flera	несколько
flera	несколько
flera	множественные
periodiskt	периодического
periodiskt	периодически
nord	северный
nord	северная
nord	север
nord	норт
nord	северной
nord	нор
nord	nord
stockholm	стокгольм
stockholm	стокгольмской
alla	всем
alla	всех
alla	all
alla	все
alla	всем
alla	всех
alla	все
alla	каждый
senare	позднее
senare	позже
olika	разные
olika	различных
olika	различных
olika	различные
point	точка
point	очко
point	point
ort	city
ort	город
ort	города
nya	новые
nya	новинка
nya	новая
nya	новый
nya	новых
nya	новое
island	исландии
island	исландия
dock	однако
dock	однако
sjön	озеро
sjön	лейк
tidigare	ранее
tidigare	ранее
tidigare	бывший
tidigare	прежний
tidigare	бывшей
tidigare	бывшие
tidigare	бывшая
tidigare	предыдущие
tidigare	предыдущая
tidigare	предыдущий
tidigare	предыдущее
brasilien	бразилия
brasilien	бразилию
brasilien	бразилии
colombia	колумбия
colombia	колумбийский
colombia	колумбия
colombia	колумбию
colombia	колумбии
utan	без
socken	приход
socken	волость
sina	их
score	счёт
score	счет
score	очко
spanien	испанию
spanien	испания
spanien	испании
mount	горы
mount	гора
mount	маунт
kom	приходите
kom	приходи
kom	пришла
kom	пришел
kom	пришёл
stora	большой
stora	крупных
stora	крупный
stora	большая
stora	крупные
stora	большие
stora	большая
stora	big
stora	большие
stora	большой
stora	биг
stora	stora
omgivande	окружающие
omgivande	окружающего
basen	база
basen	основание
tre	тре
tre	три
tre	трое
shift	сдвиг
shift	смену
shift	shift
shift	смена
algeriet	алжир
algeriet	алжира
algeriet	алжире
dessa	эти
dessa	те
chile	чили
växtlighet	растительности
växtlighet	растительность
mer	более
mer	больше
mer	еще
här	здесь
här	вот
kongo	конго
öst	восточная
öst	востоке
öst	восток
öst	ист
öst	east
öst	восточный
öst	восточные
öst	восточная
öst	восточной
öst	восточное
region	область
region	регион
jakarta	джакарте
wat	ват
file	файл
släkte	поколение
släkte	поколения
släkte	породы
släkte	порода
släkte	роды
släkte	род
sydlig	южные
sydlig	южная
sydlig	южный
sydlig	южной
sydlig	южное
västlig	западная
västlig	западные
västlig	западной
västlig	западный
västlig	западное
blir	стать
blir	стань
blir	становится
sydvästra	юго
tillsammans	вместе
samhällen	сообщества
samhällen	общины
samhällen	общества
lite	lite
republiken	республика
republiken	республики
öppet	открыто
öppet	открыть
öppet	открытый
öppet	открыто
öppet	open
öppet	открытая
öppet	прозрачность
öppet	прозрачной
delstat	штат
delstat	состояние
delstat	государство
innan	до
innan	перед
innan	прежде
fram	передние
fram	передняя
fram	фронт
canberra	канберре
mål	задачи
mål	цели
mål	целей
mål	цели
mål	цель
mål	гол
län	графство
län	округе
län	округ
län	область
län	провинция
län	графства
län	округа
län	графствах
bosnien	боснии
bosnien	босния
bosnien	боснию
afghanistan	афганистана
afghanistan	афганистан
afghanistan	афганистане
john	джон
john	иоанн
hercegovina	герцеговины
hercegovina	герцеговина
administrativ	административные
administrativ	административная
bara	только
bara	просто
bara	только
ska	должен
ska	должны
ska	ска
ontario	онтарио
plats	место
plats	местоположение
plats	расположение
plats	местонахождение
plats	место
carl	карл
församling	приход
församling	волость
församling	конгрегация
församling	сборка
församling	ассамблеи
församling	собрание
församling	ассамблея
land	страна
land	страны
land	земли
land	земельный
land	land
land	земля
amerikansk	американский
amerikansk	американские
amerikansk	американская
amerikansk	american
amerikansk	американских
amerikansk	американец
helsingfors	хельсинки
tid	время
tid	времени
tid	тайм
tid	time
ofta	часто
ofta	нередко
ofta	часто
ofta	зачастую
tog	забрала
tog	взял
tog	забрал
några	некоторых
några	некоторые
kommer	воля
kommer	будет
kommer	уилл
kommer	приходите
kommer	приходи
kommer	иду
kommer	предстоящие
exempel	пример
exempel	примеры
någon	любой
någon	любой
någon	любую
någon	любые
någon	любое
någon	любая
gräsmarker	луга
saint	святой
saint	сен
saint	сент
saint	святая
något	несколько
något	отчасти
något	немного
något	незначительно
något	слегка
gjorde	сделал
gjorde	сделала
san	san
san	сан
stor	большой
stor	крупных
stor	крупный
stor	большая
stor	крупные
stor	большие
stor	большая
stor	big
stor	большие
stor	большой
stor	биг
ingen	никому
ingen	никто
staden	town
staden	город
staden	городок
staden	city
staden	город
staden	города
kallt	холодная
kallt	холодное
kallt	холодный
kallt	холодно
kallt	холод
får	овец
får	овца
får	овцы
naturlig	естественные
naturlig	естественный
naturlig	естественное
naturlig	природных
naturlig	натуральные
naturlig	натуральный
mest	большинство
mest	наиболее
mest	преимущественно
webbplats	вебсайт
webbplats	сайт
webbplats	сайт
ger	даю
ger	отдаю
ger	ger
ger	даёт
ger	дарит
ger	дает
mosaik	мозаика
team	команды
team	команда
team	team
började	начали
började	начато
började	начал
började	началось
började	началось
hela	исцелить
hela	целая
hela	целые
hela	целое
hela	целиком
gör	делаю
gör	делаешь
gör	сделать
gör	make
honom	его
honom	ему
gick	пошла
gick	ходил
gick	гуляли
kyrka	церковь
kyrka	церкви
