korsika	korzika
kaksteist	dvanaest
histoloogia	histologija
ekspert	stručna
ekspert	ekspertni
ekspert	stručni
ekspert	stručnjak
ekspert	ekspert
ökoloogiline	ekološka
sool	so
jung	jung
müük	prodaja
müük	prodaju
müük	prodaja
vähendamine	smanjenju
vähendamine	smanjenje
vähendamine	smanjenjem
vähendamine	smanjenje
smithi	smith
smart	smart
smart	pametan
loobunud	odrekao
viljakas	plodne
kokkupõrge	utjecaj
kokkupõrge	udar
kokkupõrge	sudar
kokkupõrge	nesreća
paber	papir
alasti	gol
alasti	gola
alasti	akt
sammas	stub
sammas	stub
maatriks	matrica
neljandaks	četvrta
neljandaks	četvrti
neljandaks	četvrto
neljandaks	četvrtog
neljandaks	četvrtom
parameeter	parameter
žanr	žanru
stella	stella
oskuste	vještine
otsustanud	odlučili
otsustanud	odlučilo
otsustanud	odlučila
otsustanud	odlučio
sinised	plava
schultz	schultz
lapselaps	unuka
lapselaps	unuče
lapselaps	unuk
wales	vels
elbe	laba
kogemata	slučajno
uuem	noviji
uuem	novije
hani	hani
hani	han
rex	rex
territoriaalne	teritorijalnoj
territoriaalne	teritorijalni
territoriaalne	teritorijalna
territoriaalne	teritorijalne
jeffersoni	jefferson
bengali	bengala
harrison	harrison
maia	maje
maia	maia
ümbritsev	okolne
ümbritsev	okolnim
chicagos	chicago
turba	treset
hävitatud	uništene
hävitatud	uništen
hävitatud	uništena
hävitatud	uništeni
karistuse	kaznu
karistuse	kazna
liigitus	klasifikacija
hävitamine	uništi
hävitamine	uništiti
hävitamine	uništavanje
hävitamine	uništenja
hävitamine	uništenje
korrus	kata
korrus	spratu
korrus	poda
korrus	sprat
beach	plaža
õiglane	pravedni
õiglane	fer
õiglane	sajam
pööre	twist
pööre	okrenuti
pööre	pretvaranje
pööre	turn
pööre	pretvoriti
sõitja	putnik
kuru	proći
kuru	pass
kliendi	mušterija
kliendi	klijent
katoliiklased	katolici
phillips	phillips
nurgakivi	temeljac
lennata	mušica
lennata	lete
lõpetatud	završeno
lõpetatud	potpuna
lõpetatud	kompletna
lõpetatud	kompletan
lõpetatud	završen
lõpetatud	završila
lõpetatud	završio
lõpetatud	završeno
alumiiniumi	aluminij
yves	yves
ted	ted
kümmekond	desetak
abt	opat
möödub	prolazi
möödub	prođe
tõlked	prevode
camille	camille
camille	kamil
claus	mraz
meeldis	loved
liides	interfejs
toll	pedalj
toll	danak
toll	carina
toll	carinska
tammeka	hrast
cook	cook
stressi	stres
varad	imovina
varad	sredstva
amy	amy
kive	kamenova
kive	kamenje
kive	stijene
kive	stijena
kive	stijenama
zürichi	zürich
brüssel	brisel
kaltsiumi	kalcij
gonzález	gonzález
sigmund	sigmund
berni	berne
suurendatud	povećan
suurendatud	povećana
suurendatud	povećane
suurendatud	povećanu
suurendatud	povećanog
töölised	radnici
töölised	radnika
flash	flash
göteborgi	göteborg
projektid	projekti
projektid	projekata
june	juni
allāh	allāh
gérard	gérard
konsooli	konzola
siena	siena
verona	verona
singapuri	singapur
religioosne	vjerski
religioosne	vjersko
religioosne	vjerskim
religioosne	vjerska
religioosne	vjerskih
religioosne	vjerske
muljet	impress
vincenzo	vincenzo
ülekanne	prenos
ülekanne	transfer
ülekanne	prijenos
ülekanne	emitovanje
ülekanne	emitovati
mõjud	uticaji
mõjud	efekti
arvud	cifre
määr	stopa
opositsioon	opozicioni
opositsioon	protivljenje
opositsioon	opozicija
irene	irena
irene	irene
leidmine	pronalaženje
leidmine	nalaženje
leidmine	nalaz
üheksas	deveti
fourier	fourier
mošee	džamija
benito	benito
valentina	valentina
mõistab	razumije
revolutsiooniline	revolucionarni
astuuria	asturije
tervishoid	zdravlje
tervishoid	zdravstvo
käimine	datiraju
bauer	bauer
näita	show
näita	emisiju
näita	nastup
näita	šou
näita	sou
budism	budizam
koguma	prikupljanje
tunnistama	prizna
ruumiline	prostorne
magma	magma
raudteede	željeznice
raudteede	željeznica
sektor	sektor
enterprise	preduzeće
enterprise	preduzetništvo
enterprise	enterprise
keskmised	medium
keskmised	srednji
keskmised	srednjim
keskmised	srednje
keskmised	srednja
joone	linija
sõnum	poruka
beethoven	beethoven
arenema	razvijaju
teadis	znao
teadis	znali
teadis	poznavao
teadis	poznavali
augusta	augusta
bio	bio
biokeemia	biohemija
nielsen	nielsen
fra	fra
hobused	konjima
hobused	konji
rongi	voz
rikkus	bogatstvo
rikkus	bogatstvo
rikkus	uništenog
etendus	show
etendus	emisiju
etendus	nastup
etendus	šou
etendus	sou
marshalli	maršal
kvalifikatsioon	kvalifikacije
kvalifikatsioon	kvalifikacija
kvalifikatsioon	kvalifikacije
intensiivsus	intenzitet
marss	mars
teave	informacija
signaale	signali
signaale	signale
ridades	redove
kõrgele	visoko
kõrgele	visoki
dakota	dakota
rey	rey
dresdeni	drezden
katastroofi	katastrofe
katastroofi	katastrofa
muusikal	muzičkim
muusikal	muzičke
muusikal	muzički
muusikal	muzička
muusikal	mjuzikl
muusikal	musical
nigeri	niger
satelliit	sateliti
rick	rick
poom	procvat
astronaut	astronaut
unenägu	san
unenägu	sna
unenägu	dream
unenägu	snu
suundumused	trendova
suundumused	trendovi
suundumused	trendove
suundumused	trendovima
herakles	herkules
herakles	hercule
aspekte	aspekata
aspekte	aspektima
aspekte	aspekti
vastastikku	međusobno
lootes	nadaju
andersen	andersen
firmad	korporacija
firmad	korporacije
firmad	firmi
firmad	firme
firmad	kompanije
michelangelo	michelangelo
võti	ključni
võti	ključ
kliiniline	klinička
väljatöötamine	razvijao
väljatöötamine	razvija
välised	vanjska
välised	vanjski
välised	exterior
võõras	stranac
tuttav	poznato
tuttav	poznanika
madalamad	donjem
madalamad	niže
madalamad	niži
baltimore	baltimore
päevik	žurnal
päevik	dnevnika
päevik	dnevniku
päevik	dnevnik
platvorm	platforma
platvorm	platformi
platvorm	platformu
platvorm	platforme
paradigma	paradigma
nähtavad	vidljiv
nähtavad	vidljiva
nähtavad	vidljivi
nähtavad	vidljivo
emilia	emilia
metallica	metallica
pidu	stranka
pidu	partija
meeleolu	raspoloženje
sidus	koherentna
alternatiiv	alternativna
