категория	類別
как	如何
как	讚
как	就像
как	像
как	喜歡
его	他的
также	還
также	也
это	這
это	這個
это	那個
после	後
после	之後
области	地區
год	年度
год	年份
год	年
время	時光
время	時間
место	spot
место	斑點
место	地方
место	地點
место	所在地
место	位置
место	地點
район	鄰里
район	區
район	地區
район	面積
район	地區
район	區域
район	區
вид	魚種
вид	物種
вид	檢視
вид	瀏覽
только	只
только	只有
только	只是
только	只要
язык	舌頭
язык	舌
язык	語言
язык	語
язык	語文
ссср	蘇聯
районе	鄰里
код	密碼
код	編碼
код	碼
более	多
более	更多
более	更
мая	may
мая	梅
мая	五月份
мая	五月
дата	日期
дата	約會
ноября	十一月
деревня	村
деревня	鄉村
деревня	村莊
деревня	村落
деревня	村子
января	一月
марта	martha
марта	三月
все	一切都
все	一切
все	全部
все	所有
все	all
все	大家
все	每個人
августа	八月
августа	八月份
том	tom
октября	十月
октября	十月份
октября	十月
сентября	九月份
сентября	九月
статьи	文章
уже	已經
июня	六月份
июня	六月
апреля	四月
апреля	四月份
название	名字
название	名稱
название	姓名
название	標題
поселение	定居
поселение	定居點
человек	人類
человек	人
человек	男人
человек	man
лет	歲月
лет	年份
февраля	二月
февраля	二月
они	她們
они	他們
они	它們
того	多哥
города	城市
города	市
города	城
города	城鎮
города	城市
может	或許
может	也許
она	她
войны	戰爭
войны	戰
войны	戰爭
когда	當
однако	然而
высота	海拔
высота	高度
высота	身高
высота	高度
переписи	人口普查
переписи	普查
переписи	人口普查
переписи	普查
село	村
село	鄉村
село	村莊
село	村落
село	村子
род	屬
род	杖
один	一
один	one
один	一個
реки	河
реки	江河
реки	河流
реки	江
реки	河流
статус	狀況
статус	狀態
статус	現況
населения	人口
годы	歲月
годы	年份
через	通過
через	經由
через	透過
через	通過
национальный	national
национальный	國家
область	省
область	省省
область	省份
область	區域
область	面積
область	地區
область	區域
область	區
список	名單
список	清單
список	列表
сельское	農村
сайт	網站
сайт	網頁
сайт	網站
сайт	工地
века	年齡
этот	這
этот	這個
будет	將
будет	威爾
несколько	多重
несколько	多種
несколько	多個
город	城鎮
город	鎮
город	城市
город	市
город	城
мира	平安
мира	和平
первое	首先
первое	第一
части	部件
части	零件
описание	說明
описание	描述
всего	共計
всего	總計
первый	首先
первый	第一
файл	文件
файл	檔案
карты	卡
карты	紙牌
карты	卡片
карты	牌
карты	地圖
два	兩
два	兩個
два	二
всех	全部
всех	所有
всех	all
всех	大家
всех	每個人
раз	一次
раз	一旦
территории	領土
второй	第二
второй	秒
очень	非常
карта	地圖
карта	卡
карта	名片
карта	紙牌
карта	卡片
площадь	plaza
площадь	廣場
площадь	正方形
площадь	平方
площадь	方塊
площадь	方形
площадь	廣場
площадь	面積
площадь	地區
площадь	區域
площадь	區
всё	一切都
всё	一切
даже	甚至
затем	那
затем	然後
затем	那麼
группы	群組
группы	群
группы	群組
группы	團體
размер	大小
размер	體積
размер	尺寸
поселения	定居點
почтовый	郵政
страны	國家
страны	國家
страны	各國
индекс	索引
индекс	指數
улица	街頭
улица	街道
улица	街
население	人口
население	人口
работы	工作
имена	人名
имена	名稱
имена	姓名
вместе	在一起
вместе	一起
упоминание	提及
здесь	這裡
истории	故事
истории	動態
истории	歷史
александр	alexandre
александр	亞歷山大
александр	alexander
армии	集團軍
армии	軍隊
армии	軍
армии	陸軍
деление	組織
деление	裂變
хотя	儘管
хотя	雖然
хотя	雖然
кроме	除了
кроме	除外
игроки	球員
игроки	玩家
другие	其他
другие	其他
история	動態
история	故事
история	歷史
себя	自己
совета	安理會
фильм	電影
фильм	影片
фильм	電影
фильм	膠片
фильм	影片
рождения	出生
пункты	項目
времени	時光
времени	時間
либо	要麼
участник	會員
участник	成員
участие	參與
участие	參與
три	三
три	三個
человека	人類
автор	作者
республики	共和國
республики	共和
внутреннее	內部
внутреннее	內心
внутреннее	內
внутреннее	內在
эти	這些
статей	文章
случае	案例
случае	個案
случае	案件
центр	中心
центр	中心
округ	郡
округ	縣
округ	區
округ	地區
жизни	生命
жизни	人生
жизни	生活
родился	生於
родился	誕生
родился	出生
родился	天生
союза	聯盟
союза	工會
