탄산	cacbonat
사파리	safari
우울증	depression
룰라	lula
애플렉	affleck
캘빈	calvin
다이어트	diêt
라이트닝	sét
자연주의	naturalism
고다마	kodama
석기	đá
석기	stone
사치	saatchi
영감	inspirational
영감	inspiration
엔비디아	nvidia
하르툼	khartoum
그렉	greg
애비	abby
보좌	auxiliary
도시바	toshiba
코코아	cocoa
코코아	cacao
대시	dash
미스테리	mystery
반란군	rebel
반란군	phiến
프레데터	predator
영장류	primates
다이고	daigo
플래그	cờ
플래그	cờ
마시	marsh
미카미	micah
채무	nợ
모욕을	xúc
캐롤라인	caroline
클랜	clan
클랜	tộc
푸른색	xanh
생생한	vivid
제이드	ngọc
모기	muỗi
모기	muỗi
페이퍼	giấy
페이퍼	trát
너구리	raccoon
피츠제럴드	fitzgerald
깡패	gangster
랭스	reims
시프트	shift
시프트	ca
잊혀진	quên
조언	khuyên
조언	khuyên
분리주의	separatist
해머	búa
편집하기	sửa
익명	anonymous
모세	moses
스토커	rình
채플린	chaplin
주먹	bó
프로덕션스	production
프로덕션스	productions
미르	mir
록키	rocky
파운데이션	quỹ
파운데이션	foundation
파운데이션	nọc
사라왁	sarawak
워너비	wannabe
마릴린	marilyn
침례교	baptist
카타니아	catania
단발	chỉ
단발	duy
디바	divas
디바	diva
매카시	mccarthy
메디나	madinah
메디나	medina
엘리펀츠	voi
웨이터	bồi
몽펠리에	montpellier
롤리팝	lollipop
홀리데이	holliday
홀리데이	holiday
미들즈브러	middlesbrough
사탕수수	mía
사탕수수	hèo
사탕수수	kho
토륨	thori
니키타	nikita
아흐마드	ahmad
햇빛	nắng
햇빛	nắng
도나	donna
플러그인	plug
플러그인	cắm
플러그인	sung
플러그인	plugins
알레한드로	alejandro
부룬디	burundi
닭고기	gà
아흐메드	ahmed
아흐메드	ahmad
로렌츠	lorenz
트위스트	twist
트위스트	xoắn
트위스트	xoáy
카스피	caspian
에드워즈	edwards
스칼렛	scarlet
스칼렛	scarlett
표도르	fyodor
암초	shoal
암초	reef
마사무네	masamune
어벤져스	avengers
오드리	audrey
지팡이	hèo
지팡이	kho
지팡이	rod
정상회담	summit
제니스	zenith
문어	octopus
해커	hacker
해커	hacker
해커	hackers
