और	at
से	mula
है	hai
एक	isa
एक	one
श्रेणी	kategorya
श्रेणी	serye
श्रेणी	series
भी	kahit
भी	rin
भी	din
भी	masyadong
भी	rin
यह	ito
यह	nito
किया	done
इस	ito
इस	nito
कि	na
कि	yan
भारत	india
जो	joe
जो	sino
ही	hee
रूप	anyo
रूप	anyo
रूप	itsura
रूप	hitsura
कर	buwis
कर	buwis
नहीं	hinde
नहीं	hindi
उत्तराखण्ड	uttarakhand
गया	nagpunta
साथ	along
साथ	kay
साथ	sama
साथ	magkasama
पूर्व	silangan
पूर्व	east
पूर्व	dating
होता	nais
बाद	mamaya
तक	hanggang
तक	till
तक	tak
अपने	sarili
अपने	sariling
अपने	iyong
अपने	your
जिले	pambatas
था	ay
था	had
था	nagkaroon
था	ay
राज्य	states
राज्य	estado
राज्य	unidos
राज्य	state
राज्य	estado
बाहरी	panlabas
बाहरी	panlabas
कुछ	ilang
कुछ	ilan
ईसा	hesus
ईसा	jesus
गाँव	nayon
सरकार	pamahalaan
सरकार	gobyerno
कड़ियाँ	kadena
कड़ियाँ	chains
कड़ियाँ	links
प्रदेश	rehiyon
दिया	binigay
दिया	given
दिया	ibinigay
दिया	nagbigay
अन्य	iba
वर्ष	taon
वर्ष	taon
समय	tiyempo
समय	timing
समय	panahon
समय	oras
समय	time
नाम	pangalan
नाम	pong
वे	sila
वे	nila
प्रकार	mabait
प्रकार	type
प्रकार	uri
भारतीय	indian
क्षेत्र	lugar
क्षेत्र	area
क्षेत्र	lawak
क्षेत्र	rehiyon
अधिक	pa
अधिक	pang
कई	maraming
कई	marami
कई	ilang
स्थित	matatagpuan
मण्डल	zone
आधिकारिक	official
आधिकारिक	opisyal
कारण	dahilan
कारण	sanhi
कारण	cause
होने	pagiging
जैसे	parang
जैसे	like
जैसे	gustuhin
उनके	kanilang
उनके	kanila
उनके	sila
उनके	silang
सबसे	pinaka
सबसे	karamihan
बहुत	napaka
पहले	noon
पहले	dati
पहले	bago
पहले	nakaraan
पहले	kanina
पहले	unang
पहले	muna
अपनी	sarili
अपनी	sariling
दो	dalawang
दो	dalawa
दो	two
जिला	distrito
जब	kapag
जब	kailan
उन्होंने	sila
उन्होंने	nila
जन्म	ipinanganak
जन्म	pinanganak
जन्म	kapanganakan
कोई	koi
कोई	any
इन	inn
