och	in
som	kot
som	katero
som	kateri
som	katere
som	katerih
som	ki
som	katerega
runt	naokrog
runt	okoli
runt	okrog
runt	krog
runt	okrogla
runt	okrogle
runt	rundo
runt	okrogel
runt	okroglo
månaden	mesečna
månaden	mesečno
månaden	mesečni
månaden	mesečnega
månaden	mesec
månaden	meseca
nederbörd	padavin
nederbörd	padavine
nederbörd	padavin
nederbörd	padavine
ligger	laži
ligger	nahaja
ingår	vključeni
ingår	vključena
ingår	vključene
ingår	vključen
ingår	vključeno
ingår	vključuje
att	to
att	tisto
ett	enga
ett	ena
ett	en
ett	eden
ett	eno
över	konec
familjen	druzina
familjen	družina
för	za
inga	nobene
inga	nobenega
inga	noben
inga	nobena
inga	inga
delen	delno
delen	del
släktet	rodu
släktet	rod
underarter	podvrste
life	zivljenje
life	life
life	življenje
landet	dežela
landet	država
landet	državo
meter	meter
meter	metrov
meter	metrov
meter	meter
meter	merilnik
meter	ladjedelnice
meter	jardov
huvudstaden	capitol
huvudstaden	kapitala
huvudstaden	prestolnica
huvudstaden	kapital
havet	morje
havet	ocean
invånare	prebivalce
invånare	prebivalcev
invånare	prebivalci
invånare	stanovalci
invånare	prebivalcev
invånare	prebivalci
invånare	meščani
invånare	državljane
invånare	državljani
januari	januar
januari	januarja
millimeter	milimetrov
millimeter	milimetrih
millimeter	milimetrov
millimeter	milimetrih
genomsnitt	povprečje
genomsnitt	povprečna
genomsnitt	povprečno
genomsnitt	povprečja
genomsnittlig	povprečje
genomsnittlig	povprečna
genomsnittlig	povprečno
var	var
var	bil
var	bila
var	bili
var	kjer
var	kje
juli	julij
juli	julija
juli	juli
han	hana
han	han
har	ima
har	imajo
har	imeti
per	per
vattendrag	vodotokov
vattendrag	vodotoka
vattendrag	rek
vattendrag	reke
från	iz
från	od
kanada	kanada
kanada	kanado
provinsen	pokrajina
provinsen	provinca
närheten	bližina
men	toda
men	ampak
men	vendar
högsta	vrhovnega
högsta	vrhovni
högsta	vrhovno
högsta	maksimum
högsta	največja
högsta	najvišjo
högsta	najvišje
högsta	najvišji
högsta	najvišja
augusti	avgusta
augusti	august
augusti	avgust
kan	lahko
kan	lahko
länkar	povezave
externa	zunanji
externa	zunanja
externa	zunanje
läge	lokacija
läge	lokacijo
läge	način
även	celo
även	tudi
februari	februarja
februari	februar
under	med
under	pod
lake	jezero
lake	lake
lake	jezera
sjö	jezero
sjö	lake
sjö	jezera
sjö	morje
inte	ni
inte	ne
sig	sig
kommun	občina
två	dve
två	dva
lac	lac
terrängen	teren
long	dolge
long	dolg
long	dolgo
long	dolgi
long	dolga
juni	juni
juni	junij
juni	june
juni	junija
lat	lat
lat	lenoba
lat	len
december	december
december	decembra
växer	raste
växer	rastoče
växer	gojenje
växer	rastejo
växer	rasti
växer	gojil
växer	zrasti
