терминология	terminologie
командири	commandants
правопис	orthographe
чай	thés
чай	tea
чай	thé
завършили	diplômés
британско	britanniques
британско	britannique
бактерии	bactériennes
бактерии	bactérienne
бактерии	bactéries
бактерии	bactérie
бактерии	bactérie
гледка	afficher
гледка	vue
гледка	voir
гледка	affichage
гледка	visualiser
царевица	maïs
царевица	maïs
купола	dôme
купола	coupole
купола	dome
колело	roue
колело	roues
колело	bicyclette
колело	vélo
колело	bicyclettes
колело	vélo
колело	bicyclette
инвестиции	investissements
инвестиции	investissement
инвестиции	investissement
инвестиции	investissements
гърди	poitrine
гърди	thoracique
гърди	torse
гърди	coffre
гърди	seins
гърди	mammaire
гърди	poitrine
гърди	seins
гърди	sein
гърди	mammaire
гърди	seins
гърди	poitrines
органични	bio
органични	biologiques
органични	biologique
органични	organiques
органични	organique
райън	ryan
медия	média
медия	médias
гордън	gordon
монтирани	montées
монтирани	montée
монтирани	montés
монтирани	monté
монтирани	équipée
монтирани	équipé
раса	course
раса	race
димитриос	dimitrios
сараево	sarajevo
уелски	galloise
уелски	gallois
уелски	welsh
майер	meier
майер	mayer
майер	meyer
франко	franco
франко	franko
мощ	résistance
мощ	solidité
мощ	force
мощ	puissance
мощ	pouvoir
клисура	ravin
дарения	dons
дарения	donations
отвън	extérieur
отвън	dehors
отвън	exterieur
мериленд	maryland
черта	trait
болни	malades
болни	malade
крайната	ultimes
крайната	ultimate
крайната	ultime
редовна	ordinaire
редовна	régulière
редовна	régulières
редовна	régulier
палермо	palerme
грузински	géorgien
грузински	géorgie
грузински	géorgiens
грузински	géorgienne
поставено	placés
поставено	placées
поставено	placée
поставено	placé
кастро	castro
таблици	tables
таблици	tableaux
обещава	promesses
обещава	promesse
сюжет	complot
сюжет	parcelle
майчина	maternel
майчина	maternels
майчина	maternelle
барон	baron
барон	barron
психолог	psychologues
психолог	psychologue
отстранен	suspendu
отстранен	suspendues
отстранен	suspendue
отстранен	suspendus
монасите	moines
подпомагане	soutien
подпомагане	assistance
подпомагане	appui
наркотици	drogues
наркотици	drogue
наркотици	drogue
наркотици	médicament
душа	douches
душа	douche
душа	âmes
душа	ame
душа	soul
душа	âme
пелин	estragon
пелин	absinthe
пелин	wormwood
израелски	israélien
израелски	israélienne
израелски	israéliens
израелски	israéliennes
популярно	populaires
популярно	populaire
уникален	uniques
уникален	unique
работник	salarié
работник	travailleur
работник	employé
работник	travailleur
работник	travailleuse
работник	ouvrier
описания	descriptions
обширни	extensive
придружава	accompagne
джейсън	jason
критики	critique
критики	critiques
издържа	enduré
бягство	escapade
бягство	échapper
бягство	fuite
бягство	évasion
бягство	escape
селска	rustique
селска	rurales
селска	ruraux
селска	rurale
селска	rural
селска	paysan
селска	paysanne
изригване	éruption
медина	médina
медина	medina
медина	médine
слънчева	ensoleillées
