apie	關於
kaip	如何
kaip	讚
kaip	就像
kaip	像
kaip	喜歡
kad	那個
savo	你的
pat	pat
vieta	地點
vieta	場地
vieta	會場
vieta	地點
kaimas	村
kaimas	鄉村
kaimas	村莊
kaimas	村落
kaimas	村子
šiaurės	北歐
tik	只
tik	只有
tik	只是
tik	只要
mirties	死亡
mirties	死神
bet	但
bet	不過
bet	但是
turi	必須
dar	仍然
dar	依然
kalba	語言
kalba	語
kalba	語文
karo	戰
karo	戰爭
kultūros	文化
labai	非常
birželio	六月份
birželio	六月
jie	她們
jie	他們
jie	它們
kurie	誰
daug	許多
rytų	東
rytų	東部
rytų	東方
rytų	東區
rytų	東方
rytų	東部
mokykla	學校
mokykla	學校
mokykla	上學
čia	這裡
vakarų	西邊
vakarų	西
vakarų	西方
vakarų	西部
vakarų	西方
vakarų	西部
muzikos	音樂
muzikos	音樂劇
nors	雖然
futbolo	足球
futbolo	足球
futbolo	美式足球
futbolo	橄欖球
pietų	午餐
pietų	午飯
daugiau	多
daugiau	更多
daugiau	更
kaimo	村
kaimo	鄉村
kaimo	村莊
kaimo	村落
kaimo	村子
jau	已經
and	鴨
and	鴨子
jonas	jonas
kalbos	語言
kalbos	語文
kalbos	語言
kalbos	語
kalbos	語文
universiteto	心理
mokyklos	學校
mokyklos	上學
šeimos	家人
šeimos	家屬
šeimos	家庭
upės	河
upės	江河
upės	河流
upės	江
upės	河流
dabar	現在
rajonas	區
rajonas	地區
dainų	歌曲
dainų	歌
darbo	工作
isbn	isbn
vaikai	兒童
oro	空中
oro	air
oro	航空
oro	空氣
tekstas	文字
tekstas	案文
meno	藝術
meno	藝術
svetainė	網站
svetainė	網頁
istorijos	動態
istorijos	故事
istorijos	歷史
bažnyčios	教會
bažnyčios	教堂
jūros	大海
jūros	海上
jūros	海
kas	誰
universitetas	大學
apskritis	郡
apskritis	縣
šio	這
šio	這個
ežeras	湖泊
ežeras	湖
romos	roman
mokslo	科學
vytautas	vytautas
antanas	anthony
kartais	有時候
kartais	偶而
kartais	偶爾
kaime	村
kaime	鄉村
kaime	村莊
kaime	村落
kaime	村子
šių	這些
herbas	藥草
herbas	國徽
tūkst	千
tėvas	父親
tėvas	神父
tėvas	父
sporto	體育
sporto	運動
karalius	國王
karalius	king
karalius	王
muziejus	博物館
šeima	家人
šeima	家屬
šeima	家庭
laimėjo	元
provincija	省
provincija	省省
provincija	省份
salos	海島
salos	島嶼
salos	島
upė	河
upė	江河
upė	河流
upė	江
istorija	動態
istorija	故事
istorija	歷史
com	com
sūnus	兒子
tsrs	蘇聯
tsrs	蘇維埃
kelio	公路
kelio	道路
kelio	路
amerikos	美式
amerikos	美洲
amerikos	美國
klubas	幫會
klubas	club
klubas	俱樂部
klubas	hip
klubas	臀
klubas	臀部
klubas	髖
teatro	電影院
teatro	劇場
teatro	戲劇
teatro	劇院
teatro	戲院
teatro	劇場
teatro	戰區
teatro	戲劇
teatro	劇院
teatro	戲院
giminės	親屬
giminės	親戚
laiko	時光
laiko	時間
veikia	工程
veikia	作品
rūšis	魚種
rūšis	物種
gyvenimo	生活
gyvenimo	生命
gyvenimo	人生
gyvenimo	生活
kelias	公路
kelias	道路
kelias	路
pietus	午餐
pietus	午飯
žmogaus	人類
netoli	近
netoli	靠近
netoli	附近
užsienio	外國
užsienio	外籍
apibūdinimas	說明
apibūdinimas	描述
moterų	女
moterų	女性
literatūros	文學
žmona	妻子
amžiaus	年紀
amžiaus	年齡
amžiaus	年齡
auga	生長
auga	成長
auga	成長
auga	生長
klubo	hip
klubo	臀
klubo	臀部
klubo	髖
lietuva	立陶宛
dvaro	支撐
inžinierius	工程師
rudenį	秋季
rudenį	秋天
rudenį	秋
provincijos	省份
provincijos	各省
aktorius	男主角
aktorius	演員
