que	że
per	na
per	dla
per	za
les	les
com	jak
com	like
més	more
més	bardziej
més	więcej
bar	bar
seu	siedziba
van	vana
van	furgonetka
van	van
era	epoka
era	era
era	ery
text	tekst
text	text
text	tekstowe
també	także
també	też
també	również
entre	między
entre	pomiędzy
fou	była
fou	był
fou	było
anys	lat
anys	lata
any	roku
any	rok
població	populacja
població	populacji
població	ludność
però	ale
aquest	tym
altres	innych
altres	inne
altres	pozostałe
altres	inny
altres	inne
altres	pozostałe
altres	inni
estat	stan
estat	state
estat	państwo
després	after
després	po
són	są
des	des
aquesta	tym
eren	były
eren	byli
estats	stany
estats	stanów
persones	ludzi
persones	osoby
persones	people
persones	ludzie
from	from
from	od
part	część
part	częściowo
sobre	kopercie
sobre	koperta
sobre	koperty
gran	świetne
gran	świetnie
gran	super
gran	wspaniale
durant	podczas
durant	durant
tot	wszystko
enllaços	linków
enllaços	łącza
enllaços	linki
enllaços	odnośniki
dos	dwie
dos	dwóch
dos	dwa
externs	zewnętrzne
família	rodzina
família	rodziny
família	rodzinne
família	rodzinka
família	rodzinnie
ciutat	city
ciutat	miejscowość
ciutat	miasta
ciutat	miasto
quan	gdy
quan	kiedy
qual	które
qual	która
qual	który
molt	bardzo
tenia	tasiemiec
nord	północnej
nord	północ
nord	north
habitants	mieszkańców
habitants	mieszkańcy
dones	kobiet
dones	kobietki
dones	kobiety
dones	damskie
res	nic
segons	sekund
segons	sekundy
primer	pierwszy
primer	pierwsze
primer	najpierw
primer	pierwsza
segle	wieku
segle	wiek
nom	nazwisko
nom	imię
nom	nazwa
tres	trzy
sud	południe
lloc	miejsce
nova	nowości
nova	nowe
nova	nowość
nova	nowy
nova	nowa
nova	nova
homes	męskie
homes	faceci
homes	men
homes	mężczyźni
primera	pierwszy
primera	pierwsze
primera	najpierw
primera	pierwsza
dues	dwie
dues	dwóch
dues	dwa
guerra	wojnę
guerra	wojna
guerra	wojny
guerra	war
següent	następnym
següent	następny
següent	następna
següent	następne
sense	bez
això	tym
general	generał
general	ogólny
general	ogólnie
general	ogólna
general	ogólne
municipi	gmina
catalunya	katalonii
catalunya	katalonia
vivien	vivien
forma	kształt
forma	kształtu
forma	postać
forma	forma
forma	formularz
forma	formy
forma	formularza
fet	zrobione
han	hana
han	han
encara	nadal
encara	wciąż
encara	jeszcze
mort	śmierci
mort	death
mort	śmierć
dades	dane
dades	data
només	tylko
només	tylko
regió	region
regió	regionie
regió	regiony
regió	regionu
temps	czasu
temps	czas
empreses	firmy
empreses	spółki
empreses	przedsiębiorstw
empreses	przedsiębiorstwa
empreses	firm
troba	znajdź
troba	znaleźć
grup	grupie
grup	grupy
grup	grupa
contra	przeciwko
contra	przeciw
admin	administracja
admin	administrator
admin	administratora
admin	administratorem
properes	nadchodzący
properes	nadchodzące
famílies	rodziny
famílies	rodzin
frança	francji
frança	francja
frança	france
poblacions	populacji
poblacions	ludność
poblacions	populacje
fills	dzieci
rei	king
rei	króla
rei	kinga
rei	król
francès	francuski
francès	francuska
francès	french
francès	francuskie
mentre	podczas
nombre	numer
nombre	liczba
tots	wszystkie
tots	wszystko
tots	all
tots	wszyscy
edició	montaż
edició	edycji
edició	edycja
edició	wydawnictwo
edició	publikacja
edició	wydawnictwa
edició	publikacje
edició	publikowania
edició	publikowanie
isbn	isbn
renda	wynajem
renda	dzierżawa
renda	czynsz
quatre	czterech
quatre	cztery
partit	przyjęcie
partit	partia
partit	partii
partit	impreza
partit	imprezy
alguns	niektóre
alguns	niektórzy
alguns	trochę
aquests	tych
aquests	te
fill	synu
fill	syn
nou	nowości
nou	nowe
nou	nowość
nou	nowy
nou	nowa
març	marzec
març	marca
març	marsz
setembre	wrzesień
setembre	września
principal	główne
principal	główna
principal	main
principal	główny
menys	mniejsza
menys	mniej
color	kolor
color	kolory
color	barwa
color	koloru
color	kolor
color	kolory
color	barwa
color	kolorowy
món	świat
món	swiat
món	świata
món	świecie
món	world
octubre	październik
octubre	października
empresa	towarzystwo
empresa	kompania
empresa	firma
empresa	firmy
empresa	spółka
empresa	przedsiębiorstwo
abans	zanim
abans	przed
abans	wcześniej
edat	wieku
edat	age
edat	wiek
web	web
web	sieć
jpg	jpg
dins	wewnątrz
església	kościoła
església	kościół
església	church
maig	majowe
maig	maja
maig	może
maig	majowy
maig	maj
terme	terme
casa	house
casa	domu
casa	dom
història	historia
història	story
història	opowieść
història	zdarzenie
història	opowiadanie
història	historia
història	historii
història	historię
país	ojczyzna
país	kraje
país	kraju
país	kraj
país	państwo
segona	druga
segona	drugi
segona	drugie
joan	jan
joan	johna
joan	janek
joan	john
joan	jana
joan	joan
joan	joanna
final	koniec
final	end
govern	rządowe
govern	rząd
govern	rządowy
est	wschodnie
est	east
est	wschód
est	wschodni
