மற்றும்	in
ஒரு	enga
ஒரு	ena
ஒரு	en
ஒரு	eden
ஒரு	eno
இந்த	to
இந்த	ta
இந்த	tole
இந்த	tega
இந்த	teh
இந்த	te
இந்த	tele
ஆம்	ja
ஆம்	da
இது	to
இது	ta
இது	tole
இது	tega
மக்கள்	narode
மக்கள்	narodi
மக்கள்	ljudje
மக்கள்	ljudstvo
மக்கள்	osebe
மக்கள்	ljudi
ஆண்டு	leto
ஆண்டு	letnica
என்று	to
என்று	tisto
இந்திய	indijansko
இந்திய	indijsko
இந்திய	indijski
இந்திய	indijanec
இந்திய	indijska
இருந்து	iz
இருந்து	od
பல	številni
பல	mnogi
பல	veliko
பல	večkratno
பல	večkratni
முதல்	iz
முதல்	od
முதல்	prva
முதல்	prvo
முதல்	prvi
முதல்	najprej
மேலும்	več
மேலும்	bolj
தொகை	količina
தொகை	znesek
சில	nekatere
சில	nekaterim
சில	nekateri
சில	nekaj
சில	neki
உள்ளது	razpoložljivi
உள்ளது	razpoložljiva
உள்ளது	obstaja
அவர்	njega
அவர்	ga
அவர்	njej
அவர்	njo
அவர்	njen
அவர்	her
அவர்	njena
இருக்கும்	obstoječa
இருக்கும்	obstoječo
இருக்கும்	obstoječe
இருக்கும்	obstoječi
வெளி	zunanji
வெளி	zunanja
வெளி	zunanje
வெளி	vesolje
வெளி	prostor
வெளி	space
வெளி	vesoljska
அமைந்துள்ளது	nahaja
மூலம்	vir
மூலம்	prvotna
மூலம்	izvirnik
மூலம்	izvirno
மூலம்	prvotni
மூலம்	original
கொண்ட	vseboval
கொண்ட	vsebovala
வரை	žreb
வரை	narisal
வரை	do
வரை	dokler
பின்னர்	potem
பின்னர்	pozneje
பின்னர்	kasneje
ஆனால்	toda
ஆனால்	ampak
ஆனால்	vendar
வேண்டும்	potrebo
வேண்டும்	potreba
வேண்டும்	želiš
கொண்டு	pripeljan
கொண்டு	prinesel
கொண்டு	prinesi
பட்டியல்	spisek
பட்டியல்	seznam
அமைந்துள்ள	nahaja
அதன்	its
பெண்கள்	samice
பெண்கள்	punce
பெண்கள்	dekleta
பெண்கள்	punci
பெண்கள்	deklice
பெண்கள்	ženskam
பெண்கள்	žensk
பெண்கள்	ženske
கொண்டுள்ளது	ima
கொண்டுள்ளது	vsebuje
போது	med
போது	kadar
போது	ko
போது	kdaj
இணைப்புகள்	povezave
இணைப்புகள்	priključki
இணைப்புகள்	priloge
இணைப்புகள்	priključki
இணைப்புகள்	povezave
இரண்டு	dve
இரண்டு	dva
தகவல்	info
தகவல்	informacije
தகவல்	obveščanje
தகவல்	podatki
தகவல்	informacija
தகவல்	informacije
தகவல்	podatek
தகவல்	sporočilo
மாவட்ட	okrožje
மொத்த	skupaj
மொத்த	skupno
வளர்ச்சி	razvoj
வளர்ச்சி	rast
வளர்ச்சி	rasti
மாவட்டம்	okrožje
அந்த	to
அந்த	tisto
மிகவும்	zelo
திட்டம்	projekt
திட்டம்	projekta
திட்டம்	načrt
திட்டம்	plan
தேசிய	nacionalna
