את	te
על	kb
על	nagyjából
על	körülbelül
קטגוריה	kategória
עם	with
גם	szintén
גם	egyben
גם	úgyszintén
גם	is
גם	túl
זה	ezt
זה	ez
זה	ez
היה	volt
שיחה	társalgás
שיחה	beszélgetés
שיחה	beszélgetést
שיחה	hívás
שיחה	hívd
לאחר	után
לאחר	after
לאחר	miután
לאחר	utána
בין	bab
בין	között
כל	mindegyik
כל	mind
כל	minden
כל	bármelyik
כל	bármely
כל	bármilyen
כי	mert
יותר	több
יותר	more
יותר	további
יותר	tobb
ישראל	izraeli
ישראל	izrael
אך	de
יש	hurrá
שם	ott
שם	neve
שם	név
בית	otthon
בית	itthon
בית	haza
בית	house
בית	ház
בית	házon
הם	ők
הייתה	volt
אשר	asher
אשר	escher
אשר	usher
אשר	ami
אשר	melyik
אשר	mely
אשר	amely
אשר	megerősítés
אשר	megerősítése
אשר	megerősíteni
אשר	megerősítve
כמו	mint
כמו	like
כמו	tetszik
אחד	egy
שמאל	bal
שמאל	balra
קישורים	linkek
קישורים	hivatkozások
קישורים	kapcsolatok
חיצוניים	külső
הברית	szövetség
מספר	szám
מספר	száma
בו	őt
בו	neki
בו	boo
היו	voltak
רק	csak
רק	kizárólag
רק	csak
כאשר	mikor
כאשר	amikor
אותו	őt
אותו	neki
בן	ben
בן	fiam
בן	fiuk
שני	másodszor
שני	másodperc
שני	második
שני	kettő
שני	hétfőn
שני	hétfő
לו	lew
לו	lou
העולם	világ
העולם	world
העולם	vilag
העיר	városban
העיר	town
העיר	város
העיר	city
העיר	városi
העיר	város
במהלך	során
כן	igen
כן	igen
שנים	évek
שנים	év
אף	orr
אף	orrot
רבים	sok
רבים	sokan
אבל	de
אביב	aviv
אביב	tavaszi
אביב	tavasz
במאי	may
במאי	május
במאי	májusi
במאי	májusban
במאי	rendező
במאי	igazgató
שנה	évjárat
שנה	éve
שנה	évi
שנה	év
שנה	évek
שנה	év
נולד	született
נולד	megszületett
הערות	megjegyzések
הערות	feljegyzések
הערות	jegyzetek
הערות	jegyzet
הערות	megjegyzések
הערות	hozzászólás
הערות	megjegyzés
הערות	hozzászólások
הערות	észrevételek
חלק	részben
חלק	rész
חלק	része
חלק	sima
לפני	előtte
לפני	előtt
לפני	mielőtt
אחת	egy
