komputerów	komputer
amt	amt
niebo	heaven
niebo	syurga
niebo	sky
niebo	langit
niebo	langit
kłopoty	buai
kłopoty	masalah
kłopoty	menyusahkan
węgierska	hungary
cleveland	cleveland
kampanię	kempen
tłumaczy	menjelaskan
tłumaczy	penterjemah
tłumaczy	penterjemahan
piątej	kelima
wood	kayu
wood	wood
odkryte	menemui
mont	mont
tlenu	oksigen
franciszkanów	franciscan
classic	klasik
classic	classic
konto	akaun
pat	stalemate
pat	pat
solidarność	perpaduan
solidarność	solidariti
castro	castro
zalecenia	saranan
zalecenia	saranan
roberts	roberts
róża	rose
róża	rosa
armaty	meriam
jung	jung
dowody	kalis
dowody	bukti
dowody	buktinya
dowody	bukti
zachowany	dikekalkan
zachowany	dikekalkan
ósemka	lapan
obsługiwane	disokong
obsługiwane	diservis
kwitnie	bersemi
basista	bassist
notowania	petikan
notowania	petikan
notowania	quotation
impreza	parti
uszkodzony	rosak
uszkodzony	rosak
uszkodzony	cacat
administratorem	admin
administratorem	pentadbiran
administratorem	pentadbir
airways	airways
trofeum	piala
trofeum	trofi
mandatu	mandat
legia	legion
legia	legia
gabinet	kabinet
zniszczenie	kemusnahan
zniszczenie	kemusnahan
libertadores	libertadores
umieścić	put
umieścić	meletakkan
pfalz	pfalz
zabrze	zabrze
iran	iran
icao	icao
han	han
dekret	dekri
dekret	ketetapan
dekret	dekrit
pisanie	menaip
pisanie	tulisan
pisanie	menulis
pisanie	penulisan
olympic	olimpik
słownika	kamus
dochód	pendapatan
dochód	pendapatan
winter	winter
poprawki	pembetulan
samolotem	pesawat
samolotem	satah
zhang	zhang
anioł	bidadari
anioł	malaikat
anioł	angel
seattle	seattle
nadawania	broadcasting
nadawania	penyiaran
łączna	kumulatif
zbędne	lewah
zawartych	menyimpulkan
dzieciństwie	childhood
santo	santo
bristol	bristol
centralna	pusat
mosty	jambatan
traci	traci
działki	plot
działki	parcel
działki	parcel
działki	plot
krajowym	prt
krajowym	domestik
nazwane	bernama
autorskie	hakcipta
gilbert	gilbert
równanie	persamaan
równanie	persamaan
davisa	davis
rzekomo	dugaan
więzień	banduan
więzień	penjara
poinformował	taklimat
telefon	phone
telefon	telefon
telefon	telephone
telefon	telefon
jasno	terang
jasno	cerah
kuba	cuba
utc	utc
felix	felix
aktualne	semasa
franka	frank
ujednoznacznienie	nyahkekaburan
dachau	dachau
przemiany	transformasi
przemiany	perubahannya
dziwne	pelik
dziwne	pelik
dziwne	pelik
dziwne	ganjil
gerard	gérard
gerard	gerard
zagraniczne	outbound
zagraniczne	asing
zagraniczne	foreign
wyrzutni	pelancar
turynie	turin
recenzji	semakan
pastor	pastor
brzegi	pinggir
brzegi	tepi
urban	urban
fotograf	photographer
fotograf	jurugambar
zaatakował	diserang
zaatakował	menyerang
zaatakował	diserang
turystyczna	pelancong
turystyczna	tourist
turystyczna	touristic
symboli	simbol
podania	aplikasi
zabił	tewas
zabił	terbunuh
rzeczywistość	kenyataan
rzeczywistość	reality
rzeczywistość	realiti
korporacji	perbadanan
korporacji	corporation
korporacji	korporat
korporacji	syarikat
ludzkości	kemanusiaan
twierdza	kubu
twierdza	benteng
obserwacje	pengamatan
obserwacje	pemerhatian
satelity	satelit
satelity	satelit
szyi	leher
młodzi	khadam
młodzi	muda
młodzi	young
młodzi	mudanya
akademickich	akademik
ligue	ligue
stalina	stalin
borys	boris
uznana	dikenali
uznana	diakui
uznana	diiktiraf
uznana	diiktiraf
uznana	dikenalpasti
tożsamość	identiti
machine	machine
machine	mesin
machine	mesingan
składników	bahan
sławy	selebriti
sławy	kemasyhuran
sławy	fame
wykonawcy	artis
wykonawcy	seniman
wykonawcy	contractor
wykonawcy	kontraktor
wykonawcy	pelaku
wykonawcy	penghibur
wykonawcy	kontraktor
zaliczony	dikira
beta	beta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	profit
zysk	dapatan
zysk	gandaan
zysk	gain
ring	ring
ring	cincin
instruktor	jurulatih
iata	iata
ludzkie	manusia
ludzkie	human
wykonywanie	tampil
resztki	carik
resztki	sisa
zagrożony	terancam
zagrożony	terancam
zagrożony	diancam
zagrożony	ugutan
zagrożony	mengancam
martínez	martínez
dzieciństwa	childhood
portów	pelabuhan
portów	port
nicholas	nicholas
mateusza	matthew
brać	ambil
brać	ambik
specjalistów	profesional
spencer	spencer
wiatru	angin
ósmy	kelapan
syberii	siberia
tarcza	perisai
tarcza	perisainya
przedstawiciela	perwakilan
przedstawiciela	wakil
piwo	beer
piwo	bir
piwo	bir
piwo	beers
arystokrata	bangsawan
willi	willi
willi	villas
katastrof	musibah
komenda	arahan
komenda	perintah
atlantic	atlantic
atlantic	atlantik
uni	uni
pokonać	beat
pokonać	rentak
pokonać	mengatasi
pokonać	tewaskan
pokonać	kekalahan
age	usia
age	umur
rysunek	picture
rysunek	gambar
rysunek	sket
rysunek	sketsa
rysunek	melakar
rysunek	figure
rysunek	melukis
rysunek	lukisan
urzędnicy	clerks
urzędnicy	kerani
urzędnicy	pejabat
panorama	panorama
gitarze	guitar
gitarze	gitar
karne	penalti
karne	penal
dole	dole
dole	bawah
dole	bawahnya
marsa	marikh
marsa	mars
podpis	caption
podpis	tandatangan
znajomości	sambungan
nigerii	nigeria
nigerii	nigeria
posiadać	mempunyai
potencjał	potensi
włoskie	itali
xbox	xbox
boeing	boeing
niespodziewanie	surprisingly
wirginia	virginia
dick	dick
konie	kuda
konie	kuda
agresji	pencerobohan
kiss	kiss
kolejność	tempahan
kolejność	pesanan
kolejność	susunan
kolejność	tempah
kolejność	order
kolejność	turutan
kolejność	jujukan
imigrantów	pendatang
imigrantów	pendatang
pogrzeb	pengebumiannya
pogrzeb	pengebumian
pogrzeb	pengebumian
pogrzeb	funeral
angelo	angelo
leszno	leszno
mostów	jambatan
petra	petra
bułgaria	bulgaria
straße	straße
lekkoatletyka	athletics
kopia	menyalin
kopia	copy
kopia	salin
kopia	salinan
podróżnik	musafir
podróżnik	pelancong
podróżnik	musafir
podróżnik	traveller
bogate	kaya
odziedziczył	mewarisi
odziedziczył	diwarisi
delegacji	delegasi
ems	ems
chelsea	chelsea
zwolennicy	penyokong
wątek	jaluran
wątek	bebenang
związani	terikat
związani	diikat
ograniczone	limited
ograniczone	terhad
ograniczone	terhad
ograniczone	dihadkan
dowolny	freestyle
dowolny	sebarang
sosnowiec	sosnowiec
alfons	alfonso
właściwy	kompeten
amerykanin	american
amerykanin	amerika
linux	linux
bordeaux	bordeaux
teorie	teori
teorie	teori
hierarchii	hierarki
centralne	pusat
porsche	porsche
emilia	emilia
emilia	emilie
powiązane	bersambung
powiązane	disambungkan
powiązane	terpaut
powiązane	dipautkan
powiązane	berkaitan
powiązane	terkait
powiązane	related
powiązane	berkait
katolicyzm	katolik
bolszewików	bolshevik
milion	juta
milion	million
powierzono	diamanahkan
etiopii	habsyah
etiopii	habsyah
doświadczeń	pengalaman
projektant	pereka
otwór	bukaan
otwór	lubang
otwór	hole
justyna	justine
justyna	justin
propagandy	propaganda
odpowiedzialność	liabiliti
odpowiedzialność	tanggungjawab
odpowiedzialność	tanggungjawab
odpowiedzialność	accountability
police	polis
bundesligi	bundesliga
dysku	cakera
hokej	hoki
liu	liu
odkryty	outdoor
odkryty	luaran
wyjaśnienia	penjelasan
wyjaśnienia	penjelasan
wyjaśnienia	penjelasan
ołeksandr	oleksandr
okrążenia	lap
okrążenia	lap
wyższy	tinggi
wyższy	higher
hop	hop
współrzędnych	menyelaras
współrzędnych	koordinat
marynarzy	pelaut
