javiečių	자와어
dviratis	자전거
dviratis	자전거
alyva	오일
alyva	석유
alyva	기름
vejle	바일레
kaskada	캐스케이드
kaskada	계단식
klijai	접착제
klijai	접착제
franšizės	프랜차이즈
kmi	bmi
rodriguez	로드리게스
rodriguez	로드리게즈
komplikacijos	합병증
bilietas	티켓
bilietas	항공권
akcentas	말투
cosmos	코스모스
kiaušidės	난소
kiaušidės	난소
hart	하트
baitų	바이트
vilkikas	견인
vilkikas	트랙터
vilkikas	tug
maiden	처녀
sunkumai	도전
sunkumai	챌린지
sunkumai	난이도
sunkumai	어려움
sunkumai	어려움
sunkumai	곤란
algos	임금
išmokyti	가르쳐
atspindžiai	반사
gavėjas	수신자
gavėjas	수신자
gavėjas	수신기
sekretoriai	비서
blanc	블랑
apribojimas	제한
feraros	페라라
sąjungininkas	앨리
azul	azul
kvepalai	향수
klijų	접착제
klijų	접착제
sankcijos	처벌
vladivostoko	블라디보스톡
vladivostoko	블라디보스토크
lemūras	여우원숭이
tinklainės	망막
požemių	언더월드
karlsruhe	카를스루에
įkaitų	인질
brunėjus	브루나이
pasigirti	자랑
privalumų	특전
karnavalas	사육제
karnavalas	카니발
kvepalų	향수
kvepalų	향기
karina	카린
karina	카리나
ūkininkus	타락
atspindžio	반영
atspindžio	반사
karpiai	잉어
ira	ira
gilmour	길모어
lengvesnis	라이터
robotai	로봇
robotai	로봇과
sokoto	소코토
ekstraktas	추출
ekstraktas	풀기
gaja	가이아
atgailos	회개
interaktyvus	인터랙티브
interaktyvus	대화형
interaktyvus	대화식
jautiena	비프
jautiena	쇠고기
jautiena	소고기
apsauginis	보호
sugalvotas	발명
išvykimo	출발
išvykimo	출국
birmos	미얀마
birmos	버마
birmos	미얀마어
birmos	미얀마
birmos	버마
birmos	버마어
kia	kia
kia	기아
pyragas	케이크
pyragas	파이
drenažo	배수
vandalizmo	반달리즘
vandalizmo	파손
pagrobimas	납치
rūpi	아낀다
panašumas	닮음
ištvermės	인내
cox	콕스
driežas	도마뱀과
driežas	도마뱀
bėgikė	달리기
pašaras	피드
amazon	아마존
paaiškinimai	발언
spurs	스퍼스
zoo	동물원
izoliacijos	격리
izoliacijos	고립
hubert	휴버트
saugojimas	저장소
saugojimas	스토리지
saugojimas	저장
spin	스핀
diagnozė	진단
fuji	후지
vargo	misery
esteban	에스테반
gerovė	번영
tulūzos	툴루즈
grietinėlės	크림
eurobasket	유로바스켓
blokadą	봉쇄
dimorfizmas	깃털
piemenys	양치기
marškiniai	셔츠
marškiniai	셔츠
mariner	매리너
kelionėms	여행
vaiduoklis	귀신
vaiduoklis	유령
vaiduoklis	고스트
diagramos	다이어그램
diagramos	도표
diagramos	그래프
uri	uri
kažkaip	어떻게든
magelanas	마젤란
berkeley	버클리
hofmanas	호프먼
hofmanas	호프만
saulėlydžio	트와일라잇
saulėlydžio	황혼
našumas	생산성
bai	바이
klientui	고객
suahilių	스와힐리어
įgijimas	습득
įgijimas	획득
įgijimas	인수
įgijimas	수집
harbour	항구
harbour	하버
dietos	다이어트
plokščiai	평평하게
bretanės	브르타뉴
bretanės	브리트니
tnt	tnt
nardymo	다이빙
nardymo	잠수
vudu	부두
rahman	라흐만
išdavystę	반역죄
išdavystę	반역
rush	러쉬
pastabas	관찰
pastabas	관측
pastabas	댓글
pamoka	레슨
pamoka	교훈
pamoka	수업
fantazija	판타지
fantazija	환상
garantijos	보증
garantijos	보증
garantijos	보증
dachau	다하우
keltu	페리
fredas	피스
fredas	peace
fredas	평화
užsisakyti	구독
vonios	목욕탕
vonios	바스
vonios	목욕
vonios	욕조
aptikimo	탐지
aptikimo	감지
aptikimo	검출
kofeino	카페인
holland	홀랜드
breton	브르타뉴
bolivaras	볼리바르
polimerų	중합체
tesla	테슬라
sekrecijos	분비
iglesias	이글레시아스
eskizai	스케치
įsiveržimas	침공
vezuvijaus	베수비오
įsitikinimus	신념
įsitikinimus	믿음
įsitikinimus	종교
volframo	텅스텐
klausytojai	청취
klausytojai	청취자
sforza	스포르차
tvarkingai	정돈
taktinis	전술
polinezija	폴리네시아
pavlovas	파블로프
hendrix	헨드릭스
grasino	위협
pusrutulių	반구
gem	보석
močiutė	할머니
močiutė	외할머니
močiutė	할머니
močiutė	할머니
represijos	억압
mintimis	생각
adata	주사
adata	바늘
moduliai	모듈
erdvėlaivių	우주선
saugi	안전한
saugi	무사히
saugi	안전
kelnes	바지
kelnes	바지
įvardžiai	대명사
lavigne	라빈
nic	nic
pirkėjai	구매자
pirkėjai	구매자
tiesiosios	직장
insulino	인슐린
paskirstyti	배포
paskirstyti	분배
chomsky	촘스키
hopkins	홉킨스
kasyba	광산
kasyba	마이닝
kasyba	광업
stipendijas	장학금
salo	살로
laboratorijų	연구소
laboratorijų	실험실
cfa	cfa
kay	케이
pasauliai	세계
atstumai	거리
impulso	맥박
impulso	펄스
pridėtinės	추가되었습니다
pridėtinės	추가됨
suderinama	호환
kiaulienos	돼지고기
lana	lana
nagasakio	나가사키
eksperimentinių	실험
nuslėpti	감추기
žiniatinklio	웹툰
morales	모랄레스
galutiniai	기말고사
galutiniai	파이널
galutiniai	결승전
aliaska	알래스카
horizontalus	수평
mvp	mvp
akacijų	아카시아
motociklai	오토바이
motociklai	모터사이클
savižudybė	자살
našta	부담
alf	alf
pagonys	이교도
pajėgumas	용량
fizikai	물리학자
stebuklingas	마법
norvegai	노르웨이인
brodvėjaus	브로드웨이
vynuogynų	포도밭
vynuogynų	포도
vynuogynų	포도밭
bundesliga	분데스리가
serveriai	서버
lėja	리아
pikselių	픽셀
varliagyviai	양서류
tojotomi	도요토미
fleming	플레밍
dinozauras	공룡
traktoriai	트랙터
traktoriai	트랙터
cigarečių	담배
cigarečių	담배
sudomino	재닛
sudomino	자넷
