ookean	océan
jäljed	morceaux
jäljed	chenilles
jäljed	pistes
jäljed	traces
lyoni	lyonnais
lyoni	lyon
võtmine	prendre
võtmine	prenant
pravda	pravda
kultuuriline	culturels
kultuuriline	culturelle
kultuuriline	culturel
kohtumised	rencontres
kohtumised	réunions
vastupidine	inverse
vastupidine	inversé
vastupidine	inverse
vastupidine	inverser
vastupidine	inversé
vastupidine	opposé
vastupidine	opposée
vastupidine	contraire
vastupidine	opposés
kilp	bouclier
kilp	shield
miami	miami
sidemeid	pansements
sidemeid	bandages
sidemeid	pansements
sidemeid	bandage
tähelepanuväärne	remarquables
tähelepanuväärne	remarquable
abu	abu
abu	abou
olof	olof
magic	magie
magic	magic
magic	magique
vali	choisissez
vali	choisir
vali	choisis
vali	choisissez
vali	choisir
vali	sélection
vali	sélectionnez
vali	sélectionner
hubble	hubble
osalus	participatives
osalus	participatif
osalus	participatifs
osalus	participative
osalus	participation
modifitseeritud	modifié
modifitseeritud	modifiée
modifitseeritud	modifiées
modifitseeritud	modifiés
sigulda	sigulda
gregorio	gregorio
glasgow	glasgow
patricia	patricia
quercus	quercus
vahemaa	distance
vahemaa	éloignement
vahemaa	distances
karm	rude
karm	bruts
karm	dur
karm	coriace
karm	dure
karm	rude
karm	sévère
seimi	sejm
kauplus	boutique
kauplus	magasin
koore	écorce
koore	aboyer
koore	écorces
marja	baie
marja	berry
marja	baies
sektsioon	section
huvid	intérêts
huvid	intérêts
huvid	intérêt
mõõk	épée
mõõk	glaive
mõõk	sabre
naan	naan
ensüüm	enzyme
ensüüm	enzymatique
retseptorid	récepteur
retseptorid	récepteurs
ülemineku	transition
föderatsioon	fédération
pronks	bronze
laager	camp
laager	campement
laager	camps
saatja	transmetteur
saatja	émetteur
saatja	expéditeur
price	prix
price	tarif
sõltuv	dépendant
sõltuv	dépendantes
sõltuv	dépendante
sõltuv	dépendants
tunnistab	reconnait
tunnistab	reconnaît
tunnistab	admet
tunnistab	reconnait
tunnistab	reconnaît
index	index
index	indice
tarbija	consommateurs
tarbija	consommateur
kolmkümmend	trente
kolmkümmend	thirty
mündid	pièces
mündid	monnaies
vastutus	passif
vastutus	responsabilité
vastutus	responsabilités
vastutus	responsabilités
vastutus	responsabilité
apostel	apôtres
apostel	apôtre
arusaadav	compris
arusaadav	compréhensible
lõpmatu	infinie
lõpmatu	infinies
lõpmatu	infini
struve	struve
osatähtsus	intensités
osatähtsus	intensité
osatähtsus	intensités
dean	doyen
dean	dean
dean	doyenne
seisukohad	affichages
seisukohad	vues
sakslane	allemand
sakslane	allemands
sakslane	allemande
sergio	sergio
liikuva	mobile
liikuva	portable
põõsas	brousse
põõsas	bush
põõsas	buissons
põõsas	buisson
põõsas	arbuste
põõsas	arbustes
mozart	mozart
puudel	caniche
presley	presley
