dhe	そして
një	一つ
një	one
një	一人
një	ワン
nga	から
për	for
edhe	偶数
edhe	even
tij	his
nuk	not
ishte	was
janë	are
duke	having
por	でも
por	しかし
pas	アフター
këtë	この
këtë	これ
mund	can
gjatë	長い
gjatë	ロング
disa	いくつか
disa	一部
disa	いくらか
lidhje	リンク
lidhje	リレーションシップ
lidhje	交際
lidhje	つながり
lidhje	接続
lidhje	リンク
kjo	この
kjo	これ
kur	いつ
kur	とき
mbi	オーバー
mbi	over
mbi	上の
mbi	上記
deri	まで
deri	until
deri	まで
jashtme	外部
jashtme	外側
saj	its
kishte	had
ajo	彼女
vetëm	のみ
vetëm	ちょうど
vetëm	ジャスト
vetëm	ただ
ata	それら
tjera	その他
pjesë	パーツ
pjesë	部品
pjesë	パート
pjesë	部分
atë	him
madhe	大きな
madhe	大きい
madhe	ビッグ
rreth	について
para	お金
para	貨幣
para	マネー
para	金銭
para	現金
para	以前
ishin	were
per	について
per	for
këto	これらの
këto	これら
banorë	住民
banorë	住民
komuna	市町村
komuna	自治体
komuna	市町村
nje	一つ
nje	one
nje	一人
nje	ワン
kundër	カウンタ
kundër	カウンター
kundër	反対
lista	リスト
lista	リスト
kantoni	広東
kantoni	カントン
gjithashtu	also
gjithashtu	また
ndërsa	while
ndryshme	異なる
duhet	ニーズ
sipërfaqe	表面
sipërfaqe	曲面
ato	それら
përgjithshëm	全般
përgjithshëm	一般
përgjithshëm	将軍
tjetër	その他
tjetër	next
njohur	おなじみ
style	スタイル
dytë	番目
dytë	セカンド
mirë	良い
mirë	グッド
fundit	最終
fundit	ラスト
fundit	最後
fundit	最新
pasi	アフター
shiko	見る
shiko	ルック
shiko	外観
nën	以下
nën	サブ
jpg	jpg
herë	タイムズ
viti	イヤー
sot	トゥデイ
sot	今日
çdo	any
lartë	ハイ
lartë	高い
popullsi	人口
kosovës	コソボ
komunë	市町村
jetë	生活
jetë	生命
jetë	人生
jetë	ライフ
president	大統領
president	プレジデント
president	社長
mes	真ん中
mes	ミドル
mes	mid
vonë	遅い
vend	国名
vend	カントリー
vend	会場
vend	place
vend	場所
vend	スポット
pak	リトル
pak	小さい
pak	あまり
francë	フランス
fshat	田舎
fshat	村落
fshat	ヴィレッジ
zyrtare	公式
zyrtare	職員
kryetari	スピーカー
kryetari	話し手
kryetari	議長
kryetari	会長
kryetari	議長
pasur	had
pasur	金持ち
pasur	リッチ
sepse	なぜなら
sepse	だって
sepse	原因
kishin	had
vitet	年数
tre	三つ子
tre	三人
tre	three
tre	スリー
fund	スカート
fund	エンディング
fund	終了
fund	エンド
tjerë	他の
tjerë	その他
harta	地図
harta	マップ
harta	地図
harta	マップ
mbreti	king
mbreti	国王
mbreti	キング
vogël	タイニー
vogël	ちっちゃい
vogël	ちび
vogël	小さい
kosovë	コソボ
vjet	年数
pastaj	それから
shtetit	都道府県
shtetit	状態
tiranë	ティラナ
kombëtare	国民
kombëtare	ナショナル
emrin	名前
emrin	氏名
emrin	名称
mori	受け取り
mori	受信
ish	前者
mars	マーチ
mars	行進曲
mars	マーズ
mars	火星
file	ファイル
presidenti	大統領
presidenti	プレジデント
presidenti	社長
lindi	リンディ
lindi	誕生
kryesore	メイン
aktualisht	現在
qyteti	タウン
qyteti	シティ
qyteti	都市
qershor	六月
pse	なぜ
pse	why
maj	メイ
maj	五月
vetë	セルフ
vetë	自己
nëntor	十一月
shtator	九月
vet	his
brenda	ブレンダ
brenda	インサイド
kryesisht	主に
prill	四月
prill	エイプリル
ditë	day
ditë	一日
ditë	日数
tetor	十月
shkurt	二月
shkurt	短い
shkurt	ショート
vjetër	古い
vjetër	オールド
bën	makes
kodi	コード
kodi	符号
monark	君主
monark	モナーク
mbret	king
mbret	国王
mbret	キング
aktuale	現在
gjuhën	言語
tani	now
tani	ナウ
frëngjisht	フレンチ
frëngjisht	フランス語
shtetet	国々
informacion	情報
gusht	アウグスト
shba	米国
pranë	付近
pranë	近く
top	top
top	上部
top	トップ
katër	four
katër	フォー
rëndësishme	重要
jashtë	アウト
përbërja	合成
përbërja	構成
shën	セイント
shën	聖人
qytet	タウン
qytet	シティ
qytet	都市
këtu	ここ
dhënë	与えられた
dhënë	付与
faqja	ページ
aty	そこ
nëpër	through
nëpër	スルー
krijuar	作成
del	del
del	デル
zona	ゾーン
zona	zone
zona	面積
zona	領域
zona	エリア
këshilltarëve	参事官
vit	イヤー
shpesh	頻繁
shpesh	頻繁
shpesh	しばしば
megjithatë	しかしながら
data	デート
data	日付
kryesor	メイン
kryesor	メイン
kryesor	プライマリ
emri	名前
emri	氏名
emri	名称
jane	ジェーン
new	new
new	新しい
new	新規
isbn	isbn
zakonisht	通常
reja	new
reja	新しい
reja	新規
qarkun	カウンティ
qendër	センター
qendër	中央
qendër	中心
qendër	中央
qendër	センター
qendër	中心
ana	ana
ana	アナ
ana	アナ
ana	アンナ
republika	共和制
republika	共和国
iii	病気
iii	iii
der	デア
fjalë	ワード
fjalë	言葉
fjalë	単語
fjalë	word
fjalë	言葉
fjalë	単語
amerikan	アメリカン
pjesa	パート
pjesa	部分
ndonjë	any
ali	アリー
ali	アリー
ali	アリ
ali	ali
shkruar	筆記
mesme	真ん中
mesme	ミドル
mesme	ミディアム
mesme	メディア
numër	番号
numër	数値
numër	ナンバー
atëherë	それから
mjaft	十分
bazë	塩基
bazë	base
bazë	ベース
bazë	基本
bazë	ベーシック
bazë	basic
kohe	タイム
kohe	時間
ndërtuar	構築
nëpërmjet	via
nëpërmjet	through
nëpërmjet	スルー
solid	固体
fshati	村落
fshati	ヴィレッジ
vite	年数
sipërfaqja	船体
sipërfaqja	ハル
jug	サウス
ushtarake	軍事
ushtarake	軍隊
veri	ノース
papa	教皇
