tudi	همچنین
leta	سالهای
leta	سالها
leta	سال
kot	شبیه
kot	لایک
kot	مثل
kot	like
kot	مانند
team	تیم
team	تیمی
bil	بود
bil	شده
med	اینتر
med	میان
med	بین
seznam	فهرست
glej	see
glej	دیدن
bila	بود
bila	شده
lahko	میتوانست
nova	تازه
nova	نو
nova	جدید
nova	نیو
nova	نووا
nova	نوا
socorro	سوکورو
bgcolor	bgcolor
ter	تر
povezave	اتصالات
povezave	ارتباطات
povezave	پیوندها
povezave	پیوندهای
več	دیگر
več	بیشتر
zunanje	خارجی
pod	تحت
pod	زیر
del	جزء
del	قسمت
del	پارت
del	دِل
del	دل
del	del
kjer	کجا
kjer	کجای
jih	آنها
jih	آنان
mesto	قریه
mesto	شهر
mesto	شهرک
mesto	شهری
mesto	شهر
mesto	سیتی
ima	has
ima	دارد
september	september
september	سپتامبر
opombe	یادداشتها
opombe	یادداشتهای
opombe	نوت
opombe	نظرات
opombe	نظرها
opombe	توضیحات
pred	پیش
ime	نام
vse	همه
center	سنتر
center	مرکزش
center	مرکز
center	سنتر
center	مرکز
viri	منابع
viri	منابع
ljubljana	لیوبلیانا
prvi	اول
prvi	ابتدا
prvi	نخستین
oktober	اکتبر
oktober	october
vendar	ولی
vendar	اما
let	پروازی
let	پرواز
let	سالهای
let	سالها
let	سال
polk	هنگ
polk	پولک
bili	بودند
zelo	خیلی
zelo	بسیار
slovenski	اسلوونیایی
slovenski	اسلوونی
marec	مارس
marec	پیشروی
marec	راهپیمایی
veliko	قرعه
veliko	بسیار
veliko	فراوان
veliko	زیاد
veliko	بسیار
veliko	ولیکو
avgust	آگوست
avgust	آگست
avgust	اوت
avgust	آگوستوس
strani	پهلو
strani	صفحات
tega	این
delo	شغل
delo	کار
delo	ایوب
delo	کار
delo	کاری
ker	چون
nekaj	بعضیها
nekaj	برخی
januar	ژانویه
december	دسامبر
november	نوامبر
november	نوامبر
nato	ناتو
letih	سالهای
letih	سالها
letih	سال
drugi	دیگر
drugi	غیره
drugi	دیگران
drugi	دیگر
april	اپریل
april	آوریل
druge	دیگر
druge	غیره
druge	دیگران
druge	دیگر
vojne	جنگها
vojne	جنگ
vojne	جنگی
število	عدد
število	شمارۀ
število	شماره
februar	فوریه
samo	تنها
samo	فقط
stoletja	قرنها
okoli	اطراف
okoli	حوالی
zajema	بپوشد
liga	لیگ
liga	لیگا
kasneje	دیرتر
kasneje	بعدها
kasneje	بعدا
kasneje	بعداً
dela	کار
dela	کاری
dela	کار
maj	می
maj	مه
maj	تا
bolj	دیگر
bolj	بیشتر
danes	امروز
skupaj	مجموع
skupaj	کلا
skupaj	کل
skupaj	باهم
predvsem	اساسا
predvsem	عمدتاً
predvsem	عمدتاً
republike	جمهوری
najbolj	اکثر
najbolj	بیشتر
najbolj	بیشترین
nad	ناد
stran	میفرمایند
stran	دور
stran	صفحۀ
stran	صفحه
julij	جولیوس
julij	ژولیوس
julij	ژوئیه
julij	جولای
prebivalcev	ساکنین
prebivalcev	یاران
svetovno	جهان
svetovno	دنیا
svetovno	جهانی
svetovno	سراسری
svetovno	جهانی
svetovno	گلوبال
glede	درباره
glede	دربارۀ
leto	لتو
leto	سال
prvenstvo	قهرمانی
brez	بى
brez	بدون
mesta	شهرها
mesta	شهرها
vojno	جنگ
vojno	جنگی
njegov	او
cerkev	کلیسا
cerkev	چرچ
cerkev	کلیسای
primer	پرونده
primer	کیس
primer	مورد
primer	مثلی
primer	مثال
primer	نمونه
sicer	وگرنه
dan	دن
dan	روز
dan	روزی
imena	نامها
imena	نامهای
velika	ولیکا
velika	بیگ
velika	big
velika	بزرگ
velika	بزرگی
velika	بزرگ
velika	درشت
drugih	دیگران
drugih	دیگر
dve	دوتا
dve	دو
vedno	always
vedno	همیشه
vseh	همه
junij	ژوئن
junij	june
observatorij	رصد
observatorij	رصدخانه
jpg	jpg
mestu	قریه
mestu	شهر
mestu	شهرک
mestu	شهری
mestu	شهر
mestu	سیتی
drugo	دیگر
drugo	غیره
vojna	جنگ
vojna	جنگی
pesmi	شعری
pesmi	شعرهای
pesmi	شعر
tri	سه
slovenska	اسلوونیایی
slovenska	اسلوونی
dva	دوتا
dva	دو
veliki	ولیکی
veliki	بیگ
veliki	big
veliki	بزرگ
veliki	بزرگی
ameriški	آمریکایی
ameriški	امریکایی
ameriški	امریکن
ameriški	آمریکن
slika	عکسه
slika	عکس
slika	تصویر
slika	نگاره
slika	نقاشی
katerih	کدام
prva	اول
prva	ابتدا
prva	نخستین
njegova	او
imel	had
van	وان
van	فان
van	ون
van	وَن
druga	دیگر
druga	غیره
vojske	سپاه
pogosto	غالبا
pogosto	اغلب
pogosto	رایج
pogosto	معمولی
pogosto	مشترک
eno	یکی
eno	یگانه
eno	یک
življenje	زندگى
življenje	زندگی
john	جان
john	یوحنا
prvo	اول
prvo	ابتدا
prvo	نخستین
skupina	گروهبندی
skupina	گروپ
skupina	گروه
nagrada	اجر
nagrada	پاداش
nagrada	جایزه
nagrada	جایزه
njegovo	او
katerega	کدام
čeprav	هرچند
čeprav	اگرچه
čeprav	گرچه
čeprav	هرچند
čeprav	اگرچه
čeprav	گرچه
izvirno	اصیل
izvirno	اصلی
izvirno	اوریجینال
isbn	isbn
skupine	گروهها
von	فون
von	فن
francoski	فرنچ
francoski	فرانسه
francoski	فرانسوی
ena	یکی
ena	یگانه
ena	یک
časa	زمان
časa	تایم
časa	time
divizija	تقسیم
divizija	واحد
pomeni	معنای
pomeni	معنی
pomeni	معنا
kralj	پادشاه
kralj	کینگ
kralj	شاه
eden	عدن
eden	ادن
eden	یکی
eden	یگانه
eden	یک
saint	قدیس
saint	سن
kateri	کدام
http	http
ods	اوور
čas	زمان
čas	تایم
čas	time
palomar	پالومار
ponovno	دوباره
osvojil	تسخیر
osvojil	فتح
osvojil	غلبه
decembra	دسامبر
približno	تقریبی
približno	حدوداً
nemški	آلمان
nemški	آلمانی
ljudi	افراد
ljudi	مردمان
ljudi	آدمها
ljudi	مردم
države	کشورها
maja	می
maja	مه
maja	تا
maja	maja
novo	نوو
novo	تازه
novo	نو
novo	جدید
novo	نیو
potem	پس
pesem	شعری
pesem	شعر
pesem	نغمه
pesem	ترانه
pesem	اهنگ
pesem	آهنگ
pesem	آواز
švedska	سوئدی
švedska	سوئد
vas	واس
str	str
iii	iii
iii	سوم
krog	چرخه
krog	دایره
teh	اینها
teh	اینا
red	نظم
red	فرمان
red	دستور
red	سفارش
red	ترتیب
red	رد
red	قرمز
red	سرخ
član	عضو
član	عضوی
nagrado	اجر
nagrado	پاداش
nagrado	جایزه
nagrado	جایزه
glavni	main
glavni	اصلی
glavni	ماین
wehrmacht	ورماخت
celo	حتی
celo	حتى
celo	وحتی
slovenija	اسلوونی
sam	تنهایی
sam	تنها
sam	سَم
sam	سام
sam	sam
ivan	ایوان
skoraj	تقریباً
skoraj	تقریبا
skoraj	نزدیک
skoraj	نمانده
knjiga	کتاب
knjiga	book
knjiga	کتابی
tam	آنجا
anderson	اندرسون
anderson	اندرسن
anderson	آندرسون
njegove	او
der	der
sistem	سامانه
sistem	سیستم
večinoma	اساسا
večinoma	عمدتاً
večinoma	غالبا
oseb	اشخاص
januarja	ژانویه
ford	فورد
julija	ژوئیه
julija	جولای
julija	جولیا
julija	جولیت
julija	ژولیت
jim	جیم
peter	پتر
peter	پیتر
peter	پطرس
grad	قصر
grad	کاستل
grad	کستل
grad	قلعه
grad	کسل
grad	گراد
kmalu	بزودی
manj	کمتری
manj	کمتر
manj	کمتر
manj	less
septembra	september
septembra	سپتامبر
junija	ژوئن
junija	june
način	حالت
način	راه
janez	جان
janez	یوحنا
janez	یانز
imen	نامها
imen	نامهای
mesa	گوشتی
