레니	லென்னி
체이스	சேஸ்
코뮌	communes
인디아	இந்தியா
흡연	புகை
복권	லாட்டரி
가이아나	கயானா
섀도우	நிழல்
섀도우	நிழலை
피아트	ஃபியட்
블레이크	பிளேக்
이방인	அந்நியன்
아드리안	அட்ரியன்
프로포즈	proposing
벤처	துணிகர
부스	பூத்
부스	பூத்து
대머리	வழுக்கை
호스팅	தொகுத்து
호스팅	நடத்துகிறார்
스탬프	தட்டும்
스탬프	முத்திரை
베트남어	வியட்நாமிய
에메랄드	மரகதம்
에메랄드	மரகத
테두리	எல்லை
테두리	விளிம்பு
테두리	கரை
테두리	ஓரம்
하퍼	ஹார்ப்பர்
부탄	பொத்தான்
부탄	பூட்டான்
포화	நிறைவுற்ற
로이스	ராய்ஸ்
목차	உள்ளடக்கங்கள்
목차	குறிப்புரை
목차	உள்ளடக்கம்
서류	பேப்பர்ஸ்
국수	நூடுல்ஸ்
국수	சேமியா
결핵	காசநோய்
불평등	ஏற்றத்தாழ்வு
남용	முறைகேடு
남용	வன்கொடுமை
화해	நல்லிணக்க
편집기	திருத்தி
편집기	ஆசிரியர்
편집기	எடிட்டர்
편집기	தொகுப்பி
편집기	தொகுப்பான்
줄무늬	தடித்த
벅스	பக்
벅스	பிழைகள்
니컬러스	நிக்கோலஸ்
모듈러	மட்டு
베일	பேல்
베일	முக்காடு
베일	வாலே
사드	சாத்
퇴직	ஓய்வு
퇴직	ஓய்வை
퇴직	ஓய்வுபெற்ற
녹아	உருக்கி
무지	அறியாமையை
무지	அறியாமை
박격포	காரை
재활	மறுவாழ்வு
통증	வலியை
통증	வலி
통증	வலிகள்
통증	வலிகள்
마당	முற்றத்தில்
플랫	தட்டை
플랫	தட்டையான
크로스오버	crossover
복합체	வளாகம்
카누	canoeing
만찬	supper
시그널	சிக்னல்
시그널	சைகை
더그	டக்
숨겨져	மறைத்த
숨겨져	மறைந்த
숨겨져	மறைக்கப்பட்ட
숨겨져	மறைந்துள்ள
숨겨져	மறைக்கப்பட்டது
숨겨져	மறைந்து
찾아보기	உலாவுதல்
찾아보기	கண்டுபிடிக்கவும்
찾아보기	கண்டறியவும்
찾아보기	கண்டுபிடி
어디서나	எங்கும்
블레어	பிளேர்
피처링	இடம்பெறும்
니콜라우스	நிக்கோலஸ்
댓글	கருத்தைப்
댓글	குறிப்புரை
댓글	கருத்தை
댓글	கருத்து
댓글	கருத்துகளில்
댓글	கருத்துக்களில்
댓글	கருத்துகள்
댓글	கருத்துக்கள்
카렐리야	karelia
아래쪽	கீழ்
아래쪽	கீழ்நிலை
아래쪽	கீழே
아래쪽	கீழே
아래쪽	கீழ்
