kategória	kategooria
roku	aasta
ako	kuidas
ako	nagu
ako	meeldib
bol	bol
bol	oli
pozri	vaata
pozri	vt
pozri	näed
pozri	vaata
pozri	vaadake
obce	omavalitsused
obce	külad
obce	külasid
mba	mba
obyvateľov	elanikke
obyvateľov	elanikud
obyvateľov	elanikud
obyvateľov	residendid
obec	kommuun
obec	omavalitsus
obec	vald
obec	küla
obec	külas
pre	for
jeho	tema
jeho	oma
ktorá	mis
bod	punkt
bod	punkti
bod	point
pri	pri
bola	oli
ktoré	mis
ktorý	mis
zoznam	nimekiri
zoznam	loetelu
zoznam	loend
odkazy	viited
odkazy	lingid
socorro	socorro
externé	välised
externé	välise
externé	väline
ale	aga
ale	kuid
iné	muu
iné	muud
iné	muud
iné	teised
počet	number
počet	arv
boli	olid
podľa	all
miesto	spot
miesto	koht
miesto	asukoht
miesto	toimumiskoht
miesto	saidi
miesto	ala
bolo	oli
obcí	omavalitsused
obci	kommuun
jej	oma
jej	teda
jej	tema
ich	nende
ich	neid
ich	ich
medzi	vahel
projekty	projektid
team	tiim
team	meeskond
byť	olemise
byť	olemine
francúzska	prantsuse
francúzska	prantsusmaa
najvyšší	ülim
najvyšší	kõrgeim
však	siiski
pod	all
pod	allpool
pod	all
pred	pre
pred	enne
vývoj	arendamine
vývoj	arendus
vývoj	areng
vývoj	areng
vývoj	evolutsioon
vývoj	areng
vývoj	arengud
graf	graafik
graf	joonis
graf	diagramm
najnižší	madalaim
kde	kde
kde	kus
kde	kuhu
môže	mai
môže	oskab
môže	saab
nasledujúci	järgmiseks
nasledujúci	järgmisena
nasledujúci	järgmine
nasledujúci	next
zobrazuje	etendused
zobrazuje	näitab
keď	millal
keď	kui
len	ainult
len	lihtsalt
mesto	linn
mesto	linna
mesto	linn
mesto	linna
mesto	city
počas	kestel
počas	ajal
tiež	samuti
tiež	ka
usa	usas
usa	usa
rokov	aastad
nie	mitte
nie	ei
september	september
september	septembris
úmrtia	surma
úmrtia	surm
úmrtia	surmad
neskôr	hiljem
slovenský	slovaki
slovenský	slovakkia
aby	make
storočia	sajandeid
storočia	sajandite
storočia	sajandi
storočia	sajand
nad	eespool
nad	ülalpool
nad	ülal
jpg	jpg
časti	osi
časti	osad
stránka	leht
stránka	lehekülg
stránka	page
stránka	lehekülje
stránka	saidi
stránka	ala
skupiny	rühm
skupiny	grupp
skupiny	grupis
skupiny	grupid
skupiny	rühmad
html	html
roka	aasta
ktorú	mis
časť	lõik
časť	sektsioon
časť	jagu
časť	osas
ngc	ngc
október	oktoober
október	okt
mesta	linn
mesta	linna
mesta	linn
mesta	linna
mesta	city
marec	märts
august	august
august	aug
skupina	rühm
skupina	grupp
skupina	grupis
veľmi	väga
potom	seejärel
potom	siis
oficiálna	ametlik
oficiálna	ametnik
narodenia	sünd
narodenia	sünni
tento	see
tento	selle
tento	seda
osobnosti	isiksus
osobnosti	isikupära
bratislava	bratislava
november	november
november	novembris
november	nov
december	detsember
december	dets
stal	sai
iba	ainult
iba	lihtsalt
roky	aastad
oblasti	pindala
oblasti	valdkond
oblasti	piirkond
oblasti	ala
oblasti	alad
oblasti	valdkonnad
oblasti	piirkonnad
január	jaanuar
súbor	fail
súbor	faili
mal	oli
mal	mal
proti	vastu
apríl	apr
apríl	aprill
sveta	maailma
sveta	maailm
bez	ilma
najmä	peamiselt
najmä	põhiliselt
najmä	eriti
viac	rohkem
február	veebruar
mužov	meestele
mužov	mehed
názov	nimiväärtus
názov	nimi
názov	nimetus
názov	name
názov	nime
názov	pealkiri
názov	ametinimetus
názov	tiitel
okolo	ümber
okolo	ringi
prvý	kõigepealt
prvý	esmalt
prvý	esimene
text	tekst
text	teksti
máj	mai
slovenskej	slovaki
slovenskej	slovakkia
spolu	kokku
spolu	koos
spolu	üheskoos
preto	seetõttu
preto	seepärast
tom	tom
majstrovstvá	meistrivõistlused
majstrovstvá	meistrivõistluste
majstrovstvá	laskesuusatamise
saint	pühak
saint	saint
bar	baar
bar	bar
bar	baari
americký	ameeriklane
americký	ameerika
americký	american
júl	juuli
cez	via
cez	läbi
asi	arvatavasti
asi	ilmselt
asi	tõenäoliselt
asi	arva
jeden	ühe
jeden	üks
objavil	avastatud
objavil	avastasin
objavil	avastas
ktorých	kelle
vojny	sõda
vojny	sõjad
vojny	sõdu
rok	aasta
ulica	tänav
album	album
dátum	kuupäev
žien	naissoost
žien	naised
tieto	need
tieto	neid
januára	jaanuar
toto	see
toto	selle
toto	seda
toto	toto
ktorí	kes
ktorí	keda
všetky	kõik
francúzsky	prantsuse
mestá	linnad
mestá	linnad
svoje	oma
žije	elud
žije	elab
český	tšehhi
často	sageli
často	tihti
často	sageli
často	tihtipeale
často	tihti
ján	jan
ján	ján
ján	john
niekoľko	mitmed
niekoľko	mitu
okres	ringkond
okres	rajoon
jún	jun
jún	juuni
jún	june
šablóny	malle
šablóny	mall
šablóny	malli
dnes	täna
slovensko	slovakkia
pretože	kuna
pretože	sest
ani	ani
ani	ega
ktorého	kelle
slovenska	slovenska
nové	uued
nové	uus
nové	new
všetkých	kõik
štátu	riik
štátu	olek
štátu	osariik
ďalšie	täiendavad
ďalšie	täiendav
ďalšie	järgmiseks
ďalšie	järgmisena
ďalšie	järgmine
ďalšie	next
ďalšie	muu
ďalšie	muud
ďalšie	edasine
ďalšie	edasi
ďalšie	kaugemale
ďalšie	rohkem
tým	tiim
tým	meeskond
meno	nimi
meno	nimetus
meno	name
meno	nime
dve	kaks
dva	kaks
mala	oli
mala	mala
style	stiil
približne	umbes
približne	jämedalt
približne	ligikaudu
táto	see
táto	selle
táto	seda
prvé	kõigepealt
prvé	esmalt
prvé	esimene
martin	martin
http	http
tri	tri
tri	kolm
loire	loire
nich	neid
začal	alustatud
začal	alanud
začal	käivitatud
začal	algas
začal	hakkas
začal	alustas
začal	algas
praha	praha
stránke	leht
stránke	lehekülg
stránke	page
stránke	lehekülje
film	filmi
film	film
film	filmi
film	kile
film	film
spoločnosti	korporatsioonid
spoločnosti	firmad
spoločnosti	ettevõtted
spoločnosti	äriühing
spoločnosti	ettevõte
spoločnosti	seltskond
spoločnosti	äriühingud
spoločnosti	firmad
spoločnosti	ettevõtted
peter	peter
peter	peeter
mali	oli
mali	mali
patrí	kuulub
slovenská	slovaki
slovenská	slovakkia
strany	lehekülgi
strany	lehed
strany	leheküljed
strany	peod
strany	osalised
svg	svg
slovensky	inglise
prvá	kõigepealt
prvá	esmalt
prvá	esimene
van	van
van	kaubik
nemecký	saksa
nemecký	sakslane
storočí	sajandeid
storočí	sajandite
storočí	sajandi
storočí	sajand
hlavne	peamiselt
hlavne	põhiliselt
hlavne	eriti
hlavne	peamiselt
hlavne	enamjaolt
hlavne	enamasti
astronóm	astronoom
rod	rod
bude	will
bude	tahe
titul	pealkiri
titul	ametinimetus
titul	tiitel
kostol	kiriku
kostol	kirik
týchto	need
týchto	neid
republiky	vabariik
možno	ehk
možno	ehk
možno	võibolla
možno	äkki
ženy	emased
ženy	naised
ďalej	edasine
ďalej	edasi
ďalej	kaugemale
ďalej	järgmiseks
ďalej	järgmisena
ďalej	järgmine
ďalej	next
kedy	millal
kedy	kui
územia	territooriumide
územia	territooriumid
územia	territoorium
územia	territooriumi
systém	süsteemi
systém	süsteem
systém	system
ide	läheb
ide	going
ide	minek
ide	läheb
ide	käib
ide	ide
potok	oja
latinsky	ladina
góly	eesmärgid
spisovateľ	kirjutaja
spisovateľ	kirjanik
európy	euroopa
európy	europe
pôvodne	esialgu
pôvodne	algselt
pôvodne	algselt
pôvodne	esialgu
súhvezdie	tähtkuju
známy	teada
známy	teadaolevad
známy	teadaolev
známy	tuntud
známy	tuttav
haute	haute
veľkosť	suurus
john	john
klub	klubi
klub	club
objektov	objektid
isbn	isbn
slovenské	slovaki
slovenské	slovakkia
portál	portaali
portál	portaal
článok	artikkel
ľudí	inimesed
ľudí	inimestel
ľudí	inimesed
ľudí	rahvas
ľudí	people
územie	territoorium
územie	territooriumi
možné	võimalikud
možné	võimalik
zomrel	surid
zomrel	suri
niektoré	mõned
hudobné	muusika
hudobné	muusikal
hudobné	musical
herec	näitleja
hry	mängud
veľký	suured
veľký	suure
veľký	suur
veľký	suured
veľký	big
veľký	suure
veľký	suur
života	life
života	elu
septembra	september
septembra	septembris
kráľ	king
kráľ	kuningas
kráľ	kunn
iii	iii
maďarsku	ungari
hráči	mängijad
vlády	valitsus
môžu	oskab
môžu	saab
miest	kohad
zároveň	samaaegselt
zároveň	üheaegselt
mieste	spot
mieste	saidi
mieste	ala
kráľa	king
kráľa	kuningas
kráľa	kunn
tam	seal
spoločnosť	ühiskond
spoločnosť	äriühing
spoločnosť	ettevõte
spoločnosť	seltskond
oblasť	regioon
oblasť	piirkond
oblasť	oblast
oblasť	pindala
oblasť	valdkond
oblasť	piirkond
oblasť	ala
nej	teda
nej	tema
vek	age
vek	vanust
vek	vanus
takmer	peaaegu
takmer	peaaegu
štadión	staadion
muži	isased
muži	meestele
muži	mehed
októbra	oktoober
život	life
život	elu
mája	mai
dňa	päev
dňa	päeva
národné	siseriiklikud
národné	riiklik
národné	riiklikud
národné	siseriiklik
jozef	jozef
jozef	joseph
jozef	joosep
center	keskus
center	keskele
center	center
center	keskel
syn	poja
syn	poeg
marca	märts
dĺžka	pikkus
dĺžka	pikkuskraad
augusta	august
augusta	augusta
veľké	suured
veľké	suure
veľké	suur
veľké	suured
veľké	big
veľké	suure
veľké	suur
školy	koole
školy	koolid
školy	kooli
školy	koolis
školy	kool
nový	uued
nový	uus
nový	new
obsahuje	sisaldab
anderson	anderson
anderson	andersoni
správa	aruanne
správa	raport
správa	raporti
správa	ettekanne
správa	sõnum
správa	teade
správa	administratsioon
správa	haldus
správa	manustamine
štát	riik
štát	riik
štát	olek
štát	osariik
pomocou	kasutamine
pomocou	kasutades
hráč	mängija
júna	juuni
júna	june
kitt	kitt
cesta	asukoht
cesta	rada
cesta	marsruut
cesta	rännak
cesta	teekond
cesta	reis
cesta	way
cesta	maantee
cesta	tee
cesta	road
apríla	aprill
dostal	sain
dostal	sai
krajiny	riik
krajiny	maastik
krajiny	maastiku
krajiny	riigid
začala	alustatud
začala	alanud
začala	käivitatud
začala	algas
začala	hakkas
začala	alustas
začala	algas
ceny	hinnad
ceny	auhinnad
žilo	elasin
žilo	elatud
žilo	elanud
žilo	elas
číslo	number
číslo	arv
typ	tüüp
politik	poliitik
pyrénées	pyrénées
následne	järgnevalt
následne	seejärel
košice	košice
spojené	united
spojené	ühinenud
júla	juuli
práve	lihtsalt
niektorých	mõned
čas	kellaaeg
čas	aeg
čas	aja
čas	ajas
čas	aega
prípade	case
prípade	kohtuasi
prípade	juhtum
novembra	november
novembra	novembris
víťaz	võitja
decembra	detsember
nemecko	saksamaa
hlavné	major
hlavné	põhi
hlavné	peamised
hlavné	main
hlavné	peamine
galaxia	galaktika
galaxia	galaxy
awards	auhinnad
vrátane	sealhulgas
vrátane	kaasav
troch	kolm
práce	tööd
práce	töö
